"","wojewodztwo","powiat_miasto","liczba_szczepien_ogolnie","liczba_szczepien_dziennie","dawka_2_ogolem","dawka_2_dziennie","teryt"
"1","woj_puste","pow_puste",4,0,0,0,"t00"
"2","dolnoœl¹skie","boles³awiecki",78639,174,34391,25,"t0201"
"3","dolnoœl¹skie","dzier¿oniowski",74715,163,33820,40,"t0202"
"4","dolnoœl¹skie","g³ogowski",70879,334,31110,33,"t0203"
"5","dolnoœl¹skie","górowski",28118,46,12518,8,"t0204"
"6","dolnoœl¹skie","jaworski",41833,171,18319,20,"t0205"
"7","dolnoœl¹skie","jeleniogórski",55015,158,24524,17,"t0206"
"8","dolnoœl¹skie","kamiennogórski",34683,182,15688,17,"t0207"
"9","dolnoœl¹skie","k³odzki",139807,458,62604,69,"t0208"
"10","dolnoœl¹skie","legnicki",46595,188,20203,10,"t0209"
"11","dolnoœl¹skie","lubañski",32710,175,13296,20,"t0210"
"12","dolnoœl¹skie","lubiñski",133162,357,61553,22,"t0211"
"13","dolnoœl¹skie","lwówecki",45119,179,20281,19,"t0212"
"14","dolnoœl¹skie","milicki",36931,101,16916,7,"t0213"
"15","dolnoœl¹skie","oleœnicki",107740,224,47837,71,"t0214"
"16","dolnoœl¹skie","o³awski",47893,131,21833,1,"t0215"
"17","dolnoœl¹skie","polkowicki",44178,156,19002,30,"t0216"
"18","dolnoœl¹skie","strzeliñski",40003,123,18084,3,"t0217"
"19","dolnoœl¹skie","œredzki",24041,78,10945,8,"t0218"
"20","dolnoœl¹skie","œwidnicki",111946,278,49382,39,"t0219"
"21","dolnoœl¹skie","trzebnicki",63991,73,29973,19,"t0220"
"22","dolnoœl¹skie","wa³brzyski",34321,124,15744,22,"t0221"
"23","dolnoœl¹skie","wo³owski",45410,52,19653,2,"t0222"
"24","dolnoœl¹skie","wroc³awski",110106,296,50909,42,"t0223"
"25","dolnoœl¹skie","z¹bkowicki",60471,128,27013,4,"t0224"
"26","dolnoœl¹skie","zgorzelecki",64886,90,28337,6,"t0225"
"27","dolnoœl¹skie","z³otoryjski",37401,109,16363,12,"t0226"
"28","dolnoœl¹skie","Jelenia Góra",97605,330,45023,36,"t0261"
"29","dolnoœl¹skie","Legnica",97726,351,44176,51,"t0262"
"30","dolnoœl¹skie","Wroc³aw",1128981,2551,508962,239,"t0264"
"31","dolnoœl¹skie","Wa³brzych",224056,279,101010,14,"t0265"
"32","kujawsko-pomorskie","aleksandrowski",138373,254,64289,19,"t0401"
"33","kujawsko-pomorskie","brodnicki",78117,332,35659,39,"t0402"
"34","kujawsko-pomorskie","bydgoski",82116,128,38032,20,"t0403"
"35","kujawsko-pomorskie","che³miñski",45139,132,20498,23,"t0404"
"36","kujawsko-pomorskie","golubsko-dobrzyñski",38391,19,17458,4,"t0405"
"37","kujawsko-pomorskie","grudzi¹dzki",28214,54,12611,6,"t0406"
"38","kujawsko-pomorskie","inowroc³awski",112061,197,51548,22,"t0407"
"39","kujawsko-pomorskie","lipnowski",57423,19,25900,1,"t0408"
"40","kujawsko-pomorskie","mogileñski",35835,53,16338,6,"t0409"
"41","kujawsko-pomorskie","nakielski",90805,106,39651,22,"t0410"
"42","kujawsko-pomorskie","radziejowski",46960,55,21616,18,"t0411"
"43","kujawsko-pomorskie","rypiñski",38723,68,17757,4,"t0412"
"44","kujawsko-pomorskie","sêpoleñski",52300,123,23132,9,"t0413"
"45","kujawsko-pomorskie","œwiecki",84738,150,37899,17,"t0414"
"46","kujawsko-pomorskie","toruñski",76330,171,32896,27,"t0415"
"47","kujawsko-pomorskie","tucholski",41961,48,18882,9,"t0416"
"48","kujawsko-pomorskie","w¹brzeski",30588,54,13509,8,"t0417"
"49","kujawsko-pomorskie","w³oc³awski",69428,88,32404,15,"t0418"
"50","kujawsko-pomorskie","¿niñski",55860,103,26088,29,"t0419"
"51","kujawsko-pomorskie","Bydgoszcz",469480,1303,210219,133,"t0461"
"52","kujawsko-pomorskie","Grudzi¹dz",131976,242,59549,28,"t0462"
"53","kujawsko-pomorskie","Toruñ",213799,743,94027,72,"t0463"
"54","kujawsko-pomorskie","W³oc³awek",103075,327,44760,29,"t0464"
"55","lubelskie","bialski",66917,232,29481,35,"t0601"
