"","wojewodztwo","powiat_miasto","liczba_szczepien_ogolnie","liczba_szczepien_dziennie","dawka_2_ogolem","dawka_2_dziennie","teryt"
"1","woj_puste","pow_puste",4,0,0,0,"t00"
"2","dolnoœl¹skie","boles³awiecki",78437,169,34363,22,"t0201"
"3","dolnoœl¹skie","dzier¿oniowski",74548,177,33780,33,"t0202"
"4","dolnoœl¹skie","g³ogowski",70545,40,31077,4,"t0203"
"5","dolnoœl¹skie","górowski",28072,42,12510,2,"t0204"
"6","dolnoœl¹skie","jaworski",41659,47,18299,4,"t0205"
"7","dolnoœl¹skie","jeleniogórski",54774,125,24498,7,"t0206"
"8","dolnoœl¹skie","kamiennogórski",34500,79,15671,4,"t0207"
"9","dolnoœl¹skie","k³odzki",139325,434,62526,27,"t0208"
"10","dolnoœl¹skie","legnicki",46406,103,20193,4,"t0209"
"11","dolnoœl¹skie","lubañski",32524,76,13274,14,"t0210"
"12","dolnoœl¹skie","lubiñski",132799,235,61530,26,"t0211"
"13","dolnoœl¹skie","lwówecki",44944,140,20262,11,"t0212"
"14","dolnoœl¹skie","milicki",36830,51,16909,8,"t0213"
"15","dolnoœl¹skie","oleœnicki",107514,256,47766,22,"t0214"
"16","dolnoœl¹skie","o³awski",47761,40,21831,6,"t0215"
"17","dolnoœl¹skie","polkowicki",44022,19,18972,3,"t0216"
"18","dolnoœl¹skie","strzeliñski",39880,91,18081,10,"t0217"
"19","dolnoœl¹skie","œredzki",23962,40,10937,4,"t0218"
"20","dolnoœl¹skie","œwidnicki",111662,377,49343,54,"t0219"
"21","dolnoœl¹skie","trzebnicki",63906,154,29953,24,"t0220"
"22","dolnoœl¹skie","wa³brzyski",34159,36,15707,2,"t0221"
"23","dolnoœl¹skie","wo³owski",45323,125,19643,11,"t0222"
"24","dolnoœl¹skie","wroc³awski",109800,181,50868,26,"t0223"
"25","dolnoœl¹skie","z¹bkowicki",60335,147,27007,25,"t0224"
"26","dolnoœl¹skie","zgorzelecki",64796,117,28331,36,"t0225"
"27","dolnoœl¹skie","z³otoryjski",37283,81,16350,13,"t0226"
"28","dolnoœl¹skie","Jelenia Góra",97266,303,44985,24,"t0261"
"29","dolnoœl¹skie","Legnica",97371,289,44125,33,"t0262"
"30","dolnoœl¹skie","Wroc³aw",1126198,2099,508685,219,"t0264"
"31","dolnoœl¹skie","Wa³brzych",223764,463,100993,67,"t0265"
"32","kujawsko-pomorskie","aleksandrowski",138118,252,64273,20,"t0401"
"33","kujawsko-pomorskie","brodnicki",77782,183,35619,29,"t0402"
"34","kujawsko-pomorskie","bydgoski",81983,88,38010,16,"t0403"
"35","kujawsko-pomorskie","che³miñski",45005,88,20475,14,"t0404"
"36","kujawsko-pomorskie","golubsko-dobrzyñski",38368,122,17453,18,"t0405"
"37","kujawsko-pomorskie","grudzi¹dzki",28160,37,12605,3,"t0406"
"38","kujawsko-pomorskie","inowroc³awski",111803,246,51526,32,"t0407"
"39","kujawsko-pomorskie","lipnowski",57365,119,25887,4,"t0408"
"40","kujawsko-pomorskie","mogileñski",35767,66,16330,15,"t0409"
"41","kujawsko-pomorskie","nakielski",90694,124,39628,4,"t0410"
"42","kujawsko-pomorskie","radziejowski",46903,7,21598,0,"t0411"
"43","kujawsko-pomorskie","rypiñski",38654,114,17752,24,"t0412"
"44","kujawsko-pomorskie","sêpoleñski",52164,123,23122,4,"t0413"
"45","kujawsko-pomorskie","œwiecki",84588,147,37882,14,"t0414"
"46","kujawsko-pomorskie","toruñski",76157,117,32868,23,"t0415"
"47","kujawsko-pomorskie","tucholski",41913,20,18874,1,"t0416"
"48","kujawsko-pomorskie","w¹brzeski",30525,120,13499,7,"t0417"
"49","kujawsko-pomorskie","w³oc³awski",69339,115,32388,5,"t0418"
"50","kujawsko-pomorskie","¿niñski",55757,64,26059,7,"t0419"
"51","kujawsko-pomorskie","Bydgoszcz",468094,953,210085,84,"t0461"
"52","kujawsko-pomorskie","Grudzi¹dz",131732,341,59520,38,"t0462"
"53","kujawsko-pomorskie","Toruñ",212980,553,93948,47,"t0463"
"54","kujawsko-pomorskie","W³oc³awek",102740,307,44731,34,"t0464"
"55","lubelskie","bialski",66682,181,29445,10,"t0601"
"56","lubelskie","bi³gorajski",58973,154,27023,19,"t0602"
"57","lubelskie","che³mski",39122,203,17830,17,"t0603"
"58","lubelskie","hrubieszowski",49030,175,21769,10,"t0604"
"59","lubelskie","janowski",34033,88,15412,19,"t0605"
"60","lubelskie","krasnostawski",44736,128,19936,15,"t0606"
"61","lubelskie","kraœnicki",72886,379,33124,79,"t0607"
"62","lubelskie","lubartowski",60461,140,27479,27,"t0608"
"63","lubelskie","lubelski",92220,335,40672,85,"t0609"
"64","lubelskie","³êczyñski",43330,155,20031,26,"t0610"
