wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;4;0;0;0;t00
dolnoœl¹skie;boles³awiecki;75055;83;33736;10;t0201
dolnoœl¹skie;dzier¿oniowski;70993;48;33098;1;t0202
dolnoœl¹skie;g³ogowski;67110;19;30270;6;t0203
dolnoœl¹skie;górowski;27199;0;12329;0;t0204
dolnoœl¹skie;jaworski;40058;4;18038;0;t0205
dolnoœl¹skie;jeleniogórski;52579;69;24218;17;t0206
dolnoœl¹skie;kamiennogórski;32927;58;15315;12;t0207
dolnoœl¹skie;k³odzki;132089;60;61574;8;t0208
dolnoœl¹skie;legnicki;44945;5;19986;2;t0209
dolnoœl¹skie;lubañski;30871;49;12962;8;t0210
dolnoœl¹skie;lubiñski;128120;115;60773;12;t0211
dolnoœl¹skie;lwówecki;43072;0;19910;0;t0212
dolnoœl¹skie;milicki;35331;56;16619;0;t0213
dolnoœl¹skie;oleœnicki;102340;74;46520;8;t0214
dolnoœl¹skie;o³awski;46177;0;21741;0;t0215
dolnoœl¹skie;polkowicki;42663;0;18640;0;t0216
dolnoœl¹skie;strzeliñski;38202;0;17767;0;t0217
dolnoœl¹skie;œredzki;22704;23;10678;4;t0218
dolnoœl¹skie;œwidnicki;105703;63;48200;3;t0219
dolnoœl¹skie;trzebnicki;61410;22;29384;4;t0220
dolnoœl¹skie;wa³brzyski;32205;0;15265;0;t0221
dolnoœl¹skie;wo³owski;43530;12;19365;6;t0222
dolnoœl¹skie;wroc³awski;105801;50;50177;11;t0223
dolnoœl¹skie;z¹bkowicki;57344;86;26567;40;t0224
dolnoœl¹skie;zgorzelecki;61573;80;27825;2;t0225
dolnoœl¹skie;z³otoryjski;35965;12;16145;1;t0226
dolnoœl¹skie;Jelenia Góra;92911;120;44304;19;t0261
dolnoœl¹skie;Legnica;92956;100;43364;18;t0262
dolnoœl¹skie;Wroc³aw;1080781;1301;502723;162;t0264
dolnoœl¹skie;Wa³brzych;215702;318;99902;34;t0265
kujawsko-pomorskie;aleksandrowski;134739;61;63763;4;t0401
kujawsko-pomorskie;brodnicki;74546;137;34758;27;t0402
kujawsko-pomorskie;bydgoski;79159;60;37290;2;t0403
kujawsko-pomorskie;che³miñski;43128;14;20066;4;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;36915;10;17085;0;t0405
kujawsko-pomorskie;grudzi¹dzki;27225;5;12322;2;t0406
kujawsko-pomorskie;inowroc³awski;107400;61;50704;18;t0407
kujawsko-pomorskie;lipnowski;55100;29;25258;2;t0408
kujawsko-pomorskie;mogileñski;34193;10;15880;3;t0409
kujawsko-pomorskie;nakielski;87673;43;38916;10;t0410
kujawsko-pomorskie;radziejowski;45427;12;21213;0;t0411
kujawsko-pomorskie;rypiñski;37138;42;17319;26;t0412
kujawsko-pomorskie;sêpoleñski;49811;92;22779;34;t0413
kujawsko-pomorskie;œwiecki;80953;70;36960;14;t0414
kujawsko-pomorskie;toruñski;73695;82;32338;14;t0415
kujawsko-pomorskie;tucholski;40456;14;18493;0;t0416
kujawsko-pomorskie;w¹brzeski;29239;41;13246;13;t0417
kujawsko-pomorskie;w³oc³awski;67032;48;31849;24;t0418
kujawsko-pomorskie;¿niñski;54059;58;25600;7;t0419
kujawsko-pomorskie;Bydgoszcz;447392;504;207068;48;t0461
kujawsko-pomorskie;Grudzi¹dz;127310;178;58561;19;t0462
kujawsko-pomorskie;Toruñ;201617;342;92057;39;t0463
kujawsko-pomorskie;W³oc³awek;98066;101;43828;14;t0464
lubelskie;bialski;63472;37;28924;10;t0601
