"","wojewodztwo","powiat_miasto","liczba_szczepien_ogolnie","liczba_szczepien_dziennie","dawka_2_ogolem","dawka_2_dziennie","teryt"
"1","woj_puste","pow_puste",4,0,0,0,"t00"
"2","dolnoœl¹skie","boles³awiecki",79241,12,34453,1,"t0201"
"3","dolnoœl¹skie","dzier¿oniowski",75479,135,33918,12,"t0202"
"4","dolnoœl¹skie","g³ogowski",71777,239,31195,23,"t0203"
"5","dolnoœl¹skie","górowski",28297,6,12546,0,"t0204"
"6","dolnoœl¹skie","jaworski",42368,153,18375,21,"t0205"
"7","dolnoœl¹skie","jeleniogórski",55471,83,24554,9,"t0206"
"8","dolnoœl¹skie","kamiennogórski",35107,87,15725,4,"t0207"
"9","dolnoœl¹skie","k³odzki",141458,367,62756,28,"t0208"
"10","dolnoœl¹skie","legnicki",46962,67,20255,13,"t0209"
"11","dolnoœl¹skie","lubañski",33164,157,13321,10,"t0210"
"12","dolnoœl¹skie","lubiñski",134538,255,61654,31,"t0211"
"13","dolnoœl¹skie","lwówecki",45478,131,20307,8,"t0212"
"14","dolnoœl¹skie","milicki",37307,38,16946,10,"t0213"
"15","dolnoœl¹skie","oleœnicki",109473,346,48036,107,"t0214"
"16","dolnoœl¹skie","o³awski",48396,0,21866,0,"t0215"
"17","dolnoœl¹skie","polkowicki",44571,122,19054,5,"t0216"
"18","dolnoœl¹skie","strzeliñski",40357,119,18127,10,"t0217"
"19","dolnoœl¹skie","œredzki",24377,10,10982,4,"t0218"
"20","dolnoœl¹skie","œwidnicki",113274,270,49494,36,"t0219"
"21","dolnoœl¹skie","trzebnicki",64735,144,30052,24,"t0220"
"22","dolnoœl¹skie","wa³brzyski",34844,162,15791,12,"t0221"
"23","dolnoœl¹skie","wo³owski",46042,82,19685,7,"t0222"
"24","dolnoœl¹skie","wroc³awski",111101,174,51019,9,"t0223"
"25","dolnoœl¹skie","z¹bkowicki",61048,91,27058,16,"t0224"
"26","dolnoœl¹skie","zgorzelecki",65575,93,28401,16,"t0225"
"27","dolnoœl¹skie","z³otoryjski",37863,117,16387,0,"t0226"
"28","dolnoœl¹skie","Jelenia Góra",98867,302,45105,21,"t0261"
"29","dolnoœl¹skie","Legnica",99118,488,44274,30,"t0262"
"30","dolnoœl¹skie","Wroc³aw",1139884,1815,510040,256,"t0264"
"31","dolnoœl¹skie","Wa³brzych",225774,157,101144,10,"t0265"
"32","kujawsko-pomorskie","aleksandrowski",139164,164,64350,23,"t0401"
"33","kujawsko-pomorskie","brodnicki",78831,186,35780,23,"t0402"
"34","kujawsko-pomorskie","bydgoski",82854,62,38097,6,"t0403"
"35","kujawsko-pomorskie","che³miñski",45582,92,20560,11,"t0404"
"36","kujawsko-pomorskie","golubsko-dobrzyñski",38605,49,17472,5,"t0405"
"37","kujawsko-pomorskie","grudzi¹dzki",28362,25,12644,0,"t0406"
"38","kujawsko-pomorskie","inowroc³awski",113148,122,51629,17,"t0407"
"39","kujawsko-pomorskie","lipnowski",57938,30,25974,9,"t0408"
"40","kujawsko-pomorskie","mogileñski",36349,42,16380,1,"t0409"
"41","kujawsko-pomorskie","nakielski",91701,81,39763,3,"t0410"
"42","kujawsko-pomorskie","radziejowski",47366,42,21647,10,"t0411"
"43","kujawsko-pomorskie","rypiñski",39201,105,17789,15,"t0412"
"44","kujawsko-pomorskie","sêpoleñski",52619,36,23169,6,"t0413"
"45","kujawsko-pomorskie","œwiecki",85746,183,37971,1,"t0414"
