wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;4;0;0;0;t00
dolnoœl¹skie;boles³awiecki;76196;158;33953;23;t0201
dolnoœl¹skie;dzier¿oniowski;72274;219;33384;9;t0202
dolnoœl¹skie;g³ogowski;68433;138;30699;58;t0203
dolnoœl¹skie;górowski;27487;54;12407;3;t0204
dolnoœl¹skie;jaworski;40717;100;18151;27;t0205
dolnoœl¹skie;jeleniogórski;53461;148;24349;27;t0206
dolnoœl¹skie;kamiennogórski;33472;52;15453;13;t0207
dolnoœl¹skie;k³odzki;134519;389;61992;61;t0208
dolnoœl¹skie;legnicki;45416;42;20057;5;t0209
dolnoœl¹skie;lubañski;31423;104;13061;3;t0210
dolnoœl¹skie;lubiñski;129850;220;61106;40;t0211
dolnoœl¹skie;lwówecki;43975;97;20119;27;t0212
dolnoœl¹skie;milicki;35887;41;16726;22;t0213
dolnoœl¹skie;oleœnicki;103867;177;47046;78;t0214
dolnoœl¹skie;o³awski;46794;81;21756;0;t0215
dolnoœl¹skie;polkowicki;43212;88;18796;35;t0216
dolnoœl¹skie;strzeliñski;38931;105;17904;19;t0217
dolnoœl¹skie;œredzki;23148;58;10794;19;t0218
dolnoœl¹skie;œwidnicki;107872;192;48768;58;t0219
dolnoœl¹skie;trzebnicki;62430;116;29652;53;t0220
dolnoœl¹skie;wa³brzyski;32948;94;15443;6;t0221
dolnoœl¹skie;wo³owski;44156;35;19455;5;t0222
dolnoœl¹skie;wroc³awski;107104;191;50485;49;t0223
dolnoœl¹skie;z¹bkowicki;58448;115;26733;5;t0224
dolnoœl¹skie;zgorzelecki;62923;60;28032;10;t0225
dolnoœl¹skie;z³otoryjski;36367;84;16225;7;t0226
dolnoœl¹skie;Jelenia Góra;94460;234;44575;35;t0261
dolnoœl¹skie;Legnica;94857;311;43725;90;t0262
dolnoœl¹skie;Wroc³aw;1097117;1793;504889;318;t0264
dolnoœl¹skie;Wa³brzych;218912;171;100325;25;t0265
kujawsko-pomorskie;aleksandrowski;136156;93;64009;24;t0401
kujawsko-pomorskie;brodnicki;75990;157;35260;58;t0402
kujawsko-pomorskie;bydgoski;80217;91;37623;35;t0403
kujawsko-pomorskie;che³miñski;43986;86;20300;26;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;37511;26;17305;24;t0405
kujawsko-pomorskie;grudzi¹dzki;27579;15;12446;11;t0406
kujawsko-pomorskie;inowroc³awski;109016;156;51028;49;t0407
kujawsko-pomorskie;lipnowski;55920;53;25490;28;t0408
kujawsko-pomorskie;mogileñski;34803;31;16102;12;t0409
kujawsko-pomorskie;nakielski;88567;86;39160;17;t0410
kujawsko-pomorskie;radziejowski;46068;48;21427;8;t0411
kujawsko-pomorskie;rypiñski;37690;26;17542;4;t0412
kujawsko-pomorskie;sêpoleñski;50655;69;22969;3;t0413
kujawsko-pomorskie;œwiecki;82347;79;37383;10;t0414
kujawsko-pomorskie;toruñski;74701;110;32602;37;t0415
kujawsko-pomorskie;tucholski;40996;47;18635;21;t0416
kujawsko-pomorskie;w¹brzeski;29761;43;13364;0;t0417
kujawsko-pomorskie;w³oc³awski;67848;101;32068;20;t0418
kujawsko-pomorskie;¿niñski;54839;78;25839;25;t0419
kujawsko-pomorskie;Bydgoszcz;454722;918;208420;182;t0461
kujawsko-pomorskie;Grudzi¹dz;129086;102;58985;24;t0462
kujawsko-pomorskie;Toruñ;204936;438;92693;120;t0463
kujawsko-pomorskie;W³oc³awek;99581;198;44235;69;t0464
lubelskie;bialski;64690;169;29151;27;t0601
lubelskie;bi³gorajski;57030;212;26684;33;t0602
lubelskie;che³mski;37839;91;17593;25;t0603
lubelskie;hrubieszowski;47460;138;21445;29;t0604
lubelskie;janowski;32996;73;15181;16;t0605
lubelskie;krasnostawski;43149;74;19639;6;t0606
lubelskie;kraœnicki;70045;107;32648;24;t0607
lubelskie;lubartowski;58080;132;27002;44;t0608
lubelskie;lubelski;88985;178;40003;47;t0609
lubelskie;³êczyñski;41949;47;19746;3;t0610
lubelskie;³ukowski;59635;132;27629;32;t0611
lubelskie;opolski;47847;182;21761;37;t0612
lubelskie;parczewski;29725;54;13466;3;t0613
lubelskie;pu³awski;103175;184;48424;57;t0614
lubelskie;radzyñski;32425;165;15141;33;t0615
lubelskie;rycki;55769;54;26478;3;t0616
lubelskie;œwidnicki;49242;126;23059;40;t0617
lubelskie;tomaszowski;58707;142;26938;48;t0618
lubelskie;w³odawski;36501;82;16762;10;t0619
lubelskie;zamojski;50990;163;24481;43;t0620
lubelskie;Bia³a Podlaska;74282;284;34248;44;t0661
lubelskie;Che³m;66661;102;29969;38;t0662
lubelskie;Lublin;472186;1334;210372;149;t0663
lubelskie;Zamoœæ;94179;249;43694;80;t0664
lubuskie;gorzowski;31195;117;14296;13;t0801
