"","wojewodztwo","powiat_miasto","liczba_szczepien_ogolnie","liczba_szczepien_dziennie","dawka_2_ogolem","dawka_2_dziennie","teryt"
"1","woj_puste","pow_puste",4,0,0,0,"t00"
"2","dolnoœl¹skie","boles³awiecki",79989,219,34563,28,"t0201"
"3","dolnoœl¹skie","dzier¿oniowski",76343,338,34000,52,"t0202"
"4","dolnoœl¹skie","g³ogowski",72643,421,31276,47,"t0203"
"5","dolnoœl¹skie","górowski",28531,14,12572,0,"t0204"
"6","dolnoœl¹skie","jaworski",42754,227,18411,19,"t0205"
"7","dolnoœl¹skie","jeleniogórski",55928,159,24600,21,"t0206"
"8","dolnoœl¹skie","kamiennogórski",35471,166,15769,10,"t0207"
"9","dolnoœl¹skie","k³odzki",142637,435,62856,35,"t0208"
"10","dolnoœl¹skie","legnicki",47042,54,20265,6,"t0209"
"11","dolnoœl¹skie","lubañski",33568,153,13360,14,"t0210"
"12","dolnoœl¹skie","lubiñski",135679,273,61779,26,"t0211"
"13","dolnoœl¹skie","lwówecki",45628,90,20330,6,"t0212"
"14","dolnoœl¹skie","milicki",37596,107,16994,13,"t0213"
"15","dolnoœl¹skie","oleœnicki",110797,291,48193,48,"t0214"
"16","dolnoœl¹skie","o³awski",48777,260,21896,26,"t0215"
"17","dolnoœl¹skie","polkowicki",44839,190,19086,25,"t0216"
"18","dolnoœl¹skie","strzeliñski",40648,25,18174,2,"t0217"
"19","dolnoœl¹skie","œredzki",24634,115,11008,6,"t0218"
"20","dolnoœl¹skie","œwidnicki",114516,512,49619,24,"t0219"
"21","dolnoœl¹skie","trzebnicki",65208,156,30079,10,"t0220"
"22","dolnoœl¹skie","wa³brzyski",35141,54,15808,4,"t0221"
"23","dolnoœl¹skie","wo³owski",46539,199,19741,20,"t0222"
"24","dolnoœl¹skie","wroc³awski",111959,242,51093,26,"t0223"
"25","dolnoœl¹skie","z¹bkowicki",61678,224,27103,13,"t0224"
"26","dolnoœl¹skie","zgorzelecki",66130,239,28455,24,"t0225"
"27","dolnoœl¹skie","z³otoryjski",38316,237,16413,13,"t0226"
"28","dolnoœl¹skie","Jelenia Góra",99789,289,45197,31,"t0261"
"29","dolnoœl¹skie","Legnica",100082,400,44365,43,"t0262"
"30","dolnoœl¹skie","Wroc³aw",1148619,2488,510861,212,"t0264"
"31","dolnoœl¹skie","Wa³brzych",227271,518,101297,11,"t0265"
"32","kujawsko-pomorskie","aleksandrowski",139689,229,64392,12,"t0401"
"33","kujawsko-pomorskie","brodnicki",79529,217,35857,16,"t0402"
"34","kujawsko-pomorskie","bydgoski",83541,315,38159,21,"t0403"
"35","kujawsko-pomorskie","che³miñski",46094,255,20605,17,"t0404"
"36","kujawsko-pomorskie","golubsko-dobrzyñski",38749,17,17519,2,"t0405"
"37","kujawsko-pomorskie","grudzi¹dzki",28579,65,12665,8,"t0406"
"38","kujawsko-pomorskie","inowroc³awski",114183,452,51711,31,"t0407"
"39","kujawsko-pomorskie","lipnowski",58305,110,25996,5,"t0408"
"40","kujawsko-pomorskie","mogileñski",36888,166,16468,20,"t0409"
"41","kujawsko-pomorskie","nakielski",92304,122,39835,13,"t0410"
"42","kujawsko-pomorskie","radziejowski",47649,152,21670,17,"t0411"
"43","kujawsko-pomorskie","rypiñski",39474,178,17814,6,"t0412"
"44","kujawsko-pomorskie","sêpoleñski",52859,38,23197,2,"t0413"
"45","kujawsko-pomorskie","œwiecki",86415,243,38018,11,"t0414"
"46","kujawsko-pomorskie","toruñski",77107,168,33009,17,"t0415"
"47","kujawsko-pomorskie","tucholski",42515,145,18946,9,"t0416"
"48","kujawsko-pomorskie","w¹brzeski",31000,60,13551,5,"t0417"
"49","kujawsko-pomorskie","w³oc³awski",70318,120,32515,34,"t0418"
"50","kujawsko-pomorskie","¿niñski",56635,100,26167,6,"t0419"
"51","kujawsko-pomorskie","Bydgoszcz",479630,1541,211037,90,"t0461"
"52","kujawsko-pomorskie","Grudzi¹dz",134556,460,59775,26,"t0462"
"53","kujawsko-pomorskie","Toruñ",220288,615,94589,45,"t0463"
"54","kujawsko-pomorskie","W³oc³awek",106144,312,44998,16,"t0464"
"55","lubelskie","bialski",68560,306,29675,46,"t0601"
"56","lubelskie","bi³gorajski",61097,379,27248,38,"t0602"
"57","lubelskie","che³mski",40121,141,17944,13,"t0603"
"58","lubelskie","hrubieszowski",50501,206,21939,16,"t0604"
"59","lubelskie","janowski",34888,151,15553,31,"t0605"
"60","lubelskie","krasnostawski",46332,183,20163,46,"t0606"
"61","lubelskie","kraœnicki",75051,402,33443,52,"t0607"
"62","lubelskie","lubartowski",62537,307,27808,68,"t0608"
"63","lubelskie","lubelski",94984,370,41080,42,"t0609"
"64","lubelskie","³êczyñski",44276,176,20213,32,"t0610"
"65","lubelskie","³ukowski",63599,162,28331,32,"t0611"
"66","lubelskie","opolski",50789,162,22348,28,"t0612"
"67","lubelskie","parczewski",31897,261,13756,40,"t0613"
"68","lubelskie","pu³awski",109364,342,49335,45,"t0614"
"69","lubelskie","radzyñski",34800,247,15477,29,"t0615"
"70","lubelskie","rycki",58663,129,26955,14,"t0616"
"71","lubelskie","œwidnicki",53405,318,23707,60,"t0617"
"72","lubelskie","tomaszowski",61959,144,27400,16,"t0618"
"73","lubelskie","w³odawski",38423,83,16990,0,"t0619"
"74","lubelskie","zamojski",53888,261,24944,38,"t0620"
"75","lubelskie","Bia³a Podlaska",79564,285,35284,72,"t0661"
"76","lubelskie","Che³m",71057,222,30634,20,"t0662"
"77","lubelskie","Lublin",504924,1798,214506,196,"t0663"
"78","lubelskie","Zamoœæ",100043,381,44525,36,"t0664"
"79","lubuskie","gorzowski",32957,92,14565,4,"t0801"
"80","lubuskie","kroœnieñski",55436,229,25065,21,"t0802"
"81","lubuskie","miêdzyrzecki",73525,233,32608,15,"t0803"
"82","lubuskie","nowosolski",101804,386,43190,22,"t0804"
"83","lubuskie","s³ubicki",42784,138,19422,10,"t0805"
"84","lubuskie","strzelecko-drezdenecki",56490,331,23793,20,"t0806"
"85","lubuskie","sulêciñski",35106,55,14956,3,"t0807"
"86","lubuskie","œwiebodziñski",59955,81,26483,3,"t0808"
"87","lubuskie","zielonogórski",96241,291,42925,19,"t0809"
"88","lubuskie","¿agañski",76358,440,32729,34,"t0810"
"89","lubuskie","¿arski",108965,363,48932,19,"t0811"
"90","lubuskie","wschowski",30200,91,13926,20,"t0812"
"91","lubuskie","Gorzów Wielkopolski",173390,532,73891,55,"t0861"
"92","lubuskie","Zielona Góra",169513,803,75274,25,"t0862"
"93","³ódzkie","be³chatowski",80889,403,35572,36,"t1001"
"94","³ódzkie","kutnowski",97520,297,45173,9,"t1002"
"95","³ódzkie","³aski",39167,74,18075,18,"t1003"
"96","³ódzkie","³êczycki",56534,223,25006,19,"t1004"
"97","³ódzkie","³owicki",97030,238,44739,16,"t1005"
"98","³ódzkie","³ódzki wschodni",41862,237,17913,18,"t1006"
"99","³ódzkie","opoczyñski",64964,234,28477,20,"t1007"
"100","³ódzkie","pabianicki",119714,467,53898,47,"t1008"
"101","³ódzkie","pajêczañski",31662,72,14098,1,"t1009"
"102","³ódzkie","piotrkowski",54187,145,24498,4,"t1010"
"103","³ódzkie","poddêbicki",40435,174,18515,27,"t1011"
"104","³ódzkie","radomszczañski",96905,349,43873,31,"t1012"
"105","³ódzkie","rawski",31834,101,14140,15,"t1013"
"106","³ódzkie","sieradzki",108795,360,48083,46,"t1014"
"107","³ódzkie","skierniewicki",25686,127,11862,47,"t1015"
"108","³ódzkie","tomaszowski",115522,444,52335,27,"t1016"
"109","³ódzkie","wieluñski",93942,260,43164,13,"t1017"
"110","³ódzkie","wieruszowski",36067,121,15701,17,"t1018"
"111","³ódzkie","zduñskowolski",54775,200,24459,19,"t1019"
