wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;4;0;0;0;t00
dolnoœl¹skie;boles³awiecki;76603;110;34038;27;t0201
dolnoœl¹skie;dzier¿oniowski;72913;187;33463;28;t0202
dolnoœl¹skie;g³ogowski;68840;223;30802;40;t0203
dolnoœl¹skie;górowski;27613;30;12432;22;t0204
dolnoœl¹skie;jaworski;40898;93;18179;7;t0205
dolnoœl¹skie;jeleniogórski;53632;117;24364;8;t0206
dolnoœl¹skie;kamiennogórski;33662;71;15534;26;t0207
dolnoœl¹skie;k³odzki;135429;246;62099;42;t0208
dolnoœl¹skie;legnicki;45659;27;20088;3;t0209
dolnoœl¹skie;lubañski;31541;0;13085;0;t0210
dolnoœl¹skie;lubiñski;130253;77;61173;11;t0211
dolnoœl¹skie;lwówecki;44124;83;20131;1;t0212
dolnoœl¹skie;milicki;36148;85;16779;5;t0213
dolnoœl¹skie;oleœnicki;104601;170;47211;49;t0214
dolnoœl¹skie;o³awski;47017;161;21766;9;t0215
dolnoœl¹skie;polkowicki;43376;108;18829;24;t0216
dolnoœl¹skie;strzeliñski;39072;30;17932;1;t0217
dolnoœl¹skie;œredzki;23239;53;10808;8;t0218
dolnoœl¹skie;œwidnicki;108478;199;48896;37;t0219
dolnoœl¹skie;trzebnicki;62637;57;29698;8;t0220
dolnoœl¹skie;wa³brzyski;33036;23;15454;0;t0221
dolnoœl¹skie;wo³owski;44370;113;19518;49;t0222
dolnoœl¹skie;wroc³awski;107687;76;50587;8;t0223
dolnoœl¹skie;z¹bkowicki;58931;166;26795;10;t0224
dolnoœl¹skie;zgorzelecki;63247;135;28087;15;t0225
dolnoœl¹skie;z³otoryjski;36531;119;16265;31;t0226
dolnoœl¹skie;Jelenia Góra;94927;108;44662;15;t0261
dolnoœl¹skie;Legnica;95186;180;43779;23;t0262
dolnoœl¹skie;Wroc³aw;1102557;1581;505670;194;t0264
dolnoœl¹skie;Wa³brzych;219841;285;100484;22;t0265
kujawsko-pomorskie;aleksandrowski;136529;143;64054;12;t0401
kujawsko-pomorskie;brodnicki;76368;185;35330;27;t0402
kujawsko-pomorskie;bydgoski;80459;90;37683;36;t0403
kujawsko-pomorskie;che³miñski;44212;92;20328;15;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;37611;31;17318;0;t0405
kujawsko-pomorskie;grudzi¹dzki;27727;54;12501;19;t0406
kujawsko-pomorskie;inowroc³awski;109499;229;51116;42;t0407
kujawsko-pomorskie;lipnowski;56224;69;25591;5;t0408
kujawsko-pomorskie;mogileñski;35025;17;16158;3;t0409
kujawsko-pomorskie;nakielski;88970;40;39256;11;t0410
kujawsko-pomorskie;radziejowski;46282;72;21493;10;t0411
kujawsko-pomorskie;rypiñski;37788;49;17562;14;t0412
kujawsko-pomorskie;sêpoleñski;50863;34;22982;1;t0413
kujawsko-pomorskie;œwiecki;82791;175;37540;52;t0414
