"","wojewodztwo","powiat_miasto","liczba_szczepien_ogolnie","liczba_szczepien_dziennie","dawka_2_ogolem","dawka_2_dziennie","teryt"
"1","woj_puste","pow_puste",4,0,0,0,"t00"
"2","dolnoœl¹skie","boles³awiecki",79202,263,34452,30,"t0201"
"3","dolnoœl¹skie","dzier¿oniowski",75305,246,33893,30,"t0202"
"4","dolnoœl¹skie","g³ogowski",71536,341,31172,34,"t0203"
"5","dolnoœl¹skie","górowski",28291,12,12546,0,"t0204"
"6","dolnoœl¹skie","jaworski",42214,197,18354,21,"t0205"
"7","dolnoœl¹skie","jeleniogórski",55364,155,24544,9,"t0206"
"8","dolnoœl¹skie","kamiennogórski",35020,92,15721,7,"t0207"
"9","dolnoœl¹skie","k³odzki",141057,448,62724,33,"t0208"
"10","dolnoœl¹skie","legnicki",46895,121,20242,6,"t0209"
"11","dolnoœl¹skie","lubañski",33002,48,13309,1,"t0210"
"12","dolnoœl¹skie","lubiñski",134279,290,61621,13,"t0211"
"13","dolnoœl¹skie","lwówecki",45346,83,20299,12,"t0212"
"14","dolnoœl¹skie","milicki",37266,132,16936,13,"t0213"
"15","dolnoœl¹skie","oleœnicki",109053,320,47956,33,"t0214"
"16","dolnoœl¹skie","o³awski",48395,248,21865,27,"t0215"
"17","dolnoœl¹skie","polkowicki",44447,187,19049,36,"t0216"
"18","dolnoœl¹skie","strzeliñski",40238,30,18117,1,"t0217"
"19","dolnoœl¹skie","œredzki",24364,78,10978,10,"t0218"
"20","dolnoœl¹skie","œwidnicki",113003,375,49458,24,"t0219"
"21","dolnoœl¹skie","trzebnicki",64590,167,30027,9,"t0220"
"22","dolnoœl¹skie","wa³brzyski",34679,93,15778,14,"t0221"
"23","dolnoœl¹skie","wo³owski",45896,227,19676,16,"t0222"
"24","dolnoœl¹skie","wroc³awski",110896,170,51010,22,"t0223"
"25","dolnoœl¹skie","z¹bkowicki",60954,214,27042,7,"t0224"
"26","dolnoœl¹skie","zgorzelecki",65452,252,28383,38,"t0225"
"27","dolnoœl¹skie","z³otoryjski",37742,192,16387,16,"t0226"
"28","dolnoœl¹skie","Jelenia Góra",98562,442,45083,15,"t0261"
"29","dolnoœl¹skie","Legnica",98630,385,44243,43,"t0262"
"30","dolnoœl¹skie","Wroc³aw",1137142,2345,509705,176,"t0264"
"31","dolnoœl¹skie","Wa³brzych",225545,435,101127,7,"t0265"
"32","kujawsko-pomorskie","aleksandrowski",138974,314,64328,17,"t0401"
"33","kujawsko-pomorskie","brodnicki",78645,245,35757,52,"t0402"
