wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;4;0;0;0;t00
dolnoœl¹skie;boles³awiecki;76344;120;33994;35;t0201
dolnoœl¹skie;dzier¿oniowski;72563;22;33425;6;t0202
dolnoœl¹skie;g³ogowski;68467;33;30715;15;t0203
dolnoœl¹skie;górowski;27549;5;12410;0;t0204
dolnoœl¹skie;jaworski;40743;5;18156;0;t0205
dolnoœl¹skie;jeleniogórski;53491;37;24352;4;t0206
dolnoœl¹skie;kamiennogórski;33545;71;15493;40;t0207
dolnoœl¹skie;k³odzki;134831;286;62021;23;t0208
dolnoœl¹skie;legnicki;45616;12;20082;0;t0209
dolnoœl¹skie;lubañski;31463;40;13061;0;t0210
dolnoœl¹skie;lubiñski;129979;64;61133;10;t0211
dolnoœl¹skie;lwówecki;43975;0;20119;0;t0212
dolnoœl¹skie;milicki;35972;85;16748;22;t0213
dolnoœl¹skie;oleœnicki;104328;112;47132;21;t0214
dolnoœl¹skie;o³awski;46841;46;21757;0;t0215
dolnoœl¹skie;polkowicki;43214;0;18798;0;t0216
dolnoœl¹skie;strzeliñski;38959;12;17919;0;t0217
dolnoœl¹skie;œredzki;23164;13;10797;1;t0218
dolnoœl¹skie;œwidnicki;108119;60;48828;1;t0219
dolnoœl¹skie;trzebnicki;62494;15;29674;3;t0220
dolnoœl¹skie;wa³brzyski;32963;0;15445;0;t0221
dolnoœl¹skie;wo³owski;44192;15;19461;4;t0222
dolnoœl¹skie;wroc³awski;107459;137;50528;19;t0223
dolnoœl¹skie;z¹bkowicki;58656;131;26762;20;t0224
dolnoœl¹skie;zgorzelecki;62935;0;28034;0;t0225
dolnoœl¹skie;z³otoryjski;36406;25;16232;7;t0226
dolnoœl¹skie;Jelenia Góra;94732;135;44632;36;t0261
dolnoœl¹skie;Legnica;94953;97;43747;22;t0262
dolnoœl¹skie;Wroc³aw;1099468;1025;505263;144;t0264
dolnoœl¹skie;Wa³brzych;219388;252;100433;63;t0265
kujawsko-pomorskie;aleksandrowski;136208;41;64018;5;t0401
kujawsko-pomorskie;brodnicki;76072;82;35289;29;t0402
kujawsko-pomorskie;bydgoski;80303;19;37635;4;t0403
kujawsko-pomorskie;che³miñski;44039;0;20302;0;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;37559;47;17307;1;t0405
kujawsko-pomorskie;grudzi¹dzki;27604;22;12461;13;t0406
kujawsko-pomorskie;inowroc³awski;109189;114;51058;19;t0407
kujawsko-pomorskie;lipnowski;56028;20;25538;9;t0408
