"","wojewodztwo","powiat_miasto","liczba_szczepien_ogolnie","liczba_szczepien_dziennie","dawka_2_ogolem","dawka_2_dziennie","teryt"
"1","woj_puste","pow_puste",12,0,4,0,"t00"
"2","dolnoœl¹skie","boles³awiecki",79720,233,34533,37,"t0201"
"3","dolnoœl¹skie","dzier¿oniowski",76006,226,33947,14,"t0202"
"4","dolnoœl¹skie","g³ogowski",72220,343,31229,27,"t0203"
"5","dolnoœl¹skie","górowski",28517,41,12572,5,"t0204"
"6","dolnoœl¹skie","jaworski",42525,109,18391,13,"t0205"
"7","dolnoœl¹skie","jeleniogórski",55767,198,24578,11,"t0206"
"8","dolnoœl¹skie","kamiennogórski",35305,79,15759,8,"t0207"
"9","dolnoœl¹skie","k³odzki",142187,562,62820,39,"t0208"
"10","dolnoœl¹skie","legnicki",46988,12,20259,0,"t0209"
"11","dolnoœl¹skie","lubañski",33415,184,13346,12,"t0210"
"12","dolnoœl¹skie","lubiñski",135394,611,61753,80,"t0211"
"13","dolnoœl¹skie","lwówecki",45538,59,20324,17,"t0212"
"14","dolnoœl¹skie","milicki",37465,77,16977,0,"t0213"
"15","dolnoœl¹skie","oleœnicki",110501,247,48143,24,"t0214"
"16","dolnoœl¹skie","o³awski",48515,30,21871,0,"t0215"
"17","dolnoœl¹skie","polkowicki",44628,57,19060,6,"t0216"
"18","dolnoœl¹skie","strzeliñski",40622,170,18172,41,"t0217"
"19","dolnoœl¹skie","œredzki",24513,89,11001,9,"t0218"
"20","dolnoœl¹skie","œwidnicki",113982,243,49588,27,"t0219"
"21","dolnoœl¹skie","trzebnicki",65041,81,30068,3,"t0220"
"22","dolnoœl¹skie","wa³brzyski",35005,95,15800,0,"t0221"
"23","dolnoœl¹skie","wo³owski",46338,100,19720,6,"t0222"
"24","dolnoœl¹skie","wroc³awski",111696,171,51065,17,"t0223"
"25","dolnoœl¹skie","z¹bkowicki",61446,180,27089,16,"t0224"
"26","dolnoœl¹skie","zgorzelecki",65887,233,28431,14,"t0225"
"27","dolnoœl¹skie","z³otoryjski",38074,75,16396,7,"t0226"
"28","dolnoœl¹skie","Jelenia Góra",99494,287,45166,5,"t0261"
"29","dolnoœl¹skie","Legnica",99680,331,44322,20,"t0262"
"30","dolnoœl¹skie","Wroc³aw",1145670,2126,510598,183,"t0264"
"31","dolnoœl¹skie","Wa³brzych",226746,298,101284,17,"t0265"
"32","kujawsko-pomorskie","aleksandrowski",139446,208,64378,21,"t0401"
"33","kujawsko-pomorskie","brodnicki",79307,257,35841,27,"t0402"
"34","kujawsko-pomorskie","bydgoski",83195,150,38134,22,"t0403"
"35","kujawsko-pomorskie","che³miñski",45838,154,20588,14,"t0404"
"36","kujawsko-pomorskie","golubsko-dobrzyñski",38731,70,17516,2,"t0405"
"37","kujawsko-pomorskie","grudzi¹dzki",28514,111,12657,11,"t0406"
"38","kujawsko-pomorskie","inowroc³awski",113730,169,51678,8,"t0407"
"39","kujawsko-pomorskie","lipnowski",58184,117,25988,3,"t0408"
"40","kujawsko-pomorskie","mogileñski",36711,157,16444,13,"t0409"
"41","kujawsko-pomorskie","nakielski",92122,104,39815,1,"t0410"
"42","kujawsko-pomorskie","radziejowski",47464,91,21651,4,"t0411"
"43","kujawsko-pomorskie","rypiñski",39297,46,17807,3,"t0412"
"44","kujawsko-pomorskie","sêpoleñski",52809,118,23194,19,"t0413"
"45","kujawsko-pomorskie","œwiecki",86166,163,38006,9,"t0414"
"46","kujawsko-pomorskie","toruñski",76937,105,32992,33,"t0415"
