"","wojewodztwo","powiat_miasto","liczba_szczepien_ogolnie","liczba_szczepien_dziennie","dawka_2_ogolem","dawka_2_dziennie","teryt"
"1","woj_puste","pow_puste",4,0,0,0,"t00"
"2","dolnoœl¹skie","boles³awiecki",79478,136,34494,30,"t0201"
"3","dolnoœl¹skie","dzier¿oniowski",75766,159,33925,7,"t0202"
"4","dolnoœl¹skie","g³ogowski",71877,83,31202,5,"t0203"
"5","dolnoœl¹skie","górowski",28472,26,12564,0,"t0204"
"6","dolnoœl¹skie","jaworski",42414,15,18376,0,"t0205"
"7","dolnoœl¹skie","jeleniogórski",55561,89,24561,6,"t0206"
"8","dolnoœl¹skie","kamiennogórski",35226,114,15751,26,"t0207"
"9","dolnoœl¹skie","k³odzki",141623,148,62780,22,"t0208"
"10","dolnoœl¹skie","legnicki",46973,12,20258,2,"t0209"
"11","dolnoœl¹skie","lubañski",33231,67,13334,13,"t0210"
"12","dolnoœl¹skie","lubiñski",134783,235,61672,14,"t0211"
"13","dolnoœl¹skie","lwówecki",45475,0,20307,0,"t0212"
"14","dolnoœl¹skie","milicki",37373,52,16964,17,"t0213"
"15","dolnoœl¹skie","oleœnicki",110247,305,48116,23,"t0214"
"16","dolnoœl¹skie","o³awski",48484,89,21870,2,"t0215"
"17","dolnoœl¹skie","polkowicki",44571,0,19054,0,"t0216"
"18","dolnoœl¹skie","strzeliñski",40448,75,18129,2,"t0217"
"19","dolnoœl¹skie","œredzki",24423,44,10992,10,"t0218"
"20","dolnoœl¹skie","œwidnicki",113735,114,49561,10,"t0219"
"21","dolnoœl¹skie","trzebnicki",64932,0,30065,0,"t0220"
"22","dolnoœl¹skie","wa³brzyski",34889,42,15798,4,"t0221"
"23","dolnoœl¹skie","wo³owski",46179,42,19702,8,"t0222"
"24","dolnoœl¹skie","wroc³awski",111516,214,51046,5,"t0223"
"25","dolnoœl¹skie","z¹bkowicki",61260,182,27073,15,"t0224"
"26","dolnoœl¹skie","zgorzelecki",65622,47,28417,16,"t0225"
"27","dolnoœl¹skie","z³otoryjski",37965,71,16388,1,"t0226"
"28","dolnoœl¹skie","Jelenia Góra",99195,248,45155,42,"t0261"
"29","dolnoœl¹skie","Legnica",99345,227,44302,28,"t0262"
"30","dolnoœl¹skie","Wroc³aw",1143126,1561,510368,135,"t0264"
"31","dolnoœl¹skie","Wa³brzych",226421,494,101252,105,"t0265"
"32","kujawsko-pomorskie","aleksandrowski",139202,41,64356,6,"t0401"
"33","kujawsko-pomorskie","brodnicki",79043,214,35813,32,"t0402"
"34","kujawsko-pomorskie","bydgoski",83003,38,38110,0,"t0403"
"35","kujawsko-pomorskie","che³miñski",45677,95,20574,12,"t0404"
"36","kujawsko-pomorskie","golubsko-dobrzyñski",38661,58,17514,42,"t0405"
"37","kujawsko-pomorskie","grudzi¹dzki",28399,37,12646,2,"t0406"
"38","kujawsko-pomorskie","inowroc³awski",113560,323,51670,26,"t0407"
"39","kujawsko-pomorskie","lipnowski",57958,6,25978,0,"t0408"
"40","kujawsko-pomorskie","mogileñski",36522,109,16417,26,"t0409"
"41","kujawsko-pomorskie","nakielski",92014,102,39814,20,"t0410"
"42","kujawsko-pomorskie","radziejowski",47373,7,21647,0,"t0411"
"43","kujawsko-pomorskie","rypiñski",39251,45,17804,14,"t0412"
"44","kujawsko-pomorskie","sêpoleñski",52689,24,23175,5,"t0413"
"45","kujawsko-pomorskie","œwiecki",86003,117,37997,11,"t0414"
"46","kujawsko-pomorskie","toruñski",76831,104,32959,11,"t0415"
"47","kujawsko-pomorskie","tucholski",42319,18,18931,4,"t0416"
"48","kujawsko-pomorskie","w¹brzeski",30820,36,13536,8,"t0417"
"49","kujawsko-pomorskie","w³oc³awski",70103,28,32462,2,"t0418"
"50","kujawsko-pomorskie","¿niñski",56478,86,26160,14,"t0419"
"51","kujawsko-pomorskie","Bydgoszcz",476735,1011,210853,102,"t0461"
"52","kujawsko-pomorskie","Grudzi¹dz",133649,342,59721,49,"t0462"
"53","kujawsko-pomorskie","Toruñ",218983,663,94485,49,"t0463"
"54","kujawsko-pomorskie","W³oc³awek",105387,349,44957,42,"t0464"
"55","lubelskie","bialski",68023,104,29597,7,"t0601"
"56","lubelskie","bi³gorajski",60382,106,27186,16,"t0602"
"57","lubelskie","che³mski",39833,18,17912,3,"t0603"
"58","lubelskie","hrubieszowski",50099,130,21903,17,"t0604"
"59","lubelskie","janowski",34643,71,15504,8,"t0605"
"60","lubelskie","krasnostawski",45963,86,20096,17,"t0606"
"61","lubelskie","kraœnicki",74330,79,33326,14,"t0607"
"62","lubelskie","lubartowski",62047,107,27704,27,"t0608"
"63","lubelskie","lubelski",94299,180,41004,21,"t0609"
"64","lubelskie","³êczyñski",44016,139,20156,22,"t0610"
"65","lubelskie","³ukowski",63165,141,28266,13,"t0611"
"66","lubelskie","opolski",50449,15,22279,5,"t0612"
"67","lubelskie","parczewski",31586,34,13712,10,"t0613"
"68","lubelskie","pu³awski",108639,247,49233,64,"t0614"
"69","lubelskie","radzyñski",34414,95,15422,15,"t0615"
"70","lubelskie","rycki",58277,21,26905,4,"t0616"
"71","lubelskie","œwidnicki",52846,194,23620,40,"t0617"
"72","lubelskie","tomaszowski",61512,67,27336,15,"t0618"
"73","lubelskie","w³odawski",38245,73,16982,13,"t0619"
"74","lubelskie","zamojski",53426,105,24888,6,"t0620"
"75","lubelskie","Bia³a Podlaska",78970,212,35155,73,"t0661"
"76","lubelskie","Che³m",70674,194,30566,23,"t0662"
"77","lubelskie","Lublin",501532,1112,214130,166,"t0663"
"78","lubelskie","Zamoœæ",99342,243,44447,41,"t0664"
"79","lubuskie","gorzowski",32711,0,14535,0,"t0801"
"80","lubuskie","kroœnieñski",55010,61,25018,9,"t0802"
"81","lubuskie","miêdzyrzecki",73074,233,32571,10,"t0803"
"82","lubuskie","nowosolski",101069,168,43141,23,"t0804"
"83","lubuskie","s³ubicki",42495,69,19398,18,"t0805"
"84","lubuskie","strzelecko-drezdenecki",55991,56,23747,1,"t0806"
"85","lubuskie","sulêciñski",34925,36,14931,5,"t0807"
"86","lubuskie","œwiebodziñski",59829,7,26471,0,"t0808"
"87","lubuskie","zielonogórski",95715,39,42880,3,"t0809"
"88","lubuskie","¿agañski",75707,115,32674,1,"t0810"
"89","lubuskie","¿arski",108298,79,48878,2,"t0811"
