wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;4;0;0;0;t00
dolnoœl¹skie;boles³awiecki;75829;24;33893;3;t0201
dolnoœl¹skie;dzier¿oniowski;71827;28;33282;4;t0202
dolnoœl¹skie;g³ogowski;68004;17;30553;8;t0203
dolnoœl¹skie;górowski;27359;10;12366;3;t0204
dolnoœl¹skie;jaworski;40494;5;18114;0;t0205
dolnoœl¹skie;jeleniogórski;53095;12;24290;6;t0206
dolnoœl¹skie;kamiennogórski;33308;6;15401;5;t0207
dolnoœl¹skie;k³odzki;133729;23;61878;7;t0208
dolnoœl¹skie;legnicki;45294;10;20035;1;t0209
dolnoœl¹skie;lubañski;31236;17;13049;0;t0210
dolnoœl¹skie;lubiñski;129442;0;61032;0;t0211
dolnoœl¹skie;lwówecki;43658;4;20043;2;t0212
dolnoœl¹skie;milicki;35682;10;16662;0;t0213
dolnoœl¹skie;oleœnicki;103388;19;46896;4;t0214
dolnoœl¹skie;o³awski;46598;75;21735;5;t0215
dolnoœl¹skie;polkowicki;43024;0;18739;0;t0216
dolnoœl¹skie;strzeliñski;38706;14;17881;4;t0217
dolnoœl¹skie;œredzki;22969;0;10763;0;t0218
dolnoœl¹skie;œwidnicki;107147;21;48576;3;t0219
dolnoœl¹skie;trzebnicki;62053;6;29521;1;t0220
dolnoœl¹skie;wa³brzyski;32651;10;15393;1;t0221
dolnoœl¹skie;wo³owski;43913;0;19419;0;t0222
dolnoœl¹skie;wroc³awski;106621;11;50355;3;t0223
dolnoœl¹skie;z¹bkowicki;58089;9;26701;0;t0224
dolnoœl¹skie;zgorzelecki;62487;19;27984;8;t0225
dolnoœl¹skie;z³otoryjski;36210;5;16189;3;t0226
dolnoœl¹skie;Jelenia Góra;93850;4;44456;0;t0261
dolnoœl¹skie;Legnica;93971;11;43522;3;t0262
dolnoœl¹skie;Wroc³aw;1091764;143;504079;23;t0264
dolnoœl¹skie;Wa³brzych;217941;49;100149;2;t0265
kujawsko-pomorskie;aleksandrowski;135780;26;63929;4;t0401
kujawsko-pomorskie;brodnicki;75542;43;35135;1;t0402
kujawsko-pomorskie;bydgoski;79908;1;37534;0;t0403
kujawsko-pomorskie;che³miñski;43614;1;20249;0;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;37372;0;17226;0;t0405
kujawsko-pomorskie;grudzi¹dzki;27497;6;12408;1;t0406
kujawsko-pomorskie;inowroc³awski;108629;18;50916;13;t0407
kujawsko-pomorskie;lipnowski;55653;0;25369;0;t0408
kujawsko-pomorskie;mogileñski;34642;3;16031;0;t0409
kujawsko-pomorskie;nakielski;88256;14;39063;11;t0410
kujawsko-pomorskie;radziejowski;45825;7;21299;7;t0411
kujawsko-pomorskie;rypiñski;37534;0;17493;0;t0412
kujawsko-pomorskie;sêpoleñski;50377;1;22906;1;t0413
kujawsko-pomorskie;œwiecki;81896;7;37235;4;t0414
kujawsko-pomorskie;toruñski;74442;2;32513;0;t0415
kujawsko-pomorskie;tucholski;40749;22;18544;3;t0416
kujawsko-pomorskie;w¹brzeski;29504;10;13322;0;t0417
kujawsko-pomorskie;w³oc³awski;67553;0;31960;0;t0418
kujawsko-pomorskie;¿niñski;54666;10;25784;8;t0419
kujawsko-pomorskie;Bydgoszcz;452202;54;207941;24;t0461
kujawsko-pomorskie;Grudzi¹dz;128494;25;58789;12;t0462
kujawsko-pomorskie;Toruñ;203948;26;92462;11;t0463
kujawsko-pomorskie;W³oc³awek;99005;16;44065;4;t0464
lubelskie;bialski;64358;7;29087;0;t0601
lubelskie;bi³gorajski;56632;6;26596;5;t0602
lubelskie;che³mski;37536;0;17539;0;t0603
lubelskie;hrubieszowski;47166;27;21381;8;t0604
lubelskie;janowski;32791;1;15137;0;t0605
lubelskie;krasnostawski;42967;10;19606;4;t0606
lubelskie;kraœnicki;69514;12;32561;0;t0607
lubelskie;lubartowski;57760;0;26910;0;t0608
lubelskie;lubelski;88221;10;39870;3;t0609
lubelskie;³êczyñski;41711;7;19714;0;t0610
lubelskie;³ukowski;59208;7;27537;3;t0611
lubelskie;opolski;47349;1;21663;0;t0612
lubelskie;parczewski;29481;18;13411;8;t0613
lubelskie;pu³awski;102530;33;48232;1;t0614
lubelskie;radzyñski;32120;7;15066;2;t0615
lubelskie;rycki;55572;17;26451;2;t0616
lubelskie;œwidnicki;48859;12;22944;8;t0617
lubelskie;tomaszowski;58441;0;26866;0;t0618
lubelskie;w³odawski;36165;22;16727;3;t0619
lubelskie;zamojski;50556;11;24399;0;t0620
lubelskie;Bia³a Podlaska;73683;22;34157;4;t0661
lubelskie;Che³m;66341;14;29882;5;t0662
lubelskie;Lublin;468537;127;209862;17;t0663
lubelskie;Zamoœæ;93611;6;43523;1;t0664
lubuskie;gorzowski;30891;6;14206;4;t0801
lubuskie;kroœnieñski;52845;18;24657;5;t0802
lubuskie;miêdzyrzecki;69582;7;32088;3;t0803
lubuskie;nowosolski;96244;18;42450;11;t0804
lubuskie;s³ubicki;40307;13;18966;11;t0805
lubuskie;strzelecko-drezdenecki;53260;11;23421;1;t0806
lubuskie;sulêciñski;32757;0;14574;0;t0807
lubuskie;œwiebodziñski;57011;6;26150;0;t0808
lubuskie;zielonogórski;91946;0;42321;0;t0809
lubuskie;¿agañski;71898;1;32173;0;t0810
lubuskie;¿arski;103893;6;48200;1;t0811
lubuskie;wschowski;28431;13;13547;8;t0812
lubuskie;Gorzów Wielkopolski;160569;10;72183;1;t0861
lubuskie;Zielona Góra;157877;67;73855;0;t0862
³ódzkie;be³chatowski;77040;4;34951;0;t1001
³ódzkie;kutnowski;91972;10;44331;5;t1002
³ódzkie;³aski;37460;0;17726;0;t1003
³ódzkie;³êczycki;53838;9;24629;7;t1004
³ódzkie;³owicki;93329;12;44237;2;t1005
³ódzkie;³ódzki wschodni;38896;0;17417;0;t1006
³ódzkie;opoczyñski;62203;9;27963;5;t1007
³ódzkie;pabianicki;112915;50;52857;0;t1008
³ódzkie;pajêczañski;30575;0;13901;0;t1009
³ódzkie;piotrkowski;52033;0;24075;0;t1010
³ódzkie;poddêbicki;38633;22;18132;12;t1011
³ódzkie;radomszczañski;92163;0;43141;0;t1012
³ódzkie;rawski;30210;2;13801;1;t1013
³ódzkie;sieradzki;104072;15;47222;5;t1014
³ódzkie;skierniewicki;24744;0;11633;0;t1015
³ódzkie;tomaszowski;109543;2;51492;0;t1016
³ódzkie;wieluñski;90379;16;42683;0;t1017
³ódzkie;wieruszowski;34338;2;15452;1;t1018
³ódzkie;zduñskowolski;51985;7;23972;0;t1019
³ódzkie;zgierski;135337;23;63003;0;t1020
³ódzkie;brzeziñski;35941;0;17027;0;t1021
³ódzkie;£ódŸ;939496;115;437038;7;t1061
³ódzkie;Piotrków Trybunalski;85871;32;39481;3;t1062
³ódzkie;Skierniewice;75566;0;35157;0;t1063
ma³opolskie;bocheñski;81078;7;36202;0;t1201
ma³opolskie;brzeski;69276;13;31981;3;t1202
ma³opolskie;chrzanowski;114882;31;52344;7;t1203
ma³opolskie;d¹browski;43866;8;20420;1;t1204
ma³opolskie;gorlicki;88727;17;41634;1;t1205
ma³opolskie;krakowski;165263;9;76896;0;t1206
ma³opolskie;limanowski;91659;1;41930;0;t1207
ma³opolskie;miechowski;62452;22;29770;10;t1208
ma³opolskie;myœlenicki;107150;21;50124;9;t1209
ma³opolskie;nowos¹decki;134547;11;60027;0;t1210
ma³opolskie;nowotarski;134904;24;61064;8;t1211
ma³opolskie;olkuski;112560;2;52044;2;t1212
ma³opolskie;oœwiêcimski;125281;7;58681;2;t1213
ma³opolskie;proszowicki;45210;0;21460;0;t1214
ma³opolskie;suski;71042;9;33539;4;t1215
ma³opolskie;tarnowski;98215;5;45441;2;t1216
ma³opolskie;tatrzañski;36827;9;17144;1;t1217
ma³opolskie;wadowicki;123817;6;55387;3;t1218
ma³opolskie;wielicki;114234;3;51565;0;t1219
ma³opolskie;Kraków;1221637;162;571929;13;t1261
ma³opolskie;Nowy S¹cz;66172;0;31088;0;t1262
ma³opolskie;Tarnów;118923;14;53671;1;t1263
mazowieckie;bia³obrzeski;36857;0;17427;0;t1401
mazowieckie;ciechanowski;82797;3;38902;0;t1402
mazowieckie;garwoliñski;85488;0;40696;0;t1403
mazowieckie;gostyniñski;29367;0;14087;0;t1404
mazowieckie;grodziski;98807;6;45051;6;t1405
mazowieckie;grójecki;108814;36;50909;6;t1406
mazowieckie;kozienicki;45599;3;21641;1;t1407
mazowieckie;legionowski;79819;4;34645;0;t1408
mazowieckie;lipski;27234;0;12919;0;t1409
mazowieckie;³osicki;19231;13;9214;7;t1410
mazowieckie;makowski;43216;14;19743;0;t1411
mazowieckie;miñski;133224;0;59655;0;t1412
mazowieckie;m³awski;62962;11;29798;6;t1413
mazowieckie;nowodworski;116828;34;53601;11;t1414
mazowieckie;ostro³êcki;51161;0;23963;0;t1415
mazowieckie;ostrowski;52275;30;25378;6;t1416
mazowieckie;otwocki;95666;22;45526;12;t1417
mazowieckie;piaseczyñski;252236;14;116823;2;t1418
mazowieckie;p³ocki;88826;8;41979;0;t1419
mazowieckie;p³oñski;82477;25;38177;4;t1420
