wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;4;0;0;0;t00
dolnoœl¹skie;boles³awiecki;75797;30;33890;7;t0201
dolnoœl¹skie;dzier¿oniowski;71802;61;33278;33;t0202
dolnoœl¹skie;g³ogowski;67988;116;30545;23;t0203
dolnoœl¹skie;górowski;27348;0;12363;0;t0204
dolnoœl¹skie;jaworski;40489;47;18114;8;t0205
dolnoœl¹skie;jeleniogórski;53081;25;24284;5;t0206
dolnoœl¹skie;kamiennogórski;33302;19;15396;0;t0207
dolnoœl¹skie;k³odzki;133712;212;61870;27;t0208
dolnoœl¹skie;legnicki;45284;11;20034;0;t0209
dolnoœl¹skie;lubañski;31208;54;13047;11;t0210
dolnoœl¹skie;lubiñski;129443;174;61032;39;t0211
dolnoœl¹skie;lwówecki;43654;28;20040;9;t0212
dolnoœl¹skie;milicki;35673;36;16662;1;t0213
dolnoœl¹skie;oleœnicki;103370;35;46892;22;t0214
dolnoœl¹skie;o³awski;46523;0;21730;0;t0215
dolnoœl¹skie;polkowicki;43023;33;18739;18;t0216
dolnoœl¹skie;strzeliñski;38692;90;17877;19;t0217
dolnoœl¹skie;œredzki;22969;3;10763;0;t0218
dolnoœl¹skie;œwidnicki;107112;100;48565;27;t0219
dolnoœl¹skie;trzebnicki;62038;75;29516;11;t0220
dolnoœl¹skie;wa³brzyski;32610;24;15384;0;t0221
dolnoœl¹skie;wo³owski;43913;24;19419;1;t0222
dolnoœl¹skie;wroc³awski;106608;56;50352;18;t0223
dolnoœl¹skie;z¹bkowicki;58083;81;26701;10;t0224
dolnoœl¹skie;zgorzelecki;62468;60;27976;8;t0225
dolnoœl¹skie;z³otoryjski;36202;12;16186;2;t0226
dolnoœl¹skie;Jelenia Góra;93846;93;44456;11;t0261
dolnoœl¹skie;Legnica;93961;113;43519;17;t0262
dolnoœl¹skie;Wroc³aw;1091632;732;504053;65;t0264
dolnoœl¹skie;Wa³brzych;217886;99;100145;23;t0265
kujawsko-pomorskie;aleksandrowski;135748;192;63924;33;t0401
kujawsko-pomorskie;brodnicki;75482;108;35118;17;t0402
kujawsko-pomorskie;bydgoski;79900;66;37534;35;t0403
kujawsko-pomorskie;che³miñski;43613;51;20249;29;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;37371;57;17225;26;t0405
kujawsko-pomorskie;grudzi¹dzki;27492;15;12407;7;t0406
kujawsko-pomorskie;inowroc³awski;108599;135;50903;29;t0407
kujawsko-pomorskie;lipnowski;55637;19;25358;8;t0408
kujawsko-pomorskie;mogileñski;34637;36;16031;17;t0409
kujawsko-pomorskie;nakielski;88241;61;39052;10;t0410
kujawsko-pomorskie;radziejowski;45807;17;21292;7;t0411
kujawsko-pomorskie;rypiñski;37534;6;17493;0;t0412
kujawsko-pomorskie;sêpoleñski;50376;78;22905;20;t0413
kujawsko-pomorskie;œwiecki;81894;125;37235;19;t0414
kujawsko-pomorskie;toruñski;74440;44;32513;2;t0415
kujawsko-pomorskie;tucholski;40727;16;18541;0;t0416
kujawsko-pomorskie;w¹brzeski;29493;8;13322;0;t0417
kujawsko-pomorskie;w³oc³awski;67552;7;31960;1;t0418
kujawsko-pomorskie;¿niñski;54652;91;25774;28;t0419
kujawsko-pomorskie;Bydgoszcz;452140;568;207914;128;t0461
kujawsko-pomorskie;Grudzi¹dz;128470;47;58777;6;t0462
kujawsko-pomorskie;Toruñ;203958;166;92452;18;t0463
kujawsko-pomorskie;W³oc³awek;98989;98;44061;10;t0464
lubelskie;bialski;64347;48;29087;9;t0601
lubelskie;bi³gorajski;56626;56;26591;6;t0602
lubelskie;che³mski;37536;47;17539;1;t0603
lubelskie;hrubieszowski;47138;52;21372;9;t0604
lubelskie;janowski;32790;46;15137;21;t0605
lubelskie;krasnostawski;42958;57;19602;18;t0606
lubelskie;kraœnicki;69496;145;32559;26;t0607
lubelskie;lubartowski;57750;60;26910;20;t0608
lubelskie;lubelski;88209;68;39865;19;t0609
lubelskie;³êczyñski;41691;56;19714;7;t0610
lubelskie;³ukowski;59199;57;27532;25;t0611
lubelskie;opolski;47346;31;21664;13;t0612
lubelskie;parczewski;29462;12;13402;0;t0613
lubelskie;pu³awski;102468;109;48213;17;t0614
lubelskie;radzyñski;32113;52;15064;9;t0615
lubelskie;rycki;55512;41;26438;6;t0616
lubelskie;œwidnicki;48847;46;22936;11;t0617
lubelskie;tomaszowski;58410;55;26837;14;t0618
