wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;4;0;0;0;t00
dolnoœl¹skie;boles³awiecki;75273;34;33797;10;t0201
dolnoœl¹skie;dzier¿oniowski;71179;57;33162;19;t0202
dolnoœl¹skie;g³ogowski;67298;46;30305;3;t0203
dolnoœl¹skie;górowski;27222;0;12330;0;t0204
dolnoœl¹skie;jaworski;40151;29;18060;1;t0205
dolnoœl¹skie;jeleniogórski;52696;62;24225;2;t0206
dolnoœl¹skie;kamiennogórski;33028;17;15325;9;t0207
dolnoœl¹skie;k³odzki;132387;75;61619;7;t0208
dolnoœl¹skie;legnicki;44972;12;19993;6;t0209
dolnoœl¹skie;lubañski;30902;0;12972;0;t0210
dolnoœl¹skie;lubiñski;128400;5;60811;2;t0211
dolnoœl¹skie;lwówecki;43164;40;19929;20;t0212
dolnoœl¹skie;milicki;35392;56;16625;6;t0213
dolnoœl¹skie;oleœnicki;102463;98;46582;53;t0214
dolnoœl¹skie;o³awski;46286;26;21756;14;t0215
dolnoœl¹skie;polkowicki;42702;2;18653;0;t0216
dolnoœl¹skie;strzeliñski;38324;21;17789;8;t0217
dolnoœl¹skie;œredzki;22785;0;10694;0;t0218
dolnoœl¹skie;œwidnicki;105977;66;48287;19;t0219
dolnoœl¹skie;trzebnicki;61466;24;29395;5;t0220
dolnoœl¹skie;wa³brzyski;32301;0;15292;0;t0221
dolnoœl¹skie;wo³owski;43639;25;19372;0;t0222
dolnoœl¹skie;wroc³awski;105958;18;50194;5;t0223
dolnoœl¹skie;z¹bkowicki;57470;73;26588;18;t0224
dolnoœl¹skie;zgorzelecki;61754;92;27872;15;t0225
dolnoœl¹skie;z³otoryjski;36012;15;16156;10;t0226
dolnoœl¹skie;Jelenia Góra;93027;53;44326;8;t0261
dolnoœl¹skie;Legnica;93089;27;43380;5;t0262
dolnoœl¹skie;Wroc³aw;1082978;513;502900;27;t0264
dolnoœl¹skie;Wa³brzych;216054;115;99938;0;t0265
kujawsko-pomorskie;aleksandrowski;134961;127;63811;29;t0401
kujawsko-pomorskie;brodnicki;74662;83;34766;1;t0402
kujawsko-pomorskie;bydgoski;79277;7;37304;2;t0403
kujawsko-pomorskie;che³miñski;43266;37;20121;23;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;36940;6;17092;0;t0405
kujawsko-pomorskie;grudzi¹dzki;27273;7;12336;0;t0406
kujawsko-pomorskie;inowroc³awski;107673;62;50736;6;t0407
kujawsko-pomorskie;lipnowski;55294;28;25292;1;t0408
kujawsko-pomorskie;mogileñski;34290;21;15904;6;t0409
kujawsko-pomorskie;nakielski;87741;7;38919;1;t0410
kujawsko-pomorskie;radziejowski;45496;45;21214;1;t0411
kujawsko-pomorskie;rypiñski;37259;33;17407;29;t0412
kujawsko-pomorskie;sêpoleñski;49921;19;22805;11;t0413
kujawsko-pomorskie;œwiecki;81129;32;36990;6;t0414
kujawsko-pomorskie;toruñski;73795;55;32358;8;t0415
kujawsko-pomorskie;tucholski;40550;54;18514;21;t0416
kujawsko-pomorskie;w¹brzeski;29286;18;13273;16;t0417
kujawsko-pomorskie;w³oc³awski;67096;5;31869;0;t0418
kujawsko-pomorskie;¿niñski;54158;26;25624;1;t0419
kujawsko-pomorskie;Bydgoszcz;448384;221;207184;36;t0461
kujawsko-pomorskie;Grudzi¹dz;127647;122;58587;5;t0462
kujawsko-pomorskie;Toruñ;202140;133;92144;25;t0463
kujawsko-pomorskie;W³oc³awek;98281;54;43851;12;t0464
lubelskie;bialski;63604;36;28936;0;t0601
lubelskie;bi³gorajski;56022;40;26477;17;t0602
lubelskie;che³mski;37241;56;17476;7;t0603
lubelskie;hrubieszowski;46653;82;21262;10;t0604
lubelskie;janowski;32321;12;15018;2;t0605
lubelskie;krasnostawski;42677;45;19528;12;t0606
lubelskie;kraœnicki;68915;34;32454;11;t0607
lubelskie;lubartowski;57366;54;26788;8;t0608
lubelskie;lubelski;87348;45;39652;6;t0609
lubelskie;³êczyñski;41374;53;19679;6;t0610
lubelskie;³ukowski;58588;12;27356;6;t0611
lubelskie;opolski;46852;30;21550;13;t0612
lubelskie;parczewski;29100;79;13349;14;t0613
lubelskie;pu³awski;101575;37;48015;12;t0614
lubelskie;radzyñski;31857;61;15006;6;t0615
lubelskie;rycki;55220;32;26367;0;t0616
lubelskie;œwidnicki;48283;50;22822;15;t0617
lubelskie;tomaszowski;58071;0;26757;0;t0618
lubelskie;w³odawski;36018;83;16715;16;t0619
lubelskie;zamojski;50104;33;24286;28;t0620
lubelskie;Bia³a Podlaska;72889;49;34023;6;t0661
lubelskie;Che³m;65826;72;29789;5;t0662
lubelskie;Lublin;462698;404;209020;52;t0663
lubelskie;Zamoœæ;92878;67;43355;12;t0664
lubuskie;gorzowski;30397;0;14089;0;t0801
lubuskie;kroœnieñski;52420;26;24576;2;t0802
lubuskie;miêdzyrzecki;69183;4;31992;0;t0803
