wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;4;0;0;0;t00
dolnoœl¹skie;boles³awiecki;75216;160;33787;51;t0201
dolnoœl¹skie;dzier¿oniowski;71110;111;33138;36;t0202
dolnoœl¹skie;g³ogowski;67253;142;30302;31;t0203
dolnoœl¹skie;górowski;27199;0;12329;0;t0204
dolnoœl¹skie;jaworski;40121;63;18058;20;t0205
dolnoœl¹skie;jeleniogórski;52613;31;24218;0;t0206
dolnoœl¹skie;kamiennogórski;33008;81;15316;1;t0207
dolnoœl¹skie;k³odzki;132297;206;61611;37;t0208
dolnoœl¹skie;legnicki;44959;14;19986;0;t0209
dolnoœl¹skie;lubañski;30875;3;12963;0;t0210
dolnoœl¹skie;lubiñski;128356;234;60804;30;t0211
dolnoœl¹skie;lwówecki;43122;56;19909;4;t0212
dolnoœl¹skie;milicki;35335;2;16619;0;t0213
dolnoœl¹skie;oleœnicki;102355;10;46528;4;t0214
dolnoœl¹skie;o³awski;46258;82;21741;0;t0215
dolnoœl¹skie;polkowicki;42693;30;18649;9;t0216
dolnoœl¹skie;strzeliñski;38304;89;17781;8;t0217
dolnoœl¹skie;œredzki;22759;51;10682;4;t0218
dolnoœl¹skie;œwidnicki;105912;202;48267;65;t0219
dolnoœl¹skie;trzebnicki;61443;31;29390;5;t0220
dolnoœl¹skie;wa³brzyski;32301;57;15292;7;t0221
dolnoœl¹skie;wo³owski;43614;78;19372;3;t0222
dolnoœl¹skie;wroc³awski;105930;80;50186;9;t0223
dolnoœl¹skie;z¹bkowicki;57384;37;26569;3;t0224
dolnoœl¹skie;zgorzelecki;61661;88;27857;32;t0225
dolnoœl¹skie;z³otoryjski;35980;15;16146;1;t0226
dolnoœl¹skie;Jelenia Góra;92966;52;44318;14;t0261
dolnoœl¹skie;Legnica;93055;99;43375;11;t0262
dolnoœl¹skie;Wroc³aw;1082197;1303;502835;100;t0264
dolnoœl¹skie;Wa³brzych;215857;159;99933;25;t0265
kujawsko-pomorskie;aleksandrowski;134805;65;63774;10;t0401
kujawsko-pomorskie;brodnicki;74577;29;34765;6;t0402
kujawsko-pomorskie;bydgoski;79264;103;37302;11;t0403
kujawsko-pomorskie;che³miñski;43226;98;20098;31;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;36934;18;17092;6;t0405
kujawsko-pomorskie;grudzi¹dzki;27266;42;12328;6;t0406
kujawsko-pomorskie;inowroc³awski;107582;178;50725;21;t0407
kujawsko-pomorskie;lipnowski;55252;122;25284;17;t0408
kujawsko-pomorskie;mogileñski;34266;52;15898;12;t0409
kujawsko-pomorskie;nakielski;87722;48;38918;2;t0410
kujawsko-pomorskie;radziejowski;45433;6;21213;0;t0411
kujawsko-pomorskie;rypiñski;37217;79;17371;52;t0412
kujawsko-pomorskie;sêpoleñski;49878;67;22781;2;t0413
kujawsko-pomorskie;œwiecki;81095;141;36982;21;t0414
kujawsko-pomorskie;toruñski;73761;58;32351;13;t0415
kujawsko-pomorskie;tucholski;40460;4;18493;0;t0416
kujawsko-pomorskie;w¹brzeski;29268;27;13257;10;t0417
kujawsko-pomorskie;w³oc³awski;67079;45;31859;9;t0418
kujawsko-pomorskie;¿niñski;54113;54;25623;23;t0419
kujawsko-pomorskie;Bydgoszcz;448006;543;207125;54;t0461
kujawsko-pomorskie;Grudzi¹dz;127521;195;58579;18;t0462
kujawsko-pomorskie;Toruñ;201869;249;92104;45;t0463
kujawsko-pomorskie;W³oc³awek;98183;110;43837;8;t0464
lubelskie;bialski;63567;96;28936;12;t0601
lubelskie;bi³gorajski;55978;113;26459;8;t0602
lubelskie;che³mski;37185;55;17469;15;t0603
lubelskie;hrubieszowski;46552;98;21242;11;t0604
lubelskie;janowski;32307;49;15015;21;t0605
lubelskie;krasnostawski;42632;50;19516;3;t0606
lubelskie;kraœnicki;68836;102;32434;23;t0607
lubelskie;lubartowski;57296;79;26779;6;t0608
lubelskie;lubelski;87283;96;39644;2;t0609
lubelskie;³êczyñski;41322;25;19672;3;t0610
lubelskie;³ukowski;58563;96;27338;4;t0611
lubelskie;opolski;46816;77;21537;36;t0612
lubelskie;parczewski;29021;11;13335;0;t0613
lubelskie;pu³awski;101526;189;48002;31;t0614
lubelskie;radzyñski;31796;77;15000;42;t0615
lubelskie;rycki;55152;68;26360;5;t0616
lubelskie;œwidnicki;48226;100;22806;10;t0617
lubelskie;tomaszowski;58039;75;26741;36;t0618
lubelskie;w³odawski;35934;57;16699;14;t0619
lubelskie;zamojski;50071;54;24258;10;t0620
lubelskie;Bia³a Podlaska;72831;136;34017;13;t0661
lubelskie;Che³m;65723;51;29781;0;t0662
lubelskie;Lublin;462146;643;208955;42;t0663
lubelskie;Zamoœæ;92806;120;43341;29;t0664
lubuskie;gorzowski;30394;15;14088;0;t0801
lubuskie;kroœnieñski;52379;23;24574;8;t0802
lubuskie;miêdzyrzecki;69170;117;31991;20;t0803
lubuskie;nowosolski;95342;85;42282;5;t0804
lubuskie;s³ubicki;39998;29;18907;7;t0805
lubuskie;strzelecko-drezdenecki;52564;71;23331;23;t0806
lubuskie;sulêciñski;32420;79;14507;16;t0807
lubuskie;œwiebodziñski;56588;11;26106;0;t0808
lubuskie;zielonogórski;91251;35;42207;1;t0809
lubuskie;¿agañski;71195;67;32039;6;t0810
lubuskie;¿arski;103126;181;48019;29;t0811
lubuskie;wschowski;28242;1;13498;0;t0812
