wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;4;0;0;0;t00
dolnoœl¹skie;boles³awiecki;76196;0;33953;0;t0201
dolnoœl¹skie;dzier¿oniowski;72558;258;33418;33;t0202
dolnoœl¹skie;g³ogowski;68433;0;30699;0;t0203
dolnoœl¹skie;górowski;27544;57;12410;3;t0204
dolnoœl¹skie;jaworski;40740;23;18156;5;t0205
dolnoœl¹skie;jeleniogórski;53454;0;24348;0;t0206
dolnoœl¹skie;kamiennogórski;33472;0;15453;0;t0207
dolnoœl¹skie;k³odzki;134515;0;61992;0;t0208
dolnoœl¹skie;legnicki;45608;196;20082;25;t0209
dolnoœl¹skie;lubañski;31422;0;13061;0;t0210
dolnoœl¹skie;lubiñski;129915;64;61123;17;t0211
dolnoœl¹skie;lwówecki;43975;0;20119;0;t0212
dolnoœl¹skie;milicki;35888;0;16726;0;t0213
dolnoœl¹skie;oleœnicki;104198;337;47110;65;t0214
dolnoœl¹skie;o³awski;46794;0;21756;0;t0215
dolnoœl¹skie;polkowicki;43212;0;18796;0;t0216
dolnoœl¹skie;strzeliñski;38946;0;17918;0;t0217
dolnoœl¹skie;œredzki;23148;0;10794;0;t0218
dolnoœl¹skie;œwidnicki;108019;149;48817;50;t0219
dolnoœl¹skie;trzebnicki;62478;51;29671;21;t0220
dolnoœl¹skie;wa³brzyski;32961;10;15443;0;t0221
dolnoœl¹skie;wo³owski;44174;18;19455;0;t0222
dolnoœl¹skie;wroc³awski;107296;194;50506;21;t0223
dolnoœl¹skie;z¹bkowicki;58513;70;26740;8;t0224
dolnoœl¹skie;zgorzelecki;62935;11;28033;1;t0225
dolnoœl¹skie;z³otoryjski;36367;0;16225;0;t0226
dolnoœl¹skie;Jelenia Góra;94598;144;44596;21;t0261
dolnoœl¹skie;Legnica;94857;0;43725;0;t0262
dolnoœl¹skie;Wroc³aw;1098122;806;505043;81;t0264
dolnoœl¹skie;Wa³brzych;219131;220;100367;42;t0265
kujawsko-pomorskie;aleksandrowski;136187;10;64013;2;t0401
kujawsko-pomorskie;brodnicki;75990;0;35260;0;t0402
kujawsko-pomorskie;bydgoski;80268;51;37625;2;t0403
kujawsko-pomorskie;che³miñski;43986;0;20300;0;t0404
