"Date","liczba_przypadkow","stan_rekordu_na","zgony","wojewodztwo"
2020-03-10,1,2020-03-09,0,"wielkopolskie"
2020-03-10,0,2020-03-09,0,"zachodniopomorskie"
2020-03-10,6,2020-03-09,0,"Cały kraj"
2020-03-11,1,2020-03-10,0,"dolnośląskie"
2020-03-11,0,2020-03-10,0,"kujawsko-pomorskie"
2020-03-11,1,2020-03-10,0,"lubelskie"
2020-03-11,0,2020-03-10,0,"lubuskie"
2020-03-11,0,2020-03-10,0,"łódzkie"
2020-03-11,0,2020-03-10,0,"małopolskie"
2020-03-11,1,2020-03-10,0,"mazowieckie"
2020-03-11,0,2020-03-10,0,"opolskie"
2020-03-11,0,2020-03-10,0,"podkarpackie"
2020-03-11,0,2020-03-10,0,"podlaskie"
2020-03-11,0,2020-03-10,0,"pomorskie"
2020-03-11,2,2020-03-10,NA,"śląskie"
2020-03-11,0,2020-03-10,0,"świętokrzyskie"
2020-03-11,0,2020-03-10,0,"warmińsko-mazurskie"
2020-03-11,0,2020-03-10,0,"wielkopolskie"
2020-03-11,0,2020-03-10,0,"zachodniopomorskie"
2020-03-11,5,2020-03-10,0,"Cały kraj"
2020-03-12,0,2020-03-11,0,"dolnośląskie"
2020-03-12,0,2020-03-11,0,"kujawsko-pomorskie"
2020-03-12,1,2020-03-11,0,"lubelskie"
2020-03-12,0,2020-03-11,0,"lubuskie"
2020-03-12,1,2020-03-11,0,"łódzkie"
2020-03-12,0,2020-03-11,0,"małopolskie"
2020-03-12,1,2020-03-11,0,"mazowieckie"
2020-03-12,1,2020-03-11,0,"opolskie"
2020-03-12,1,2020-03-11,0,"podkarpackie"
2020-03-12,0,2020-03-11,0,"podlaskie"
2020-03-12,0,2020-03-11,0,"pomorskie"
2020-03-12,1,2020-03-11,NA,"śląskie"
2020-03-12,0,2020-03-11,0,"świętokrzyskie"
2020-03-12,2,2020-03-11,0,"warmińsko-mazurskie"
2020-03-12,1,2020-03-11,0,"wielkopolskie"
2020-03-12,0,2020-03-11,0,"zachodniopomorskie"
2020-03-12,9,2020-03-11,0,"Cały kraj"
2020-03-13,3,2020-03-12,0,"dolnośląskie"
2020-03-13,0,2020-03-12,0,"kujawsko-pomorskie"
2020-03-13,4,2020-03-12,0,"lubelskie"
2020-03-13,0,2020-03-12,0,"lubuskie"
2020-03-13,1,2020-03-12,0,"łódzkie"
2020-03-13,0,2020-03-12,0,"małopolskie"
2020-03-13,2,2020-03-12,0,"mazowieckie"
2020-03-13,1,2020-03-12,0,"opolskie"
2020-03-13,2,2020-03-12,0,"podkarpackie"
2020-03-13,0,2020-03-12,0,"podlaskie"
2020-03-13,0,2020-03-12,0,"pomorskie"
2020-03-13,3,2020-03-12,NA,"śląskie"
2020-03-13,0,2020-03-12,0,"świętokrzyskie"
2020-03-13,0,2020-03-12,0,"warmińsko-mazurskie"
2020-03-13,3,2020-03-12,1,"wielkopolskie"
2020-03-13,1,2020-03-12,0,"zachodniopomorskie"
2020-03-13,20,2020-03-12,1,"Cały kraj"
2020-03-14,1,2020-03-13,1,"dolnośląskie"
2020-03-14,0,2020-03-13,0,"kujawsko-pomorskie"
2020-03-14,1,2020-03-13,0,"lubelskie"
2020-03-14,0,2020-03-13,0,"lubuskie"
2020-03-14,3,2020-03-13,0,"łódzkie"
2020-03-14,0,2020-03-13,0,"małopolskie"
2020-03-14,5,2020-03-13,0,"mazowieckie"
2020-03-14,0,2020-03-13,0,"opolskie"
2020-03-14,3,2020-03-13,0,"podkarpackie"
2020-03-14,0,2020-03-13,0,"podlaskie"
2020-03-14,0,2020-03-13,0,"pomorskie"
2020-03-14,1,2020-03-13,NA,"śląskie"
2020-03-14,0,2020-03-13,0,"świętokrzyskie"
2020-03-14,0,2020-03-13,0,"warmińsko-mazurskie"
2020-03-14,1,2020-03-13,0,"wielkopolskie"
2020-03-14,2,2020-03-13,0,"zachodniopomorskie"
2020-03-14,17,2020-03-13,1,"Cały kraj"
2020-03-15,5,2020-03-14,0,"dolnośląskie"
