wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Cały kraj;Cały kraj;4858;1.27;96;40;56;308;195342;24994;5944;18464;586;t0000;2020-12-13
dolnośląskie;bolesławiecki;5;0.56;0;0;0;0;447;44;8;33;3;t0201;2020-12-13
dolnośląskie;dzierżoniowski;8;0.8;0;0;0;1;262;30;8;22;0;t0202;2020-12-13
dolnośląskie;głogowski;6;0.68;0;0;0;1;409;31;7;24;0;t0203;2020-12-13
dolnośląskie;górowski;0;0.0;0;0;0;0;152;11;0;11;0;t0204;2020-12-13
dolnośląskie;jaworski;0;0.0;0;0;0;0;168;8;0;8;0;t0205;2020-12-13
dolnośląskie;jeleniogórski;3;0.47;0;0;0;0;284;15;3;12;0;t0206;2020-12-13
dolnośląskie;kamiennogórski;1;0.23;0;0;0;0;168;5;1;3;1;t0207;2020-12-13
dolnośląskie;kłodzki;12;0.76;0;0;0;1;445;76;15;61;0;t0208;2020-12-13
dolnośląskie;legnicki;2;0.36;0;0;0;0;235;16;4;12;0;t0209;2020-12-13
dolnośląskie;lubański;1;0.18;0;0;0;0;348;4;1;3;0;t0210;2020-12-13
dolnośląskie;lubiński;5;0.47;0;0;0;0;453;52;8;39;5;t0211;2020-12-13
dolnośląskie;lwówecki;2;0.44;0;0;0;0;186;10;3;7;0;t0212;2020-12-13
dolnośląskie;milicki;0;0.0;0;0;0;1;137;12;0;11;1;t0213;2020-12-13
dolnośląskie;oleśnicki;24;2.24;0;0;0;3;693;87;25;62;0;t0214;2020-12-13
dolnośląskie;oławski;10;1.3;0;0;0;0;562;63;15;47;1;t0215;2020-12-13
dolnośląskie;polkowicki;1;0.16;0;0;0;0;364;16;1;14;1;t0216;2020-12-13
dolnośląskie;strzeliński;3;0.69;0;0;0;0;240;24;5;19;0;t0217;2020-12-13
dolnośląskie;średzki;1;0.18;0;0;0;0;302;33;2;30;1;t0218;2020-12-13
dolnośląskie;świdnicki;6;0.38;0;0;0;1;918;48;7;40;1;t0219;2020-12-13
dolnośląskie;trzebnicki;10;1.17;0;0;0;1;484;45;10;34;1;t0220;2020-12-13
dolnośląskie;wałbrzyski;1;0.18;0;0;0;0;389;14;1;13;0;t0221;2020-12-13
dolnośląskie;wołowski;12;2.57;0;0;0;0;428;45;12;33;0;t0222;2020-12-13
dolnośląskie;wrocławski;24;1.56;0;0;0;3;869;131;26;98;7;t0223;2020-12-13
dolnośląskie;ząbkowicki;4;0.62;0;0;0;0;225;29;5;23;1;t0224;2020-12-13
dolnośląskie;zgorzelecki;2;0.23;0;0;0;0;546;20;2;18;0;t0225;2020-12-13
dolnośląskie;złotoryjski;0;0.0;0;0;0;0;437;5;0;5;0;t0226;2020-12-13
dolnośląskie;Jelenia Góra;9;1.14;0;0;0;0;325;19;9;10;0;t0261;2020-12-13
dolnośląskie;Legnica;6;0.61;0;0;0;1;516;42;8;31;3;t0262;2020-12-13
dolnośląskie;Wrocław;97;1.51;0;0;0;5;2816;757;108;628;21;t0264;2020-12-13
dolnośląskie;Wałbrzych;11;0.99;0;0;0;1;430;58;12;44;2;t0265;2020-12-13
kujawsko-pomorskie;aleksandrowski;11;2.0;2;0;2;0;243;23;11;11;1;t0401;2020-12-13
kujawsko-pomorskie;brodnicki;12;1.52;0;0;0;1;550;46;15;30;1;t0402;2020-12-13
kujawsko-pomorskie;bydgoski;47;3.93;0;0;0;6;1119;114;47;65;2;t0403;2020-12-13
kujawsko-pomorskie;chełmiński;8;1.54;0;0;0;3;423;27;10;16;1;t0404;2020-12-13
kujawsko-pomorskie;golubsko-dobrzyński;10;2.22;0;0;0;0;250;21;10;11;0;t0405;2020-12-13
kujawsko-pomorskie;grudziądzki;12;2.98;0;0;0;0;433;27;12;14;1;t0406;2020-12-13
kujawsko-pomorskie;inowrocławski;28;1.76;0;0;0;2;981;87;31;54;2;t0407;2020-12-13
kujawsko-pomorskie;lipnowski;10;1.52;0;0;0;0;436;42;14;27;1;t0408;2020-12-13
kujawsko-pomorskie;mogileński;2;0.44;0;0;0;0;266;22;2;20;0;t0409;2020-12-13
kujawsko-pomorskie;nakielski;15;1.74;0;0;0;1;748;43;16;25;2;t0410;2020-12-13
kujawsko-pomorskie;radziejowski;9;2.24;0;0;0;2;318;24;11;13;0;t0411;2020-12-13
kujawsko-pomorskie;rypiński;2;0.46;5;1;4;0;176;26;9;14;3;t0412;2020-12-13
kujawsko-pomorskie;sępoleński;19;4.64;0;0;0;0;291;48;20;28;0;t0413;2020-12-13
kujawsko-pomorskie;świecki;18;1.82;0;0;0;0;1003;54;20;33;1;t0414;2020-12-13
kujawsko-pomorskie;toruński;72;6.61;1;0;1;1;1103;144;73;69;2;t0415;2020-12-13
kujawsko-pomorskie;tucholski;10;2.07;0;0;0;0;441;37;10;26;1;t0416;2020-12-13
kujawsko-pomorskie;wąbrzeski;0;0.0;0;0;0;1;245;5;0;5;0;t0417;2020-12-13
kujawsko-pomorskie;włocławski;10;1.16;0;0;0;0;669;50;14;34;2;t0418;2020-12-13
kujawsko-pomorskie;żniński;13;1.86;1;0;1;0;492;41;16;23;2;t0419;2020-12-13
kujawsko-pomorskie;Bydgoszcz;138;3.98;0;0;0;25;2422;432;147;279;6;t0461;2020-12-13
kujawsko-pomorskie;Grudziądz;30;3.19;0;0;0;0;980;105;32;67;6;t0462;2020-12-13
kujawsko-pomorskie;Toruń;52;2.59;0;0;0;13;1385;133;55;78;0;t0463;2020-12-13
kujawsko-pomorskie;Włocławek;17;1.55;0;0;0;2;654;69;19;48;2;t0464;2020-12-13
lubelskie;bialski;8;0.72;0;0;0;0;495;18;8;10;0;t0601;2020-12-13
lubelskie;biłgorajski;1;0.1;0;0;0;0;231;24;1;23;0;t0602;2020-12-13
lubelskie;chełmski;10;1.29;0;0;0;0;533;43;11;30;2;t0603;2020-12-13
lubelskie;hrubieszowski;2;0.32;0;0;0;0;290;45;3;40;2;t0604;2020-12-13
lubelskie;janowski;6;1.32;0;0;0;0;124;18;6;11;1;t0605;2020-12-13
lubelskie;krasnostawski;13;2.07;0;0;0;0;492;67;13;52;2;t0606;2020-12-13
lubelskie;kraśnicki;7;0.74;1;0;1;0;354;48;14;33;1;t0607;2020-12-13
lubelskie;lubartowski;4;0.45;0;0;0;4;467;28;5;22;1;t0608;2020-12-13
lubelskie;lubelski;10;0.64;4;0;4;2;867;68;16;52;0;t0609;2020-12-13
lubelskie;łęczyński;4;0.7;0;0;0;1;328;24;5;19;0;t0610;2020-12-13
lubelskie;łukowski;0;0.0;0;0;0;0;295;17;0;17;0;t0611;2020-12-13
lubelskie;opolski;2;0.34;0;0;0;0;292;23;2;20;1;t0612;2020-12-13
lubelskie;parczewski;0;0.0;0;0;0;0;158;10;0;10;0;t0613;2020-12-13
lubelskie;puławski;20;1.77;0;0;0;1;547;66;21;45;0;t0614;2020-12-13
lubelskie;radzyński;1;0.17;0;0;0;0;157;7;1;6;0;t0615;2020-12-13
lubelskie;rycki;1;0.18;0;0;0;4;261;17;1;15;1;t0616;2020-12-13
lubelskie;świdnicki;9;1.25;0;0;0;0;597;55;11;43;1;t0617;2020-12-13
lubelskie;tomaszowski;6;0.73;0;0;0;0;294;32;7;22;3;t0618;2020-12-13
lubelskie;włodawski;3;0.79;0;0;0;2;216;10;3;6;1;t0619;2020-12-13
lubelskie;zamojski;1;0.09;0;0;0;0;274;33;3;29;1;t0620;2020-12-13
lubelskie;Biała Podlaska;3;0.52;0;0;0;0;340;15;4;11;0;t0661;2020-12-13
lubelskie;Chełm;9;1.46;0;0;0;1;506;38;10;27;1;t0662;2020-12-13
lubelskie;Lublin;41;1.21;6;0;6;3;1604;225;45;173;7;t0663;2020-12-13
lubelskie;Zamość;16;2.53;0;0;0;0;146;40;16;22;2;t0664;2020-12-13
lubuskie;gorzowski;9;1.25;2;1;1;0;538;48;10;35;3;t0801;2020-12-13
lubuskie;krośnieński;33;6.03;0;0;0;5;397;73;36;32;5;t0802;2020-12-13
lubuskie;międzyrzecki;9;1.57;0;0;0;0;364;54;15;38;1;t0803;2020-12-13
lubuskie;nowosolski;11;1.28;0;0;0;0;336;52;17;35;0;t0804;2020-12-13
lubuskie;słubicki;9;1.92;0;0;0;0;598;31;14;14;3;t0805;2020-12-13
