wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;6930;1.81;360;90;270;11982;2522;135235;52056;7619;43676;761;t0000;2021-02-09
dolnoœl¹skie;boles³awiecki;9;1.00;0;0;0;13;4;236;94;9;83;2;t0201;2021-02-09
dolnoœl¹skie;dzier¿oniowski;1;0.10;0;0;0;19;3;142;45;1;43;1;t0202;2021-02-09
dolnoœl¹skie;g³ogowski;4;0.45;0;0;0;7;1;155;127;4;123;0;t0203;2021-02-09
dolnoœl¹skie;górowski;2;0.58;1;0;1;10;0;43;30;2;28;0;t0204;2021-02-09
dolnoœl¹skie;jaworski;3;0.60;0;0;0;11;1;93;47;4;43;0;t0205;2021-02-09
dolnoœl¹skie;jeleniogórski;2;0.32;0;0;0;10;3;153;39;2;35;2;t0206;2021-02-09
dolnoœl¹skie;kamiennogórski;2;0.46;1;1;0;10;0;126;34;2;32;0;t0207;2021-02-09
dolnoœl¹skie;k³odzki;37;2.35;1;0;1;72;2;675;203;42;156;5;t0208;2021-02-09
dolnoœl¹skie;legnicki;3;0.54;1;1;0;11;6;142;64;3;60;1;t0209;2021-02-09
dolnoœl¹skie;lubañski;3;0.55;0;0;0;18;1;140;32;5;26;1;t0210;2021-02-09
dolnoœl¹skie;lubiñski;6;0.57;1;0;1;13;2;119;130;6;122;2;t0211;2021-02-09
dolnoœl¹skie;lwówecki;3;0.66;1;1;0;18;1;79;27;3;24;0;t0212;2021-02-09
dolnoœl¹skie;milicki;4;1.08;0;0;0;1;0;58;40;4;35;1;t0213;2021-02-09
dolnoœl¹skie;oleœnicki;4;0.37;0;0;0;21;2;281;71;7;64;0;t0214;2021-02-09
dolnoœl¹skie;o³awski;6;0.78;0;0;0;21;3;287;71;7;64;0;t0215;2021-02-09
dolnoœl¹skie;polkowicki;3;0.48;0;0;0;9;4;133;63;4;58;1;t0216;2021-02-09
dolnoœl¹skie;strzeliñski;1;0.23;1;0;1;6;4;53;42;1;40;1;t0217;2021-02-09
dolnoœl¹skie;œredzki;7;1.26;0;0;0;19;4;147;87;7;80;0;t0218;2021-02-09
dolnoœl¹skie;œwidnicki;10;0.64;1;0;1;22;1;468;158;11;147;0;t0219;2021-02-09
dolnoœl¹skie;trzebnicki;13;1.52;0;0;0;12;2;249;73;16;57;0;t0220;2021-02-09
dolnoœl¹skie;wa³brzyski;4;0.72;0;0;0;19;5;162;38;4;34;0;t0221;2021-02-09
dolnoœl¹skie;wo³owski;2;0.43;0;0;0;11;2;82;25;2;23;0;t0222;2021-02-09
dolnoœl¹skie;wroc³awski;29;1.88;0;0;0;74;11;621;163;30;132;1;t0223;2021-02-09
dolnoœl¹skie;z¹bkowicki;0;0;0;0;0;13;3;101;36;0;36;0;t0224;2021-02-09
dolnoœl¹skie;zgorzelecki;3;0.34;2;2;0;17;1;234;72;3;69;0;t0225;2021-02-09
dolnoœl¹skie;z³otoryjski;7;1.62;0;0;0;3;2;75;24;8;16;0;t0226;2021-02-09
dolnoœl¹skie;Jelenia Góra;3;0.38;1;0;1;12;2;198;49;6;43;0;t0261;2021-02-09
dolnoœl¹skie;Legnica;10;1.01;0;0;0;26;4;319;181;11;168;2;t0262;2021-02-09
dolnoœl¹skie;Wroc³aw;88;1.37;1;1;0;197;35;2109;873;109;751;13;t0264;2021-02-09
