wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Cały kraj;Cały kraj;8315;2.17;411;94;317;30246;231665;48586;10483;36901;1202;t0000;2020-12-07
dolnośląskie;bolesławiecki;50;5.55;0;0;0;105;635;166;55;105;6;t0201;2020-12-07
dolnośląskie;dzierżoniowski;6;0.6;4;0;4;37;353;52;8;44;0;t0202;2020-12-07
dolnośląskie;głogowski;16;1.8;1;0;1;58;609;118;22;94;2;t0203;2020-12-07
dolnośląskie;górowski;14;4.03;0;0;0;38;188;29;15;13;1;t0204;2020-12-07
dolnośląskie;jaworski;16;3.2;2;2;0;55;253;52;20;31;1;t0205;2020-12-07
dolnośląskie;jeleniogórski;8;1.26;2;1;1;32;302;72;9;63;0;t0206;2020-12-07
dolnośląskie;kamiennogórski;8;1.86;0;0;0;24;180;36;9;27;0;t0207;2020-12-07
dolnośląskie;kłodzki;13;0.83;9;0;9;95;681;96;22;73;1;t0208;2020-12-07
dolnośląskie;legnicki;12;2.17;0;0;0;35;291;50;14;36;0;t0209;2020-12-07
dolnośląskie;lubański;24;4.44;1;1;0;43;420;52;29;23;0;t0210;2020-12-07
dolnośląskie;lubiński;25;2.36;0;0;0;87;525;93;28;63;2;t0211;2020-12-07
dolnośląskie;lwówecki;17;3.71;0;0;0;43;212;67;19;48;0;t0212;2020-12-07
dolnośląskie;milicki;4;1.08;0;0;0;31;171;23;5;18;0;t0213;2020-12-07
dolnośląskie;oleśnicki;14;1.3;1;0;1;110;867;91;18;72;1;t0214;2020-12-07
dolnośląskie;oławski;4;0.52;3;0;3;55;778;60;8;48;4;t0215;2020-12-07
dolnośląskie;polkowicki;10;1.59;0;0;0;37;472;51;12;39;0;t0216;2020-12-07
dolnośląskie;strzeliński;8;1.84;1;1;0;46;282;44;14;30;0;t0217;2020-12-07
dolnośląskie;średzki;12;2.17;1;0;1;36;385;47;14;32;1;t0218;2020-12-07
dolnośląskie;świdnicki;28;1.79;2;0;2;110;1182;135;29;105;1;t0219;2020-12-07
dolnośląskie;trzebnicki;9;1.05;1;0;1;64;622;67;11;56;0;t0220;2020-12-07
dolnośląskie;wałbrzyski;15;2.71;0;0;0;56;347;91;19;72;0;t0221;2020-12-07
dolnośląskie;wołowski;4;0.86;1;0;1;30;390;35;8;27;0;t0222;2020-12-07
dolnośląskie;wrocławski;21;1.36;0;0;0;141;1079;144;33;110;1;t0223;2020-12-07
dolnośląskie;ząbkowicki;2;0.31;1;1;0;28;284;48;5;42;1;t0224;2020-12-07
dolnośląskie;zgorzelecki;31;3.49;0;0;0;52;604;85;32;50;3;t0225;2020-12-07
dolnośląskie;złotoryjski;3;0.69;1;0;1;36;470;31;4;27;0;t0226;2020-12-07
dolnośląskie;Jelenia Góra;7;0.89;1;1;0;47;476;85;10;74;1;t0261;2020-12-07
dolnośląskie;Legnica;6;0.61;1;0;1;117;583;90;8;80;2;t0262;2020-12-07
dolnośląskie;Wrocław;143;2.22;3;0;3;524;3437;853;190;636;27;t0264;2020-12-07
dolnośląskie;Wałbrzych;40;3.62;1;0;1;81;552;235;44;191;0;t0265;2020-12-07
kujawsko-pomorskie;aleksandrowski;18;3.27;0;0;0;41;308;118;28;88;2;t0401;2020-12-07
kujawsko-pomorskie;brodnicki;15;1.9;0;0;0;77;605;83;18;64;1;t0402;2020-12-07
kujawsko-pomorskie;bydgoski;61;5.11;2;0;2;204;1037;283;69;207;7;t0403;2020-12-07
kujawsko-pomorskie;chełmiński;28;5.4;0;0;0;66;477;113;31;81;1;t0404;2020-12-07
kujawsko-pomorskie;golubsko-dobrzyński;6;1.33;0;0;0;53;288;74;19;53;2;t0405;2020-12-07
kujawsko-pomorskie;grudziądzki;8;1.99;1;0;1;46;427;72;11;57;4;t0406;2020-12-07
kujawsko-pomorskie;inowrocławski;28;1.76;3;3;0;208;1169;194;35;146;13;t0407;2020-12-07
kujawsko-pomorskie;lipnowski;20;3.05;0;0;0;59;547;99;21;76;2;t0408;2020-12-07
kujawsko-pomorskie;mogileński;14;3.08;0;0;0;35;305;45;17;27;1;t0409;2020-12-07
kujawsko-pomorskie;nakielski;40;4.64;2;2;0;131;810;145;41;104;0;t0410;2020-12-07
kujawsko-pomorskie;radziejowski;9;2.24;1;1;0;58;351;56;13;43;0;t0411;2020-12-07
kujawsko-pomorskie;rypiński;3;0.69;0;0;0;24;236;76;9;65;2;t0412;2020-12-07
kujawsko-pomorskie;sępoleński;14;3.42;0;0;0;35;372;78;20;56;2;t0413;2020-12-07
kujawsko-pomorskie;świecki;11;1.11;0;0;0;132;1088;179;17;158;4;t0414;2020-12-07
kujawsko-pomorskie;toruński;36;3.3;0;0;0;155;1331;276;49;224;3;t0415;2020-12-07
kujawsko-pomorskie;tucholski;9;1.86;0;0;0;58;535;57;11;46;0;t0416;2020-12-07
kujawsko-pomorskie;wąbrzeski;4;1.17;0;0;0;35;347;44;5;38;1;t0417;2020-12-07
kujawsko-pomorskie;włocławski;20;2.33;1;1;0;69;609;116;25;90;1;t0418;2020-12-07
kujawsko-pomorskie;żniński;39;5.57;0;0;0;76;593;143;46;94;3;t0419;2020-12-07
kujawsko-pomorskie;Bydgoszcz;193;5.57;8;0;8;487;2770;1059;221;817;21;t0461;2020-12-07
kujawsko-pomorskie;Grudziądz;37;3.93;1;0;1;141;819;299;55;231;13;t0462;2020-12-07
kujawsko-pomorskie;Toruń;62;3.08;0;0;0;267;1632;748;92;653;3;t0463;2020-12-07
kujawsko-pomorskie;Włocławek;21;1.92;0;0;0;123;707;141;24;113;4;t0464;2020-12-07
lubelskie;bialski;10;0.91;2;1;1;75;667;68;12;56;0;t0601;2020-12-07
lubelskie;biłgorajski;5;0.5;0;0;0;47;325;98;7;83;8;t0602;2020-12-07
lubelskie;chełmski;3;0.39;0;0;0;69;529;35;3;31;1;t0603;2020-12-07
lubelskie;hrubieszowski;2;0.32;1;1;0;36;353;93;4;85;4;t0604;2020-12-07
lubelskie;janowski;3;0.66;0;0;0;8;130;34;3;30;1;t0605;2020-12-07
lubelskie;krasnostawski;4;0.64;0;0;0;69;579;39;4;34;1;t0606;2020-12-07
lubelskie;kraśnicki;31;3.26;2;0;2;66;478;96;33;62;1;t0607;2020-12-07
lubelskie;lubartowski;10;1.13;0;0;0;77;584;63;15;47;1;t0608;2020-12-07
lubelskie;lubelski;46;2.95;0;0;0;138;1184;208;54;151;3;t0609;2020-12-07
lubelskie;łęczyński;20;3.49;2;0;2;58;325;59;23;35;1;t0610;2020-12-07
lubelskie;łukowski;4;0.38;1;0;1;48;406;76;6;70;0;t0611;2020-12-07
lubelskie;opolski;13;2.21;0;0;0;41;326;56;13;43;0;t0612;2020-12-07
lubelskie;parczewski;6;1.73;0;0;0;13;211;44;7;36;1;t0613;2020-12-07
lubelskie;puławski;45;3.99;2;0;2;101;707;164;54;109;1;t0614;2020-12-07
lubelskie;radzyński;11;1.88;1;0;1;20;188;75;16;59;0;t0615;2020-12-07
lubelskie;rycki;9;1.61;0;0;0;34;333;56;10;44;2;t0616;2020-12-07
lubelskie;świdnicki;34;4.74;0;0;0;83;700;161;46;115;0;t0617;2020-12-07
