wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;14857;3.87;245;56;189;25524;12356;243583;62428;15818;45639;971;t0000;2021-03-05
dolnoœl¹skie;boles³awiecki;16;1.78;1;0;1;36;7;174;108;19;88;1;t0201;2021-03-05
dolnoœl¹skie;dzier¿oniowski;23;2.29;0;0;0;38;33;296;124;25;99;0;t0202;2021-03-05
dolnoœl¹skie;g³ogowski;30;3.38;1;0;1;46;9;338;131;30;101;0;t0203;2021-03-05
dolnoœl¹skie;górowski;4;1.15;0;0;0;11;2;59;31;4;27;0;t0204;2021-03-05
dolnoœl¹skie;jaworski;7;1.40;1;1;0;18;13;123;47;7;39;1;t0205;2021-03-05
dolnoœl¹skie;jeleniogórski;14;2.21;0;0;0;23;6;215;82;15;67;0;t0206;2021-03-05
dolnoœl¹skie;kamiennogórski;51;11.85;3;3;0;62;31;505;116;55;60;1;t0207;2021-03-05
dolnoœl¹skie;k³odzki;117;7.44;4;0;4;184;152;1672;285;128;155;2;t0208;2021-03-05
dolnoœl¹skie;legnicki;20;3.62;0;0;0;26;12;240;85;20;64;1;t0209;2021-03-05
dolnoœl¹skie;lubañski;7;1.29;0;0;0;17;19;171;41;9;31;1;t0210;2021-03-05
dolnoœl¹skie;lubiñski;24;2.26;1;0;1;35;15;300;121;26;95;0;t0211;2021-03-05
dolnoœl¹skie;lwówecki;8;1.75;0;0;0;14;6;49;61;9;51;1;t0212;2021-03-05
dolnoœl¹skie;milicki;13;3.52;0;0;0;22;5;136;38;14;24;0;t0213;2021-03-05
dolnoœl¹skie;oleœnicki;41;3.82;0;0;0;43;32;492;183;43;139;1;t0214;2021-03-05
dolnoœl¹skie;o³awski;25;3.25;0;0;0;42;14;387;125;26;98;1;t0215;2021-03-05
dolnoœl¹skie;polkowicki;6;0.95;0;0;0;20;5;247;72;6;64;2;t0216;2021-03-05
dolnoœl¹skie;strzeliñski;10;2.30;0;0;0;40;9;321;65;10;55;0;t0217;2021-03-05
dolnoœl¹skie;œredzki;27;4.88;0;0;0;50;11;355;65;27;38;0;t0218;2021-03-05
dolnoœl¹skie;œwidnicki;83;5.30;0;0;0;76;57;830;268;93;173;2;t0219;2021-03-05
dolnoœl¹skie;trzebnicki;39;4.57;0;0;0;78;29;538;132;41;91;0;t0220;2021-03-05
dolnoœl¹skie;wa³brzyski;52;9.38;0;0;0;42;25;418;116;56;60;0;t0221;2021-03-05
dolnoœl¹skie;wo³owski;6;1.28;0;0;0;10;14;161;49;6;42;1;t0222;2021-03-05
dolnoœl¹skie;wroc³awski;105;6.82;2;2;0;154;78;1058;328;107;219;2;t0223;2021-03-05
dolnoœl¹skie;z¹bkowicki;14;2.17;0;0;0;47;20;218;74;14;59;1;t0224;2021-03-05
dolnoœl¹skie;zgorzelecki;13;1.46;0;0;0;30;25;322;77;16;59;2;t0225;2021-03-05
dolnoœl¹skie;z³otoryjski;3;0.69;0;0;0;15;6;89;34;5;28;1;t0226;2021-03-05
dolnoœl¹skie;Jelenia Góra;27;3.43;0;0;0;46;21;377;98;29;69;0;t0261;2021-03-05
dolnoœl¹skie;Legnica;28;2.83;0;0;0;40;19;429;144;28;113;3;t0262;2021-03-05
dolnoœl¹skie;Wroc³aw;370;5.75;2;2;0;540;237;3342;1414;389;1011;14;t0264;2021-03-05
dolnoœl¹skie;Wa³brzych;50;4.52;0;0;0;56;23;464;202;58;144;0;t0265;2021-03-05
kujawsko-pomorskie;aleksandrowski;18;3.27;0;0;0;22;12;247;69;18;51;0;t0401;2021-03-05
kujawsko-pomorskie;brodnicki;19;2.40;0;0;0;30;17;376;104;19;85;0;t0402;2021-03-05
kujawsko-pomorskie;bydgoski;52;4.35;0;0;0;139;58;927;217;64;150;3;t0403;2021-03-05
kujawsko-pomorskie;che³miñski;16;3.09;0;0;0;38;35;439;130;31;98;1;t0404;2021-03-05
kujawsko-pomorskie;golubsko-dobrzyñski;30;6.67;1;0;1;43;40;598;73;31;42;0;t0405;2021-03-05
kujawsko-pomorskie;grudzi¹dzki;20;4.97;0;0;0;17;10;249;71;20;51;0;t0406;2021-03-05
kujawsko-pomorskie;inowroc³awski;63;3.95;4;0;4;149;82;1189;268;79;177;12;t0407;2021-03-05
kujawsko-pomorskie;lipnowski;11;1.68;0;0;0;16;5;303;81;11;67;3;t0408;2021-03-05
kujawsko-pomorskie;mogileñski;9;1.98;0;0;0;19;18;276;49;10;37;2;t0409;2021-03-05
