wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
kujawsko-pomorskie;Bydgoszcz;179;5.16;7;3;4;489;2525;717;193;506;18;t0461;2020-12-14
kujawsko-pomorskie;Grudziądz;49;5.21;1;0;1;142;973;354;70;275;9;t0462;2020-12-14
kujawsko-pomorskie;Toruń;85;4.23;6;2;4;268;1459;434;95;334;5;t0463;2020-12-14
kujawsko-pomorskie;Włocławek;32;2.93;2;0;2;93;655;169;45;120;4;t0464;2020-12-14
lubelskie;bialski;21;1.9;0;0;0;65;532;101;24;74;3;t0601;2020-12-14
lubelskie;biłgorajski;10;0.99;1;0;1;32;221;70;10;60;0;t0602;2020-12-14
lubelskie;chełmski;5;0.64;0;0;0;43;528;40;6;32;2;t0603;2020-12-14
lubelskie;hrubieszowski;12;1.92;1;0;1;27;254;50;13;35;2;t0604;2020-12-14
lubelskie;janowski;4;0.88;0;0;0;8;125;47;7;39;1;t0605;2020-12-14
lubelskie;krasnostawski;4;0.64;0;0;0;52;461;51;6;42;3;t0606;2020-12-14
lubelskie;kraśnicki;26;2.73;1;1;0;66;355;108;31;77;0;t0607;2020-12-14
lubelskie;lubartowski;12;1.36;0;0;0;55;440;58;13;44;1;t0608;2020-12-14
lubelskie;lubelski;65;4.17;0;0;0;133;870;213;67;144;2;t0609;2020-12-14
lubelskie;łęczyński;10;1.75;1;0;1;39;329;65;11;54;0;t0610;2020-12-14
lubelskie;łukowski;6;0.56;0;0;0;37;278;67;6;61;0;t0611;2020-12-14
lubelskie;opolski;5;0.85;1;0;1;36;276;35;5;30;0;t0612;2020-12-14
lubelskie;parczewski;3;0.87;0;0;0;17;162;30;4;26;0;t0613;2020-12-14
lubelskie;puławski;17;1.51;0;0;0;105;571;116;22;93;1;t0614;2020-12-14
lubelskie;radzyński;10;1.71;2;1;1;11;155;80;14;66;0;t0615;2020-12-14
lubelskie;rycki;5;0.9;0;0;0;27;234;36;5;31;0;t0616;2020-12-14
lubelskie;świdnicki;33;4.6;1;0;1;67;585;98;36;62;0;t0617;2020-12-14
lubelskie;tomaszowski;15;1.82;3;0;3;26;286;82;18;64;0;t0618;2020-12-14
lubelskie;włodawski;14;3.66;0;0;0;22;209;49;14;33;2;t0619;2020-12-14
lubelskie;zamojski;7;0.66;0;0;0;40;258;59;12;45;2;t0620;2020-12-14
lubelskie;Biała Podlaska;3;0.52;0;0;0;31;302;60;4;56;0;t0661;2020-12-14
lubelskie;Chełm;12;1.95;0;0;0;92;522;70;13;55;2;t0662;2020-12-14
lubelskie;Lublin;128;3.77;3;0;3;325;1669;518;134;380;4;t0663;2020-12-14
lubelskie;Zamość;7;1.11;0;0;0;53;149;60;9;50;1;t0664;2020-12-14
lubuskie;gorzowski;5;0.69;0;0;0;64;453;72;9;62;1;t0801;2020-12-14
lubuskie;krośnieński;8;1.46;0;0;0;56;445;56;9;45;2;t0802;2020-12-14
lubuskie;międzyrzecki;10;1.74;1;1;0;53;357;85;17;67;1;t0803;2020-12-14
lubuskie;nowosolski;6;0.7;4;4;0;38;305;94;17;77;0;t0804;2020-12-14
lubuskie;słubicki;6;1.28;3;0;3;50;567;57;9;47;1;t0805;2020-12-14
lubuskie;strzelecko-drezdenecki;5;1.02;0;0;0;33;243;77;27;49;1;t0806;2020-12-14
lubuskie;sulęciński;6;1.71;0;0;0;41;352;91;25;66;0;t0807;2020-12-14
lubuskie;świebodziński;3;0.54;4;0;4;60;390;88;23;65;0;t0808;2020-12-14
lubuskie;zielonogórski;12;1.59;0;0;0;48;404;90;27;62;1;t0809;2020-12-14
lubuskie;żagański;16;2.03;0;0;0;53;397;74;17;56;1;t0810;2020-12-14
lubuskie;żarski;27;2.82;1;0;1;65;486;123;30;89;4;t0811;2020-12-14
lubuskie;wschowski;2;0.52;0;0;0;16;234;34;2;31;1;t0812;2020-12-14
lubuskie;Gorzów Wielkopolski;19;1.54;0;0;0;116;839;179;26;153;0;t0861;2020-12-14
lubuskie;Zielona Góra;24;1.7;4;4;0;138;947;193;28;160;5;t0862;2020-12-14
łódzkie;bełchatowski;14;1.24;0;0;0;39;388;94;18;75;1;t1001;2020-12-14
łódzkie;kutnowski;12;1.25;1;1;0;73;530;114;17;96;1;t1002;2020-12-14
łódzkie;łaski;5;1.0;0;0;0;26;179;41;6;33;2;t1003;2020-12-14
łódzkie;łęczycki;8;1.61;0;0;0;53;379;71;14;56;1;t1004;2020-12-14
łódzkie;łowicki;22;2.83;0;0;0;49;332;103;23;78;2;t1005;2020-12-14
łódzkie;łódzki wschodni;14;1.93;2;0;2;48;433;81;15;65;1;t1006;2020-12-14
łódzkie;opoczyński;7;0.92;0;0;0;17;113;67;9;54;4;t1007;2020-12-14
łódzkie;pabianicki;25;2.1;0;0;0;110;650;130;27;100;3;t1008;2020-12-14
łódzkie;pajęczański;2;0.39;0;0;0;20;178;20;3;17;0;t1009;2020-12-14
łódzkie;piotrkowski;8;0.88;1;1;0;44;284;77;9;67;1;t1010;2020-12-14
łódzkie;poddębicki;9;2.19;0;0;0;38;319;74;19;53;2;t1011;2020-12-14
łódzkie;radomszczański;7;0.62;1;0;1;50;386;52;8;44;0;t1012;2020-12-14
łódzkie;rawski;3;0.62;0;0;0;24;273;44;3;41;0;t1013;2020-12-14
łódzkie;sieradzki;12;1.02;4;4;0;42;538;134;14;117;3;t1014;2020-12-14
łódzkie;skierniewicki;3;0.79;0;0;0;15;262;32;3;28;1;t1015;2020-12-14
łódzkie;tomaszowski;12;1.03;1;0;1;43;512;108;15;88;5;t1016;2020-12-14
łódzkie;wieluński;3;0.39;0;0;0;34;326;44;4;38;2;t1017;2020-12-14
łódzkie;wieruszowski;0;0.0;0;0;0;24;165;20;0;20;0;t1018;2020-12-14
łódzkie;zduńskowolski;5;0.75;1;1;0;42;343;62;7;53;2;t1019;2020-12-14
łódzkie;zgierski;40;2.41;0;0;0;158;1075;241;45;191;5;t1020;2020-12-14
łódzkie;brzeziński;1;0.32;3;3;0;18;107;25;2;23;0;t1021;2020-12-14
łódzkie;Łódź;217;3.2;11;0;11;715;3912;1405;273;1075;57;t1061;2020-12-14
łódzkie;Piotrków Trybunalski;9;1.24;1;1;0;56;262;93;14;75;4;t1062;2020-12-14
łódzkie;Skierniewice;13;2.71;0;0;0;49;224;63;16;45;2;t1063;2020-12-14
małopolskie;bocheński;6;0.56;2;2;0;33;286;66;7;59;0;t1201;2020-12-14
małopolskie;brzeski;7;0.75;0;0;0;21;171;75;9;66;0;t1202;2020-12-14
małopolskie;chrzanowski;20;1.61;2;2;0;51;318;97;20;77;0;t1203;2020-12-14
małopolskie;dąbrowski;2;0.34;2;0;2;14;126;23;2;21;0;t1204;2020-12-14
małopolskie;gorlicki;12;1.1;0;0;0;24;287;79;14;61;4;t1205;2020-12-14
małopolskie;krakowski;18;0.64;0;0;0;143;917;173;23;141;9;t1206;2020-12-14
małopolskie;limanowski;4;0.3;0;0;0;10;115;62;4;58;0;t1207;2020-12-14
małopolskie;miechowski;5;1.03;0;0;0;8;97;82;12;70;0;t1208;2020-12-14
małopolskie;myślenicki;12;0.94;5;0;5;31;223;75;13;60;2;t1209;2020-12-14
małopolskie;nowosądecki;5;0.23;2;1;1;37;228;87;6;77;4;t1210;2020-12-14
małopolskie;nowotarski;4;0.21;1;0;1;17;188;72;6;66;0;t1211;2020-12-14
małopolskie;olkuski;4;0.36;0;0;0;38;241;64;4;58;2;t1212;2020-12-14
małopolskie;oświęcimski;7;0.46;3;0;3;43;464;75;14;60;1;t1213;2020-12-14
małopolskie;proszowicki;1;0.23;1;0;1;6;107;24;2;21;1;t1214;2020-12-14
małopolskie;suski;10;1.19;4;0;4;34;248;83;11;72;0;t1215;2020-12-14
małopolskie;tarnowski;7;0.35;0;0;0;38;391;93;14;78;1;t1216;2020-12-14
małopolskie;tatrzański;1;0.15;0;0;0;11;197;31;1;29;1;t1217;2020-12-14
małopolskie;wadowicki;7;0.44;0;0;0;67;459;81;10;70;1;t1218;2020-12-14
małopolskie;wielicki;11;0.85;1;0;1;63;373;79;13;63;3;t1219;2020-12-14
małopolskie;Kraków;83;1.06;2;2;0;371;2220;572;97;454;21;t1261;2020-12-14
małopolskie;Nowy Sącz;1;0.12;1;0;1;8;129;42;3;37;2;t1262;2020-12-14
małopolskie;Tarnów;11;1.02;1;0;1;29;305;64;15;49;0;t1263;2020-12-14
mazowieckie;białobrzeski;1;0.3;0;0;0;15;198;17;2;15;0;t1401;2020-12-14
mazowieckie;ciechanowski;6;0.67;1;0;1;62;303;160;37;117;6;t1402;2020-12-14
mazowieckie;garwoliński;7;0.64;0;0;0;32;288;93;12;77;4;t1403;2020-12-14
mazowieckie;gostyniński;1;0.22;0;0;0;31;185;53;12;38;3;t1404;2020-12-14
mazowieckie;grodziski;32;3.31;1;1;0;94;825;173;37;136;0;t1405;2020-12-14
mazowieckie;grójecki;21;2.14;0;0;0;76;1237;85;23;60;2;t1406;2020-12-14
mazowieckie;kozienicki;3;0.5;0;0;0;49;291;56;3;53;0;t1407;2020-12-14
mazowieckie;legionowski;19;1.59;0;0;0;96;704;99;25;74;0;t1408;2020-12-14
mazowieckie;lipski;4;1.19;0;0;0;18;110;23;4;19;0;t1409;2020-12-14
mazowieckie;łosicki;1;0.33;0;0;0;11;121;10;1;9;0;t1410;2020-12-14
mazowieckie;makowski;1;0.22;1;0;1;18;115;26;1;25;0;t1411;2020-12-14
mazowieckie;miński;26;1.68;0;0;0;78;784;121;28;90;3;t1412;2020-12-14
mazowieckie;mławski;8;1.1;0;0;0;52;355;140;36;96;8;t1413;2020-12-14
mazowieckie;nowodworski;13;1.64;0;0;0;58;349;85;16;68;1;t1414;2020-12-14
mazowieckie;ostrołęcki;7;0.79;1;0;1;27;234;37;7;30;0;t1415;2020-12-14
mazowieckie;ostrowski;5;0.69;0;0;0;25;302;49;9;38;2;t1416;2020-12-14
mazowieckie;otwocki;24;1.93;1;0;1;113;950;211;28;176;7;t1417;2020-12-14
mazowieckie;piaseczyński;25;1.32;1;1;0;180;1608;259;31;219;9;t1418;2020-12-14
mazowieckie;płocki;12;1.08;0;0;0;114;674;161;39;113;9;t1419;2020-12-14
mazowieckie;płoński;10;1.15;1;0;1;56;466;96;14;78;4;t1420;2020-12-14
mazowieckie;pruszkowski;27;1.62;0;0;0;151;1302;177;31;144;2;t1421;2020-12-14
mazowieckie;przasnyski;10;1.91;1;0;1;64;408;38;10;28;0;t1422;2020-12-14
mazowieckie;przysuski;4;0.97;0;0;0;15;53;22;4;18;0;t1423;2020-12-14
mazowieckie;pułtuski;5;0.96;0;0;0;38;210;38;7;31;0;t1424;2020-12-14
mazowieckie;radomski;7;0.46;0;0;0;41;545;104;10;93;1;t1425;2020-12-14
mazowieckie;siedlecki;14;1.72;0;0;0;25;398;64;16;46;2;t1426;2020-12-14
mazowieckie;sierpecki;12;2.32;0;0;0;29;239;86;30;52;4;t1427;2020-12-14
mazowieckie;sochaczewski;6;0.71;1;0;1;53;562;73;9;61;3;t1428;2020-12-14
mazowieckie;sokołowski;3;0.56;0;0;0;8;147;28;4;24;0;t1429;2020-12-14
mazowieckie;szydłowiecki;1;0.25;0;0;0;12;138;33;1;32;0;t1430;2020-12-14
mazowieckie;warszawski zachodni;30;2.51;0;0;0;108;1137;144;34;105;5;t1432;2020-12-14
mazowieckie;węgrowski;8;1.22;0;0;0;36;296;87;24;57;6;t1433;2020-12-14
mazowieckie;wołomiński;28;1.11;5;0;5;181;1378;280;36;241;3;t1434;2020-12-14
mazowieckie;wyszkowski;4;0.54;0;0;0;42;242;39;4;34;1;t1435;2020-12-14
mazowieckie;zwoleński;2;0.56;1;0;1;11;164;23;3;19;1;t1436;2020-12-14
mazowieckie;żuromiński;4;1.04;0;0;0;22;92;33;5;28;0;t1437;2020-12-14
mazowieckie;żyrardowski;14;1.85;0;0;0;95;583;107;19;86;2;t1438;2020-12-14
mazowieckie;Ostrołęka;3;0.58;1;1;0;30;115;28;3;24;1;t1461;2020-12-14
mazowieckie;Płock;30;2.52;0;0;0;110;651;275;71;186;18;t1462;2020-12-14
mazowieckie;Radom;14;0.66;1;0;1;113;702;311;18;289;4;t1463;2020-12-14
mazowieckie;Siedlce;6;0.77;1;0;1;25;266;87;17;68;2;t1464;2020-12-14
mazowieckie;Warszawa;318;1.77;5;0;5;1255;9490;2646;373;2229;44;t1465;2020-12-14
opolskie;brzeski;16;1.79;2;0;2;84;420;68;24;43;1;t1601;2020-12-14
opolskie;głubczycki;9;1.99;1;1;0;35;242;39;14;25;0;t1602;2020-12-14
opolskie;kędzierzyńsko-kozielski;11;1.18;3;0;3;70;525;90;15;74;1;t1603;2020-12-14
opolskie;kluczborski;13;1.99;0;0;0;33;397;40;16;24;0;t1604;2020-12-14
opolskie;krapkowicki;5;0.79;1;0;1;23;266;66;8;58;0;t1605;2020-12-14
opolskie;namysłowski;5;1.17;0;0;0;19;274;18;6;12;0;t1606;2020-12-14
opolskie;nyski;19;1.4;1;1;0;62;497;114;23;90;1;t1607;2020-12-14
opolskie;oleski;4;0.62;0;0;0;29;256;37;5;32;0;t1608;2020-12-14
opolskie;opolski;3;0.24;2;0;2;62;616;63;3;60;0;t1609;2020-12-14
opolskie;prudnicki;7;1.27;1;0;1;26;156;48;9;39;0;t1610;2020-12-14
opolskie;strzelecki;23;3.1;4;1;3;57;472;92;26;66;0;t1611;2020-12-14
opolskie;Opole;13;1.02;2;0;2;103;812;131;19;112;0;t1661;2020-12-14
podkarpackie;bieszczadzki;1;0.46;0;0;0;11;39;27;1;25;1;t1801;2020-12-14
podkarpackie;brzozowski;5;0.76;0;0;0;9;114;109;7;102;0;t1802;2020-12-14
podkarpackie;dębicki;5;0.37;0;0;0;19;190;127;9;115;3;t1803;2020-12-14
podkarpackie;jarosławski;22;1.83;0;0;0;41;319;153;47;102;4;t1804;2020-12-14
podkarpackie;jasielski;29;2.56;0;0;0;26;181;172;37;133;2;t1805;2020-12-14
podkarpackie;kolbuszowski;5;0.8;0;0;0;18;109;86;25;61;0;t1806;2020-12-14
podkarpackie;krośnieński;14;1.25;0;0;0;26;152;124;32;92;0;t1807;2020-12-14
podkarpackie;leżajski;3;0.43;0;0;0;16;99;54;7;45;2;t1808;2020-12-14
podkarpackie;lubaczowski;17;3.09;0;0;0;30;311;91;19;70;2;t1809;2020-12-14
podkarpackie;łańcucki;36;4.44;0;0;0;36;278;155;46;109;0;t1810;2020-12-14
podkarpackie;mielecki;7;0.51;0;0;0;34;294;272;54;218;0;t1811;2020-12-14
podkarpackie;niżański;4;0.6;0;0;0;33;253;87;8;79;0;t1812;2020-12-14
podkarpackie;przemyski;10;1.35;0;0;0;19;356;57;17;39;1;t1813;2020-12-14
podkarpackie;przeworski;26;3.32;1;0;1;24;159;165;38;117;10;t1814;2020-12-14
podkarpackie;ropczycko-sędziszowski;5;0.67;0;0;0;2;97;64;10;54;0;t1815;2020-12-14
podkarpackie;rzeszowski;35;2.06;0;0;0;67;464;246;45;199;2;t1816;2020-12-14
