wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;Ca³y kraj;12955;3.38;565;125;440;17657;4928;161160;54230;14149;38997;1084;t0000
dolnoœl¹skie;boles³awiecki;32;3.55;;;;56;7;392;107;37;64;6;t0201
dolnoœl¹skie;dzier¿oniowski;13;1.29;2;;2;19;2;197;78;15;62;1;t0202
dolnoœl¹skie;g³ogowski;21;2.36;2;;2;28;3;276;120;22;96;2;t0203
dolnoœl¹skie;górowski;15;4.32;;;;21;1;101;45;15;29;1;t0204
dolnoœl¹skie;jaworski;11;2.20;;;;7;11;133;35;11;24;0;t0205
dolnoœl¹skie;jeleniogórski;11;1.74;;;;21;6;160;68;15;52;1;t0206
dolnoœl¹skie;kamiennogórski;4;0.93;;;;1;1;84;25;5;19;1;t0207
dolnoœl¹skie;k³odzki;18;1.15;1;;1;34;8;288;140;21;117;2;t0208
dolnoœl¹skie;legnicki;8;1.45;1;1;;12;5;157;48;8;39;1;t0209
dolnoœl¹skie;lubañski;21;3.88;;;;28;7;311;46;24;20;2;t0210
dolnoœl¹skie;lubiñski;54;5.09;3;;3;42;5;296;198;55;139;4;t0211
dolnoœl¹skie;lwówecki;16;3.50;1;1;;23;6;120;52;17;33;2;t0212
dolnoœl¹skie;milicki;13;3.52;;;;21;1;165;42;15;27;0;t0213
dolnoœl¹skie;oleœnicki;29;2.70;;;;54;8;478;112;30;82;0;t0214
dolnoœl¹skie;o³awski;10;1.30;2;1;1;21;6;404;73;11;59;3;t0215
dolnoœl¹skie;polkowicki;18;2.85;1;;1;16;1;141;82;19;59;4;t0216
dolnoœl¹skie;strzeliñski;12;2.76;3;2;1;21;3;136;51;12;39;0;t0217
dolnoœl¹skie;œredzki;14;2.53;;;;17;5;200;57;14;42;1;t0218
dolnoœl¹skie;œwidnicki;29;1.85;1;;1;47;12;716;202;30;168;4;t0219
dolnoœl¹skie;trzebnicki;9;1.05;1;;1;22;4;314;59;10;49;0;t0220
dolnoœl¹skie;wa³brzyski;21;3.79;2;;2;11;18;198;111;25;86;0;t0221
dolnoœl¹skie;wo³owski;9;1.93;;;;14;2;215;47;12;35;0;t0222
dolnoœl¹skie;wroc³awski;36;2.34;1;;1;73;8;770;185;38;145;2;t0223
dolnoœl¹skie;z¹bkowicki;10;1.55;;;;15;4;200;41;12;29;0;t0224
dolnoœl¹skie;zgorzelecki;41;4.62;2;2;;31;10;369;96;45;49;2;t0225
dolnoœl¹skie;z³otoryjski;7;1.62;1;1;;8;4;250;32;7;25;0;t0226
dolnoœl¹skie;Jelenia Góra;6;0.76;;;;19;10;270;78;7;68;3;t0261
dolnoœl¹skie;Legnica;19;1.92;3;3;;25;8;443;103;21;79;3;t0262
dolnoœl¹skie;Wroc³aw;145;2.25;5;;5;280;48;2471;1092;158;913;21;t0264
dolnoœl¹skie;Wa³brzych;22;1.99;;;;30;11;341;266;24;242;0;t0265
kujawsko-pomorskie;aleksandrowski;24;4.36;1;;1;22;3;201;74;41;33;0;t0401
kujawsko-pomorskie;brodnicki;31;3.92;;;;47;8;456;94;32;60;2;t0402
kujawsko-pomorskie;bydgoski;58;4.86;1;;1;155;60;1255;234;60;168;6;t0403
kujawsko-pomorskie;che³miñski;34;6.56;1;;1;46;10;434;112;38;72;2;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;14;3.11;1;;1;19;5;169;63;15;47;1;t0405
kujawsko-pomorskie;grudzi¹dzki;36;8.95;1;1;;19;3;390;106;39;61;6;t0406
kujawsko-pomorskie;inowroc³awski;119;7.47;;;;116;42;1033;291;123;158;10;t0407
kujawsko-pomorskie;lipnowski;15;2.29;;;;18;11;246;64;15;48;1;t0408
kujawsko-pomorskie;mogileñski;19;4.17;;;;18;1;215;56;20;35;1;t0409
kujawsko-pomorskie;nakielski;100;11.60;3;;3;69;5;653;218;101;110;7;t0410
kujawsko-pomorskie;radziejowski;29;7.21;2;;2;16;11;230;49;31;18;0;t0411
kujawsko-pomorskie;rypiñski;6;1.38;;;;12;4;119;32;7;19;6;t0412
kujawsko-pomorskie;sêpoleñski;21;5.13;3;1;2;31;7;322;59;29;29;1;t0413
kujawsko-pomorskie;œwiecki;69;6.97;9;;9;77;17;760;207;71;128;8;t0414
kujawsko-pomorskie;toruñski;86;7.89;2;1;1;87;23;992;239;90;142;7;t0415
kujawsko-pomorskie;tucholski;20;4.14;1;;1;16;3;406;78;22;53;3;t0416
kujawsko-pomorskie;w¹brzeski;14;4.10;1;1;;21;7;204;70;16;54;0;t0417
kujawsko-pomorskie;w³oc³awski;34;3.96;1;;1;44;6;419;88;34;52;2;t0418
kujawsko-pomorskie;¿niñski;26;3.71;;;;49;17;544;93;30;60;3;t0419
kujawsko-pomorskie;Bydgoszcz;126;3.63;9;;9;424;152;2833;739;148;580;11;t0461
kujawsko-pomorskie;Grudzi¹dz;59;6.27;3;3;;71;22;751;286;67;209;10;t0462
kujawsko-pomorskie;Toruñ;137;6.81;6;5;1;193;45;1500;607;141;457;9;t0463
kujawsko-pomorskie;W³oc³awek;29;2.65;2;;2;48;11;543;88;29;58;1;t0464
lubelskie;bialski;33;2.99;6;3;3;36;3;344;119;34;81;4;t0601
lubelskie;bi³gorajski;20;1.99;2;1;1;20;2;149;101;21;79;1;t0602
lubelskie;che³mski;23;2.96;2;;2;17;5;309;103;24;78;1;t0603
lubelskie;hrubieszowski;29;4.64;;;;35;2;240;119;32;80;7;t0604
lubelskie;janowski;5;1.10;1;;1;7;2;51;34;5;29;0;t0605
lubelskie;krasnostawski;29;4.61;2;2;;35;12;407;98;30;67;1;t0606
lubelskie;kraœnicki;27;2.84;;;;28;8;185;82;28;54;0;t0607
lubelskie;lubartowski;10;1.13;1;1;;18;9;238;81;10;71;0;t0608
lubelskie;lubelski;44;2.82;3;;3;68;17;634;177;46;130;1;t0609
lubelskie;³êczyñski;18;3.14;;;;38;2;321;64;19;45;0;t0610
lubelskie;³ukowski;6;0.56;1;;1;20;6;188;61;6;55;0;t0611
lubelskie;opolski;9;1.53;2;;2;25;2;274;54;13;40;1;t0612
lubelskie;parczewski;8;2.31;1;;1;13;4;91;34;8;26;0;t0613
lubelskie;pu³awski;48;4.25;2;1;1;55;13;455;155;51;103;1;t0614
lubelskie;radzyñski;3;0.51;;;;15;6;147;66;3;62;1;t0615
lubelskie;rycki;27;4.84;;;;32;4;209;72;30;42;0;t0616
lubelskie;œwidnicki;27;3.76;1;1;;49;9;480;104;27;76;1;t0617
lubelskie;tomaszowski;15;1.82;1;;1;26;2;169;67;17;50;0;t0618
lubelskie;w³odawski;17;4.45;;;;19;1;136;55;19;36;0;t0619
lubelskie;zamojski;12;1.13;2;;2;14;5;217;74;15;57;2;t0620
lubelskie;Bia³a Podlaska;23;4.02;1;1;;25;6;173;91;23;65;3;t0661
lubelskie;Che³m;26;4.22;;;;31;11;328;90;26;64;0;t0662
lubelskie;Lublin;132;3.89;6;3;3;201;42;1443;536;141;389;6;t0663
lubelskie;Zamoœæ;18;2.85;3;1;2;23;4;174;107;21;85;1;t0664
lubuskie;gorzowski;32;4.44;;;;41;19;378;134;38;95;1;t0801
