wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;Ca³y kraj;5569;1.45;326;93;233;22317;6991;170761;50150;6835;42439;876;t0000
dolnoœl¹skie;boles³awiecki;38;4.22;0;0;0;59;9;415;267;41;224;2;t0201
dolnoœl¹skie;dzier¿oniowski;3;0.30;0;0;0;24;6;176;70;3;67;0;t0202
dolnoœl¹skie;g³ogowski;8;0.90;0;0;0;53;6;295;103;9;92;2;t0203
dolnoœl¹skie;górowski;2;0.58;1;0;1;15;4;123;21;2;19;0;t0204
dolnoœl¹skie;jaworski;2;0.40;1;1;0;31;8;122;46;5;41;0;t0205
dolnoœl¹skie;jeleniogórski;1;0.16;0;0;0;20;18;159;48;5;42;1;t0206
dolnoœl¹skie;kamiennogórski;0;0;3;3;0;13;2;70;36;0;34;2;t0207
dolnoœl¹skie;k³odzki;4;0.25;0;0;0;70;7;393;88;7;81;0;t0208
dolnoœl¹skie;legnicki;5;0.91;2;2;0;23;4;174;55;5;50;0;t0209
dolnoœl¹skie;lubañski;9;1.66;3;3;0;34;0;266;51;9;39;3;t0210
dolnoœl¹skie;lubiñski;11;1.04;0;0;0;31;4;233;109;13;96;0;t0211
dolnoœl¹skie;lwówecki;16;3.50;0;0;0;33;10;111;59;18;39;2;t0212
dolnoœl¹skie;milicki;1;0.27;0;0;0;23;2;187;27;2;24;1;t0213
dolnoœl¹skie;oleœnicki;18;1.68;0;0;0;32;7;298;113;18;93;2;t0214
dolnoœl¹skie;o³awski;5;0.65;0;0;0;42;10;410;87;6;79;2;t0215
dolnoœl¹skie;polkowicki;3;0.48;0;0;0;17;2;173;45;3;42;0;t0216
dolnoœl¹skie;strzeliñski;0;0;1;1;0;15;5;176;25;0;24;1;t0217
dolnoœl¹skie;œredzki;7;1.26;0;0;0;42;5;206;43;7;35;1;t0218
dolnoœl¹skie;œwidnicki;20;1.28;2;0;2;50;8;721;163;23;140;0;t0219
dolnoœl¹skie;trzebnicki;12;1.41;0;0;0;44;6;309;70;12;57;1;t0220
dolnoœl¹skie;wa³brzyski;5;0.90;2;0;2;23;8;149;64;6;57;1;t0221
dolnoœl¹skie;wo³owski;2;0.43;0;0;0;25;6;213;38;2;33;3;t0222
dolnoœl¹skie;wroc³awski;18;1.17;1;1;0;84;17;857;384;25;353;6;t0223
dolnoœl¹skie;z¹bkowicki;13;2.02;2;2;0;34;5;197;80;13;66;1;t0224
dolnoœl¹skie;zgorzelecki;10;1.13;0;0;0;42;7;356;90;13;76;1;t0225
dolnoœl¹skie;z³otoryjski;1;0.23;0;0;0;17;6;137;26;1;24;1;t0226
dolnoœl¹skie;Jelenia Góra;9;1.14;1;0;1;31;16;223;61;13;45;3;t0261
dolnoœl¹skie;Legnica;4;0.40;3;3;0;35;7;386;75;4;70;1;t0262
dolnoœl¹skie;Wroc³aw;102;1.58;6;6;0;378;94;3202;995;125;834;36;t0264
dolnoœl¹skie;Wa³brzych;10;0.90;5;0;5;43;11;314;219;13;206;0;t0265
kujawsko-pomorskie;aleksandrowski;2;0.36;0;0;0;31;6;209;58;3;53;2;t0401
kujawsko-pomorskie;brodnicki;7;0.88;0;0;0;51;13;399;106;8;97;1;t0402
kujawsko-pomorskie;bydgoski;46;3.85;3;0;3;147;66;1159;208;48;152;8;t0403
kujawsko-pomorskie;che³miñski;14;2.70;0;0;0;61;11;464;104;29;72;3;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;8;1.78;0;0;0;31;13;207;70;9;61;0;t0405
kujawsko-pomorskie;grudzi¹dzki;11;2.74;0;0;0;44;13;374;56;13;42;1;t0406
kujawsko-pomorskie;inowroc³awski;23;1.44;2;0;2;129;81;873;206;41;159;6;t0407
kujawsko-pomorskie;lipnowski;9;1.37;2;0;2;24;12;286;94;11;82;1;t0408
kujawsko-pomorskie;mogileñski;25;5.49;1;0;1;23;13;194;95;30;61;4;t0409
kujawsko-pomorskie;nakielski;18;2.09;2;0;2;112;46;678;174;20;151;3;t0410
kujawsko-pomorskie;radziejowski;11;2.74;3;0;3;30;25;199;47;16;31;0;t0411
kujawsko-pomorskie;rypiñski;6;1.38;1;0;1;26;1;135;41;6;35;0;t0412
kujawsko-pomorskie;sêpoleñski;4;0.98;1;0;1;56;32;313;56;6;49;1;t0413
kujawsko-pomorskie;œwiecki;15;1.52;0;0;0;102;33;765;223;19;202;2;t0414
kujawsko-pomorskie;toruñski;30;2.75;0;0;0;134;43;861;169;31;136;2;t0415
kujawsko-pomorskie;tucholski;9;1.86;0;0;0;27;17;303;80;11;67;2;t0416
kujawsko-pomorskie;w¹brzeski;24;7.04;1;0;1;52;4;237;71;25;46;0;t0417
kujawsko-pomorskie;w³oc³awski;7;0.81;1;0;1;48;25;413;76;8;67;1;t0418
kujawsko-pomorskie;¿niñski;25;3.57;0;0;0;60;17;547;131;28;100;3;t0419
kujawsko-pomorskie;Bydgoszcz;136;3.92;3;0;3;457;193;2691;615;147;453;15;t0461
kujawsko-pomorskie;Grudzi¹dz;30;3.19;0;0;0;102;57;728;257;36;218;3;t0462
kujawsko-pomorskie;Toruñ;51;2.54;3;0;3;221;63;1362;511;56;453;2;t0463
kujawsko-pomorskie;W³oc³awek;15;1.37;2;0;2;76;24;515;194;18;176;0;t0464
lubelskie;bialski;9;0.81;0;0;0;45;14;319;139;9;128;2;t0601
lubelskie;bi³gorajski;6;0.60;3;0;3;26;8;228;141;6;128;7;t0602
lubelskie;che³mski;8;1.03;0;0;0;44;9;314;85;8;77;0;t0603
lubelskie;hrubieszowski;14;2.24;1;0;1;28;10;189;65;14;50;1;t0604
lubelskie;janowski;9;1.98;0;0;0;17;1;82;76;9;67;0;t0605
lubelskie;krasnostawski;11;1.75;0;0;0;51;20;379;86;13;73;0;t0606
lubelskie;kraœnicki;28;2.95;2;2;0;53;12;266;202;30;172;0;t0607
lubelskie;lubartowski;3;0.34;1;1;0;24;5;148;63;4;59;0;t0608
lubelskie;lubelski;26;1.67;1;0;1;84;19;602;215;29;185;1;t0609
lubelskie;³êczyñski;12;2.09;2;0;2;38;11;216;61;12;49;0;t0610
lubelskie;³ukowski;2;0.19;1;0;1;23;8;214;76;3;71;2;t0611
lubelskie;opolski;6;1.02;1;0;1;19;13;212;73;6;67;0;t0612
lubelskie;parczewski;12;3.47;0;0;0;9;3;80;87;13;74;0;t0613
lubelskie;pu³awski;12;1.06;1;1;0;95;24;488;125;13;110;2;t0614
lubelskie;radzyñski;4;0.68;1;0;1;17;5;163;73;7;66;0;t0615
lubelskie;rycki;7;1.25;0;0;0;19;7;239;40;8;32;0;t0616
lubelskie;œwidnicki;19;2.65;0;0;0;42;11;303;108;24;84;0;t0617
lubelskie;tomaszowski;19;2.31;2;0;2;41;8;251;86;21;58;7;t0618
lubelskie;w³odawski;17;4.45;0;0;0;43;2;229;50;19;30;1;t0619
lubelskie;zamojski;6;0.57;3;0;3;34;11;208;116;6;109;1;t0620
lubelskie;Bia³a Podlaska;10;1.75;0;0;0;41;5;180;75;13;62;0;t0661
lubelskie;Che³m;7;1.14;3;0;3;32;20;207;59;7;52;0;t0662
lubelskie;Lublin;90;2.65;1;0;1;230;65;1442;639;107;524;8;t0663
lubelskie;Zamoœæ;7;1.11;1;0;1;34;3;154;93;8;85;0;t0664
lubuskie;gorzowski;9;1.25;3;2;1;51;10;457;214;10;203;1;t0801
