wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;Ca³y kraj;7914;2.06;311;60;251;28031;9792;158414;44673;9246;34545;882;t0000
dolnoœl¹skie;boles³awiecki;38;4.22;;;;78;12;350;138;40;89;9;t0201
dolnoœl¹skie;dzier¿oniowski;4;0.40;;;;39;16;187;54;4;50;0;t0202
dolnoœl¹skie;g³ogowski;1;0.11;;;;40;13;246;55;1;54;0;t0203
dolnoœl¹skie;górowski;9;2.59;;;;28;2;88;28;10;18;0;t0204
dolnoœl¹skie;jaworski;2;0.40;;;;24;1;136;20;2;16;2;t0205
dolnoœl¹skie;jeleniogórski;11;1.74;4;1;3;45;5;158;40;12;28;0;t0206
dolnoœl¹skie;kamiennogórski;1;0.23;;;;10;7;93;25;1;24;0;t0207
dolnoœl¹skie;k³odzki;15;0.95;3;;3;54;24;320;133;20;109;4;t0208
dolnoœl¹skie;legnicki;15;2.72;3;3;;32;9;150;51;15;34;2;t0209
dolnoœl¹skie;lubañski;7;1.29;;;;40;9;293;39;8;31;0;t0210
dolnoœl¹skie;lubiñski;12;1.13;;;;45;22;271;106;17;88;1;t0211
dolnoœl¹skie;lwówecki;10;2.18;;;;20;12;124;34;12;20;2;t0212
dolnoœl¹skie;milicki;;;;;;24;10;136;28;5;23;0;t0213
dolnoœl¹skie;oleœnicki;12;1.12;;;;82;27;423;91;17;71;3;t0214
dolnoœl¹skie;o³awski;3;0.39;;;;57;17;372;57;5;50;2;t0215
dolnoœl¹skie;polkowicki;4;0.63;;;;28;7;130;45;5;40;0;t0216
dolnoœl¹skie;strzeliñski;19;4.37;1;1;;31;6;116;48;20;28;0;t0217
dolnoœl¹skie;œredzki;2;0.36;1;;1;40;18;197;55;3;52;0;t0218
dolnoœl¹skie;œwidnicki;10;0.64;;;;76;28;717;159;11;145;3;t0219
dolnoœl¹skie;trzebnicki;9;1.05;;;;39;15;313;78;11;67;0;t0220
dolnoœl¹skie;wa³brzyski;5;0.90;;;;51;25;216;66;8;57;1;t0221
dolnoœl¹skie;wo³owski;3;0.64;;;;32;21;214;45;5;40;0;t0222
dolnoœl¹skie;wroc³awski;25;1.62;2;;2;99;45;807;202;33;164;5;t0223
dolnoœl¹skie;z¹bkowicki;4;0.62;1;1;;28;5;190;58;6;51;1;t0224
dolnoœl¹skie;zgorzelecki;8;0.90;;;;61;5;350;56;13;41;2;t0225
dolnoœl¹skie;z³otoryjski;2;0.46;1;;1;11;7;256;19;2;16;1;t0226
dolnoœl¹skie;Jelenia Góra;8;1.02;2;1;1;44;25;257;38;11;27;0;t0261
dolnoœl¹skie;Legnica;18;1.82;2;2;;31;19;402;107;20;83;4;t0262
dolnoœl¹skie;Wroc³aw;127;1.97;10;1;9;371;209;2363;1183;167;995;21;t0264
dolnoœl¹skie;Wa³brzych;21;1.90;;;;64;35;325;278;27;251;0;t0265
kujawsko-pomorskie;aleksandrowski;7;1.27;;;;32;14;208;44;7;37;0;t0401
kujawsko-pomorskie;brodnicki;14;1.77;4;1;3;60;14;460;73;16;56;1;t0402
kujawsko-pomorskie;bydgoski;56;4.69;2;;2;206;59;1212;161;60;100;1;t0403
kujawsko-pomorskie;che³miñski;20;3.86;;;;63;9;404;94;22;69;3;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;12;2.67;;;;34;14;165;54;14;40;0;t0405
kujawsko-pomorskie;grudzi¹dzki;14;3.48;;;;49;19;382;64;17;45;2;t0406
kujawsko-pomorskie;inowroc³awski;34;2.13;5;2;3;173;64;1083;147;39;107;1;t0407
kujawsko-pomorskie;lipnowski;14;2.13;1;;1;31;29;266;107;16;81;10;t0408
