wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;2503;0.65;42;9;33;189;6247;150420;21611;2953;18386;272;t0000;2021-01-31
dolnoœl¹skie;boles³awiecki;2;0.22;0;0;0;0;16;431;20;3;17;0;t0201;2021-01-31
dolnoœl¹skie;dzier¿oniowski;0;0;0;0;0;0;8;129;8;0;7;1;t0202;2021-01-31
dolnoœl¹skie;g³ogowski;9;1.01;0;0;0;0;11;180;53;10;43;0;t0203;2021-01-31
dolnoœl¹skie;górowski;0;0;0;0;0;1;4;52;3;0;3;0;t0204;2021-01-31
dolnoœl¹skie;jaworski;1;0.20;0;0;0;0;4;90;25;1;24;0;t0205;2021-01-31
dolnoœl¹skie;jeleniogórski;4;0.63;0;0;0;0;6;152;10;4;6;0;t0206;2021-01-31
dolnoœl¹skie;kamiennogórski;0;0;0;0;0;0;2;58;7;0;6;1;t0207;2021-01-31
dolnoœl¹skie;k³odzki;9;0.57;0;0;0;0;38;505;107;18;89;0;t0208;2021-01-31
dolnoœl¹skie;legnicki;26;4.71;0;0;0;0;4;123;128;31;96;1;t0209;2021-01-31
dolnoœl¹skie;lubañski;1;0.18;0;0;0;0;11;172;3;1;2;0;t0210;2021-01-31
dolnoœl¹skie;lubiñski;33;3.11;0;0;0;0;12;175;185;35;140;10;t0211;2021-01-31
dolnoœl¹skie;lwówecki;0;0;0;0;0;0;4;81;5;0;5;0;t0212;2021-01-31
dolnoœl¹skie;milicki;0;0;0;0;0;1;1;97;16;1;15;0;t0213;2021-01-31
dolnoœl¹skie;oleœnicki;6;0.56;0;0;0;0;14;286;39;6;33;0;t0214;2021-01-31
dolnoœl¹skie;o³awski;6;0.78;0;0;0;0;3;423;45;7;38;0;t0215;2021-01-31
dolnoœl¹skie;polkowicki;3;0.48;0;0;0;0;3;150;30;4;26;0;t0216;2021-01-31
dolnoœl¹skie;strzeliñski;26;5.98;0;0;0;0;3;77;55;26;29;0;t0217;2021-01-31
dolnoœl¹skie;œredzki;4;0.72;0;0;0;0;5;275;22;6;16;0;t0218;2021-01-31
dolnoœl¹skie;œwidnicki;0;0;0;0;0;0;13;598;17;0;17;0;t0219;2021-01-31
dolnoœl¹skie;trzebnicki;3;0.35;0;0;0;0;12;382;46;6;40;0;t0220;2021-01-31
dolnoœl¹skie;wa³brzyski;4;0.72;0;0;0;0;11;83;18;6;12;0;t0221;2021-01-31
dolnoœl¹skie;wo³owski;3;0.64;0;0;0;0;4;113;27;3;24;0;t0222;2021-01-31
dolnoœl¹skie;wroc³awski;15;0.97;0;0;0;0;28;862;66;16;50;0;t0223;2021-01-31
dolnoœl¹skie;z¹bkowicki;0;0;0;0;0;0;5;137;17;0;17;0;t0224;2021-01-31
dolnoœl¹skie;zgorzelecki;1;0.11;0;0;0;0;12;355;13;2;10;1;t0225;2021-01-31
dolnoœl¹skie;z³otoryjski;1;0.23;0;0;0;0;6;98;7;1;6;0;t0226;2021-01-31
dolnoœl¹skie;Jelenia Góra;1;0.13;0;0;0;0;9;224;11;1;10;0;t0261;2021-01-31
dolnoœl¹skie;Legnica;10;1.01;0;0;0;0;9;470;170;11;157;2;t0262;2021-01-31
dolnoœl¹skie;Wroc³aw;30;0.47;0;0;0;1;76;2895;288;36;250;2;t0264;2021-01-31
dolnoœl¹skie;Wa³brzych;4;0.36;0;0;0;0;5;280;30;5;23;2;t0265;2021-01-31
kujawsko-pomorskie;aleksandrowski;1;0.18;0;0;0;0;15;130;25;1;24;0;t0401;2021-01-31
kujawsko-pomorskie;brodnicki;5;0.63;0;0;0;0;17;247;40;5;35;0;t0402;2021-01-31
kujawsko-pomorskie;bydgoski;23;1.93;0;0;0;5;40;749;92;27;65;0;t0403;2021-01-31
kujawsko-pomorskie;che³miñski;3;0.58;0;0;0;3;24;465;63;11;52;0;t0404;2021-01-31
kujawsko-pomorskie;golubsko-dobrzyñski;2;0.44;0;0;0;0;18;260;16;2;14;0;t0405;2021-01-31
kujawsko-pomorskie;grudzi¹dzki;4;0.99;1;1;0;0;10;218;27;4;23;0;t0406;2021-01-31
kujawsko-pomorskie;inowroc³awski;10;0.63;0;0;0;1;25;577;57;14;41;2;t0407;2021-01-31
kujawsko-pomorskie;lipnowski;11;1.68;0;0;0;5;10;183;30;11;18;1;t0408;2021-01-31
kujawsko-pomorskie;mogileñski;3;0.66;0;0;0;3;8;151;19;5;14;0;t0409;2021-01-31
kujawsko-pomorskie;nakielski;11;1.28;0;0;0;1;19;486;38;14;23;1;t0410;2021-01-31
kujawsko-pomorskie;radziejowski;1;0.25;0;0;0;0;9;146;23;2;21;0;t0411;2021-01-31
kujawsko-pomorskie;rypiñski;3;0.69;0;0;0;0;2;112;18;3;15;0;t0412;2021-01-31
kujawsko-pomorskie;sêpoleñski;3;0.73;0;0;0;0;22;341;28;3;25;0;t0413;2021-01-31
kujawsko-pomorskie;œwiecki;10;1.01;0;0;0;0;35;540;57;11;45;1;t0414;2021-01-31
kujawsko-pomorskie;toruñski;10;0.92;0;0;0;0;46;584;41;13;28;0;t0415;2021-01-31
kujawsko-pomorskie;tucholski;5;1.03;0;0;0;0;11;230;31;5;26;0;t0416;2021-01-31
kujawsko-pomorskie;w¹brzeski;2;0.59;0;0;0;0;14;150;11;2;9;0;t0417;2021-01-31
kujawsko-pomorskie;w³oc³awski;1;0.12;1;0;1;0;12;300;61;1;59;1;t0418;2021-01-31
kujawsko-pomorskie;¿niñski;9;1.28;0;0;0;1;29;436;48;9;39;0;t0419;2021-01-31
