wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;Ca³y kraj;7795;2.03;386;88;298;11617;13158;190259;73122;8751;63268;1103;t0000
dolnoœl¹skie;boles³awiecki;15;1.67;1;0;1;32;29;425;177;16;158;3;t0201
dolnoœl¹skie;dzier¿oniowski;10;0.99;1;0;1;10;1;174;90;11;79;0;t0202
dolnoœl¹skie;g³ogowski;11;1.24;1;0;1;19;9;325;180;12;167;1;t0203
dolnoœl¹skie;górowski;0;0;0;0;0;7;18;137;97;0;97;0;t0204
dolnoœl¹skie;jaworski;12;2.40;0;0;0;6;9;139;58;12;46;0;t0205
dolnoœl¹skie;jeleniogórski;17;2.68;3;0;3;17;9;217;50;17;33;0;t0206
dolnoœl¹skie;kamiennogórski;5;1.16;0;0;0;6;3;81;46;5;40;1;t0207
dolnoœl¹skie;k³odzki;25;1.59;1;0;1;31;19;441;417;25;392;0;t0208
dolnoœl¹skie;legnicki;4;0.72;0;0;0;12;15;176;45;4;41;0;t0209
dolnoœl¹skie;lubañski;17;3.14;0;0;0;22;11;311;113;17;92;4;t0210
dolnoœl¹skie;lubiñski;11;1.04;0;0;0;17;7;261;168;13;151;4;t0211
dolnoœl¹skie;lwówecki;5;1.09;0;0;0;1;9;124;43;5;37;1;t0212
dolnoœl¹skie;milicki;2;0.54;0;0;0;5;12;180;49;5;44;0;t0213
dolnoœl¹skie;oleœnicki;18;1.68;2;2;0;22;22;333;263;23;236;4;t0214
dolnoœl¹skie;o³awski;9;1.17;0;0;0;15;10;450;141;11;127;3;t0215
dolnoœl¹skie;polkowicki;5;0.79;0;0;0;8;17;210;45;5;39;1;t0216
dolnoœl¹skie;strzeliñski;1;0.23;0;0;0;8;4;178;20;1;19;0;t0217
dolnoœl¹skie;œredzki;13;2.35;0;0;0;18;16;230;172;13;158;1;t0218
