wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;Ca³y kraj;9053;2.36;481;117;364;13735;4907;184488;73911;10008;62669;1234;t0000
dolnoœl¹skie;boles³awiecki;15;1.67;0;0;0;40;10;451;162;20;140;2;t0201
dolnoœl¹skie;dzier¿oniowski;7;0.70;0;0;0;7;2;187;115;9;105;1;t0202
dolnoœl¹skie;g³ogowski;21;2.36;1;0;1;22;3;328;189;21;167;1;t0203
dolnoœl¹skie;górowski;6;1.73;0;0;0;9;2;134;27;6;21;0;t0204
dolnoœl¹skie;jaworski;6;1.20;0;0;0;11;0;126;41;7;33;1;t0205
dolnoœl¹skie;jeleniogórski;3;0.47;2;0;2;16;13;182;44;4;39;1;t0206
dolnoœl¹skie;kamiennogórski;0;0;1;1;0;5;0;70;26;0;26;0;t0207
dolnoœl¹skie;k³odzki;21;1.34;6;0;6;32;10;420;287;21;265;1;t0208
dolnoœl¹skie;legnicki;3;0.54;1;1;0;13;0;189;70;3;66;1;t0209
dolnoœl¹skie;lubañski;10;1.85;0;0;0;13;7;294;49;11;38;0;t0210
dolnoœl¹skie;lubiñski;8;0.75;3;0;3;16;2;259;177;10;166;1;t0211
dolnoœl¹skie;lwówecki;5;1.09;0;0;0;20;4;126;44;5;39;0;t0212
dolnoœl¹skie;milicki;9;2.44;0;0;0;5;2;193;66;9;57;0;t0213
dolnoœl¹skie;oleœnicki;8;0.75;0;0;0;35;10;335;189;10;178;1;t0214
dolnoœl¹skie;o³awski;12;1.56;0;0;0;22;4;441;165;13;152;0;t0215
dolnoœl¹skie;polkowicki;10;1.59;1;0;1;19;2;189;67;10;56;1;t0216
dolnoœl¹skie;strzeliñski;7;1.61;0;0;0;6;3;186;127;7;118;2;t0217
dolnoœl¹skie;œredzki;13;2.35;1;0;1;17;2;222;80;13;67;0;t0218
dolnoœl¹skie;œwidnicki;26;1.66;2;2;0;29;8;795;346;34;310;2;t0219
