wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;11539;3.01;259;62;197;17989;8438;188482;53369;12425;40102;842;t0000;2021-02-25
dolnoœl¹skie;boles³awiecki;5;0.56;0;0;0;12;5;229;81;6;75;0;t0201;2021-02-25
dolnoœl¹skie;dzier¿oniowski;20;1.99;0;0;0;34;8;235;96;20;76;0;t0202;2021-02-25
dolnoœl¹skie;g³ogowski;18;2.03;0;0;0;21;9;213;129;19;110;0;t0203;2021-02-25
dolnoœl¹skie;górowski;2;0.58;1;0;1;8;3;45;18;2;16;0;t0204;2021-02-25
dolnoœl¹skie;jaworski;4;0.80;0;0;0;16;4;82;41;4;37;0;t0205;2021-02-25
dolnoœl¹skie;jeleniogórski;14;2.21;2;2;0;14;2;117;52;15;36;1;t0206;2021-02-25
dolnoœl¹skie;kamiennogórski;25;5.81;0;0;0;25;10;339;59;25;33;1;t0207;2021-02-25
dolnoœl¹skie;k³odzki;126;8.02;7;0;7;126;34;1203;340;172;166;2;t0208;2021-02-25
dolnoœl¹skie;legnicki;10;1.81;0;0;0;12;2;132;60;11;48;1;t0209;2021-02-25
dolnoœl¹skie;lubañski;5;0.92;2;2;0;15;13;126;42;6;36;0;t0210;2021-02-25
dolnoœl¹skie;lubiñski;8;0.75;0;0;0;20;8;211;109;9;100;0;t0211;2021-02-25
dolnoœl¹skie;lwówecki;2;0.44;0;0;0;11;1;49;33;2;31;0;t0212;2021-02-25
dolnoœl¹skie;milicki;1;0.27;0;0;0;6;1;47;21;1;20;0;t0213;2021-02-25
dolnoœl¹skie;oleœnicki;19;1.77;0;0;0;33;10;325;110;20;88;2;t0214;2021-02-25
dolnoœl¹skie;o³awski;14;1.82;0;0;0;23;10;306;75;17;58;0;t0215;2021-02-25
dolnoœl¹skie;polkowicki;4;0.63;0;0;0;8;8;200;68;5;63;0;t0216;2021-02-25
dolnoœl¹skie;strzeliñski;2;0.46;1;1;0;11;2;118;25;2;23;0;t0217;2021-02-25
dolnoœl¹skie;œredzki;12;2.17;0;0;0;18;11;401;71;14;54;3;t0218;2021-02-25
dolnoœl¹skie;œwidnicki;53;3.39;1;0;1;51;32;665;157;55;97;5;t0219;2021-02-25
dolnoœl¹skie;trzebnicki;22;2.58;2;2;0;31;12;354;101;24;77;0;t0220;2021-02-25
dolnoœl¹skie;wa³brzyski;22;3.97;2;2;0;22;9;230;73;25;46;2;t0221;2021-02-25
dolnoœl¹skie;wo³owski;8;1.71;2;0;2;8;1;106;92;13;79;0;t0222;2021-02-25
