wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Cały kraj;Cały kraj;11261;2.94;483;108;375;17661;197565;49598;12241;36177;1180;t0000;2020-12-18
dolnośląskie;bolesławiecki;33;3.67;2;0;2;36;406;131;41;88;2;t0201;2020-12-18
dolnośląskie;dzierżoniowski;12;1.19;1;1;0;20;260;65;12;51;2;t0202;2020-12-18
dolnośląskie;głogowski;15;1.69;2;0;2;29;328;72;18;54;0;t0203;2020-12-18
dolnośląskie;górowski;4;1.15;2;0;2;4;145;21;4;17;0;t0204;2020-12-18
dolnośląskie;jaworski;7;1.4;1;1;0;16;172;40;7;31;2;t0205;2020-12-18
dolnośląskie;jeleniogórski;12;1.89;0;0;0;28;278;52;12;39;1;t0206;2020-12-18
dolnośląskie;kamiennogórski;6;1.39;0;0;0;10;140;42;6;35;1;t0207;2020-12-18
dolnośląskie;kłodzki;16;1.02;3;0;3;37;424;121;21;98;2;t0208;2020-12-18
dolnośląskie;legnicki;9;1.63;0;0;0;14;193;45;10;31;4;t0209;2020-12-18
dolnośląskie;lubański;13;2.4;0;0;0;15;317;53;16;33;4;t0210;2020-12-18
dolnośląskie;lubiński;10;0.94;0;0;0;36;501;75;11;64;0;t0211;2020-12-18
dolnośląskie;lwówecki;6;1.31;0;0;0;25;179;49;8;41;0;t0212;2020-12-18
dolnośląskie;milicki;3;0.81;0;0;0;6;129;30;4;26;0;t0213;2020-12-18
dolnośląskie;oleśnicki;13;1.21;0;0;0;46;547;71;14;56;1;t0214;2020-12-18
dolnośląskie;oławski;15;1.95;1;1;0;31;526;84;15;69;0;t0215;2020-12-18
dolnośląskie;polkowicki;4;0.63;0;0;0;16;293;31;4;26;1;t0216;2020-12-18
dolnośląskie;strzeliński;11;2.53;0;0;0;13;181;30;13;17;0;t0217;2020-12-18
dolnośląskie;średzki;12;2.17;0;0;0;31;291;47;12;34;1;t0218;2020-12-18
dolnośląskie;świdnicki;37;2.36;1;0;1;37;972;177;37;137;3;t0219;2020-12-18
dolnośląskie;trzebnicki;19;2.22;3;0;3;17;428;83;21;60;2;t0220;2020-12-18
dolnośląskie;wałbrzyski;29;5.23;1;0;1;27;345;88;31;56;1;t0221;2020-12-18
dolnośląskie;wołowski;17;3.64;0;0;0;20;263;44;18;26;0;t0222;2020-12-18
dolnośląskie;wrocławski;30;1.95;1;0;1;63;906;161;36;123;2;t0223;2020-12-18
dolnośląskie;ząbkowicki;10;1.55;1;1;0;14;212;41;12;29;0;t0224;2020-12-18
dolnośląskie;zgorzelecki;14;1.58;1;1;0;27;488;51;17;33;1;t0225;2020-12-18
dolnośląskie;złotoryjski;8;1.85;0;0;0;10;300;24;9;15;0;t0226;2020-12-18
dolnośląskie;Jelenia Góra;26;3.3;0;0;0;21;337;90;28;61;1;t0261;2020-12-18
dolnośląskie;Legnica;18;1.82;1;1;0;27;489;112;19;82;11;t0262;2020-12-18
dolnośląskie;Wrocław;152;2.36;2;0;2;324;2690;811;166;629;16;t0264;2020-12-18
dolnośląskie;Wałbrzych;37;3.35;1;0;1;46;476;205;38;166;1;t0265;2020-12-18
kujawsko-pomorskie;aleksandrowski;16;2.91;0;0;0;19;235;64;17;46;1;t0401;2020-12-18
kujawsko-pomorskie;brodnicki;39;4.93;0;0;0;36;533;114;41;73;0;t0402;2020-12-18
kujawsko-pomorskie;bydgoski;99;8.29;1;0;1;128;1135;280;102;165;13;t0403;2020-12-18
kujawsko-pomorskie;chełmiński;23;4.44;1;0;1;54;463;108;25;79;4;t0404;2020-12-18
kujawsko-pomorskie;golubsko-dobrzyński;9;2.0;1;0;1;24;264;56;10;46;0;t0405;2020-12-18
kujawsko-pomorskie;grudziądzki;29;7.21;1;0;1;33;412;79;32;43;4;t0406;2020-12-18
kujawsko-pomorskie;inowrocławski;76;4.77;0;0;0;131;1088;200;87;110;3;t0407;2020-12-18
kujawsko-pomorskie;lipnowski;15;2.29;3;3;0;16;454;55;15;38;2;t0408;2020-12-18
kujawsko-pomorskie;mogileński;6;1.32;0;0;0;24;248;32;8;22;2;t0409;2020-12-18
kujawsko-pomorskie;nakielski;51;5.91;1;0;1;62;897;113;52;59;2;t0410;2020-12-18
kujawsko-pomorskie;radziejowski;2;0.5;1;0;1;23;304;29;2;26;1;t0411;2020-12-18
kujawsko-pomorskie;rypiński;9;2.07;2;0;2;18;229;53;9;42;2;t0412;2020-12-18
kujawsko-pomorskie;sępoleński;13;3.18;1;0;1;33;337;62;15;46;1;t0413;2020-12-18
kujawsko-pomorskie;świecki;40;4.04;2;0;2;62;976;162;41;119;2;t0414;2020-12-18
kujawsko-pomorskie;toruński;82;7.53;1;0;1;98;1223;209;83;126;0;t0415;2020-12-18
kujawsko-pomorskie;tucholski;14;2.9;0;0;0;30;459;76;18;57;1;t0416;2020-12-18
kujawsko-pomorskie;wąbrzeski;32;9.38;1;0;1;34;263;68;32;33;3;t0417;2020-12-18
kujawsko-pomorskie;włocławski;21;2.44;3;0;3;22;500;79;22;55;2;t0418;2020-12-18
kujawsko-pomorskie;żniński;34;4.85;1;0;1;41;602;98;36;61;1;t0419;2020-12-18
kujawsko-pomorskie;Bydgoszcz;299;8.62;5;2;3;356;2767;982;310;633;39;t0461;2020-12-18
kujawsko-pomorskie;Grudziądz;59;6.27;2;0;2;74;959;312;67;233;12;t0462;2020-12-18
kujawsko-pomorskie;Toruń;124;6.17;1;1;0;239;1528;632;131;487;14;t0463;2020-12-18
