wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;31757;8.28;448;110;338;46921;28491;480926;101079;33742;65131;2206;t0000;2021-03-26
dolnoœl¹skie;boles³awiecki;33;3.67;1;0;1;97;27;910;122;34;85;3;t0201;2021-03-26
dolnoœl¹skie;dzier¿oniowski;76;7.56;1;1;0;86;69;993;194;79;114;1;t0202;2021-03-26
dolnoœl¹skie;g³ogowski;107;12.04;0;0;0;112;46;1012;237;109;128;0;t0203;2021-03-26
dolnoœl¹skie;górowski;19;5.48;0;0;0;38;13;210;55;19;36;0;t0204;2021-03-26
dolnoœl¹skie;jaworski;38;7.61;2;2;0;50;34;411;77;39;36;2;t0205;2021-03-26
dolnoœl¹skie;jeleniogórski;81;12.78;0;0;0;61;26;714;166;85;81;0;t0206;2021-03-26
dolnoœl¹skie;kamiennogórski;62;14.40;0;0;0;41;66;794;125;63;59;3;t0207;2021-03-26
dolnoœl¹skie;k³odzki;176;11.20;2;0;2;197;200;2166;486;245;238;3;t0208;2021-03-26
dolnoœl¹skie;legnicki;31;5.61;0;0;0;55;34;560;111;34;74;3;t0209;2021-03-26
dolnoœl¹skie;lubañski;33;6.10;0;0;0;57;21;516;98;34;62;2;t0210;2021-03-26
dolnoœl¹skie;lubiñski;106;9.99;0;0;0;147;124;1252;274;114;153;7;t0211;2021-03-26
dolnoœl¹skie;lwówecki;10;2.18;0;0;0;67;22;535;77;12;63;2;t0212;2021-03-26
dolnoœl¹skie;milicki;43;11.65;0;0;0;63;22;757;103;43;58;2;t0213;2021-03-26
dolnoœl¹skie;oleœnicki;77;7.17;0;0;0;115;72;1254;197;83;111;3;t0214;2021-03-26
dolnoœl¹skie;o³awski;63;8.20;1;1;0;93;108;1497;195;71;120;4;t0215;2021-03-26
dolnoœl¹skie;polkowicki;54;8.56;0;0;0;79;59;910;156;55;98;3;t0216;2021-03-26
dolnoœl¹skie;strzeliñski;116;26.69;0;0;0;63;24;1057;183;120;58;5;t0217;2021-03-26
dolnoœl¹skie;œredzki;52;9.39;1;0;1;68;48;959;129;59;68;2;t0218;2021-03-26
dolnoœl¹skie;œwidnicki;141;9.01;1;0;1;175;109;2308;310;144;161;5;t0219;2021-03-26
dolnoœl¹skie;trzebnicki;76;8.90;0;0;0;112;79;1273;193;82;110;1;t0220;2021-03-26
dolnoœl¹skie;wa³brzyski;60;10.83;2;2;0;81;51;868;119;62;56;1;t0221;2021-03-26
dolnoœl¹skie;wo³owski;22;4.71;0;0;0;45;13;459;81;24;57;0;t0222;2021-03-26
dolnoœl¹skie;wroc³awski;181;11.76;4;3;1;306;200;2807;477;185;283;9;t0223;2021-03-26
dolnoœl¹skie;z¹bkowicki;47;7.29;0;0;0;74;61;752;126;54;71;1;t0224;2021-03-26
dolnoœl¹skie;zgorzelecki;34;3.83;0;0;0;65;52;682;107;37;68;2;t0225;2021-03-26
dolnoœl¹skie;z³otoryjski;9;2.08;0;0;0;41;11;298;33;10;22;1;t0226;2021-03-26
dolnoœl¹skie;Jelenia Góra;101;12.82;1;0;1;90;50;1130;246;111;134;1;t0261;2021-03-26
dolnoœl¹skie;Legnica;74;7.47;2;2;0;86;54;1138;258;78;163;17;t0262;2021-03-26
dolnoœl¹skie;Wroc³aw;679;10.55;10;9;1;1000;595;8113;2088;726;1333;29;t0264;2021-03-26
dolnoœl¹skie;Wa³brzych;106;9.58;0;0;0;117;78;1437;304;130;174;0;t0265;2021-03-26
kujawsko-pomorskie;aleksandrowski;52;9.45;2;0;2;93;59;896;154;57;91;6;t0401;2021-03-26
kujawsko-pomorskie;brodnicki;42;5.31;0;0;0;87;49;920;132;42;89;1;t0402;2021-03-26
kujawsko-pomorskie;bydgoski;131;10.97;1;0;1;193;149;1877;451;156;291;4;t0403;2021-03-26
kujawsko-pomorskie;che³miñski;35;6.75;0;0;0;68;47;545;192;51;139;2;t0404;2021-03-26
kujawsko-pomorskie;golubsko-dobrzyñski;44;9.79;0;0;0;74;58;808;107;49;57;1;t0405;2021-03-26
kujawsko-pomorskie;grudzi¹dzki;37;9.20;1;1;0;38;39;612;149;39;109;1;t0406;2021-03-26
kujawsko-pomorskie;inowroc³awski;91;5.71;2;0;2;219;172;1795;380;136;238;6;t0407;2021-03-26
kujawsko-pomorskie;lipnowski;20;3.05;0;0;0;57;48;715;141;20;116;5;t0408;2021-03-26
kujawsko-pomorskie;mogileñski;28;6.15;0;0;0;52;33;663;88;28;59;1;t0409;2021-03-26
kujawsko-pomorskie;nakielski;34;3.94;1;0;1;121;61;944;128;37;90;1;t0410;2021-03-26
kujawsko-pomorskie;radziejowski;20;4.97;0;0;0;30;9;219;84;20;63;1;t0411;2021-03-26
kujawsko-pomorskie;rypiñski;23;5.30;1;0;1;47;42;645;85;24;61;0;t0412;2021-03-26
kujawsko-pomorskie;sêpoleñski;16;3.91;0;0;0;18;19;293;58;16;38;4;t0413;2021-03-26
kujawsko-pomorskie;œwiecki;46;4.65;0;0;0;91;76;875;335;52;280;3;t0414;2021-03-26
kujawsko-pomorskie;toruñski;70;6.43;2;0;2;180;92;1356;302;86;213;3;t0415;2021-03-26
kujawsko-pomorskie;tucholski;16;3.31;1;0;1;53;37;876;113;37;75;1;t0416;2021-03-26
kujawsko-pomorskie;w¹brzeski;16;4.69;0;0;0;23;23;414;54;16;37;1;t0417;2021-03-26
kujawsko-pomorskie;w³oc³awski;29;3.38;3;0;3;70;45;555;124;29;93;2;t0418;2021-03-26
kujawsko-pomorskie;¿niñski;112;15.98;1;0;1;88;52;959;294;119;173;2;t0419;2021-03-26
kujawsko-pomorskie;Bydgoszcz;373;10.76;2;0;2;523;411;4152;1353;468;870;15;t0461;2021-03-26
kujawsko-pomorskie;Grudzi¹dz;92;9.78;0;0;0;156;109;1237;443;98;333;12;t0462;2021-03-26
kujawsko-pomorskie;Toruñ;134;6.66;2;0;2;281;151;2282;548;152;385;11;t0463;2021-03-26
kujawsko-pomorskie;W³oc³awek;40;3.66;4;0;4;102;71;658;155;43;112;0;t0464;2021-03-26
lubelskie;bialski;45;4.07;1;1;0;86;31;815;204;47;157;0;t0601;2021-03-26
lubelskie;bi³gorajski;44;4.37;1;0;1;97;50;1118;154;44;108;2;t0602;2021-03-26
lubelskie;che³mski;44;5.66;0;0;0;64;24;488;149;46;98;5;t0603;2021-03-26
lubelskie;hrubieszowski;33;5.28;0;0;0;84;55;938;119;38;77;4;t0604;2021-03-26
lubelskie;janowski;30;6.59;0;0;0;52;5;399;87;31;56;0;t0605;2021-03-26
lubelskie;krasnostawski;36;5.72;0;0;0;61;19;520;170;41;129;0;t0606;2021-03-26
lubelskie;kraœnicki;27;2.84;5;0;5;58;26;611;105;28;75;2;t0607;2021-03-26
lubelskie;lubartowski;6;0.68;0;0;0;61;23;419;51;6;45;0;t0608;2021-03-26
lubelskie;lubelski;57;3.65;3;0;3;126;43;1144;268;59;206;3;t0609;2021-03-26
lubelskie;³êczyñski;26;4.54;0;0;0;66;27;463;115;28;86;1;t0610;2021-03-26
lubelskie;³ukowski;43;4.03;0;0;0;61;31;750;155;61;91;3;t0611;2021-03-26
lubelskie;opolski;23;3.90;2;0;2;47;10;414;72;24;48;0;t0612;2021-03-26
lubelskie;parczewski;20;5.78;0;0;0;33;8;257;68;20;48;0;t0613;2021-03-26
lubelskie;pu³awski;69;6.12;0;0;0;142;59;1115;254;72;173;9;t0614;2021-03-26
lubelskie;radzyñski;23;3.92;2;0;2;36;18;454;99;23;76;0;t0615;2021-03-26
lubelskie;rycki;14;2.51;1;1;0;47;11;457;77;14;63;0;t0616;2021-03-26
lubelskie;œwidnicki;43;5.99;0;0;0;105;21;791;148;43;102;3;t0617;2021-03-26
lubelskie;tomaszowski;24;2.91;2;0;2;46;26;496;104;30;71;3;t0618;2021-03-26
lubelskie;w³odawski;7;1.83;0;0;0;27;15;403;51;7;42;2;t0619;2021-03-26
lubelskie;zamojski;55;5.20;0;0;0;84;46;788;155;56;95;4;t0620;2021-03-26
lubelskie;Bia³a Podlaska;46;8.04;2;2;0;64;25;430;183;46;137;0;t0661;2021-03-26
lubelskie;Che³m;47;7.63;0;0;0;75;31;491;146;47;97;2;t0662;2021-03-26
lubelskie;Lublin;220;6.48;1;0;1;424;175;2524;898;226;664;8;t0663;2021-03-26
lubelskie;Zamoœæ;40;6.33;0;0;0;72;33;515;107;41;64;2;t0664;2021-03-26
lubuskie;gorzowski;75;10.41;3;3;0;77;76;1041;222;78;141;3;t0801;2021-03-26
lubuskie;kroœnieñski;26;4.75;0;0;0;68;33;773;102;28;74;0;t0802;2021-03-26
lubuskie;miêdzyrzecki;71;12.37;0;0;0;60;73;1055;223;73;150;0;t0803;2021-03-26
lubuskie;nowosolski;62;7.21;0;0;0;116;85;1123;234;64;168;2;t0804;2021-03-26
lubuskie;s³ubicki;48;10.24;2;1;1;42;28;580;156;50;106;0;t0805;2021-03-26
