"wojewodztwo","powiat_miasto","liczba_przypadkow","liczba_na_10_tys_mieszkancow","zgony","stan_rekordu_na","Date"
"Cały kraj","Cały kraj",10141,2.64,540,2020-11-23,2020-11-24
"dolnośląskie","bolesławiecki",62,6.89,2,2020-11-23,2020-11-24
"dolnośląskie","dzierżoniowski",31,3.08,NA,2020-11-23,2020-11-24
"dolnośląskie","głogowski",19,2.14,1,2020-11-23,2020-11-24
"dolnośląskie","górowski",3,0.86,NA,2020-11-23,2020-11-24
"dolnośląskie","jaworski",30,6.01,1,2020-11-23,2020-11-24
"dolnośląskie","jeleniogórski",40,6.31,3,2020-11-23,2020-11-24
"dolnośląskie","kamiennogórski",21,4.88,NA,2020-11-23,2020-11-24
"dolnośląskie","kłodzki",20,1.27,4,2020-11-23,2020-11-24
"dolnośląskie","legnicki",28,5.07,2,2020-11-23,2020-11-24
"dolnośląskie","lubański",18,3.33,4,2020-11-23,2020-11-24
"dolnośląskie","lubiński",50,4.71,5,2020-11-23,2020-11-24
"dolnośląskie","lwówecki",17,3.71,NA,2020-11-23,2020-11-24
"dolnośląskie","milicki",4,1.08,NA,2020-11-23,2020-11-24
"dolnośląskie","oleśnicki",29,2.7,1,2020-11-23,2020-11-24
"dolnośląskie","oławski",19,2.47,1,2020-11-23,2020-11-24
"dolnośląskie","polkowicki",8,1.27,NA,2020-11-23,2020-11-24
"dolnośląskie","strzeliński",21,4.83,NA,2020-11-23,2020-11-24
"dolnośląskie","średzki",25,4.52,1,2020-11-23,2020-11-24
"dolnośląskie","świdnicki",50,3.19,NA,2020-11-23,2020-11-24
"dolnośląskie","trzebnicki",35,4.1,NA,2020-11-23,2020-11-24
"dolnośląskie","wałbrzyski",20,3.61,1,2020-11-23,2020-11-24
"dolnośląskie","wołowski",5,1.07,1,2020-11-23,2020-11-24
"dolnośląskie","wrocławski",48,3.12,NA,2020-11-23,2020-11-24
"dolnośląskie","ząbkowicki",11,1.71,2,2020-11-23,2020-11-24
"dolnośląskie","zgorzelecki",42,4.73,NA,2020-11-23,2020-11-24
"dolnośląskie","złotoryjski",22,5.08,NA,2020-11-23,2020-11-24
"dolnośląskie","Jelenia Góra",58,7.36,4,2020-11-23,2020-11-24
"dolnośląskie","Legnica",29,2.93,2,2020-11-23,2020-11-24
"dolnośląskie","Wrocław",217,3.37,14,2020-11-23,2020-11-24
"dolnośląskie","Wałbrzych",51,4.61,2,2020-11-23,2020-11-24
"kujawsko-pomorskie","aleksandrowski",9,1.64,1,2020-11-23,2020-11-24
"kujawsko-pomorskie","brodnicki",16,2.02,NA,2020-11-23,2020-11-24
"kujawsko-pomorskie","bydgoski",35,2.93,2,2020-11-23,2020-11-24
"kujawsko-pomorskie","chełmiński",15,2.89,NA,2020-11-23,2020-11-24
"kujawsko-pomorskie","golubsko-dobrzyński",3,0.67,NA,2020-11-23,2020-11-24
"kujawsko-pomorskie","grudziądzki",11,2.74,NA,2020-11-23,2020-11-24
"kujawsko-pomorskie","inowrocławski",27,1.69,2,2020-11-23,2020-11-24
"kujawsko-pomorskie","lipnowski",10,1.52,NA,2020-11-23,2020-11-24
"kujawsko-pomorskie","mogileński",2,0.44,NA,2020-11-23,2020-11-24
"kujawsko-pomorskie","nakielski",29,3.36,NA,2020-11-23,2020-11-24
"kujawsko-pomorskie","radziejowski",14,3.48,NA,2020-11-23,2020-11-24
"kujawsko-pomorskie","rypiński",6,1.38,NA,2020-11-23,2020-11-24
"kujawsko-pomorskie","sępoleński",13,3.18,NA,2020-11-23,2020-11-24
"kujawsko-pomorskie","świecki",17,1.72,NA,2020-11-23,2020-11-24
"kujawsko-pomorskie","toruński",16,1.47,1,2020-11-23,2020-11-24
"kujawsko-pomorskie","tucholski",10,2.07,NA,2020-11-23,2020-11-24
"kujawsko-pomorskie","wąbrzeski",2,0.59,NA,2020-11-23,2020-11-24
"kujawsko-pomorskie","włocławski",14,1.63,NA,2020-11-23,2020-11-24
"kujawsko-pomorskie","żniński",14,2,NA,2020-11-23,2020-11-24
"kujawsko-pomorskie","Bydgoszcz",167,4.82,9,2020-11-23,2020-11-24
"kujawsko-pomorskie","Grudziądz",32,3.4,NA,2020-11-23,2020-11-24
"kujawsko-pomorskie","Toruń",47,2.34,2,2020-11-23,2020-11-24
"kujawsko-pomorskie","Włocławek",20,1.83,NA,2020-11-23,2020-11-24
"lubelskie","bialski",38,3.44,3,2020-11-23,2020-11-24
"lubelskie","biłgorajski",17,1.69,NA,2020-11-23,2020-11-24
"lubelskie","chełmski",35,4.5,NA,2020-11-23,2020-11-24
"lubelskie","hrubieszowski",17,2.72,NA,2020-11-23,2020-11-24
"lubelskie","janowski",8,1.76,NA,2020-11-23,2020-11-24
"lubelskie","krasnostawski",5,0.79,NA,2020-11-23,2020-11-24
"lubelskie","kraśnicki",50,5.26,NA,2020-11-23,2020-11-24
"lubelskie","lubartowski",34,3.86,NA,2020-11-23,2020-11-24
"lubelskie","lubelski",65,4.17,NA,2020-11-23,2020-11-24
"lubelskie","łęczyński",24,4.19,1,2020-11-23,2020-11-24
"lubelskie","łukowski",11,1.03,NA,2020-11-23,2020-11-24
"lubelskie","opolski",21,3.56,1,2020-11-23,2020-11-24
"lubelskie","parczewski",8,2.31,NA,2020-11-23,2020-11-24
"lubelskie","puławski",28,2.48,NA,2020-11-23,2020-11-24
"lubelskie","radzyński",6,1.02,1,2020-11-23,2020-11-24
"lubelskie","rycki",8,1.43,2,2020-11-23,2020-11-24
"lubelskie","świdnicki",23,3.21,NA,2020-11-23,2020-11-24
"lubelskie","tomaszowski",5,0.61,NA,2020-11-23,2020-11-24
"lubelskie","włodawski",19,4.97,NA,2020-11-23,2020-11-24
"lubelskie","zamojski",29,2.74,NA,2020-11-23,2020-11-24
"lubelskie","Biała Podlaska",31,5.42,NA,2020-11-23,2020-11-24
"lubelskie","Chełm",14,2.27,NA,2020-11-23,2020-11-24
"lubelskie","Lublin",162,4.77,NA,2020-11-23,2020-11-24
"lubelskie","Zamość",13,2.06,NA,2020-11-23,2020-11-24
"lubuskie","gorzowski",7,0.97,NA,2020-11-23,2020-11-24
"lubuskie","krośnieński",18,3.29,NA,2020-11-23,2020-11-24
"lubuskie","międzyrzecki",17,2.96,NA,2020-11-23,2020-11-24
"lubuskie","nowosolski",27,3.14,1,2020-11-23,2020-11-24
"lubuskie","słubicki",9,1.92,NA,2020-11-23,2020-11-24
"lubuskie","strzelecko-drezdenecki",13,2.66,3,2020-11-23,2020-11-24
"lubuskie","sulęciński",6,1.71,NA,2020-11-23,2020-11-24
"lubuskie","świebodziński",9,1.62,2,2020-11-23,2020-11-24
"lubuskie","zielonogórski",31,4.1,NA,2020-11-23,2020-11-24
"lubuskie","żagański",25,3.18,NA,2020-11-23,2020-11-24
"lubuskie","żarski",24,2.51,3,2020-11-23,2020-11-24
"lubuskie","wschowski",8,2.06,NA,2020-11-23,2020-11-24
"lubuskie","Gorzów Wielkopolski",32,2.59,5,2020-11-23,2020-11-24
"lubuskie","Zielona Góra",41,2.9,NA,2020-11-23,2020-11-24
"łódzkie","bełchatowski",16,1.42,NA,2020-11-23,2020-11-24
"łódzkie","kutnowski",16,1.66,2,2020-11-23,2020-11-24
"łódzkie","łaski",5,1,NA,2020-11-23,2020-11-24
"łódzkie","łęczycki",31,6.25,1,2020-11-23,2020-11-24
"łódzkie","łowicki",22,2.83,NA,2020-11-23,2020-11-24
"łódzkie","łódzki wschodni",11,1.52,NA,2020-11-23,2020-11-24
"łódzkie","opoczyński",16,2.11,NA,2020-11-23,2020-11-24
"łódzkie","pabianicki",26,2.18,NA,2020-11-23,2020-11-24
"łódzkie","pajęczański",2,0.39,NA,2020-11-23,2020-11-24
"łódzkie","piotrkowski",27,2.96,3,2020-11-23,2020-11-24
"łódzkie","poddębicki",7,1.71,NA,2020-11-23,2020-11-24
"łódzkie","radomszczański",6,0.53,NA,2020-11-23,2020-11-24
"łódzkie","rawski",2,0.41,11,2020-11-23,2020-11-24
"łódzkie","sieradzki",30,2.56,NA,2020-11-23,2020-11-24
"łódzkie","skierniewicki",2,0.52,NA,2020-11-23,2020-11-24
"łódzkie","tomaszowski",26,2.24,NA,2020-11-23,2020-11-24
"łódzkie","wieluński",7,0.92,14,2020-11-23,2020-11-24
"łódzkie","wieruszowski",1,0.24,3,2020-11-23,2020-11-24
"łódzkie","zduńskowolski",14,2.11,3,2020-11-23,2020-11-24
"łódzkie","zgierski",29,1.75,2,2020-11-23,2020-11-24
"łódzkie","brzeziński",6,1.95,NA,2020-11-23,2020-11-24
"łódzkie","Łódź",227,3.35,NA,2020-11-23,2020-11-24
"łódzkie","Piotrków Trybunalski",22,3.02,NA,2020-11-23,2020-11-24
"łódzkie","Skierniewice",10,2.09,NA,2020-11-23,2020-11-24
"małopolskie","bocheński",7,0.65,2,2020-11-23,2020-11-24
"małopolskie","brzeski",9,0.97,5,2020-11-23,2020-11-24
"małopolskie","chrzanowski",14,1.13,1,2020-11-23,2020-11-24
"małopolskie","dąbrowski",10,1.69,8,2020-11-23,2020-11-24
"małopolskie","gorlicki",21,1.93,NA,2020-11-23,2020-11-24
"małopolskie","krakowski",62,2.21,2,2020-11-23,2020-11-24
"małopolskie","limanowski",12,0.91,5,2020-11-23,2020-11-24
"małopolskie","miechowski",5,1.03,2,2020-11-23,2020-11-24
"małopolskie","myślenicki",19,1.49,1,2020-11-23,2020-11-24
"małopolskie","nowosądecki",9,0.41,11,2020-11-23,2020-11-24
"małopolskie","nowotarski",5,0.26,6,2020-11-23,2020-11-24
"małopolskie","olkuski",19,1.71,2,2020-11-23,2020-11-24
"małopolskie","oświęcimski",28,1.83,5,2020-11-23,2020-11-24
"małopolskie","proszowicki",3,0.7,NA,2020-11-23,2020-11-24
"małopolskie","suski",10,1.19,2,2020-11-23,2020-11-24
"małopolskie","tarnowski",46,2.28,4,2020-11-23,2020-11-24
"małopolskie","tatrzański",2,0.29,NA,2020-11-23,2020-11-24
"małopolskie","wadowicki",6,0.38,NA,2020-11-23,2020-11-24
"małopolskie","wielicki",22,1.69,NA,2020-11-23,2020-11-24
"małopolskie","Kraków",165,2.11,4,2020-11-23,2020-11-24
"małopolskie","Nowy Sącz",4,0.48,2,2020-11-23,2020-11-24
"małopolskie","Tarnów",11,1.02,2,2020-11-23,2020-11-24
"mazowieckie","białobrzeski",3,0.9,NA,2020-11-23,2020-11-24
"mazowieckie","ciechanowski",19,2.13,1,2020-11-23,2020-11-24
"mazowieckie","garwoliński",17,1.56,NA,2020-11-23,2020-11-24
"mazowieckie","gostyniński",6,1.34,1,2020-11-23,2020-11-24
"mazowieckie","grodziski",41,4.24,1,2020-11-23,2020-11-24
"mazowieckie","grójecki",15,1.53,1,2020-11-23,2020-11-24
"mazowieckie","kozienicki",13,2.17,1,2020-11-23,2020-11-24
"mazowieckie","legionowski",26,2.18,NA,2020-11-23,2020-11-24
"mazowieckie","lipski",3,0.89,1,2020-11-23,2020-11-24
"mazowieckie","łosicki",7,2.28,NA,2020-11-23,2020-11-24
"mazowieckie","makowski",3,0.67,NA,2020-11-23,2020-11-24
"mazowieckie","miński",33,2.13,NA,2020-11-23,2020-11-24
"mazowieckie","mławski",14,1.93,NA,2020-11-23,2020-11-24
"mazowieckie","nowodworski",17,2.14,2,2020-11-23,2020-11-24
"mazowieckie","ostrołęcki",15,1.69,NA,2020-11-23,2020-11-24
"mazowieckie","ostrowski",10,1.39,NA,2020-11-23,2020-11-24
"mazowieckie","otwocki",66,5.3,NA,2020-11-23,2020-11-24
"mazowieckie","piaseczyński",62,3.27,2,2020-11-23,2020-11-24
"mazowieckie","płocki",22,1.98,4,2020-11-23,2020-11-24
"mazowieckie","płoński",12,1.38,1,2020-11-23,2020-11-24
"mazowieckie","pruszkowski",48,2.88,9,2020-11-23,2020-11-24
"mazowieckie","przasnyski",5,0.96,2,2020-11-23,2020-11-24
"mazowieckie","przysuski",4,0.97,1,2020-11-23,2020-11-24
"mazowieckie","pułtuski",10,1.93,1,2020-11-23,2020-11-24
"mazowieckie","radomski",23,1.51,NA,2020-11-23,2020-11-24
"mazowieckie","siedlecki",6,0.74,1,2020-11-23,2020-11-24
"mazowieckie","sierpecki",5,0.97,NA,2020-11-23,2020-11-24
"mazowieckie","sochaczewski",8,0.94,NA,2020-11-23,2020-11-24
"mazowieckie","sokołowski",12,2.24,NA,2020-11-23,2020-11-24
"mazowieckie","szydłowiecki",5,1.26,1,2020-11-23,2020-11-24
"mazowieckie","warszawski zachodni",35,2.93,1,2020-11-23,2020-11-24
"mazowieckie","węgrowski",9,1.37,NA,2020-11-23,2020-11-24
"mazowieckie","wołomiński",40,1.59,3,2020-11-23,2020-11-24
"mazowieckie","wyszkowski",5,0.67,NA,2020-11-23,2020-11-24
"mazowieckie","zwoleński",4,1.11,NA,2020-11-23,2020-11-24
"mazowieckie","żuromiński",5,1.3,1,2020-11-23,2020-11-24
"mazowieckie","żyrardowski",16,2.12,1,2020-11-23,2020-11-24
"mazowieckie","Ostrołęka",17,3.28,NA,2020-11-23,2020-11-24
"mazowieckie","Płock",23,1.93,NA,2020-11-23,2020-11-24
"mazowieckie","Radom",54,2.56,1,2020-11-23,2020-11-24
"mazowieckie","Siedlce",6,0.77,1,2020-11-23,2020-11-24
"mazowieckie","Warszawa",437,2.44,13,2020-11-23,2020-11-24
"opolskie","brzeski",31,3.46,1,2020-11-23,2020-11-24
"opolskie","głubczycki",51,11.26,1,2020-11-23,2020-11-24
"opolskie","kędzierzyńsko-kozielski",24,2.57,3,2020-11-23,2020-11-24
"opolskie","kluczborski",16,2.45,NA,2020-11-23,2020-11-24
"opolskie","krapkowicki",26,4.09,3,2020-11-23,2020-11-24
"opolskie","namysłowski",19,4.45,NA,2020-11-23,2020-11-24
"opolskie","nyski",84,6.2,NA,2020-11-23,2020-11-24
"opolskie","oleski",22,3.43,2,2020-11-23,2020-11-24
"opolskie","opolski",73,5.9,5,2020-11-23,2020-11-24
"opolskie","prudnicki",21,3.81,3,2020-11-23,2020-11-24
"opolskie","strzelecki",27,3.64,1,2020-11-23,2020-11-24
"opolskie","Opole",120,9.37,5,2020-11-23,2020-11-24
"podkarpackie","bieszczadzki",2,0.93,NA,2020-11-23,2020-11-24
"podkarpackie","brzozowski",11,1.68,NA,2020-11-23,2020-11-24
"podkarpackie","dębicki",11,0.81,1,2020-11-23,2020-11-24
"podkarpackie","jarosławski",61,5.08,1,2020-11-23,2020-11-24
"podkarpackie","jasielski",33,2.91,NA,2020-11-23,2020-11-24
"podkarpackie","kolbuszowski",20,3.22,NA,2020-11-23,2020-11-24
"podkarpackie","krośnieński",36,3.21,NA,2020-11-23,2020-11-24
"podkarpackie","leżajski",3,0.43,NA,2020-11-23,2020-11-24
"podkarpackie","lubaczowski",4,0.73,2,2020-11-23,2020-11-24
"podkarpackie","łańcucki",28,3.45,NA,2020-11-23,2020-11-24
"podkarpackie","mielecki",83,6.07,1,2020-11-23,2020-11-24
"podkarpackie","niżański",7,1.05,1,2020-11-23,2020-11-24
"podkarpackie","przemyski",15,2.03,2,2020-11-23,2020-11-24
"podkarpackie","przeworski",12,1.53,NA,2020-11-23,2020-11-24
"podkarpackie","ropczycko-sędziszowski",0,0,NA,2020-11-23,2020-11-24
"podkarpackie","rzeszowski",39,2.29,NA,2020-11-23,2020-11-24
"podkarpackie","sanocki",7,0.74,2,2020-11-23,2020-11-24
"podkarpackie","stalowowolski",9,0.85,NA,2020-11-23,2020-11-24
"podkarpackie","strzyżowski",6,0.98,NA,2020-11-23,2020-11-24
"podkarpackie","tarnobrzeski",30,5.67,NA,2020-11-23,2020-11-24
"podkarpackie","leski",1,0.38,1,2020-11-23,2020-11-24
"podkarpackie","Krosno",18,3.9,NA,2020-11-23,2020-11-24
"podkarpackie","Przemyśl",7,1.16,NA,2020-11-23,2020-11-24
"podkarpackie","Rzeszów",80,4.06,2,2020-11-23,2020-11-24
"podkarpackie","Tarnobrzeg",17,3.65,NA,2020-11-23,2020-11-24
"podlaskie","augustowski",11,1.9,NA,2020-11-23,2020-11-24
"podlaskie","białostocki",34,2.26,NA,2020-11-23,2020-11-24
"podlaskie","bielski",5,0.92,NA,2020-11-23,2020-11-24
"podlaskie","grajewski",3,0.64,NA,2020-11-23,2020-11-24
"podlaskie","hajnowski",21,4.97,1,2020-11-23,2020-11-24
"podlaskie","kolneński",3,0.79,2,2020-11-23,2020-11-24
"podlaskie","łomżyński",13,2.55,1,2020-11-23,2020-11-24
"podlaskie","moniecki",34,8.45,13,2020-11-23,2020-11-24
"podlaskie","sejneński",5,2.52,NA,2020-11-23,2020-11-24
"podlaskie","siemiatycki",19,4.33,NA,2020-11-23,2020-11-24
"podlaskie","sokólski",43,6.49,NA,2020-11-23,2020-11-24
"podlaskie","suwalski",8,2.25,NA,2020-11-23,2020-11-24
"podlaskie","wysokomazowiecki",1,0.18,2,2020-11-23,2020-11-24
"podlaskie","zambrowski",6,1.38,NA,2020-11-23,2020-11-24
"podlaskie","Białystok",62,2.08,NA,2020-11-23,2020-11-24
"podlaskie","Łomża",21,3.34,NA,2020-11-23,2020-11-24
"podlaskie","Suwałki",20,2.87,NA,2020-11-23,2020-11-24
"pomorskie","bytowski",13,1.64,NA,2020-11-23,2020-11-24
"pomorskie","chojnicki",17,1.74,3,2020-11-23,2020-11-24
"pomorskie","człuchowski",65,11.62,NA,2020-11-23,2020-11-24
"pomorskie","gdański",49,4.11,1,2020-11-23,2020-11-24
"pomorskie","kartuski",44,3.13,4,2020-11-23,2020-11-24
"pomorskie","kościerski",36,4.94,1,2020-11-23,2020-11-24
"pomorskie","kwidzyński",8,0.96,2,2020-11-23,2020-11-24
"pomorskie","lęborski",12,1.82,NA,2020-11-23,2020-11-24
"pomorskie","malborski",25,3.94,2,2020-11-23,2020-11-24
"pomorskie","nowodworski",15,4.23,NA,2020-11-23,2020-11-24
"pomorskie","pucki",74,8.49,1,2020-11-23,2020-11-24
"pomorskie","słupski",58,5.87,NA,2020-11-23,2020-11-24
"pomorskie","starogardzki",54,4.21,NA,2020-11-23,2020-11-24
"pomorskie","tczewski",40,3.46,1,2020-11-23,2020-11-24
"pomorskie","wejherowski",73,3.34,2,2020-11-23,2020-11-24
"pomorskie","sztumski",9,2.19,5,2020-11-23,2020-11-24
"pomorskie","Gdańsk",234,4.96,9,2020-11-23,2020-11-24
"pomorskie","Gdynia",105,4.27,4,2020-11-23,2020-11-24
"pomorskie","Słupsk",47,5.2,NA,2020-11-23,2020-11-24
"pomorskie","Sopot",11,3.09,NA,2020-11-23,2020-11-24
"śląskie","będziński",56,3.79,6,2020-11-23,2020-11-24
"śląskie","bielski",12,0.72,7,2020-11-23,2020-11-24
"śląskie","cieszyński",27,1.52,1,2020-11-23,2020-11-24
"śląskie","częstochowski",23,1.71,4,2020-11-23,2020-11-24
"śląskie","gliwicki",40,3.46,2,2020-11-23,2020-11-24
"śląskie","kłobucki",7,0.83,1,2020-11-23,2020-11-24
"śląskie","lubliniecki",25,3.28,3,2020-11-23,2020-11-24
"śląskie","mikołowski",28,2.82,3,2020-11-23,2020-11-24
"śląskie","myszkowski",9,1.27,3,2020-11-23,2020-11-24
"śląskie","pszczyński",20,1.79,3,2020-11-23,2020-11-24
"śląskie","raciborski",32,2.96,1,2020-11-23,2020-11-24
"śląskie","rybnicki",9,1.15,NA,2020-11-23,2020-11-24
"śląskie","tarnogórski",45,3.2,NA,2020-11-23,2020-11-24
"śląskie","bieruńsko-lędziński",17,2.84,3,2020-11-23,2020-11-24
"śląskie","wodzisławski",10,0.64,NA,2020-11-23,2020-11-24
"śląskie","zawierciański",39,3.33,5,2020-11-23,2020-11-24
"śląskie","żywiecki",13,0.85,6,2020-11-23,2020-11-24
"śląskie","Bielsko-Biała",22,1.29,4,2020-11-23,2020-11-24
"śląskie","Bytom",11,0.67,3,2020-11-23,2020-11-24
"śląskie","Chorzów",32,2.98,4,2020-11-23,2020-11-24
"śląskie","Częstochowa",29,1.32,5,2020-11-23,2020-11-24
"śląskie","Dąbrowa Górnicza",36,3.03,2,2020-11-23,2020-11-24
"śląskie","Gliwice",35,1.96,NA,2020-11-23,2020-11-24
"śląskie","Jastrzębie-Zdrój",15,1.7,2,2020-11-23,2020-11-24
"śląskie","Jaworzno",25,2.75,1,2020-11-23,2020-11-24
"śląskie","Katowice",72,2.47,2,2020-11-23,2020-11-24
"śląskie","Mysłowice",14,1.88,2,2020-11-23,2020-11-24
"śląskie","Piekary Śląskie",4,0.73,1,2020-11-23,2020-11-24
"śląskie","Ruda Śląska",20,1.46,NA,2020-11-23,2020-11-24
"śląskie","Rybnik",40,2.9,NA,2020-11-23,2020-11-24
"śląskie","Siemianowice Śląskie",7,1.05,1,2020-11-23,2020-11-24
"śląskie","Sosnowiec",37,1.86,NA,2020-11-23,2020-11-24
"śląskie","Świętochłowice",6,1.22,NA,2020-11-23,2020-11-24
"śląskie","Tychy",32,2.51,1,2020-11-23,2020-11-24
"śląskie","Zabrze",90,5.24,1,2020-11-23,2020-11-24
"śląskie","Żory",5,0.8,NA,2020-11-23,2020-11-24
"świętokrzyskie","buski",17,2.38,NA,2020-11-23,2020-11-24
"świętokrzyskie","jędrzejowski",19,2.23,3,2020-11-23,2020-11-24
"świętokrzyskie","kazimierski",6,1.79,NA,2020-11-23,2020-11-24
"świętokrzyskie","kielecki",45,2.13,NA,2020-11-23,2020-11-24
"świętokrzyskie","konecki",49,6.16,1,2020-11-23,2020-11-24
"świętokrzyskie","opatowski",9,1.74,3,2020-11-23,2020-11-24
"świętokrzyskie","ostrowiecki",28,2.58,1,2020-11-23,2020-11-24
"świętokrzyskie","pińczowski",9,2.33,NA,2020-11-23,2020-11-24
"świętokrzyskie","sandomierski",9,1.17,NA,2020-11-23,2020-11-24
"świętokrzyskie","skarżyski",33,4.49,NA,2020-11-23,2020-11-24
"świętokrzyskie","starachowicki",46,5.16,7,2020-11-23,2020-11-24
"świętokrzyskie","staszowski",20,2.79,1,2020-11-23,2020-11-24
"świętokrzyskie","włoszczowski",9,2,NA,2020-11-23,2020-11-24
"świętokrzyskie","Kielce",60,3.09,1,2020-11-23,2020-11-24
"warmińsko-mazurskie","bartoszycki",30,5.27,1,2020-11-23,2020-11-24
"warmińsko-mazurskie","braniewski",12,2.93,1,2020-11-23,2020-11-24
"warmińsko-mazurskie","działdowski",45,6.93,NA,2020-11-23,2020-11-24
"warmińsko-mazurskie","elbląski",5,0.88,NA,2020-11-23,2020-11-24
"warmińsko-mazurskie","ełcki",42,4.58,2,2020-11-23,2020-11-24
"warmińsko-mazurskie","giżycki",13,2.3,NA,2020-11-23,2020-11-24
"warmińsko-mazurskie","iławski",18,1.94,NA,2020-11-23,2020-11-24
"warmińsko-mazurskie","kętrzyński",7,1.13,4,2020-11-23,2020-11-24
"warmińsko-mazurskie","lidzbarski",14,3.41,NA,2020-11-23,2020-11-24
"warmińsko-mazurskie","mrągowski",8,1.61,1,2020-11-23,2020-11-24
"warmińsko-mazurskie","nidzicki",8,2.44,2,2020-11-23,2020-11-24
"warmińsko-mazurskie","nowomiejski",2,0.46,NA,2020-11-23,2020-11-24
"warmińsko-mazurskie","olecki",5,1.47,2,2020-11-23,2020-11-24
"warmińsko-mazurskie","olsztyński",52,4.09,NA,2020-11-23,2020-11-24
"warmińsko-mazurskie","ostródzki",14,1.35,3,2020-11-23,2020-11-24
"warmińsko-mazurskie","piski",50,8.94,3,2020-11-23,2020-11-24
"warmińsko-mazurskie","szczycieński",21,3.03,NA,2020-11-23,2020-11-24
"warmińsko-mazurskie","gołdapski",1,0.38,NA,2020-11-23,2020-11-24
"warmińsko-mazurskie","węgorzewski",4,1.77,3,2020-11-23,2020-11-24
"warmińsko-mazurskie","Elbląg",37,3.11,2,2020-11-23,2020-11-24
"warmińsko-mazurskie","Olsztyn",88,5.12,7,2020-11-23,2020-11-24
"wielkopolskie","chodzieski",5,1.06,NA,2020-11-23,2020-11-24
"wielkopolskie","czarnkowsko-trzcianecki",22,2.53,3,2020-11-23,2020-11-24
"wielkopolskie","gnieźnieński",36,2.48,1,2020-11-23,2020-11-24
"wielkopolskie","gostyński",13,1.71,NA,2020-11-23,2020-11-24
"wielkopolskie","grodziski",5,0.96,NA,2020-11-23,2020-11-24
"wielkopolskie","jarociński",18,2.52,1,2020-11-23,2020-11-24
"wielkopolskie","kaliski",2,0.24,1,2020-11-23,2020-11-24
"wielkopolskie","kępiński",13,2.3,NA,2020-11-23,2020-11-24
"wielkopolskie","kolski",6,0.69,1,2020-11-23,2020-11-24
"wielkopolskie","koniński",7,0.54,NA,2020-11-23,2020-11-24
"wielkopolskie","kościański",5,0.63,1,2020-11-23,2020-11-24
"wielkopolskie","krotoszyński",4,0.52,1,2020-11-23,2020-11-24
"wielkopolskie","leszczyński",2,0.35,NA,2020-11-23,2020-11-24
"wielkopolskie","międzychodzki",3,0.82,NA,2020-11-23,2020-11-24
"wielkopolskie","nowotomyski",13,1.72,NA,2020-11-23,2020-11-24
"wielkopolskie","obornicki",19,3.18,NA,2020-11-23,2020-11-24
"wielkopolskie","ostrowski",10,0.62,NA,2020-11-23,2020-11-24
"wielkopolskie","ostrzeszowski",15,2.71,NA,2020-11-23,2020-11-24
"wielkopolskie","pilski",15,1.1,NA,2020-11-23,2020-11-24
"wielkopolskie","pleszewski",2,0.32,NA,2020-11-23,2020-11-24
"wielkopolskie","poznański",136,3.37,21,2020-11-23,2020-11-24
"wielkopolskie","rawicki",5,0.83,1,2020-11-23,2020-11-24
"wielkopolskie","słupecki",24,4.07,1,2020-11-23,2020-11-24
"wielkopolskie","szamotulski",17,1.85,NA,2020-11-23,2020-11-24
"wielkopolskie","średzki",28,4.74,NA,2020-11-23,2020-11-24
"wielkopolskie","śremski",8,1.3,1,2020-11-23,2020-11-24
"wielkopolskie","turecki",9,1.07,NA,2020-11-23,2020-11-24
"wielkopolskie","wągrowiecki",6,0.85,1,2020-11-23,2020-11-24
"wielkopolskie","wolsztyński",3,0.52,1,2020-11-23,2020-11-24
"wielkopolskie","wrzesiński",21,2.69,3,2020-11-23,2020-11-24
"wielkopolskie","złotowski",6,0.87,3,2020-11-23,2020-11-24
"wielkopolskie","Kalisz",12,1.2,NA,2020-11-23,2020-11-24
"wielkopolskie","Konin",2,0.27,NA,2020-11-23,2020-11-24
"wielkopolskie","Leszno",9,1.42,NA,2020-11-23,2020-11-24
"wielkopolskie","Poznań",148,2.77,NA,2020-11-23,2020-11-24
"zachodniopomorskie","białogardzki",3,0.63,NA,2020-11-23,2020-11-24
"zachodniopomorskie","choszczeński",9,1.87,1,2020-11-23,2020-11-24
"zachodniopomorskie","drawski",28,4.93,2,2020-11-23,2020-11-24
"zachodniopomorskie","goleniowski",28,3.4,1,2020-11-23,2020-11-24
"zachodniopomorskie","gryficki",10,1.67,NA,2020-11-23,2020-11-24
"zachodniopomorskie","gryfiński",31,3.8,2,2020-11-23,2020-11-24
"zachodniopomorskie","kamieński",3,0.64,NA,2020-11-23,2020-11-24
"zachodniopomorskie","kołobrzeski",11,1.39,1,2020-11-23,2020-11-24
"zachodniopomorskie","koszaliński",6,0.9,1,2020-11-23,2020-11-24
"zachodniopomorskie","myśliborski",15,2.29,2,2020-11-23,2020-11-24
"zachodniopomorskie","policki",17,2.09,1,2020-11-23,2020-11-24
"zachodniopomorskie","pyrzycki",9,2.29,1,2020-11-23,2020-11-24
"zachodniopomorskie","sławieński",9,1.61,2,2020-11-23,2020-11-24
"zachodniopomorskie","stargardzki",59,4.91,2,2020-11-23,2020-11-24
"zachodniopomorskie","szczecinecki",41,5.3,2,2020-11-23,2020-11-24
"zachodniopomorskie","świdwiński",4,0.86,4,2020-11-23,2020-11-24
"zachodniopomorskie","wałecki",21,3.97,NA,2020-11-23,2020-11-24
