"","wojewodztwo","powiat_miasto","liczba_przypadkow","liczba_na_10_tys_mieszkancow","zgony","zgony_w_wyniku_covid_bez_chorob_wspolistniejacych","zgony_w_wyniku_covid_i_chorob_wspolistniejacych","liczba_zlecen_poz","liczba_ozdrowiencow","liczba_osob_objetych_kwarantanna","liczba_wykonanych_testow","liczba_testow_z_wynikiem_pozytywnym","liczba_testow_z_wynikiem_negatywnym","liczba_pozostalych_testow","teryt","stan_rekordu_na"
"1","Cały kraj","Cały kraj",428,0.11,108,27,81,4293,378,59658,58099,677,57187,235,"t0000",2021-06-08
"2","dolnośląskie","bolesławiecki",5,0.56,0,0,0,15,2,181,144,7,137,0,"t0201",2021-06-08
"3","dolnośląskie","dzierżoniowski",0,0,2,1,1,4,3,74,90,0,89,1,"t0202",2021-06-08
"4","dolnośląskie","głogowski",1,0.11,0,0,0,12,0,127,104,1,103,0,"t0203",2021-06-08
"5","dolnośląskie","górowski",0,0,0,0,0,2,0,55,31,1,29,1,"t0204",2021-06-08
"6","dolnośląskie","jaworski",1,0.2,0,0,0,8,1,53,44,2,42,0,"t0205",2021-06-08
"7","dolnośląskie","jeleniogórski",0,0,0,0,0,4,2,57,123,0,123,0,"t0206",2021-06-08
"8","dolnośląskie","kamiennogórski",1,0.23,0,0,0,10,0,60,49,1,48,0,"t0207",2021-06-08
"9","dolnośląskie","kłodzki",2,0.13,0,0,0,13,2,116,128,3,125,0,"t0208",2021-06-08
"10","dolnośląskie","legnicki",0,0,0,0,0,4,0,75,47,0,47,0,"t0209",2021-06-08
"11","dolnośląskie","lubański",2,0.37,1,1,0,5,0,74,39,2,37,0,"t0210",2021-06-08
"12","dolnośląskie","lubiński",1,0.09,1,0,1,4,0,51,111,2,109,0,"t0211",2021-06-08
"13","dolnośląskie","lwówecki",0,0,0,0,0,15,2,56,68,0,68,0,"t0212",2021-06-08
"14","dolnośląskie","milicki",0,0,0,0,0,1,0,36,51,1,50,0,"t0213",2021-06-08
"15","dolnośląskie","oleśnicki",2,0.19,0,0,0,14,3,158,117,3,114,0,"t0214",2021-06-08
"16","dolnośląskie","oławski",0,0,0,0,0,7,1,123,114,3,111,0,"t0215",2021-06-08
"17","dolnośląskie","polkowicki",0,0,0,0,0,9,1,47,63,0,63,0,"t0216",2021-06-08
"18","dolnośląskie","strzeliński",1,0.23,0,0,0,6,1,20,36,1,35,0,"t0217",2021-06-08
"19","dolnośląskie","średzki",3,0.54,0,0,0,7,0,102,78,3,75,0,"t0218",2021-06-08
"20","dolnośląskie","świdnicki",2,0.13,0,0,0,10,0,199,182,3,179,0,"t0219",2021-06-08
"21","dolnośląskie","trzebnicki",1,0.12,0,0,0,6,1,211,117,1,116,0,"t0220",2021-06-08
"22","dolnośląskie","wałbrzyski",0,0,1,1,0,4,0,25,74,1,73,0,"t0221",2021-06-08
"23","dolnośląskie","wołowski",1,0.21,0,0,0,9,0,79,48,1,47,0,"t0222",2021-06-08
"24","dolnośląskie","wrocławski",3,0.19,0,0,0,15,2,287,267,4,262,1,"t0223",2021-06-08
"25","dolnośląskie","ząbkowicki",1,0.16,0,0,0,11,0,46,55,1,54,0,"t0224",2021-06-08
"26","dolnośląskie","zgorzelecki",3,0.34,0,0,0,6,2,80,45,4,41,0,"t0225",2021-06-08
"27","dolnośląskie","złotoryjski",1,0.23,0,0,0,3,3,59,46,1,45,0,"t0226",2021-06-08
"28","dolnośląskie","Jelenia Góra",1,0.13,0,0,0,8,2,67,122,1,119,2,"t0261",2021-06-08
"29","dolnośląskie","Legnica",2,0.2,3,3,0,13,2,183,107,2,104,1,"t0262",2021-06-08
"30","dolnośląskie","Wrocław",9,0.14,2,2,0,99,11,1711,1419,11,1400,8,"t0264",2021-06-08
"31","dolnośląskie","Wałbrzych",1,0.09,0,0,0,3,0,70,183,1,182,0,"t0265",2021-06-08
"32","kujawsko-pomorskie","aleksandrowski",1,0.18,0,0,0,5,0,34,71,1,70,0,"t0401",2021-06-08
"33","kujawsko-pomorskie","brodnicki",0,0,0,0,0,4,1,48,85,0,84,1,"t0402",2021-06-08
"34","kujawsko-pomorskie","bydgoski",3,0.25,0,0,0,16,0,150,178,3,174,1,"t0403",2021-06-08
"35","kujawsko-pomorskie","chełmiński",0,0,0,0,0,6,0,34,49,0,49,0,"t0404",2021-06-08
"36","kujawsko-pomorskie","golubsko-dobrzyński",0,0,0,0,0,3,0,20,37,1,36,0,"t0405",2021-06-08
"37","kujawsko-pomorskie","grudziądzki",0,0,0,0,0,2,0,14,47,0,46,1,"t0406",2021-06-08
"38","kujawsko-pomorskie","inowrocławski",0,0,1,1,0,14,0,117,168,0,167,1,"t0407",2021-06-08
"39","kujawsko-pomorskie","lipnowski",0,0,0,0,0,2,1,78,76,0,75,1,"t0408",2021-06-08
"40","kujawsko-pomorskie","mogileński",1,0.22,0,0,0,6,0,18,46,1,45,0,"t0409",2021-06-08
