wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;15392;4.01;596;164;432;23489;24781;398991;89629;17016;71402;1211;t0000;2021-12-23
dolnoœl¹skie;boles³awiecki;40;4.44;2;0;2;66;98;844;173;49;120;4;t0201;2021-12-23
dolnoœl¹skie;dzier¿oniowski;36;3.58;2;2;0;40;50;842;175;37;137;1;t0202;2021-12-23
dolnoœl¹skie;g³ogowski;28;3.15;5;0;5;28;59;745;126;30;93;3;t0203;2021-12-23
dolnoœl¹skie;górowski;4;1.15;0;0;0;23;25;370;45;4;40;1;t0204;2021-12-23
dolnoœl¹skie;jaworski;20;4.01;0;0;0;30;56;547;85;24;59;2;t0205;2021-12-23
dolnoœl¹skie;jeleniogórski;34;5.36;2;0;2;36;32;459;97;40;56;1;t0206;2021-12-23
dolnoœl¹skie;kamiennogórski;8;1.86;0;0;0;14;11;208;49;8;41;0;t0207;2021-12-23
dolnoœl¹skie;k³odzki;52;3.31;1;0;1;70;56;1504;242;57;184;1;t0208;2021-12-23
dolnoœl¹skie;legnicki;30;5.43;3;3;0;29;44;748;101;32;69;0;t0209;2021-12-23
dolnoœl¹skie;lubañski;11;2.03;0;0;0;27;34;374;68;12;56;0;t0210;2021-12-23
dolnoœl¹skie;lubiñski;44;4.15;0;0;0;49;81;1091;210;50;159;1;t0211;2021-12-23
dolnoœl¹skie;lwówecki;11;2.40;0;0;0;35;20;246;67;12;53;2;t0212;2021-12-23
dolnoœl¹skie;milicki;15;4.06;1;1;0;22;38;674;67;16;51;0;t0213;2021-12-23
dolnoœl¹skie;oleœnicki;56;5.22;1;1;0;71;75;1200;199;57;139;3;t0214;2021-12-23
dolnoœl¹skie;o³awski;44;5.73;0;0;0;42;40;1212;191;47;138;6;t0215;2021-12-23
dolnoœl¹skie;polkowicki;31;4.91;2;2;0;30;55;739;132;34;98;0;t0216;2021-12-23
dolnoœl¹skie;strzeliñski;12;2.76;1;1;0;21;42;549;56;13;43;0;t0217;2021-12-23
dolnoœl¹skie;œredzki;38;6.86;0;0;0;45;52;916;147;38;108;1;t0218;2021-12-23
dolnoœl¹skie;œwidnicki;68;4.34;2;0;2;76;100;1544;275;77;196;2;t0219;2021-12-23
dolnoœl¹skie;trzebnicki;43;5.04;1;1;0;52;38;924;181;53;128;0;t0220;2021-12-23
dolnoœl¹skie;wa³brzyski;19;3.43;1;1;0;22;25;462;91;20;71;0;t0221;2021-12-23
dolnoœl¹skie;wo³owski;23;4.92;0;0;0;18;40;530;96;23;71;2;t0222;2021-12-23
dolnoœl¹skie;wroc³awski;92;5.98;2;2;0;129;112;2176;482;101;375;6;t0223;2021-12-23
dolnoœl¹skie;z¹bkowicki;7;1.09;0;0;0;29;21;525;67;8;58;1;t0224;2021-12-23
