"","wojewodztwo","powiat_miasto","liczba_przypadkow","liczba_na_10_tys_mieszkancow","zgony","zgony_w_wyniku_covid_bez_chorob_wspolistniejacych","zgony_w_wyniku_covid_i_chorob_wspolistniejacych","liczba_zlecen_poz","liczba_ozdrowiencow","liczba_osob_objetych_kwarantanna","liczba_wykonanych_testow","liczba_testow_z_wynikiem_pozytywnym","liczba_testow_z_wynikiem_negatywnym","liczba_pozostalych_testow","teryt","stan_rekordu_na"
"1","Cały kraj","Cały kraj",312,0.08,13,4,9,1147,983,60495,44710,388,44188,134,"t0000",2021-06-05
"2","dolnośląskie","bolesławiecki",0,0,0,0,0,0,2,228,84,2,81,1,"t0201",2021-06-05
"3","dolnośląskie","dzierżoniowski",0,0,0,0,0,0,2,87,58,0,58,0,"t0202",2021-06-05
"4","dolnośląskie","głogowski",0,0,0,0,0,0,2,88,86,0,86,0,"t0203",2021-06-05
"5","dolnośląskie","górowski",0,0,0,0,0,1,1,55,23,0,23,0,"t0204",2021-06-05
"6","dolnośląskie","jaworski",0,0,0,0,0,2,3,73,29,0,29,0,"t0205",2021-06-05
"7","dolnośląskie","jeleniogórski",0,0,0,0,0,1,1,62,89,0,89,0,"t0206",2021-06-05
"8","dolnośląskie","kamiennogórski",0,0,0,0,0,0,0,59,18,0,18,0,"t0207",2021-06-05
"9","dolnośląskie","kłodzki",0,0,0,0,0,8,5,98,133,0,133,0,"t0208",2021-06-05
"10","dolnośląskie","legnicki",1,0.18,0,0,0,2,1,89,24,1,23,0,"t0209",2021-06-05
"11","dolnośląskie","lubański",0,0,0,0,0,3,1,70,43,0,43,0,"t0210",2021-06-05
"12","dolnośląskie","lubiński",0,0,0,0,0,2,5,44,73,0,73,0,"t0211",2021-06-05
"13","dolnośląskie","lwówecki",0,0,0,0,0,1,1,56,32,0,32,0,"t0212",2021-06-05
"14","dolnośląskie","milicki",1,0.27,0,0,0,0,0,21,25,1,24,0,"t0213",2021-06-05
"15","dolnośląskie","oleśnicki",0,0,0,0,0,4,3,132,64,0,64,0,"t0214",2021-06-05
"16","dolnośląskie","oławski",0,0,0,0,0,2,0,145,66,1,65,0,"t0215",2021-06-05
"17","dolnośląskie","polkowicki",0,0,0,0,0,1,2,69,41,0,41,0,"t0216",2021-06-05
"18","dolnośląskie","strzeliński",0,0,0,0,0,0,0,13,27,0,27,0,"t0217",2021-06-05
"19","dolnośląskie","średzki",5,0.9,0,0,0,1,1,131,52,5,46,1,"t0218",2021-06-05
"20","dolnośląskie","świdnicki",0,0,0,0,0,2,6,189,80,0,80,0,"t0219",2021-06-05
"21","dolnośląskie","trzebnicki",0,0,0,0,0,0,4,208,83,0,83,0,"t0220",2021-06-05
"22","dolnośląskie","wałbrzyski",0,0,0,0,0,6,1,37,59,0,59,0,"t0221",2021-06-05
"23","dolnośląskie","wołowski",0,0,0,0,0,1,4,91,28,0,28,0,"t0222",2021-06-05
"24","dolnośląskie","wrocławski",3,0.19,0,0,0,3,5,281,222,3,219,0,"t0223",2021-06-05
"25","dolnośląskie","ząbkowicki",0,0,0,0,0,0,3,60,50,0,50,0,"t0224",2021-06-05
"26","dolnośląskie","zgorzelecki",0,0,0,0,0,0,4,105,47,0,46,1,"t0225",2021-06-05
"27","dolnośląskie","złotoryjski",0,0,0,0,0,0,4,40,28,0,28,0,"t0226",2021-06-05
"28","dolnośląskie","Jelenia Góra",1,0.13,0,0,0,0,3,59,114,1,113,0,"t0261",2021-06-05
"29","dolnośląskie","Legnica",1,0.1,0,0,0,1,2,160,48,1,47,0,"t0262",2021-06-05
"30","dolnośląskie","Wrocław",10,0.16,0,0,0,17,25,1587,1029,11,1010,8,"t0264",2021-06-05
"31","dolnośląskie","Wałbrzych",0,0,0,0,0,1,0,70,77,0,77,0,"t0265",2021-06-05
"32","kujawsko-pomorskie","aleksandrowski",0,0,0,0,0,1,1,32,32,0,32,0,"t0401",2021-06-05
"33","kujawsko-pomorskie","brodnicki",0,0,0,0,0,0,0,47,54,0,54,0,"t0402",2021-06-05
"34","kujawsko-pomorskie","bydgoski",1,0.08,0,0,0,1,1,146,160,1,157,2,"t0403",2021-06-05
"35","kujawsko-pomorskie","chełmiński",0,0,0,0,0,0,1,39,27,0,27,0,"t0404",2021-06-05
"36","kujawsko-pomorskie","golubsko-dobrzyński",0,0,0,0,0,1,1,14,18,0,18,0,"t0405",2021-06-05
"37","kujawsko-pomorskie","grudziądzki",0,0,0,0,0,0,1,23,31,0,31,0,"t0406",2021-06-05
"38","kujawsko-pomorskie","inowrocławski",1,0.06,0,0,0,2,3,109,83,1,81,1,"t0407",2021-06-05
"39","kujawsko-pomorskie","lipnowski",0,0,0,0,0,5,0,73,48,1,46,1,"t0408",2021-06-05
"40","kujawsko-pomorskie","mogileński",0,0,0,0,0,1,4,27,38,0,38,0,"t0409",2021-06-05
"41","kujawsko-pomorskie","nakielski",0,0,0,0,0,0,1,82,55,0,54,1,"t0410",2021-06-05
"42","kujawsko-pomorskie","radziejowski",1,0.25,0,0,0,1,2,47,20,1,19,0,"t0411",2021-06-05
"43","kujawsko-pomorskie","rypiński",0,0,0,0,0,0,0,34,37,0,37,0,"t0412",2021-06-05
"44","kujawsko-pomorskie","sępoleński",3,0.73,0,0,0,0,4,69,23,3,20,0,"t0413",2021-06-05
"45","kujawsko-pomorskie","świecki",2,0.2,0,0,0,5,2,129,78,2,75,1,"t0414",2021-06-05
"46","kujawsko-pomorskie","toruński",0,0,0,0,0,1,2,77,76,0,76,0,"t0415",2021-06-05
"47","kujawsko-pomorskie","tucholski",0,0,0,0,0,2,1,20,36,0,36,0,"t0416",2021-06-05
"48","kujawsko-pomorskie","wąbrzeski",0,0,0,0,0,0,0,14,13,0,13,0,"t0417",2021-06-05
"49","kujawsko-pomorskie","włocławski",0,0,0,0,0,0,1,48,62,0,62,0,"t0418",2021-06-05
"50","kujawsko-pomorskie","żniński",0,0,0,0,0,1,2,35,36,0,36,0,"t0419",2021-06-05
"51","kujawsko-pomorskie","Bydgoszcz",1,0.03,0,0,0,9,9,400,459,1,458,0,"t0461",2021-06-05
"52","kujawsko-pomorskie","Grudziądz",0,0,0,0,0,0,1,110,93,0,92,1,"t0462",2021-06-05
"53","kujawsko-pomorskie","Toruń",0,0,0,0,0,4,1,121,148,0,148,0,"t0463",2021-06-05
"54","kujawsko-pomorskie","Włocławek",3,0.27,0,0,0,1,2,58,101,3,98,0,"t0464",2021-06-05
"55","lubelskie","bialski",0,0,0,0,0,8,3,98,77,0,77,0,"t0601",2021-06-05
"56","lubelskie","biłgorajski",1,0.1,0,0,0,0,1,121,86,2,84,0,"t0602",2021-06-05
"57","lubelskie","chełmski",0,0,0,0,0,1,2,97,60,0,60,0,"t0603",2021-06-05
"58","lubelskie","hrubieszowski",0,0,0,0,0,0,3,37,62,1,61,0,"t0604",2021-06-05
"59","lubelskie","janowski",0,0,0,0,0,2,3,63,40,0,40,0,"t0605",2021-06-05
"60","lubelskie","krasnostawski",0,0,0,0,0,2,2,72,60,0,59,1,"t0606",2021-06-05
"61","lubelskie","kraśnicki",1,0.11,0,0,0,0,2,72,62,1,61,0,"t0607",2021-06-05
"62","lubelskie","lubartowski",0,0,0,0,0,0,2,100,55,0,55,0,"t0608",2021-06-05
"63","lubelskie","lubelski",0,0,0,0,0,3,6,182,101,0,101,0,"t0609",2021-06-05
"64","lubelskie","łęczyński",0,0,0,0,0,0,0,55,62,0,62,0,"t0610",2021-06-05
"65","lubelskie","łukowski",0,0,0,0,0,4,0,76,59,0,59,0,"t0611",2021-06-05
"66","lubelskie","opolski",0,0,0,0,0,2,1,103,50,0,50,0,"t0612",2021-06-05
"67","lubelskie","parczewski",2,0.58,0,0,0,0,1,22,46,2,44,0,"t0613",2021-06-05
"68","lubelskie","puławski",4,0.35,0,0,0,5,2,336,92,4,88,0,"t0614",2021-06-05
"69","lubelskie","radzyński",0,0,0,0,0,0,0,39,53,0,53,0,"t0615",2021-06-05
"70","lubelskie","rycki",2,0.36,0,0,0,16,2,70,60,2,58,0,"t0616",2021-06-05
"71","lubelskie","świdnicki",0,0,0,0,0,0,2,36,37,0,36,1,"t0617",2021-06-05
"72","lubelskie","tomaszowski",0,0,0,0,0,1,3,68,59,0,57,2,"t0618",2021-06-05
"73","lubelskie","włodawski",1,0.26,0,0,0,0,1,48,34,1,31,2,"t0619",2021-06-05
"74","lubelskie","zamojski",0,0,0,0,0,0,3,109,69,0,69,0,"t0620",2021-06-05
"75","lubelskie","Biała Podlaska",0,0,0,0,0,2,1,70,61,0,61,0,"t0661",2021-06-05
"76","lubelskie","Chełm",0,0,0,0,0,1,1,125,40,0,40,0,"t0662",2021-06-05
"77","lubelskie","Lublin",4,0.12,1,0,1,7,10,351,421,4,417,0,"t0663",2021-06-05
"78","lubelskie","Zamość",0,0,0,0,0,0,3,47,24,1,22,1,"t0664",2021-06-05
