wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Cały kraj;Cały kraj;9066;2.36;449;68;381;32929;284156;44535;10522;32918;1095;t0000;2020-11-30
dolnośląskie;bolesławiecki;52;5.78;1;0;1;103;783;165;58;103;4;t0201;2020-11-30
dolnośląskie;dzierżoniowski;14;1.39;4;0;4;53;508;63;15;46;2;t0202;2020-11-30
dolnośląskie;głogowski;19;2.14;4;0;4;87;804;88;20;67;1;t0203;2020-11-30
dolnośląskie;górowski;19;5.48;0;0;0;44;292;41;19;20;2;t0204;2020-11-30
dolnośląskie;jaworski;34;6.81;1;0;1;51;325;110;35;72;3;t0205;2020-11-30
dolnośląskie;jeleniogórski;2;0.32;5;2;3;32;341;60;4;53;3;t0206;2020-11-30
dolnośląskie;kamiennogórski;3;0.7;0;0;0;24;191;51;5;46;0;t0207;2020-11-30
dolnośląskie;kłodzki;15;0.95;2;0;2;114;1047;124;15;108;1;t0208;2020-11-30
dolnośląskie;legnicki;14;2.54;3;0;3;49;418;46;15;30;1;t0209;2020-11-30
dolnośląskie;lubański;7;1.29;0;0;0;53;478;32;7;24;1;t0210;2020-11-30
dolnośląskie;lubiński;44;4.15;0;0;0;93;756;166;46;115;5;t0211;2020-11-30
dolnośląskie;lwówecki;14;3.06;2;0;2;27;276;60;15;45;0;t0212;2020-11-30
dolnośląskie;milicki;10;2.71;2;0;2;42;292;37;10;26;1;t0213;2020-11-30
dolnośląskie;oleśnicki;20;1.86;4;0;4;120;1141;82;23;57;2;t0214;2020-11-30
dolnośląskie;oławski;9;1.17;1;0;1;64;1136;48;13;35;0;t0215;2020-11-30
dolnośląskie;polkowicki;12;1.9;0;0;0;54;618;65;13;51;1;t0216;2020-11-30
dolnośląskie;strzeliński;7;1.61;1;1;0;50;411;30;8;22;0;t0217;2020-11-30
dolnośląskie;średzki;35;6.32;2;0;2;55;526;83;36;45;2;t0218;2020-11-30
dolnośląskie;świdnicki;62;3.96;2;0;2;113;1220;211;65;144;2;t0219;2020-11-30
dolnośląskie;trzebnicki;13;1.52;2;0;2;53;837;69;13;56;0;t0220;2020-11-30
dolnośląskie;wałbrzyski;12;2.17;0;0;0;36;345;81;12;69;0;t0221;2020-11-30
