wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;Ca³y kraj;13114;3.42;552;190;362;15080;8002;188151;55581;14543;39730;1308;t0000
dolnoœl¹skie;boles³awiecki;36;4.00;2;2;;54;25;408;129;41;83;5;t0201
dolnoœl¹skie;dzier¿oniowski;8;0.80;1;1;;17;12;230;49;8;41;0;t0202
dolnoœl¹skie;g³ogowski;11;1.24;1;;1;16;13;291;92;12;79;1;t0203
dolnoœl¹skie;górowski;4;1.15;;;;12;4;107;18;4;14;0;t0204
dolnoœl¹skie;jaworski;14;2.80;2;2;;13;9;147;47;16;29;2;t0205
dolnoœl¹skie;jeleniogórski;29;4.57;;;;11;9;218;77;33;43;1;t0206
dolnoœl¹skie;kamiennogórski;11;2.55;;;;6;5;139;28;11;17;0;t0207
dolnoœl¹skie;k³odzki;23;1.46;;;;15;24;390;118;29;88;1;t0208
dolnoœl¹skie;legnicki;8;1.45;4;4;;11;11;170;36;9;25;2;t0209
dolnoœl¹skie;lubañski;13;2.40;1;1;;16;19;328;36;14;21;1;t0210
dolnoœl¹skie;lubiñski;34;3.20;3;;3;28;19;401;118;34;82;2;t0211
dolnoœl¹skie;lwówecki;11;2.40;;;;13;4;186;34;11;23;0;t0212
dolnoœl¹skie;milicki;9;2.44;;;;8;1;151;31;10;21;0;t0213
dolnoœl¹skie;oleœnicki;28;2.61;;;;33;13;456;126;40;85;1;t0214
dolnoœl¹skie;o³awski;16;2.08;;;;19;14;410;92;32;60;0;t0215
dolnoœl¹skie;polkowicki;8;1.27;;;;12;11;166;35;9;26;0;t0216
dolnoœl¹skie;strzeliñski;13;2.99;;;;18;8;152;33;13;20;0;t0217
dolnoœl¹skie;œredzki;9;1.63;;;;15;6;253;42;9;32;1;t0218
dolnoœl¹skie;œwidnicki;36;2.30;1;;1;47;26;838;134;45;84;5;t0219
dolnoœl¹skie;trzebnicki;17;1.99;1;;1;19;15;386;58;17;38;3;t0220
dolnoœl¹skie;wa³brzyski;17;3.07;;;;24;9;349;72;18;54;0;t0221
dolnoœl¹skie;wo³owski;16;3.42;;;;22;5;246;44;18;26;0;t0222
dolnoœl¹skie;wroc³awski;47;3.05;1;1;;63;31;843;222;55;165;2;t0223
dolnoœl¹skie;z¹bkowicki;16;2.48;;;;13;18;211;51;18;30;3;t0224
