"","wojewodztwo","powiat_miasto","liczba_przypadkow","liczba_na_10_tys_mieszkancow","zgony","zgony_w_wyniku_covid_bez_chorob_wspolistniejacych","zgony_w_wyniku_covid_i_chorob_wspolistniejacych","liczba_zlecen_poz","liczba_ozdrowiencow","liczba_osob_objetych_kwarantanna","liczba_wykonanych_testow","liczba_testow_z_wynikiem_pozytywnym","liczba_testow_z_wynikiem_negatywnym","liczba_pozostalych_testow","teryt","stan_rekordu_na"
"1","Cały kraj","Cały kraj",3236,0.84,44,10,34,8025,2017,123871,43645,3579,39837,229,"t0000",2021-10-15
"2","dolnośląskie","bolesławiecki",2,0.22,0,0,0,9,3,274,116,4,112,0,"t0201",2021-10-15
"3","dolnośląskie","dzierżoniowski",2,0.2,0,0,0,9,0,143,83,3,80,0,"t0202",2021-10-15
"4","dolnośląskie","głogowski",5,0.56,0,0,0,16,1,104,103,5,98,0,"t0203",2021-10-15
"5","dolnośląskie","górowski",4,1.15,0,0,0,20,2,54,25,4,21,0,"t0204",2021-10-15
"6","dolnośląskie","jaworski",1,0.2,0,0,0,2,2,39,25,1,24,0,"t0205",2021-10-15
"7","dolnośląskie","jeleniogórski",0,0,0,0,0,7,2,85,40,0,40,0,"t0206",2021-10-15
"8","dolnośląskie","kamiennogórski",0,0,0,0,0,0,0,39,26,0,26,0,"t0207",2021-10-15
"9","dolnośląskie","kłodzki",4,0.25,0,0,0,9,1,89,92,4,87,1,"t0208",2021-10-15
"10","dolnośląskie","legnicki",1,0.18,0,0,0,5,3,75,38,1,37,0,"t0209",2021-10-15
"11","dolnośląskie","lubański",1,0.18,0,0,0,2,1,95,25,1,24,0,"t0210",2021-10-15
"12","dolnośląskie","lubiński",3,0.28,0,0,0,9,0,155,82,4,78,0,"t0211",2021-10-15
"13","dolnośląskie","lwówecki",1,0.22,0,0,0,6,0,48,33,1,32,0,"t0212",2021-10-15
"14","dolnośląskie","milicki",0,0,0,0,0,0,0,30,29,0,29,0,"t0213",2021-10-15
"15","dolnośląskie","oleśnicki",3,0.28,0,0,0,9,2,114,74,3,71,0,"t0214",2021-10-15
"16","dolnośląskie","oławski",6,0.78,0,0,0,13,3,348,76,7,69,0,"t0215",2021-10-15
"17","dolnośląskie","polkowicki",3,0.48,0,0,0,12,4,97,70,3,67,0,"t0216",2021-10-15
"18","dolnośląskie","strzeliński",1,0.23,0,0,0,12,2,47,40,2,38,0,"t0217",2021-10-15
"19","dolnośląskie","średzki",5,0.9,0,0,0,5,0,85,62,5,57,0,"t0218",2021-10-15
"20","dolnośląskie","świdnicki",3,0.19,0,0,0,7,0,340,122,5,117,0,"t0219",2021-10-15
"21","dolnośląskie","trzebnicki",4,0.47,0,0,0,11,2,165,68,4,64,0,"t0220",2021-10-15
"22","dolnośląskie","wałbrzyski",2,0.36,0,0,0,5,1,27,55,2,53,0,"t0221",2021-10-15
"23","dolnośląskie","wołowski",0,0,0,0,0,0,0,38,32,0,32,0,"t0222",2021-10-15
"24","dolnośląskie","wrocławski",12,0.78,0,0,0,44,7,572,174,15,158,1,"t0223",2021-10-15
"25","dolnośląskie","ząbkowicki",4,0.62,0,0,0,7,2,97,64,4,60,0,"t0224",2021-10-15
"26","dolnośląskie","zgorzelecki",5,0.56,0,0,0,8,2,174,31,5,26,0,"t0225",2021-10-15
"27","dolnośląskie","złotoryjski",3,0.69,0,0,0,9,3,44,33,3,30,0,"t0226",2021-10-15
"28","dolnośląskie","Jelenia Góra",2,0.25,0,0,0,10,3,147,80,2,78,0,"t0261",2021-10-15
"29","dolnośląskie","Legnica",6,0.61,0,0,0,11,3,376,115,7,107,1,"t0262",2021-10-15
"30","dolnośląskie","Wrocław",47,0.73,0,0,0,136,28,2318,780,56,715,9,"t0264",2021-10-15
"31","dolnośląskie","Wałbrzych",4,0.36,0,0,0,6,1,121,104,4,100,0,"t0265",2021-10-15
"32","kujawsko-pomorskie","aleksandrowski",4,0.73,0,0,0,5,8,71,47,4,43,0,"t0401",2021-10-15
"33","kujawsko-pomorskie","brodnicki",3,0.38,0,0,0,6,0,101,85,3,82,0,"t0402",2021-10-15
"34","kujawsko-pomorskie","bydgoski",5,0.42,0,0,0,13,3,164,118,5,112,1,"t0403",2021-10-15
"35","kujawsko-pomorskie","chełmiński",0,0,1,1,0,20,2,80,45,0,45,0,"t0404",2021-10-15
"36","kujawsko-pomorskie","golubsko-dobrzyński",2,0.44,0,0,0,20,1,54,48,4,44,0,"t0405",2021-10-15
"37","kujawsko-pomorskie","grudziądzki",0,0,0,0,0,6,1,84,49,0,49,0,"t0406",2021-10-15
"38","kujawsko-pomorskie","inowrocławski",10,0.63,0,0,0,24,1,182,118,10,108,0,"t0407",2021-10-15
"39","kujawsko-pomorskie","lipnowski",0,0,0,0,0,3,0,39,33,0,33,0,"t0408",2021-10-15
"40","kujawsko-pomorskie","mogileński",0,0,0,0,0,2,1,58,46,0,46,0,"t0409",2021-10-15
"41","kujawsko-pomorskie","nakielski",4,0.46,0,0,0,14,5,289,67,5,62,0,"t0410",2021-10-15
"42","kujawsko-pomorskie","radziejowski",2,0.5,0,0,0,8,4,56,38,2,36,0,"t0411",2021-10-15
"43","kujawsko-pomorskie","rypiński",1,0.23,0,0,0,11,1,17,34,1,33,0,"t0412",2021-10-15
"44","kujawsko-pomorskie","sępoleński",0,0,0,0,0,3,0,23,71,0,71,0,"t0413",2021-10-15
"45","kujawsko-pomorskie","świecki",3,0.3,0,0,0,13,2,125,125,3,118,4,"t0414",2021-10-15
"46","kujawsko-pomorskie","toruński",5,0.46,0,0,0,35,10,660,92,6,86,0,"t0415",2021-10-15
"47","kujawsko-pomorskie","tucholski",1,0.21,0,0,0,2,1,48,53,1,52,0,"t0416",2021-10-15
"48","kujawsko-pomorskie","wąbrzeski",0,0,0,0,0,4,0,44,20,0,20,0,"t0417",2021-10-15
"49","kujawsko-pomorskie","włocławski",0,0,0,0,0,8,4,77,69,0,69,0,"t0418",2021-10-15
"50","kujawsko-pomorskie","żniński",2,0.29,0,0,0,14,0,75,69,2,66,1,"t0419",2021-10-15
"51","kujawsko-pomorskie","Bydgoszcz",37,1.07,1,0,1,75,16,768,422,39,380,3,"t0461",2021-10-15
"52","kujawsko-pomorskie","Grudziądz",3,0.32,0,0,0,14,2,131,146,3,143,0,"t0462",2021-10-15
"53","kujawsko-pomorskie","Toruń",26,1.29,0,0,0,55,14,583,213,26,182,5,"t0463",2021-10-15
"54","kujawsko-pomorskie","Włocławek",1,0.09,0,0,0,9,6,125,88,1,87,0,"t0464",2021-10-15
