wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;10858;2.83;539;149;390;14948;21340;250248;62513;11999;49536;978;t0000;2021-04-22
dolnoœl¹skie;boles³awiecki;34;3.78;0;0;0;57;81;717;153;36;115;2;t0201;2021-04-22
dolnoœl¹skie;dzier¿oniowski;39;3.88;0;0;0;44;59;654;157;49;103;5;t0202;2021-04-22
dolnoœl¹skie;g³ogowski;44;4.95;0;0;0;36;78;857;123;44;78;1;t0203;2021-04-22
dolnoœl¹skie;górowski;6;1.73;1;0;1;23;24;297;35;6;29;0;t0204;2021-04-22
dolnoœl¹skie;jaworski;24;4.81;1;1;0;40;28;395;62;25;36;1;t0205;2021-04-22
dolnoœl¹skie;jeleniogórski;32;5.05;1;0;1;37;26;482;121;37;82;2;t0206;2021-04-22
dolnoœl¹skie;kamiennogórski;4;0.93;1;1;0;8;16;167;53;5;47;1;t0207;2021-04-22
dolnoœl¹skie;k³odzki;48;3.05;0;0;0;47;62;619;200;51;148;1;t0208;2021-04-22
dolnoœl¹skie;legnicki;33;5.98;2;2;0;26;48;547;99;34;63;2;t0209;2021-04-22
dolnoœl¹skie;lubañski;20;3.70;0;0;0;32;39;428;69;24;45;0;t0210;2021-04-22
dolnoœl¹skie;lubiñski;31;2.92;3;0;3;62;76;893;149;32;115;2;t0211;2021-04-22
dolnoœl¹skie;lwówecki;16;3.50;0;0;0;29;29;295;80;18;60;2;t0212;2021-04-22
dolnoœl¹skie;milicki;5;1.35;0;0;0;11;23;253;25;5;20;0;t0213;2021-04-22
dolnoœl¹skie;oleœnicki;46;4.29;2;2;0;58;54;806;200;53;146;1;t0214;2021-04-22
dolnoœl¹skie;o³awski;31;4.03;0;0;0;38;64;803;154;34;118;2;t0215;2021-04-22
dolnoœl¹skie;polkowicki;35;5.55;0;0;0;28;75;772;98;35;60;3;t0216;2021-04-22
dolnoœl¹skie;strzeliñski;24;5.52;0;0;0;17;34;475;78;25;50;3;t0217;2021-04-22
dolnoœl¹skie;œredzki;18;3.25;0;0;0;40;22;633;101;21;76;4;t0218;2021-04-22
dolnoœl¹skie;œwidnicki;54;3.45;1;1;0;58;102;1327;239;57;179;3;t0219;2021-04-22
dolnoœl¹skie;trzebnicki;30;3.51;5;5;0;34;39;780;138;33;102;3;t0220;2021-04-22
dolnoœl¹skie;wa³brzyski;18;3.25;1;1;0;9;27;342;78;18;60;0;t0221;2021-04-22
dolnoœl¹skie;wo³owski;15;3.21;0;0;0;32;35;497;95;17;78;0;t0222;2021-04-22
dolnoœl¹skie;wroc³awski;67;4.35;1;1;0;84;126;1518;328;80;245;3;t0223;2021-04-22
dolnoœl¹skie;z¹bkowicki;21;3.26;0;0;0;34;24;421;61;21;40;0;t0224;2021-04-22
dolnoœl¹skie;zgorzelecki;29;3.27;0;0;0;42;21;701;80;33;43;4;t0225;2021-04-22
dolnoœl¹skie;z³otoryjski;16;3.70;1;1;0;27;27;431;69;18;49;2;t0226;2021-04-22
dolnoœl¹skie;Jelenia Góra;41;5.20;4;1;3;44;37;549;171;45;125;1;t0261;2021-04-22
dolnoœl¹skie;Legnica;56;5.65;2;2;0;51;81;879;206;58;143;5;t0262;2021-04-22
dolnoœl¹skie;Wroc³aw;294;4.57;7;7;0;250;463;4602;1524;333;1170;21;t0264;2021-04-22
dolnoœl¹skie;Wa³brzych;46;4.16;4;4;0;43;46;809;223;48;174;1;t0265;2021-04-22
kujawsko-pomorskie;aleksandrowski;4;0.73;0;0;0;13;30;225;44;4;37;3;t0401;2021-04-22
kujawsko-pomorskie;brodnicki;9;1.14;0;0;0;17;35;411;84;9;74;1;t0402;2021-04-22
kujawsko-pomorskie;bydgoski;32;2.68;1;0;1;56;54;933;134;33;98;3;t0403;2021-04-22
kujawsko-pomorskie;che³miñski;16;3.09;1;1;0;27;8;364;74;16;57;1;t0404;2021-04-22
kujawsko-pomorskie;golubsko-dobrzyñski;2;0.44;1;0;1;11;29;187;40;2;38;0;t0405;2021-04-22
kujawsko-pomorskie;grudzi¹dzki;10;2.49;0;0;0;21;22;220;52;10;39;3;t0406;2021-04-22
kujawsko-pomorskie;inowroc³awski;39;2.45;0;0;0;73;85;835;183;41;138;4;t0407;2021-04-22
kujawsko-pomorskie;lipnowski;11;1.68;1;0;1;12;20;362;76;12;63;1;t0408;2021-04-22
kujawsko-pomorskie;mogileñski;15;3.30;0;0;0;28;35;318;49;15;33;1;t0409;2021-04-22
kujawsko-pomorskie;nakielski;33;3.83;0;0;0;63;73;667;107;33;71;3;t0410;2021-04-22
kujawsko-pomorskie;radziejowski;11;2.74;1;0;1;23;44;236;34;11;21;2;t0411;2021-04-22
kujawsko-pomorskie;rypiñski;7;1.61;0;0;0;13;21;326;58;7;50;1;t0412;2021-04-22
kujawsko-pomorskie;sêpoleñski;19;4.64;0;0;0;27;14;229;66;20;45;1;t0413;2021-04-22
kujawsko-pomorskie;œwiecki;10;1.01;0;0;0;37;40;617;125;11;113;1;t0414;2021-04-22
kujawsko-pomorskie;toruñski;22;2.02;1;0;1;29;55;632;155;23;126;6;t0415;2021-04-22
kujawsko-pomorskie;tucholski;9;1.86;1;0;1;29;19;392;47;10;36;1;t0416;2021-04-22
