wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;29064;7.58;570;161;409;44794;13464;631843;114112;31100;81288;1724;t0000;2021-11-30
dolnoœl¹skie;boles³awiecki;54;6.00;4;0;4;133;39;1910;240;62;172;6;t0201;2021-11-30
dolnoœl¹skie;dzier¿oniowski;33;3.28;0;0;0;67;18;915;145;33;105;7;t0202;2021-11-30
dolnoœl¹skie;g³ogowski;56;6.30;0;0;0;87;28;1987;238;61;177;0;t0203;2021-11-30
dolnoœl¹skie;górowski;29;8.36;0;0;0;58;3;540;108;29;79;0;t0204;2021-11-30
dolnoœl¹skie;jaworski;20;4.01;0;0;0;44;20;768;91;23;68;0;t0205;2021-11-30
dolnoœl¹skie;jeleniogórski;19;3.00;1;0;1;34;19;629;142;23;115;4;t0206;2021-11-30
dolnoœl¹skie;kamiennogórski;7;1.63;0;0;0;23;0;177;68;8;58;2;t0207;2021-11-30
dolnoœl¹skie;k³odzki;33;2.10;2;0;2;126;38;1349;221;41;180;0;t0208;2021-11-30
dolnoœl¹skie;legnicki;62;11.23;1;1;0;63;11;1020;178;66;108;4;t0209;2021-11-30
dolnoœl¹skie;lubañski;50;9.25;0;0;0;75;20;1214;127;54;68;5;t0210;2021-11-30
dolnoœl¹skie;lubiñski;117;11.03;2;0;2;160;42;2129;354;127;220;7;t0211;2021-11-30
dolnoœl¹skie;lwówecki;25;5.46;0;0;0;59;14;661;135;29;98;8;t0212;2021-11-30
dolnoœl¹skie;milicki;14;3.79;0;0;0;33;18;811;52;14;38;0;t0213;2021-11-30
dolnoœl¹skie;oleœnicki;31;2.89;0;0;0;130;32;1723;138;33;105;0;t0214;2021-11-30
dolnoœl¹skie;o³awski;53;6.90;1;1;0;94;33;2126;196;56;139;1;t0215;2021-11-30
dolnoœl¹skie;polkowicki;91;14.43;1;1;0;69;27;1347;246;97;145;4;t0216;2021-11-30
dolnoœl¹skie;strzeliñski;26;5.98;0;0;0;55;13;721;113;27;82;4;t0217;2021-11-30
dolnoœl¹skie;œredzki;47;8.49;0;0;0;113;9;1336;136;49;85;2;t0218;2021-11-30
dolnoœl¹skie;œwidnicki;101;6.45;2;0;2;125;21;1578;299;103;193;3;t0219;2021-11-30
dolnoœl¹skie;trzebnicki;47;5.50;0;0;0;87;19;1122;174;50;123;1;t0220;2021-11-30
dolnoœl¹skie;wa³brzyski;17;3.07;1;1;0;43;4;413;93;23;69;1;t0221;2021-11-30
dolnoœl¹skie;wo³owski;18;3.85;0;0;0;42;18;1059;82;19;63;0;t0222;2021-11-30
dolnoœl¹skie;wroc³awski;159;10.33;2;2;0;248;81;3627;540;175;363;2;t0223;2021-11-30
dolnoœl¹skie;z¹bkowicki;22;3.41;0;0;0;64;30;1327;126;25;101;0;t0224;2021-11-30
dolnoœl¹skie;zgorzelecki;88;9.91;2;2;0;109;38;1404;189;91;86;12;t0225;2021-11-30
dolnoœl¹skie;z³otoryjski;37;8.55;0;0;0;44;13;572;99;39;57;3;t0226;2021-11-30
dolnoœl¹skie;Jelenia Góra;43;5.46;2;0;2;85;25;923;253;59;191;3;t0261;2021-11-30
