wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;3451;0.90;22;4;18;432;15764;195426;33801;4099;29338;364;t0000;2021-04-25
dolnoœl¹skie;boles³awiecki;6;0.67;0;0;0;4;69;579;63;7;56;0;t0201;2021-04-25
dolnoœl¹skie;dzier¿oniowski;4;0.40;0;0;0;0;67;535;33;4;29;0;t0202;2021-04-25
dolnoœl¹skie;g³ogowski;13;1.46;4;0;4;0;48;629;71;16;55;0;t0203;2021-04-25
dolnoœl¹skie;górowski;3;0.86;0;0;0;0;18;235;30;4;26;0;t0204;2021-04-25
dolnoœl¹skie;jaworski;1;0.20;0;0;0;0;56;339;26;1;25;0;t0205;2021-04-25
dolnoœl¹skie;jeleniogórski;2;0.32;0;0;0;0;43;377;31;2;29;0;t0206;2021-04-25
dolnoœl¹skie;kamiennogórski;1;0.23;0;0;0;0;8;118;7;1;6;0;t0207;2021-04-25
dolnoœl¹skie;k³odzki;17;1.08;0;0;0;0;47;471;134;23;110;1;t0208;2021-04-25
dolnoœl¹skie;legnicki;11;1.99;0;0;0;0;26;453;26;11;15;0;t0209;2021-04-25
dolnoœl¹skie;lubañski;8;1.48;0;0;0;0;21;389;31;9;20;2;t0210;2021-04-25
dolnoœl¹skie;lubiñski;1;0.09;0;0;0;3;68;731;57;3;54;0;t0211;2021-04-25
dolnoœl¹skie;lwówecki;7;1.53;0;0;0;0;30;263;25;7;18;0;t0212;2021-04-25
dolnoœl¹skie;milicki;2;0.54;0;0;0;1;18;179;29;2;27;0;t0213;2021-04-25
dolnoœl¹skie;oleœnicki;5;0.47;0;0;0;0;54;637;51;6;44;1;t0214;2021-04-25
dolnoœl¹skie;o³awski;23;2.99;0;0;0;0;54;641;87;25;61;1;t0215;2021-04-25
dolnoœl¹skie;polkowicki;5;0.79;0;0;0;1;25;634;39;5;33;1;t0216;2021-04-25
dolnoœl¹skie;strzeliñski;1;0.23;0;0;0;0;22;358;19;3;16;0;t0217;2021-04-25
dolnoœl¹skie;œredzki;5;0.90;0;0;0;0;30;492;33;5;28;0;t0218;2021-04-25
dolnoœl¹skie;œwidnicki;16;1.02;0;0;0;5;89;1087;60;17;42;1;t0219;2021-04-25
dolnoœl¹skie;trzebnicki;7;0.82;0;0;0;0;51;619;57;8;49;0;t0220;2021-04-25
dolnoœl¹skie;wa³brzyski;8;1.44;0;0;0;0;32;232;30;9;21;0;t0221;2021-04-25
dolnoœl¹skie;wo³owski;9;1.93;0;0;0;1;20;397;62;10;51;1;t0222;2021-04-25
dolnoœl¹skie;wroc³awski;19;1.23;0;0;0;6;81;1203;127;24;103;0;t0223;2021-04-25
