"","wojewodztwo","powiat_miasto","liczba_przypadkow","liczba_na_10_tys_mieszkancow","zgony","zgony_w_wyniku_covid_bez_chorob_wspolistniejacych","zgony_w_wyniku_covid_i_chorob_wspolistniejacych","liczba_zlecen_poz","liczba_ozdrowiencow","liczba_osob_objetych_kwarantanna","liczba_wykonanych_testow","liczba_testow_z_wynikiem_pozytywnym","liczba_testow_z_wynikiem_negatywnym","liczba_pozostalych_testow","teryt","stan_rekordu_na"
"1","Cały kraj","Cały kraj",227,0.06,11,5,6,524,369,55191,48409,281,48014,114,"t0000",2021-06-12
"2","dolnośląskie","bolesławiecki",0,0,0,0,0,0,2,192,94,0,94,0,"t0201",2021-06-12
"3","dolnośląskie","dzierżoniowski",2,0.2,0,0,0,1,0,74,60,2,58,0,"t0202",2021-06-12
"4","dolnośląskie","głogowski",0,0,0,0,0,0,3,74,116,0,116,0,"t0203",2021-06-12
"5","dolnośląskie","górowski",0,0,0,0,0,0,0,60,17,0,17,0,"t0204",2021-06-12
"6","dolnośląskie","jaworski",1,0.2,0,0,0,0,2,43,23,1,22,0,"t0205",2021-06-12
"7","dolnośląskie","jeleniogórski",0,0,0,0,0,1,2,50,54,0,54,0,"t0206",2021-06-12
"8","dolnośląskie","kamiennogórski",0,0,0,0,0,0,0,40,17,0,17,0,"t0207",2021-06-12
"9","dolnośląskie","kłodzki",0,0,0,0,0,0,5,75,106,0,105,1,"t0208",2021-06-12
"10","dolnośląskie","legnicki",0,0,0,0,0,0,0,54,25,0,25,0,"t0209",2021-06-12
"11","dolnośląskie","lubański",0,0,0,0,0,0,0,53,28,0,28,0,"t0210",2021-06-12
"12","dolnośląskie","lubiński",1,0.09,0,0,0,0,0,39,75,1,74,0,"t0211",2021-06-12
"13","dolnośląskie","lwówecki",1,0.22,0,0,0,3,2,33,21,1,20,0,"t0212",2021-06-12
"14","dolnośląskie","milicki",0,0,0,0,0,0,0,26,30,1,29,0,"t0213",2021-06-12
"15","dolnośląskie","oleśnicki",1,0.09,0,0,0,0,2,125,83,2,81,0,"t0214",2021-06-12
"16","dolnośląskie","oławski",0,0,0,0,0,1,1,121,70,0,70,0,"t0215",2021-06-12
"17","dolnośląskie","polkowicki",0,0,0,0,0,0,0,30,45,0,45,0,"t0216",2021-06-12
"18","dolnośląskie","strzeliński",0,0,0,0,0,1,0,20,21,0,21,0,"t0217",2021-06-12
"19","dolnośląskie","średzki",0,0,0,0,0,0,2,100,40,0,40,0,"t0218",2021-06-12
"20","dolnośląskie","świdnicki",1,0.06,0,0,0,1,2,160,89,1,88,0,"t0219",2021-06-12
"21","dolnośląskie","trzebnicki",1,0.12,0,0,0,0,0,376,76,1,75,0,"t0220",2021-06-12
