wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;6274;1.64;75;17;58;12454;2952;194705;51957;6797;44849;311;t0000;2021-10-22
dolnoœl¹skie;boles³awiecki;17;1.89;0;0;0;35;9;683;123;19;104;0;t0201;2021-10-22
dolnoœl¹skie;dzier¿oniowski;14;1.39;0;0;0;15;1;197;115;14;101;0;t0202;2021-10-22
dolnoœl¹skie;g³ogowski;8;0.90;0;0;0;18;6;323;109;10;98;1;t0203;2021-10-22
dolnoœl¹skie;górowski;2;0.58;0;0;0;11;0;78;26;2;24;0;t0204;2021-10-22
dolnoœl¹skie;jaworski;7;1.40;0;0;0;2;1;78;52;7;45;0;t0205;2021-10-22
dolnoœl¹skie;jeleniogórski;1;0.16;0;0;0;9;0;166;59;2;57;0;t0206;2021-10-22
dolnoœl¹skie;kamiennogórski;1;0.23;0;0;0;0;0;61;31;1;30;0;t0207;2021-10-22
dolnoœl¹skie;k³odzki;7;0.45;0;0;0;20;1;148;116;8;108;0;t0208;2021-10-22
dolnoœl¹skie;legnicki;2;0.36;0;0;0;13;2;121;41;2;38;1;t0209;2021-10-22
dolnoœl¹skie;lubañski;6;1.11;0;0;0;10;1;85;33;6;27;0;t0210;2021-10-22
dolnoœl¹skie;lubiñski;1;0.09;0;0;0;25;2;311;78;1;77;0;t0211;2021-10-22
dolnoœl¹skie;lwówecki;0;0;0;0;0;6;0;44;25;0;25;0;t0212;2021-10-22
dolnoœl¹skie;milicki;1;0.27;0;0;0;3;0;34;42;1;41;0;t0213;2021-10-22
dolnoœl¹skie;oleœnicki;5;0.47;0;0;0;16;4;155;77;5;72;0;t0214;2021-10-22
dolnoœl¹skie;o³awski;8;1.04;0;0;0;30;5;476;91;8;82;1;t0215;2021-10-22
dolnoœl¹skie;polkowicki;3;0.48;0;0;0;10;5;166;53;3;50;0;t0216;2021-10-22
dolnoœl¹skie;strzeliñski;2;0.46;0;0;0;10;3;74;45;2;43;0;t0217;2021-10-22
dolnoœl¹skie;œredzki;7;1.26;0;0;0;19;1;118;42;7;35;0;t0218;2021-10-22
dolnoœl¹skie;œwidnicki;4;0.26;0;0;0;7;1;315;101;4;97;0;t0219;2021-10-22
dolnoœl¹skie;trzebnicki;15;1.76;0;0;0;19;5;255;93;15;75;3;t0220;2021-10-22
dolnoœl¹skie;wa³brzyski;6;1.08;0;0;0;8;0;90;57;8;49;0;t0221;2021-10-22
dolnoœl¹skie;wo³owski;4;0.86;0;0;0;10;0;156;47;4;42;1;t0222;2021-10-22
dolnoœl¹skie;wroc³awski;24;1.56;0;0;0;65;6;652;185;25;157;3;t0223;2021-10-22
dolnoœl¹skie;z¹bkowicki;9;1.40;0;0;0;9;6;272;72;11;61;0;t0224;2021-10-22
dolnoœl¹skie;zgorzelecki;5;0.56;0;0;0;11;4;435;54;8;46;0;t0225;2021-10-22
dolnoœl¹skie;z³otoryjski;2;0.46;0;0;0;12;1;107;27;2;25;0;t0226;2021-10-22
dolnoœl¹skie;Jelenia Góra;4;0.51;0;0;0;12;3;538;95;6;89;0;t0261;2021-10-22
dolnoœl¹skie;Legnica;6;0.61;0;0;0;18;1;508;90;6;84;0;t0262;2021-10-22
