wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;7145;1.86;9;2;7;610;5456;283057;37777;7683;29796;298;t0000;2021-10-30
dolnoœl¹skie;boles³awiecki;9;1.00;0;0;0;4;11;972;47;9;38;0;t0201;2021-10-30
dolnoœl¹skie;dzier¿oniowski;8;0.80;0;0;0;0;5;117;49;8;40;1;t0202;2021-10-30
dolnoœl¹skie;g³ogowski;27;3.04;0;0;0;0;13;825;93;27;63;3;t0203;2021-10-30
dolnoœl¹skie;górowski;6;1.73;0;0;0;0;1;61;17;6;11;0;t0204;2021-10-30
dolnoœl¹skie;jaworski;0;0;0;0;0;0;6;131;13;0;13;0;t0205;2021-10-30
dolnoœl¹skie;jeleniogórski;1;0.16;0;0;0;0;1;131;19;1;18;0;t0206;2021-10-30
dolnoœl¹skie;kamiennogórski;0;0;0;0;0;0;0;61;6;0;5;1;t0207;2021-10-30
dolnoœl¹skie;k³odzki;8;0.51;0;0;0;0;3;485;93;12;81;0;t0208;2021-10-30
dolnoœl¹skie;legnicki;3;0.54;0;0;0;0;5;288;28;3;25;0;t0209;2021-10-30
dolnoœl¹skie;lubañski;2;0.37;0;0;0;1;3;146;15;2;13;0;t0210;2021-10-30
dolnoœl¹skie;lubiñski;16;1.51;0;0;0;0;17;607;56;18;38;0;t0211;2021-10-30
dolnoœl¹skie;lwówecki;5;1.09;0;0;0;0;1;119;26;5;21;0;t0212;2021-10-30
dolnoœl¹skie;milicki;0;0;0;0;0;0;1;56;16;0;16;0;t0213;2021-10-30
dolnoœl¹skie;oleœnicki;2;0.19;0;0;0;0;3;661;38;3;34;1;t0214;2021-10-30
dolnoœl¹skie;o³awski;26;3.38;0;0;0;0;7;780;94;26;67;1;t0215;2021-10-30
dolnoœl¹skie;polkowicki;6;0.95;0;0;0;0;3;394;30;6;24;0;t0216;2021-10-30
dolnoœl¹skie;strzeliñski;3;0.69;0;0;0;0;2;87;30;5;25;0;t0217;2021-10-30
dolnoœl¹skie;œredzki;11;1.99;0;0;0;1;5;235;44;12;32;0;t0218;2021-10-30
dolnoœl¹skie;œwidnicki;10;0.64;0;0;0;1;11;531;57;10;46;1;t0219;2021-10-30
dolnoœl¹skie;trzebnicki;2;0.23;0;0;0;1;6;421;38;2;36;0;t0220;2021-10-30
dolnoœl¹skie;wa³brzyski;5;0.90;0;0;0;0;4;331;28;5;23;0;t0221;2021-10-30
dolnoœl¹skie;wo³owski;0;0;0;0;0;0;2;296;18;0;18;0;t0222;2021-10-30
dolnoœl¹skie;wroc³awski;42;2.73;0;0;0;0;15;738;180;45;133;2;t0223;2021-10-30
dolnoœl¹skie;z¹bkowicki;7;1.09;0;0;0;0;7;384;41;8;33;0;t0224;2021-10-30
dolnoœl¹skie;zgorzelecki;2;0.23;0;0;0;0;11;694;21;2;19;0;t0225;2021-10-30
dolnoœl¹skie;z³otoryjski;6;1.39;0;0;0;0;3;127;22;6;16;0;t0226;2021-10-30
dolnoœl¹skie;Jelenia Góra;1;0.13;0;0;0;1;6;353;46;2;44;0;t0261;2021-10-30
dolnoœl¹skie;Legnica;14;1.41;0;0;0;1;8;859;82;16;66;0;t0262;2021-10-30
dolnoœl¹skie;Wroc³aw;127;1.97;0;0;0;5;90;2989;725;136;584;5;t0264;2021-10-30
dolnoœl¹skie;Wa³brzych;14;1.27;0;0;0;3;8;547;75;16;58;1;t0265;2021-10-30
kujawsko-pomorskie;aleksandrowski;8;1.45;0;0;0;4;7;223;47;9;38;0;t0401;2021-10-30
kujawsko-pomorskie;brodnicki;3;0.38;0;0;0;0;3;196;27;3;24;0;t0402;2021-10-30
kujawsko-pomorskie;bydgoski;15;1.26;0;0;0;4;3;622;105;15;90;0;t0403;2021-10-30
kujawsko-pomorskie;che³miñski;0;0;0;0;0;0;4;123;28;1;27;0;t0404;2021-10-30
kujawsko-pomorskie;golubsko-dobrzyñski;4;0.89;0;0;0;0;0;261;36;5;30;1;t0405;2021-10-30
kujawsko-pomorskie;grudzi¹dzki;4;0.99;0;0;0;0;1;84;15;6;9;0;t0406;2021-10-30
kujawsko-pomorskie;inowroc³awski;8;0.50;0;0;0;0;4;362;77;9;68;0;t0407;2021-10-30
kujawsko-pomorskie;lipnowski;3;0.46;0;0;0;0;3;365;68;3;63;2;t0408;2021-10-30
