wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;797;0.21;14;1;13;5055;522;84180;42954;923;41911;120;t0000;2021-09-17
dolnoœl¹skie;boles³awiecki;3;0.33;0;0;0;9;1;285;124;8;116;0;t0201;2021-09-17
dolnoœl¹skie;dzier¿oniowski;0;0;0;0;0;7;0;69;79;0;79;0;t0202;2021-09-17
dolnoœl¹skie;g³ogowski;1;0.11;0;0;0;9;0;90;88;1;87;0;t0203;2021-09-17
dolnoœl¹skie;górowski;2;0.58;0;0;0;14;0;68;30;2;28;0;t0204;2021-09-17
dolnoœl¹skie;jaworski;2;0.40;0;0;0;0;1;32;44;2;42;0;t0205;2021-09-17
dolnoœl¹skie;jeleniogórski;0;0;0;0;0;1;0;93;55;0;55;0;t0206;2021-09-17
dolnoœl¹skie;kamiennogórski;0;0;0;0;0;0;0;80;34;0;34;0;t0207;2021-09-17
dolnoœl¹skie;k³odzki;2;0.13;0;0;0;17;0;153;104;3;101;0;t0208;2021-09-17
dolnoœl¹skie;legnicki;0;0;0;0;0;2;0;115;52;0;52;0;t0209;2021-09-17
dolnoœl¹skie;lubañski;0;0;0;0;0;8;2;44;24;0;24;0;t0210;2021-09-17
dolnoœl¹skie;lubiñski;2;0.19;0;0;0;9;1;81;102;2;100;0;t0211;2021-09-17
dolnoœl¹skie;lwówecki;0;0;0;0;0;18;0;63;50;0;50;0;t0212;2021-09-17
dolnoœl¹skie;milicki;0;0;0;0;0;1;0;34;19;0;19;0;t0213;2021-09-17
dolnoœl¹skie;oleœnicki;2;0.19;0;0;0;13;3;200;68;2;66;0;t0214;2021-09-17
dolnoœl¹skie;o³awski;1;0.13;0;0;0;12;0;251;50;1;49;0;t0215;2021-09-17
dolnoœl¹skie;polkowicki;2;0.32;0;0;0;4;0;68;74;2;72;0;t0216;2021-09-17
dolnoœl¹skie;strzeliñski;0;0;0;0;0;10;0;63;44;1;43;0;t0217;2021-09-17
dolnoœl¹skie;œredzki;0;0;0;0;0;6;0;162;36;0;36;0;t0218;2021-09-17
dolnoœl¹skie;œwidnicki;3;0.19;0;0;0;5;0;381;108;3;105;0;t0219;2021-09-17
dolnoœl¹skie;trzebnicki;2;0.23;0;0;0;3;2;258;72;3;67;2;t0220;2021-09-17
dolnoœl¹skie;wa³brzyski;0;0;0;0;0;5;1;41;53;0;53;0;t0221;2021-09-17
dolnoœl¹skie;wo³owski;0;0;0;0;0;2;0;73;37;1;36;0;t0222;2021-09-17
dolnoœl¹skie;wroc³awski;4;0.26;0;0;0;47;6;505;173;4;168;1;t0223;2021-09-17
dolnoœl¹skie;z¹bkowicki;0;0;0;0;0;9;0;86;43;1;42;0;t0224;2021-09-17
dolnoœl¹skie;zgorzelecki;1;0.11;0;0;0;5;0;100;37;4;33;0;t0225;2021-09-17
dolnoœl¹skie;z³otoryjski;2;0.46;0;0;0;1;0;86;39;2;36;1;t0226;2021-09-17
dolnoœl¹skie;Jelenia Góra;1;0.13;0;0;0;14;0;134;83;1;81;1;t0261;2021-09-17
dolnoœl¹skie;Legnica;4;0.40;0;0;0;11;2;361;127;5;122;0;t0262;2021-09-17
