"","wojewodztwo","powiat_miasto","liczba_przypadkow","liczba_na_10_tys_mieszkancow","zgony","zgony_w_wyniku_covid_bez_chorob_wspolistniejacych","zgony_w_wyniku_covid_i_chorob_wspolistniejacych","liczba_zlecen_poz","liczba_ozdrowiencow","liczba_osob_objetych_kwarantanna","liczba_wykonanych_testow","liczba_testow_z_wynikiem_pozytywnym","liczba_testow_z_wynikiem_negatywnym","liczba_pozostalych_testow","teryt","stan_rekordu_na"
"1","Cały kraj","Cały kraj",167,0.04,5,1,4,1482,112,80131,37501,232,37201,68,"t0000",2021-07-28
"2","dolnośląskie","bolesławiecki",0,0,0,0,0,2,0,155,97,0,97,0,"t0201",2021-07-28
"3","dolnośląskie","dzierżoniowski",0,0,0,0,0,1,0,130,109,0,109,0,"t0202",2021-07-28
"4","dolnośląskie","głogowski",0,0,0,0,0,8,0,118,76,0,76,0,"t0203",2021-07-28
"5","dolnośląskie","górowski",0,0,0,0,0,3,0,42,18,0,18,0,"t0204",2021-07-28
"6","dolnośląskie","jaworski",0,0,0,0,0,1,0,72,25,0,25,0,"t0205",2021-07-28
"7","dolnośląskie","jeleniogórski",0,0,0,0,0,0,0,117,46,0,46,0,"t0206",2021-07-28
"8","dolnośląskie","kamiennogórski",0,0,0,0,0,5,0,76,32,1,31,0,"t0207",2021-07-28
"9","dolnośląskie","kłodzki",0,0,0,0,0,7,0,219,77,0,77,0,"t0208",2021-07-28
"10","dolnośląskie","legnicki",0,0,0,0,0,1,0,103,44,0,44,0,"t0209",2021-07-28
"11","dolnośląskie","lubański",0,0,0,0,0,0,1,49,16,0,16,0,"t0210",2021-07-28
"12","dolnośląskie","lubiński",0,0,0,0,0,2,0,98,73,0,73,0,"t0211",2021-07-28
"13","dolnośląskie","lwówecki",0,0,0,0,0,7,0,73,31,0,31,0,"t0212",2021-07-28
"14","dolnośląskie","milicki",0,0,0,0,0,1,0,62,25,0,25,0,"t0213",2021-07-28
"15","dolnośląskie","oleśnicki",0,0,0,0,0,4,0,216,48,0,48,0,"t0214",2021-07-28
"16","dolnośląskie","oławski",0,0,0,0,0,0,0,268,70,0,70,0,"t0215",2021-07-28
"17","dolnośląskie","polkowicki",0,0,0,0,0,4,0,65,48,0,48,0,"t0216",2021-07-28
"18","dolnośląskie","strzeliński",0,0,0,0,0,1,0,43,30,0,30,0,"t0217",2021-07-28
"19","dolnośląskie","średzki",0,0,0,0,0,2,0,154,43,0,43,0,"t0218",2021-07-28
"20","dolnośląskie","świdnicki",1,0.06,0,0,0,1,0,422,160,1,159,0,"t0219",2021-07-28
"21","dolnośląskie","trzebnicki",0,0,0,0,0,0,1,266,50,0,50,0,"t0220",2021-07-28
"22","dolnośląskie","wałbrzyski",0,0,0,0,0,0,0,40,31,0,31,0,"t0221",2021-07-28
"23","dolnośląskie","wołowski",0,0,0,0,0,7,1,98,39,0,39,0,"t0222",2021-07-28
"24","dolnośląskie","wrocławski",0,0,0,0,0,17,1,634,114,0,114,0,"t0223",2021-07-28
"25","dolnośląskie","ząbkowicki",0,0,0,0,0,0,0,72,49,0,49,0,"t0224",2021-07-28
"26","dolnośląskie","zgorzelecki",1,0.11,0,0,0,1,0,106,43,1,42,0,"t0225",2021-07-28
"27","dolnośląskie","złotoryjski",0,0,0,0,0,0,0,50,24,0,24,0,"t0226",2021-07-28
"28","dolnośląskie","Jelenia Góra",0,0,0,0,0,3,1,115,59,0,59,0,"t0261",2021-07-28
"29","dolnośląskie","Legnica",1,0.1,0,0,0,4,0,442,94,1,93,0,"t0262",2021-07-28
"30","dolnośląskie","Wrocław",5,0.08,0,0,0,29,1,2873,699,6,692,1,"t0264",2021-07-28
"31","dolnośląskie","Wałbrzych",0,0,0,0,0,8,0,163,88,1,87,0,"t0265",2021-07-28
"32","kujawsko-pomorskie","aleksandrowski",0,0,0,0,0,1,0,47,51,0,51,0,"t0401",2021-07-28
"33","kujawsko-pomorskie","brodnicki",0,0,0,0,0,1,0,89,57,0,57,0,"t0402",2021-07-28
"34","kujawsko-pomorskie","bydgoski",1,0.08,0,0,0,13,3,169,101,2,99,0,"t0403",2021-07-28
"35","kujawsko-pomorskie","chełmiński",1,0.19,0,0,0,1,1,78,41,1,40,0,"t0404",2021-07-28
"36","kujawsko-pomorskie","golubsko-dobrzyński",0,0,0,0,0,2,0,34,67,0,67,0,"t0405",2021-07-28
"37","kujawsko-pomorskie","grudziądzki",0,0,1,1,0,3,0,42,31,0,31,0,"t0406",2021-07-28
"38","kujawsko-pomorskie","inowrocławski",0,0,0,0,0,2,0,190,91,2,87,2,"t0407",2021-07-28
"39","kujawsko-pomorskie","lipnowski",0,0,0,0,0,0,0,44,41,0,41,0,"t0408",2021-07-28
"40","kujawsko-pomorskie","mogileński",0,0,0,0,0,0,0,53,31,0,31,0,"t0409",2021-07-28
"41","kujawsko-pomorskie","nakielski",0,0,0,0,0,1,2,56,52,0,52,0,"t0410",2021-07-28
"42","kujawsko-pomorskie","radziejowski",0,0,0,0,0,1,0,30,18,0,18,0,"t0411",2021-07-28
"43","kujawsko-pomorskie","rypiński",0,0,0,0,0,1,0,27,53,0,53,0,"t0412",2021-07-28
"44","kujawsko-pomorskie","sępoleński",0,0,0,0,0,0,0,42,23,0,23,0,"t0413",2021-07-28
"45","kujawsko-pomorskie","świecki",0,0,1,0,1,5,1,148,109,0,107,2,"t0414",2021-07-28
