wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Cały kraj;Cały kraj;15183;3.96;599;85;514;20924;332314;60368;16469;42242;1657;t0000;2020-11-27
dolnośląskie;bolesławiecki;25;2.78;0;0;0;83;1008;103;26;77;0;t0201;2020-11-27
dolnośląskie;dzierżoniowski;24;2.39;1;0;1;40;632;74;26;47;1;t0202;2020-11-27
dolnośląskie;głogowski;79;8.89;0;0;0;65;990;224;80;144;0;t0203;2020-11-27
dolnośląskie;górowski;19;5.48;0;0;0;26;357;73;20;50;3;t0204;2020-11-27
dolnośląskie;jaworski;35;7.01;1;0;1;16;388;88;38;49;1;t0205;2020-11-27
dolnośląskie;jeleniogórski;33;5.21;0;0;0;22;406;89;33;54;2;t0206;2020-11-27
dolnośląskie;kamiennogórski;13;3.02;2;0;2;11;202;71;15;53;3;t0207;2020-11-27
dolnośląskie;kłodzki;72;4.58;2;0;2;59;1322;334;76;256;2;t0208;2020-11-27
dolnośląskie;legnicki;18;3.26;0;0;0;35;480;68;20;44;4;t0209;2020-11-27
dolnośląskie;lubański;28;5.18;0;0;0;29;609;107;30;77;0;t0210;2020-11-27
dolnośląskie;lubiński;31;2.92;1;0;1;58;1003;142;33;107;2;t0211;2020-11-27
dolnośląskie;lwówecki;42;9.18;0;0;0;21;298;147;50;94;3;t0212;2020-11-27
dolnośląskie;milicki;23;6.23;2;0;2;24;393;80;24;56;0;t0213;2020-11-27
dolnośląskie;oleśnicki;84;7.83;0;0;0;68;1365;241;87;152;2;t0214;2020-11-27
dolnośląskie;oławski;70;9.11;1;0;1;62;1360;198;75;120;3;t0215;2020-11-27
dolnośląskie;polkowicki;36;5.71;1;1;0;26;755;79;37;42;0;t0216;2020-11-27
dolnośląskie;strzeliński;31;7.13;0;0;0;30;472;79;32;44;3;t0217;2020-11-27
dolnośląskie;średzki;47;8.49;1;0;1;40;650;111;47;61;3;t0218;2020-11-27
dolnośląskie;świdnicki;60;3.83;5;0;5;71;1405;180;64;115;1;t0219;2020-11-27
dolnośląskie;trzebnicki;42;4.92;0;0;0;40;970;139;45;93;1;t0220;2020-11-27
dolnośląskie;wałbrzyski;20;3.61;1;0;1;24;433;86;23;63;0;t0221;2020-11-27
dolnośląskie;wołowski;26;5.56;0;0;0;21;737;76;29;46;1;t0222;2020-11-27
dolnośląskie;wrocławski;91;5.91;2;0;2;97;1547;345;96;237;12;t0223;2020-11-27
dolnośląskie;ząbkowicki;17;2.64;0;0;0;23;512;72;17;54;1;t0224;2020-11-27
dolnośląskie;zgorzelecki;27;3.04;0;0;0;28;898;80;28;51;1;t0225;2020-11-27
dolnośląskie;złotoryjski;27;6.24;0;0;0;18;434;52;28;21;3;t0226;2020-11-27
dolnośląskie;Jelenia Góra;71;9.01;2;0;2;35;729;173;76;93;4;t0261;2020-11-27
dolnośląskie;Legnica;25;2.52;0;0;0;42;854;103;25;74;4;t0262;2020-11-27
dolnośląskie;Wrocław;336;5.22;5;0;5;384;4083;1559;361;1154;44;t0264;2020-11-27
dolnośląskie;Wałbrzych;34;3.07;3;0;3;55;830;259;35;221;3;t0265;2020-11-27
kujawsko-pomorskie;aleksandrowski;36;6.54;0;0;0;32;524;81;36;39;6;t0401;2020-11-27
kujawsko-pomorskie;brodnicki;44;5.56;0;0;0;34;684;110;46;58;6;t0402;2020-11-27
kujawsko-pomorskie;bydgoski;89;7.45;1;1;0;101;1346;281;91;179;11;t0403;2020-11-27
kujawsko-pomorskie;chełmiński;25;4.82;0;0;0;42;730;129;27;94;8;t0404;2020-11-27
kujawsko-pomorskie;golubsko-dobrzyński;11;2.45;0;0;0;29;411;27;11;15;1;t0405;2020-11-27
kujawsko-pomorskie;grudziądzki;11;2.74;1;0;1;26;452;109;11;97;1;t0406;2020-11-27
kujawsko-pomorskie;inowrocławski;43;2.7;9;0;9;138;1543;177;45;124;8;t0407;2020-11-27
kujawsko-pomorskie;lipnowski;30;4.57;0;0;0;31;647;123;31;88;4;t0408;2020-11-27
kujawsko-pomorskie;mogileński;19;4.17;1;0;1;34;491;49;19;28;2;t0409;2020-11-27
kujawsko-pomorskie;nakielski;44;5.1;0;0;0;59;1211;132;45;82;5;t0410;2020-11-27
kujawsko-pomorskie;radziejowski;12;2.98;0;0;0;37;499;35;13;21;1;t0411;2020-11-27
kujawsko-pomorskie;rypiński;11;2.53;0;0;0;13;334;51;11;37;3;t0412;2020-11-27
kujawsko-pomorskie;sępoleński;35;8.55;0;0;0;31;709;82;37;44;1;t0413;2020-11-27
kujawsko-pomorskie;świecki;53;5.36;0;0;0;108;1254;177;59;112;6;t0414;2020-11-27
kujawsko-pomorskie;toruński;56;5.14;4;1;3;125;1450;188;56;122;10;t0415;2020-11-27
kujawsko-pomorskie;tucholski;16;3.31;0;0;0;29;602;52;16;34;2;t0416;2020-11-27
kujawsko-pomorskie;wąbrzeski;3;0.88;1;0;1;37;341;32;3;27;2;t0417;2020-11-27
kujawsko-pomorskie;włocławski;28;3.26;0;0;0;56;798;62;29;32;1;t0418;2020-11-27
kujawsko-pomorskie;żniński;35;5.0;0;0;0;35;804;104;36;63;5;t0419;2020-11-27
kujawsko-pomorskie;Bydgoszcz;229;6.6;4;0;4;325;2951;812;241;544;27;t0461;2020-11-27
kujawsko-pomorskie;Grudziądz;58;6.17;2;1;1;75;1005;503;64;429;10;t0462;2020-11-27
kujawsko-pomorskie;Toruń;85;4.23;6;0;6;189;1921;494;87;390;17;t0463;2020-11-27
kujawsko-pomorskie;Włocławek;37;3.38;0;0;0;54;912;114;37;70;7;t0464;2020-11-27
lubelskie;bialski;35;3.17;5;4;1;68;1083;104;43;57;4;t0601;2020-11-27
lubelskie;biłgorajski;12;1.19;4;0;4;37;559;85;13;69;3;t0602;2020-11-27
lubelskie;chełmski;32;4.12;3;2;1;31;616;83;32;48;3;t0603;2020-11-27
lubelskie;hrubieszowski;40;6.4;0;0;0;38;638;111;43;58;10;t0604;2020-11-27
lubelskie;janowski;11;2.42;0;0;0;15;267;58;11;47;0;t0605;2020-11-27
lubelskie;krasnostawski;44;6.99;0;0;0;29;684;116;47;66;3;t0606;2020-11-27
lubelskie;kraśnicki;41;4.31;0;0;0;58;683;166;46;118;2;t0607;2020-11-27
lubelskie;lubartowski;33;3.74;0;0;0;46;910;103;38;61;4;t0608;2020-11-27
lubelskie;lubelski;79;5.06;0;0;0;98;1710;240;88;151;1;t0609;2020-11-27
lubelskie;łęczyński;21;3.67;0;0;0;31;566;95;23;67;5;t0610;2020-11-27
lubelskie;łukowski;14;1.31;2;0;2;40;734;95;15;76;4;t0611;2020-11-27
lubelskie;opolski;40;6.79;0;0;0;31;487;100;42;56;2;t0612;2020-11-27
lubelskie;parczewski;7;2.02;0;0;0;5;248;20;7;13;0;t0613;2020-11-27
lubelskie;puławski;52;4.61;3;2;1;75;959;129;55;70;4;t0614;2020-11-27
lubelskie;radzyński;4;0.68;1;0;1;13;447;49;5;44;0;t0615;2020-11-27
lubelskie;rycki;23;4.12;0;0;0;30;367;83;27;55;1;t0616;2020-11-27
lubelskie;świdnicki;70;9.76;0;0;0;76;1040;138;74;64;0;t0617;2020-11-27
lubelskie;tomaszowski;25;3.04;1;0;1;20;544;96;30;59;7;t0618;2020-11-27
lubelskie;włodawski;10;2.62;1;0;1;23;229;31;11;19;1;t0619;2020-11-27
lubelskie;zamojski;35;3.31;4;0;4;35;673;122;41;81;0;t0620;2020-11-27
lubelskie;Biała Podlaska;30;5.25;5;3;2;38;793;87;32;54;1;t0661;2020-11-27
lubelskie;Chełm;34;5.52;6;2;4;52;636;95;37;54;4;t0662;2020-11-27
lubelskie;Lublin;227;6.69;1;0;1;212;3000;762;273;481;8;t0663;2020-11-27
lubelskie;Zamość;21;3.32;1;0;1;34;406;113;27;82;4;t0664;2020-11-27
lubuskie;gorzowski;19;2.64;1;0;1;54;778;64;22;40;2;t0801;2020-11-27
lubuskie;krośnieński;25;4.57;0;0;0;48;731;76;26;43;7;t0802;2020-11-27
lubuskie;międzyrzecki;18;3.14;0;0;0;20;606;111;19;91;1;t0803;2020-11-27
lubuskie;nowosolski;69;8.02;9;5;4;28;649;295;70;224;1;t0804;2020-11-27
lubuskie;słubicki;28;5.97;0;0;0;31;773;59;28;31;0;t0805;2020-11-27
lubuskie;strzelecko-drezdenecki;18;3.68;0;0;0;18;410;50;19;30;1;t0806;2020-11-27
lubuskie;sulęciński;54;15.38;0;0;0;16;414;192;57;134;1;t0807;2020-11-27
lubuskie;świebodziński;30;5.39;1;0;1;29;816;95;30;60;5;t0808;2020-11-27
lubuskie;zielonogórski;12;1.59;0;0;0;50;667;98;15;80;3;t0809;2020-11-27
lubuskie;żagański;24;3.05;1;0;1;50;952;97;24;71;2;t0810;2020-11-27
lubuskie;żarski;29;3.03;1;0;1;49;893;110;30;67;13;t0811;2020-11-27
lubuskie;wschowski;7;1.8;2;0;2;22;281;36;9;27;0;t0812;2020-11-27
lubuskie;Gorzów Wielkopolski;45;3.65;4;0;4;96;1233;153;47;103;3;t0861;2020-11-27
lubuskie;Zielona Góra;21;1.49;1;0;1;67;938;202;29;166;7;t0862;2020-11-27
łódzkie;bełchatowski;16;1.42;0;0;0;64;801;80;22;56;2;t1001;2020-11-27
łódzkie;kutnowski;15;1.56;1;1;0;48;853;105;24;79;2;t1002;2020-11-27
