"","wojewodztwo","powiat_miasto","liczba_przypadkow","liczba_na_10_tys_mieszkancow","zgony","zgony_w_wyniku_covid_bez_chorob_wspolistniejacych","zgony_w_wyniku_covid_i_chorob_wspolistniejacych","liczba_zlecen_poz","liczba_ozdrowiencow","liczba_osob_objetych_kwarantanna","liczba_wykonanych_testow","liczba_testow_z_wynikiem_pozytywnym","liczba_testow_z_wynikiem_negatywnym","liczba_pozostalych_testow","teryt","stan_rekordu_na"
"1","Cały kraj","Cały kraj",3931,1.02,64,15,49,15155,1615,128780,49403,4370,44844,189,"t0000",2021-10-18
"2","dolnośląskie","bolesławiecki",11,1.22,0,0,0,29,2,264,150,12,137,1,"t0201",2021-10-18
"3","dolnośląskie","dzierżoniowski",5,0.5,0,0,0,12,1,99,80,6,74,0,"t0202",2021-10-18
"4","dolnośląskie","głogowski",6,0.68,1,0,1,41,4,187,129,10,119,0,"t0203",2021-10-18
"5","dolnośląskie","górowski",1,0.29,0,0,0,18,1,72,21,2,19,0,"t0204",2021-10-18
"6","dolnośląskie","jaworski",1,0.2,1,1,0,4,1,32,25,1,24,0,"t0205",2021-10-18
"7","dolnośląskie","jeleniogórski",4,0.63,0,0,0,23,1,122,70,5,65,0,"t0206",2021-10-18
"8","dolnośląskie","kamiennogórski",2,0.46,0,0,0,1,0,42,50,2,48,0,"t0207",2021-10-18
"9","dolnośląskie","kłodzki",3,0.19,0,0,0,35,2,132,102,4,98,0,"t0208",2021-10-18
"10","dolnośląskie","legnicki",2,0.36,0,0,0,9,0,85,52,4,48,0,"t0209",2021-10-18
"11","dolnośląskie","lubański",2,0.37,0,0,0,8,1,61,22,2,20,0,"t0210",2021-10-18
"12","dolnośląskie","lubiński",14,1.32,1,0,1,22,3,111,127,14,113,0,"t0211",2021-10-18
"13","dolnośląskie","lwówecki",0,0,0,0,0,19,0,53,40,0,40,0,"t0212",2021-10-18
"14","dolnośląskie","milicki",0,0,0,0,0,6,0,30,7,0,7,0,"t0213",2021-10-18
"15","dolnośląskie","oleśnicki",2,0.19,0,0,0,26,1,130,93,3,90,0,"t0214",2021-10-18
"16","dolnośląskie","oławski",1,0.13,0,0,0,26,0,355,66,4,62,0,"t0215",2021-10-18
