wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Cały kraj;Cały kraj;13105;3.42;544;132;412;16962;235155;54978;14539;38840;1599;t0000;2020-12-10
dolnośląskie;bolesławiecki;39;4.33;0;0;0;40;628;119;42;72;5;t0201;2020-12-10
dolnośląskie;dzierżoniowski;14;1.39;1;0;1;17;330;104;15;89;0;t0202;2020-12-10
dolnośląskie;głogowski;19;2.14;0;0;0;24;552;94;21;71;2;t0203;2020-12-10
dolnośląskie;górowski;5;1.44;0;0;0;15;204;20;7;12;1;t0204;2020-12-10
dolnośląskie;jaworski;11;2.2;0;0;0;24;234;44;11;31;2;t0205;2020-12-10
dolnośląskie;jeleniogórski;13;2.05;1;1;0;12;289;60;13;46;1;t0206;2020-12-10
dolnośląskie;kamiennogórski;12;2.79;0;0;0;13;188;38;12;23;3;t0207;2020-12-10
dolnośląskie;kłodzki;38;2.42;6;0;6;33;605;154;40;114;0;t0208;2020-12-10
dolnośląskie;legnicki;5;0.91;1;0;1;17;275;41;6;31;4;t0209;2020-12-10
dolnośląskie;lubański;30;5.55;0;0;0;17;388;68;30;36;2;t0210;2020-12-10
dolnośląskie;lubiński;26;2.45;2;0;2;45;572;136;32;101;3;t0211;2020-12-10
dolnośląskie;lwówecki;19;4.15;0;0;0;13;228;68;21;46;1;t0212;2020-12-10
dolnośląskie;milicki;5;1.35;0;0;0;9;157;38;6;31;1;t0213;2020-12-10
dolnośląskie;oleśnicki;19;1.77;0;0;0;40;808;131;23;106;2;t0214;2020-12-10
dolnośląskie;oławski;22;2.86;0;0;0;42;662;83;24;58;1;t0215;2020-12-10
dolnośląskie;polkowicki;9;1.43;0;0;0;21;449;48;10;38;0;t0216;2020-12-10
dolnośląskie;strzeliński;11;2.53;0;0;0;16;238;47;11;34;2;t0217;2020-12-10
dolnośląskie;średzki;11;1.99;0;0;0;16;385;74;15;57;2;t0218;2020-12-10
dolnośląskie;świdnicki;44;2.81;1;1;0;43;1146;155;44;108;3;t0219;2020-12-10
dolnośląskie;trzebnicki;22;2.58;1;0;1;37;640;109;25;83;1;t0220;2020-12-10
dolnośląskie;wałbrzyski;26;4.69;3;0;3;24;436;80;26;52;2;t0221;2020-12-10
dolnośląskie;wołowski;15;3.21;1;0;1;22;465;72;20;52;0;t0222;2020-12-10
dolnośląskie;wrocławski;32;2.08;4;0;4;67;1032;201;43;155;3;t0223;2020-12-10
dolnośląskie;ząbkowicki;10;1.55;1;1;0;22;269;59;12;46;1;t0224;2020-12-10
dolnośląskie;zgorzelecki;12;1.35;0;0;0;30;595;52;14;37;1;t0225;2020-12-10
dolnośląskie;złotoryjski;14;3.24;1;0;1;27;448;35;14;20;1;t0226;2020-12-10
dolnośląskie;Jelenia Góra;35;4.44;0;0;0;39;391;126;35;87;4;t0261;2020-12-10
dolnośląskie;Legnica;26;2.62;0;0;0;30;582;126;28;96;2;t0262;2020-12-10
dolnośląskie;Wrocław;221;3.43;22;0;22;284;3616;1443;282;1128;33;t0264;2020-12-10
dolnośląskie;Wałbrzych;35;3.16;4;0;4;46;489;252;41;209;2;t0265;2020-12-10
kujawsko-pomorskie;aleksandrowski;14;2.55;2;1;1;31;319;52;15;35;2;t0401;2020-12-10
kujawsko-pomorskie;brodnicki;13;1.64;1;1;0;29;642;81;14;65;2;t0402;2020-12-10
kujawsko-pomorskie;bydgoski;70;5.86;4;0;4;107;1192;225;72;143;10;t0403;2020-12-10
kujawsko-pomorskie;chełmiński;16;3.09;0;0;0;43;488;77;17;51;9;t0404;2020-12-10
kujawsko-pomorskie;golubsko-dobrzyński;3;0.67;3;1;2;25;284;38;3;35;0;t0405;2020-12-10
kujawsko-pomorskie;grudziądzki;17;4.23;1;1;0;18;515;72;20;47;5;t0406;2020-12-10
kujawsko-pomorskie;inowrocławski;56;3.52;4;1;3;92;1130;210;58;138;14;t0407;2020-12-10
kujawsko-pomorskie;lipnowski;26;3.96;3;3;0;26;537;115;27;81;7;t0408;2020-12-10
kujawsko-pomorskie;mogileński;14;3.08;4;3;1;21;336;43;16;27;0;t0409;2020-12-10
kujawsko-pomorskie;nakielski;107;12.41;0;0;0;87;862;213;111;96;6;t0410;2020-12-10
kujawsko-pomorskie;radziejowski;18;4.48;1;0;1;25;369;52;19;30;3;t0411;2020-12-10
kujawsko-pomorskie;rypiński;5;1.15;2;0;2;13;221;66;12;52;2;t0412;2020-12-10
kujawsko-pomorskie;sępoleński;16;3.91;1;0;1;24;372;58;17;39;2;t0413;2020-12-10
kujawsko-pomorskie;świecki;66;6.67;0;0;0;71;1134;183;68;109;6;t0414;2020-12-10
kujawsko-pomorskie;toruński;55;5.05;0;0;0;84;1461;184;56;123;5;t0415;2020-12-10
kujawsko-pomorskie;tucholski;18;3.72;0;0;0;29;538;68;19;48;1;t0416;2020-12-10
kujawsko-pomorskie;wąbrzeski;4;1.17;3;3;0;26;314;21;4;15;2;t0417;2020-12-10
kujawsko-pomorskie;włocławski;17;1.98;2;2;0;46;656;79;19;56;4;t0418;2020-12-10
kujawsko-pomorskie;żniński;44;6.28;1;0;1;47;600;138;49;84;5;t0419;2020-12-10
kujawsko-pomorskie;Bydgoszcz;213;6.14;11;0;11;334;2775;839;227;585;27;t0461;2020-12-10
kujawsko-pomorskie;Grudziądz;70;7.44;2;0;2;93;1050;281;78;183;20;t0462;2020-12-10
kujawsko-pomorskie;Toruń;119;5.92;5;0;5;203;1749;566;121;426;19;t0463;2020-12-10
kujawsko-pomorskie;Włocławek;31;2.84;2;0;2;58;804;104;33;70;1;t0464;2020-12-10
lubelskie;bialski;43;3.89;1;0;1;31;611;158;47;111;0;t0601;2020-12-10
lubelskie;biłgorajski;8;0.8;1;1;0;13;281;57;8;48;1;t0602;2020-12-10
lubelskie;chełmski;22;2.83;1;1;0;35;569;87;23;62;2;t0603;2020-12-10
lubelskie;hrubieszowski;15;2.4;1;0;1;17;391;71;19;50;2;t0604;2020-12-10
lubelskie;janowski;6;1.32;1;0;1;3;140;33;7;25;1;t0605;2020-12-10
