wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;21045;5.49;375;99;276;30072;9288;276477;73332;22391;49555;1386;t0000;2021-03-10
dolnoœl¹skie;boles³awiecki;21;2.33;1;0;1;25;8;178;135;23;110;2;t0201;2021-03-10
dolnoœl¹skie;dzier¿oniowski;32;3.18;0;0;0;53;8;403;121;33;87;1;t0202;2021-03-10
dolnoœl¹skie;g³ogowski;30;3.38;2;0;2;44;5;487;137;30;106;1;t0203;2021-03-10
dolnoœl¹skie;górowski;3;0.86;0;0;0;11;6;81;31;3;28;0;t0204;2021-03-10
dolnoœl¹skie;jaworski;14;2.80;0;0;0;18;2;138;61;15;46;0;t0205;2021-03-10
dolnoœl¹skie;jeleniogórski;11;1.74;0;0;0;36;0;238;62;14;48;0;t0206;2021-03-10
dolnoœl¹skie;kamiennogórski;44;10.22;1;1;0;48;16;637;99;46;53;0;t0207;2021-03-10
dolnoœl¹skie;k³odzki;123;7.82;7;0;7;182;36;1968;309;168;140;1;t0208;2021-03-10
dolnoœl¹skie;legnicki;13;2.35;0;0;0;39;4;311;89;15;69;5;t0209;2021-03-10
dolnoœl¹skie;lubañski;11;2.03;0;0;0;19;3;186;43;11;29;3;t0210;2021-03-10
dolnoœl¹skie;lubiñski;47;4.43;0;0;0;66;6;396;164;47;114;3;t0211;2021-03-10
dolnoœl¹skie;lwówecki;15;3.28;1;1;0;41;7;102;76;15;59;2;t0212;2021-03-10
dolnoœl¹skie;milicki;24;6.50;0;0;0;22;3;210;61;28;33;0;t0213;2021-03-10
dolnoœl¹skie;oleœnicki;28;2.61;0;0;0;62;11;685;145;29;115;1;t0214;2021-03-10
dolnoœl¹skie;o³awski;53;6.90;0;0;0;53;15;527;111;54;57;0;t0215;2021-03-10
dolnoœl¹skie;polkowicki;13;2.06;0;0;0;28;2;267;75;15;59;1;t0216;2021-03-10
dolnoœl¹skie;strzeliñski;8;1.84;0;0;0;50;11;601;46;10;36;0;t0217;2021-03-10
dolnoœl¹skie;œredzki;20;3.61;1;0;1;51;7;426;73;21;50;2;t0218;2021-03-10
dolnoœl¹skie;œwidnicki;102;6.52;8;0;8;109;25;1117;263;114;149;0;t0219;2021-03-10
dolnoœl¹skie;trzebnicki;54;6.32;1;1;0;87;18;675;165;58;106;1;t0220;2021-03-10
dolnoœl¹skie;wa³brzyski;33;5.96;1;1;0;56;8;518;97;34;63;0;t0221;2021-03-10
dolnoœl¹skie;wo³owski;8;1.71;1;0;1;17;6;160;51;8;43;0;t0222;2021-03-10
dolnoœl¹skie;wroc³awski;145;9.42;0;0;0;181;39;1504;340;147;186;7;t0223;2021-03-10
dolnoœl¹skie;z¹bkowicki;31;4.81;4;3;1;41;2;309;96;32;63;1;t0224;2021-03-10
dolnoœl¹skie;zgorzelecki;21;2.37;1;0;1;37;24;380;127;24;102;1;t0225;2021-03-10
dolnoœl¹skie;z³otoryjski;3;0.69;0;0;0;13;0;82;24;3;21;0;t0226;2021-03-10
dolnoœl¹skie;Jelenia Góra;17;2.16;0;0;0;65;10;392;107;21;85;1;t0261;2021-03-10
dolnoœl¹skie;Legnica;48;4.84;1;1;0;63;8;466;173;52;114;7;t0262;2021-03-10
dolnoœl¹skie;Wroc³aw;481;7.47;3;2;1;666;149;4399;1364;514;825;25;t0264;2021-03-10
dolnoœl¹skie;Wa³brzych;42;3.80;2;2;0;81;15;579;166;46;119;1;t0265;2021-03-10
kujawsko-pomorskie;aleksandrowski;30;5.45;2;0;2;34;9;333;106;32;71;3;t0401;2021-03-10
kujawsko-pomorskie;brodnicki;26;3.29;0;0;0;45;8;396;103;29;71;3;t0402;2021-03-10
kujawsko-pomorskie;bydgoski;90;7.53;0;0;0;147;48;1165;282;95;177;10;t0403;2021-03-10
kujawsko-pomorskie;che³miñski;38;7.33;0;0;0;51;32;509;161;50;109;2;t0404;2021-03-10
kujawsko-pomorskie;golubsko-dobrzyñski;59;13.13;1;0;1;74;39;673;115;60;50;5;t0405;2021-03-10
kujawsko-pomorskie;grudzi¹dzki;28;6.96;1;0;1;40;16;357;102;28;73;1;t0406;2021-03-10
kujawsko-pomorskie;inowroc³awski;122;7.66;5;2;3;157;40;1373;424;152;259;13;t0407;2021-03-10
kujawsko-pomorskie;lipnowski;29;4.42;1;0;1;21;7;297;113;29;80;4;t0408;2021-03-10
kujawsko-pomorskie;mogileñski;12;2.64;0;0;0;44;11;286;53;12;38;3;t0409;2021-03-10
kujawsko-pomorskie;nakielski;52;6.03;1;0;1;74;25;436;185;54;127;4;t0410;2021-03-10
kujawsko-pomorskie;radziejowski;7;1.74;0;0;0;20;12;154;55;10;43;2;t0411;2021-03-10
kujawsko-pomorskie;rypiñski;22;5.07;0;0;0;27;3;247;71;25;45;1;t0412;2021-03-10
kujawsko-pomorskie;sêpoleñski;12;2.93;1;0;1;8;5;219;67;12;52;3;t0413;2021-03-10
kujawsko-pomorskie;œwiecki;53;5.36;3;0;3;78;23;682;220;57;157;6;t0414;2021-03-10
kujawsko-pomorskie;toruñski;67;6.15;2;0;2;118;42;1080;212;73;136;3;t0415;2021-03-10
kujawsko-pomorskie;tucholski;35;7.24;0;0;0;39;13;608;153;62;83;8;t0416;2021-03-10
kujawsko-pomorskie;w¹brzeski;28;8.21;1;1;0;31;28;402;66;30;36;0;t0417;2021-03-10
kujawsko-pomorskie;w³oc³awski;25;2.91;1;0;1;29;13;428;112;25;85;2;t0418;2021-03-10
kujawsko-pomorskie;¿niñski;47;6.71;0;0;0;72;17;622;175;55;120;0;t0419;2021-03-10
kujawsko-pomorskie;Bydgoszcz;262;7.56;7;0;7;363;139;2622;828;288;522;18;t0461;2021-03-10
kujawsko-pomorskie;Grudzi¹dz;84;8.93;2;2;0;91;27;789;370;91;270;9;t0462;2021-03-10
kujawsko-pomorskie;Toruñ;129;6.41;2;0;2;222;85;1600;445;136;304;5;t0463;2021-03-10
kujawsko-pomorskie;W³oc³awek;57;5.21;2;0;2;95;26;463;188;59;126;3;t0464;2021-03-10
lubelskie;bialski;36;3.26;0;0;0;65;25;517;123;36;85;2;t0601;2021-03-10
lubelskie;bi³gorajski;60;5.96;1;0;1;68;27;716;178;62;114;2;t0602;2021-03-10
lubelskie;che³mski;12;1.54;0;0;0;17;5;303;70;13;57;0;t0603;2021-03-10
lubelskie;hrubieszowski;25;4.00;0;0;0;55;18;427;108;28;77;3;t0604;2021-03-10
lubelskie;janowski;15;3.30;0;0;0;22;4;142;61;17;43;1;t0605;2021-03-10
lubelskie;krasnostawski;5;0.79;1;0;1;17;10;312;65;5;59;1;t0606;2021-03-10
lubelskie;kraœnicki;10;1.05;2;0;2;24;18;233;96;11;85;0;t0607;2021-03-10
lubelskie;lubartowski;14;1.59;1;1;0;30;10;270;69;14;55;0;t0608;2021-03-10
lubelskie;lubelski;55;3.53;1;0;1;80;24;749;213;59;154;0;t0609;2021-03-10
lubelskie;³êczyñski;2;0.35;0;0;0;35;10;321;55;4;50;1;t0610;2021-03-10
lubelskie;³ukowski;12;1.13;0;0;0;37;12;352;121;32;82;7;t0611;2021-03-10
lubelskie;opolski;11;1.87;0;0;0;14;10;254;51;11;40;0;t0612;2021-03-10
lubelskie;parczewski;0;0;1;0;1;18;5;142;33;1;32;0;t0613;2021-03-10
lubelskie;pu³awski;36;3.19;1;0;1;83;18;649;224;38;186;0;t0614;2021-03-10
lubelskie;radzyñski;19;3.24;0;0;0;25;5;446;76;23;53;0;t0615;2021-03-10
lubelskie;rycki;14;2.51;0;0;0;31;11;324;88;14;73;1;t0616;2021-03-10
lubelskie;œwidnicki;22;3.07;0;0;0;75;14;555;97;22;72;3;t0617;2021-03-10
lubelskie;tomaszowski;9;1.09;2;0;2;21;15;262;73;11;60;2;t0618;2021-03-10
lubelskie;w³odawski;13;3.40;0;0;0;10;15;208;44;13;30;1;t0619;2021-03-10
lubelskie;zamojski;33;3.12;0;0;0;50;10;445;140;34;105;1;t0620;2021-03-10
lubelskie;Bia³a Podlaska;35;6.12;0;0;0;35;7;294;103;35;67;1;t0661;2021-03-10
lubelskie;Che³m;21;3.41;0;0;0;38;8;300;83;24;58;1;t0662;2021-03-10
lubelskie;Lublin;114;3.36;5;0;5;220;76;1812;567;114;449;4;t0663;2021-03-10
lubelskie;Zamoœæ;27;4.27;1;0;1;34;11;241;113;29;82;2;t0664;2021-03-10
lubuskie;gorzowski;84;11.66;4;4;0;90;40;763;192;89;98;5;t0801;2021-03-10
lubuskie;kroœnieñski;10;1.83;0;0;0;30;5;400;45;12;31;2;t0802;2021-03-10
lubuskie;miêdzyrzecki;33;5.75;2;2;0;67;15;707;105;34;71;0;t0803;2021-03-10
lubuskie;nowosolski;41;4.77;3;2;1;57;14;524;189;47;140;2;t0804;2021-03-10
lubuskie;s³ubicki;4;0.85;3;3;0;22;7;334;53;7;46;0;t0805;2021-03-10
lubuskie;strzelecko-drezdenecki;32;6.55;0;0;0;52;10;369;108;34;71;3;t0806;2021-03-10
lubuskie;sulêciñski;5;1.42;1;1;0;24;2;163;40;5;35;0;t0807;2021-03-10
lubuskie;œwiebodziñski;8;1.44;2;2;0;31;12;422;50;8;42;0;t0808;2021-03-10
lubuskie;zielonogórski;87;11.50;1;1;0;97;22;752;205;88;117;0;t0809;2021-03-10
lubuskie;¿agañski;18;2.29;0;0;0;26;3;199;124;18;103;3;t0810;2021-03-10
lubuskie;¿arski;35;3.65;1;1;0;45;17;402;153;35;116;2;t0811;2021-03-10
lubuskie;wschowski;12;3.09;0;0;0;25;1;178;43;12;31;0;t0812;2021-03-10
lubuskie;Gorzów Wielkopolski;156;12.65;4;4;0;175;112;1501;418;167;235;16;t0861;2021-03-10
lubuskie;Zielona Góra;107;7.57;0;0;0;174;31;1551;332;114;214;4;t0862;2021-03-10
