wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;123;0.03;26;9;17;2412;148;72255;53830;200;53488;142;t0000;2021-06-28
dolnoœl¹skie;boles³awiecki;1;0.11;0;0;0;3;1;301;141;2;139;0;t0201;2021-06-28
dolnoœl¹skie;dzier¿oniowski;0;0;0;0;0;4;0;105;128;0;128;0;t0202;2021-06-28
dolnoœl¹skie;g³ogowski;0;0;0;0;0;1;0;139;122;0;121;1;t0203;2021-06-28
dolnoœl¹skie;górowski;1;0.29;0;0;0;4;0;43;39;1;38;0;t0204;2021-06-28
dolnoœl¹skie;jaworski;0;0;0;0;0;4;0;60;57;0;56;1;t0205;2021-06-28
dolnoœl¹skie;jeleniogórski;0;0;0;0;0;0;0;98;91;0;91;0;t0206;2021-06-28
dolnoœl¹skie;kamiennogórski;0;0;0;0;0;2;0;60;48;0;47;1;t0207;2021-06-28
dolnoœl¹skie;k³odzki;0;0;0;0;0;9;0;184;187;0;186;1;t0208;2021-06-28
dolnoœl¹skie;legnicki;0;0;0;0;0;2;1;139;49;0;48;1;t0209;2021-06-28
dolnoœl¹skie;lubañski;0;0;0;0;0;9;0;67;53;0;52;1;t0210;2021-06-28
dolnoœl¹skie;lubiñski;1;0.09;0;0;0;3;0;114;149;2;147;0;t0211;2021-06-28
dolnoœl¹skie;lwówecki;1;0.22;1;1;0;13;1;54;99;1;98;0;t0212;2021-06-28
dolnoœl¹skie;milicki;2;0.54;0;0;0;2;0;83;27;2;25;0;t0213;2021-06-28
dolnoœl¹skie;oleœnicki;0;0;0;0;0;3;0;165;120;0;120;0;t0214;2021-06-28
dolnoœl¹skie;o³awski;1;0.13;0;0;0;7;0;186;118;1;116;1;t0215;2021-06-28
dolnoœl¹skie;polkowicki;0;0;0;0;0;3;0;51;75;0;75;0;t0216;2021-06-28
dolnoœl¹skie;strzeliñski;1;0.23;0;0;0;5;0;49;53;1;52;0;t0217;2021-06-28
dolnoœl¹skie;œredzki;0;0;0;0;0;6;0;95;63;0;62;1;t0218;2021-06-28
dolnoœl¹skie;œwidnicki;2;0.13;0;0;0;8;0;228;146;2;143;1;t0219;2021-06-28
dolnoœl¹skie;trzebnicki;0;0;0;0;0;3;1;259;96;0;96;0;t0220;2021-06-28
dolnoœl¹skie;wa³brzyski;1;0.18;0;0;0;3;0;37;94;1;93;0;t0221;2021-06-28
dolnoœl¹skie;wo³owski;1;0.21;0;0;0;1;0;75;60;1;59;0;t0222;2021-06-28
dolnoœl¹skie;wroc³awski;0;0;0;0;0;15;0;456;232;0;231;1;t0223;2021-06-28
dolnoœl¹skie;z¹bkowicki;1;0.16;0;0;0;1;0;58;81;1;80;0;t0224;2021-06-28
dolnoœl¹skie;zgorzelecki;1;0.11;0;0;0;6;1;106;84;1;82;1;t0225;2021-06-28
dolnoœl¹skie;z³otoryjski;0;0;0;0;0;0;0;54;40;0;40;0;t0226;2021-06-28
dolnoœl¹skie;Jelenia Góra;0;0;0;0;0;12;0;109;126;0;125;1;t0261;2021-06-28
dolnoœl¹skie;Legnica;0;0;0;0;0;10;2;266;152;0;152;0;t0262;2021-06-28
dolnoœl¹skie;Wroc³aw;4;0.06;1;1;0;57;5;2252;1068;5;1057;6;t0264;2021-06-28
dolnoœl¹skie;Wa³brzych;2;0.18;0;0;0;8;0;106;222;3;219;0;t0265;2021-06-28
kujawsko-pomorskie;aleksandrowski;0;0;0;0;0;1;1;43;75;0;74;1;t0401;2021-06-28
kujawsko-pomorskie;brodnicki;0;0;0;0;0;1;1;72;97;0;96;1;t0402;2021-06-28
kujawsko-pomorskie;bydgoski;0;0;0;0;0;11;1;130;124;0;124;0;t0403;2021-06-28
kujawsko-pomorskie;che³miñski;0;0;0;0;0;3;0;47;65;0;65;0;t0404;2021-06-28
kujawsko-pomorskie;golubsko-dobrzyñski;1;0.22;0;0;0;4;1;26;38;1;37;0;t0405;2021-06-28
kujawsko-pomorskie;grudzi¹dzki;0;0;0;0;0;6;0;30;48;0;48;0;t0406;2021-06-28
kujawsko-pomorskie;inowroc³awski;0;0;0;0;0;16;1;166;159;0;158;1;t0407;2021-06-28
kujawsko-pomorskie;lipnowski;2;0.30;0;0;0;3;0;58;77;2;75;0;t0408;2021-06-28
kujawsko-pomorskie;mogileñski;0;0;0;0;0;0;0;41;37;0;37;0;t0409;2021-06-28
kujawsko-pomorskie;nakielski;0;0;0;0;0;8;0;65;88;0;88;0;t0410;2021-06-28
kujawsko-pomorskie;radziejowski;0;0;0;0;0;4;0;31;37;0;36;1;t0411;2021-06-28
kujawsko-pomorskie;rypiñski;0;0;0;0;0;4;0;19;73;0;73;0;t0412;2021-06-28
kujawsko-pomorskie;sêpoleñski;0;0;0;0;0;7;0;36;53;0;53;0;t0413;2021-06-28
kujawsko-pomorskie;œwiecki;0;0;0;0;0;5;0;110;87;0;87;0;t0414;2021-06-28
kujawsko-pomorskie;toruñski;0;0;0;0;0;2;0;87;151;0;151;0;t0415;2021-06-28
kujawsko-pomorskie;tucholski;0;0;0;0;0;5;0;41;42;0;42;0;t0416;2021-06-28
kujawsko-pomorskie;w¹brzeski;0;0;0;0;0;0;0;20;40;0;40;0;t0417;2021-06-28
kujawsko-pomorskie;w³oc³awski;1;0.12;0;0;0;4;0;53;102;2;100;0;t0418;2021-06-28
kujawsko-pomorskie;¿niñski;0;0;0;0;0;5;0;58;49;0;49;0;t0419;2021-06-28
kujawsko-pomorskie;Bydgoszcz;1;0.03;0;0;0;30;2;523;302;1;299;2;t0461;2021-06-28
kujawsko-pomorskie;Grudzi¹dz;1;0.11;0;0;0;1;1;82;160;1;159;0;t0462;2021-06-28
kujawsko-pomorskie;Toruñ;0;0;0;0;0;16;2;191;383;0;383;0;t0463;2021-06-28
kujawsko-pomorskie;W³oc³awek;0;0;0;0;0;7;0;100;139;1;138;0;t0464;2021-06-28
lubelskie;bialski;0;0;0;0;0;9;0;195;119;0;119;0;t0601;2021-06-28
lubelskie;bi³gorajski;0;0;0;0;0;9;0;315;120;0;120;0;t0602;2021-06-28
lubelskie;che³mski;1;0.13;0;0;0;7;2;98;89;1;88;0;t0603;2021-06-28
lubelskie;hrubieszowski;0;0;0;0;0;2;0;31;85;0;85;0;t0604;2021-06-28
lubelskie;janowski;0;0;0;0;0;7;0;42;58;0;58;0;t0605;2021-06-28
lubelskie;krasnostawski;0;0;0;0;0;9;0;68;100;0;100;0;t0606;2021-06-28
lubelskie;kraœnicki;0;0;0;0;0;8;0;140;112;1;111;0;t0607;2021-06-28
lubelskie;lubartowski;0;0;0;0;0;3;0;180;92;0;92;0;t0608;2021-06-28
lubelskie;lubelski;2;0.13;0;0;0;6;1;268;204;2;202;0;t0609;2021-06-28
lubelskie;³êczyñski;0;0;0;0;0;1;0;136;83;1;82;0;t0610;2021-06-28
lubelskie;³ukowski;0;0;0;0;0;8;0;137;121;0;120;1;t0611;2021-06-28
