wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;25998;6.78;419;116;303;39345;16912;383721;86153;28846;55556;1751;t0000;2021-03-18
dolnoœl¹skie;boles³awiecki;34;3.78;0;0;0;56;12;309;167;39;125;3;t0201;2021-03-18
dolnoœl¹skie;dzier¿oniowski;38;3.78;4;0;4;66;10;586;128;38;89;1;t0202;2021-03-18
dolnoœl¹skie;g³ogowski;53;5.96;0;0;0;98;16;721;182;68;112;2;t0203;2021-03-18
dolnoœl¹skie;górowski;11;3.17;0;0;0;21;5;168;35;11;24;0;t0204;2021-03-18
dolnoœl¹skie;jaworski;11;2.20;0;0;0;30;4;245;60;11;49;0;t0205;2021-03-18
dolnoœl¹skie;jeleniogórski;39;6.15;1;0;1;44;7;402;114;44;69;1;t0206;2021-03-18
dolnoœl¹skie;kamiennogórski;56;13.01;1;1;0;54;22;822;128;58;69;1;t0207;2021-03-18
dolnoœl¹skie;k³odzki;134;8.52;4;0;4;170;111;2094;296;147;145;4;t0208;2021-03-18
dolnoœl¹skie;legnicki;30;5.43;0;0;0;24;11;357;74;31;40;3;t0209;2021-03-18
dolnoœl¹skie;lubañski;13;2.40;0;0;0;31;8;281;58;16;41;1;t0210;2021-03-18
dolnoœl¹skie;lubiñski;12;1.13;0;0;0;99;24;679;112;13;99;0;t0211;2021-03-18
dolnoœl¹skie;lwówecki;22;4.81;0;0;0;42;13;277;112;26;85;1;t0212;2021-03-18
dolnoœl¹skie;milicki;42;11.38;0;0;0;52;8;642;82;46;36;0;t0213;2021-03-18
dolnoœl¹skie;oleœnicki;101;9.41;0;0;0;79;20;976;240;108;130;2;t0214;2021-03-18
dolnoœl¹skie;o³awski;43;5.60;0;0;0;111;26;1098;189;75;112;2;t0215;2021-03-18
dolnoœl¹skie;polkowicki;41;6.50;0;0;0;41;18;491;105;44;61;0;t0216;2021-03-18
dolnoœl¹skie;strzeliñski;126;28.99;1;0;1;63;38;909;195;130;50;15;t0217;2021-03-18
dolnoœl¹skie;œredzki;46;8.31;0;0;0;75;27;583;112;46;64;2;t0218;2021-03-18
dolnoœl¹skie;œwidnicki;139;8.88;1;0;1;156;72;1826;295;142;149;4;t0219;2021-03-18
dolnoœl¹skie;trzebnicki;57;6.67;0;0;0;80;35;927;197;66;129;2;t0220;2021-03-18
dolnoœl¹skie;wa³brzyski;49;8.84;1;1;0;47;12;688;122;55;67;0;t0221;2021-03-18
dolnoœl¹skie;wo³owski;11;2.35;0;0;0;24;2;269;75;11;61;3;t0222;2021-03-18
dolnoœl¹skie;wroc³awski;168;10.92;1;1;0;220;71;2095;526;189;325;12;t0223;2021-03-18
dolnoœl¹skie;z¹bkowicki;40;6.20;0;0;0;47;15;557;104;41;63;0;t0224;2021-03-18
dolnoœl¹skie;zgorzelecki;33;3.72;0;0;0;62;22;571;114;35;77;2;t0225;2021-03-18
dolnoœl¹skie;z³otoryjski;12;2.77;1;1;0;18;5;150;47;13;33;1;t0226;2021-03-18
dolnoœl¹skie;Jelenia Góra;55;6.98;0;0;0;66;14;630;193;65;126;2;t0261;2021-03-18
dolnoœl¹skie;Legnica;48;4.84;1;1;0;70;18;851;212;51;155;6;t0262;2021-03-18
dolnoœl¹skie;Wroc³aw;604;9.38;5;5;0;762;233;6215;2071;673;1350;48;t0264;2021-03-18
dolnoœl¹skie;Wa³brzych;75;6.78;0;0;0;144;47;1193;213;82;129;2;t0265;2021-03-18
kujawsko-pomorskie;aleksandrowski;48;8.73;0;0;0;88;39;690;178;48;124;6;t0401;2021-03-18
kujawsko-pomorskie;brodnicki;36;4.55;1;0;1;71;38;592;122;37;83;2;t0402;2021-03-18
kujawsko-pomorskie;bydgoski;136;11.39;1;0;1;160;62;1266;416;176;228;12;t0403;2021-03-18
kujawsko-pomorskie;che³miñski;33;6.37;0;0;0;68;14;615;179;58;119;2;t0404;2021-03-18
kujawsko-pomorskie;golubsko-dobrzyñski;87;19.35;0;0;0;76;58;793;161;88;71;2;t0405;2021-03-18
kujawsko-pomorskie;grudzi¹dzki;36;8.95;0;0;0;52;19;472;103;38;62;3;t0406;2021-03-18
kujawsko-pomorskie;inowroc³awski;118;7.41;3;1;2;211;100;1763;369;135;222;12;t0407;2021-03-18
kujawsko-pomorskie;lipnowski;32;4.88;0;0;0;31;16;557;138;34;99;5;t0408;2021-03-18
kujawsko-pomorskie;mogileñski;20;4.39;1;0;1;20;19;422;72;21;48;3;t0409;2021-03-18
kujawsko-pomorskie;nakielski;53;6.15;1;0;1;98;30;585;150;54;93;3;t0410;2021-03-18
kujawsko-pomorskie;radziejowski;14;3.48;1;0;1;24;10;201;51;14;37;0;t0411;2021-03-18
kujawsko-pomorskie;rypiñski;27;6.22;1;0;1;51;16;569;74;27;45;2;t0412;2021-03-18
kujawsko-pomorskie;sêpoleñski;10;2.44;1;0;1;26;5;168;47;10;36;1;t0413;2021-03-18
kujawsko-pomorskie;œwiecki;69;6.97;1;0;1;91;48;774;270;75;188;7;t0414;2021-03-18
kujawsko-pomorskie;toruñski;98;9.00;4;1;3;145;47;1273;334;108;222;4;t0415;2021-03-18
kujawsko-pomorskie;tucholski;32;6.62;1;0;1;49;28;685;112;47;65;0;t0416;2021-03-18
kujawsko-pomorskie;w¹brzeski;11;3.22;0;0;0;36;28;357;53;11;42;0;t0417;2021-03-18
kujawsko-pomorskie;w³oc³awski;16;1.86;0;0;0;64;12;439;118;17;100;1;t0418;2021-03-18
kujawsko-pomorskie;¿niñski;63;8.99;1;0;1;80;28;622;174;69;103;2;t0419;2021-03-18
kujawsko-pomorskie;Bydgoszcz;344;9.92;4;0;4;488;140;3300;1276;499;760;17;t0461;2021-03-18
kujawsko-pomorskie;Grudzi¹dz;110;11.69;5;4;1;119;65;1099;274;114;153;7;t0462;2021-03-18
kujawsko-pomorskie;Toruñ;147;7.31;3;1;2;285;115;2039;616;166;444;6;t0463;2021-03-18
kujawsko-pomorskie;W³oc³awek;27;2.47;1;0;1;76;32;642;161;29;130;2;t0464;2021-03-18
lubelskie;bialski;37;3.35;1;1;0;80;13;798;134;39;95;0;t0601;2021-03-18
lubelskie;bi³gorajski;46;4.57;2;0;2;63;65;872;139;47;87;5;t0602;2021-03-18
lubelskie;che³mski;30;3.86;0;0;0;43;14;430;150;32;113;5;t0603;2021-03-18
lubelskie;hrubieszowski;50;8.00;3;0;3;90;33;727;156;56;95;5;t0604;2021-03-18
lubelskie;janowski;10;2.20;0;0;0;27;19;213;55;11;42;2;t0605;2021-03-18
lubelskie;krasnostawski;23;3.65;0;0;0;33;27;553;101;24;76;1;t0606;2021-03-18
lubelskie;kraœnicki;18;1.89;0;0;0;49;18;398;101;19;82;0;t0607;2021-03-18
lubelskie;lubartowski;8;0.91;0;0;0;40;14;341;83;8;74;1;t0608;2021-03-18
lubelskie;lubelski;37;2.37;1;0;1;112;38;881;252;40;210;2;t0609;2021-03-18
lubelskie;³êczyñski;15;2.62;0;0;0;52;16;327;81;15;66;0;t0610;2021-03-18
lubelskie;³ukowski;47;4.41;2;0;2;40;21;477;184;65;103;16;t0611;2021-03-18
lubelskie;opolski;17;2.88;8;0;8;26;10;291;73;18;54;1;t0612;2021-03-18
lubelskie;parczewski;11;3.18;0;0;0;19;9;312;53;12;40;1;t0613;2021-03-18
lubelskie;pu³awski;73;6.47;1;0;1;112;32;790;285;77;207;1;t0614;2021-03-18
lubelskie;radzyñski;12;2.05;2;0;2;26;26;395;79;13;66;0;t0615;2021-03-18
lubelskie;rycki;18;3.22;0;0;0;33;13;351;62;19;42;1;t0616;2021-03-18
lubelskie;œwidnicki;39;5.44;0;0;0;81;24;735;148;41;106;1;t0617;2021-03-18
lubelskie;tomaszowski;36;4.37;2;0;2;48;17;363;107;37;66;4;t0618;2021-03-18
lubelskie;w³odawski;18;4.71;1;0;1;29;7;335;64;19;44;1;t0619;2021-03-18
lubelskie;zamojski;48;4.54;3;0;3;44;21;626;135;48;85;2;t0620;2021-03-18
lubelskie;Bia³a Podlaska;23;4.02;0;0;0;52;14;367;91;24;67;0;t0661;2021-03-18
lubelskie;Che³m;32;5.20;0;0;0;49;13;522;113;33;79;1;t0662;2021-03-18
lubelskie;Lublin;157;4.62;4;0;4;328;106;2210;785;169;610;6;t0663;2021-03-18
lubelskie;Zamoœæ;27;4.27;1;0;1;51;21;422;113;29;83;1;t0664;2021-03-18
lubuskie;gorzowski;63;8.74;1;1;0;78;69;847;153;65;86;2;t0801;2021-03-18
lubuskie;kroœnieñski;18;3.29;0;0;0;37;10;550;69;19;47;3;t0802;2021-03-18
lubuskie;miêdzyrzecki;54;9.41;2;2;0;105;12;883;163;56;106;1;t0803;2021-03-18
lubuskie;nowosolski;54;6.28;2;1;1;89;26;965;170;69;101;0;t0804;2021-03-18
lubuskie;s³ubicki;24;5.12;0;0;0;48;6;461;97;26;68;3;t0805;2021-03-18
lubuskie;strzelecko-drezdenecki;34;6.96;2;2;0;86;12;586;134;54;79;1;t0806;2021-03-18
lubuskie;sulêciñski;29;8.26;1;1;0;37;13;284;77;29;48;0;t0807;2021-03-18
lubuskie;œwiebodziñski;28;5.03;1;1;0;66;10;709;101;30;70;1;t0808;2021-03-18
lubuskie;zielonogórski;60;7.93;0;0;0;88;60;983;159;64;93;2;t0809;2021-03-18
lubuskie;¿agañski;43;5.47;0;0;0;56;13;427;149;46;100;3;t0810;2021-03-18
lubuskie;¿arski;31;3.24;1;1;0;57;22;481;208;32;174;2;t0811;2021-03-18
lubuskie;wschowski;35;9.02;0;0;0;46;13;552;83;35;47;1;t0812;2021-03-18
lubuskie;Gorzów Wielkopolski;151;12.24;2;2;0;175;152;1560;379;156;216;7;t0861;2021-03-18
lubuskie;Zielona Góra;121;8.56;4;0;4;182;86;1867;345;134;208;3;t0862;2021-03-18
³ódzkie;be³chatowski;35;3.11;0;0;0;76;39;634;160;37;123;0;t1001;2021-03-18
³ódzkie;kutnowski;21;2.18;0;0;0;56;15;312;127;26;101;0;t1002;2021-03-18
³ódzkie;³aski;31;6.23;0;0;0;32;19;322;100;35;65;0;t1003;2021-03-18
³ódzkie;³êczycki;15;3.03;2;0;2;32;14;315;91;17;73;1;t1004;2021-03-18
³ódzkie;³owicki;16;2.06;1;0;1;67;65;1158;79;16;62;1;t1005;2021-03-18
³ódzkie;³ódzki wschodni;54;7.46;0;0;0;85;33;649;172;55;116;1;t1006;2021-03-18
³ódzkie;opoczyñski;22;2.90;0;0;0;24;6;389;100;27;68;5;t1007;2021-03-18
³ódzkie;pabianicki;98;8.22;1;1;0;149;105;1403;316;102;213;1;t1008;2021-03-18
³ódzkie;pajêczañski;7;1.37;1;0;1;19;1;247;42;8;32;2;t1009;2021-03-18
