wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;Ca³y kraj;7624;1.99;341;85;256;33066;4939;156782;48466;8757;38880;829;t0000
dolnoœl¹skie;boles³awiecki;27;3.00;2;0;2;105;13;442;139;35;102;2;t0201
dolnoœl¹skie;dzier¿oniowski;2;0.20;0;0;0;45;1;188;60;2;58;0;t0202
dolnoœl¹skie;g³ogowski;15;1.69;0;0;0;58;8;283;93;16;77;0;t0203
dolnoœl¹skie;górowski;14;4.03;0;0;0;40;2;109;40;15;24;1;t0204
dolnoœl¹skie;jaworski;0;0;0;0;0;33;1;117;29;0;29;0;t0205
dolnoœl¹skie;jeleniogórski;8;1.26;4;1;3;41;17;174;54;9;45;0;t0206
dolnoœl¹skie;kamiennogórski;2;0.46;0;0;0;16;4;62;55;4;51;0;t0207
dolnoœl¹skie;k³odzki;10;0.64;3;1;2;90;3;323;138;10;126;2;t0208
dolnoœl¹skie;legnicki;30;5.43;1;1;0;22;3;150;70;31;39;0;t0209
dolnoœl¹skie;lubañski;13;2.40;1;1;0;38;5;240;40;16;24;0;t0210
dolnoœl¹skie;lubiñski;11;1.04;0;0;0;37;2;257;217;16;197;4;t0211
dolnoœl¹skie;lwówecki;4;0.87;1;0;1;30;7;130;48;8;40;0;t0212
dolnoœl¹skie;milicki;3;0.81;0;0;0;20;2;155;25;5;20;0;t0213
dolnoœl¹skie;oleœnicki;7;0.65;0;0;0;72;4;366;148;12;135;1;t0214
dolnoœl¹skie;o³awski;13;1.69;0;0;0;66;1;333;91;14;76;1;t0215
dolnoœl¹skie;polkowicki;3;0.48;0;0;0;40;0;145;46;3;41;2;t0216
dolnoœl¹skie;strzeliñski;19;4.37;0;0;0;33;6;128;55;21;34;0;t0217
dolnoœl¹skie;œredzki;4;0.72;0;0;0;52;5;198;58;5;52;1;t0218
dolnoœl¹skie;œwidnicki;14;0.89;3;0;3;67;5;634;152;16;135;1;t0219
dolnoœl¹skie;trzebnicki;14;1.64;1;0;1;60;8;274;97;16;79;2;t0220
dolnoœl¹skie;wa³brzyski;2;0.36;0;0;0;25;10;172;95;3;90;2;t0221
dolnoœl¹skie;wo³owski;20;4.28;0;0;0;48;13;215;65;23;42;0;t0222
dolnoœl¹skie;wroc³awski;31;2.01;0;0;0;133;17;728;182;35;145;2;t0223
dolnoœl¹skie;z¹bkowicki;5;0.78;0;0;0;39;6;211;63;5;58;0;t0224
dolnoœl¹skie;zgorzelecki;17;1.92;1;1;0;48;8;298;76;18;57;1;t0225
dolnoœl¹skie;z³otoryjski;2;0.46;1;1;0;26;2;190;17;2;15;0;t0226
dolnoœl¹skie;Jelenia Góra;19;2.41;0;0;0;32;7;211;76;19;56;1;t0261
dolnoœl¹skie;Legnica;6;0.61;3;3;0;53;5;369;80;7;72;1;t0262
dolnoœl¹skie;Wroc³aw;150;2.33;4;4;0;471;58;2384;1161;182;951;28;t0264
dolnoœl¹skie;Wa³brzych;16;1.45;0;0;0;67;10;336;282;23;255;4;t0265
kujawsko-pomorskie;aleksandrowski;9;1.64;0;0;0;34;22;185;54;11;43;0;t0401
kujawsko-pomorskie;brodnicki;16;2.02;1;0;1;76;9;434;79;16;61;2;t0402
kujawsko-pomorskie;bydgoski;108;9.04;3;0;3;237;36;1106;338;109;220;9;t0403
kujawsko-pomorskie;che³miñski;22;4.25;0;0;0;78;13;396;94;25;68;1;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;3;0.67;0;0;0;47;4;170;43;3;38;2;t0405
kujawsko-pomorskie;grudzi¹dzki;20;4.97;0;0;0;55;2;379;79;23;54;2;t0406
kujawsko-pomorskie;inowroc³awski;37;2.32;1;1;0;279;26;1024;158;48;107;3;t0407
kujawsko-pomorskie;lipnowski;25;3.81;1;0;1;47;7;272;111;26;84;1;t0408
kujawsko-pomorskie;mogileñski;19;4.17;1;0;1;37;4;205;56;20;36;0;t0409
kujawsko-pomorskie;nakielski;58;6.73;0;0;0;180;10;593;172;61;110;1;t0410
kujawsko-pomorskie;radziejowski;9;2.24;4;0;4;56;10;242;39;11;28;0;t0411
