"","wojewodztwo","powiat_miasto","liczba_przypadkow","liczba_na_10_tys_mieszkancow","zgony","zgony_w_wyniku_covid_bez_chorob_wspolistniejacych","zgony_w_wyniku_covid_i_chorob_wspolistniejacych","liczba_zlecen_poz","liczba_ozdrowiencow","liczba_osob_objetych_kwarantanna","liczba_wykonanych_testow","liczba_testow_z_wynikiem_pozytywnym","liczba_testow_z_wynikiem_negatywnym","liczba_pozostalych_testow","teryt","stan_rekordu_na"
"1","Cały kraj","Cały kraj",128,0.03,0,0,0,111,174,62393,25512,147,25336,29,"t0000",2021-08-15
"2","dolnośląskie","bolesławiecki",0,0,0,0,0,0,0,185,66,0,66,0,"t0201",2021-08-15
"3","dolnośląskie","dzierżoniowski",0,0,0,0,0,0,0,82,24,0,24,0,"t0202",2021-08-15
"4","dolnośląskie","głogowski",0,0,0,0,0,0,0,87,62,0,62,0,"t0203",2021-08-15
"5","dolnośląskie","górowski",0,0,0,0,0,0,0,35,24,0,24,0,"t0204",2021-08-15
"6","dolnośląskie","jaworski",0,0,0,0,0,0,0,33,24,1,23,0,"t0205",2021-08-15
"7","dolnośląskie","jeleniogórski",0,0,0,0,0,0,0,85,53,1,52,0,"t0206",2021-08-15
"8","dolnośląskie","kamiennogórski",0,0,0,0,0,0,0,61,15,0,15,0,"t0207",2021-08-15
"9","dolnośląskie","kłodzki",0,0,0,0,0,0,0,118,60,0,60,0,"t0208",2021-08-15
"10","dolnośląskie","legnicki",0,0,0,0,0,0,0,84,22,0,22,0,"t0209",2021-08-15
"11","dolnośląskie","lubański",0,0,0,0,0,0,0,31,14,0,14,0,"t0210",2021-08-15
"12","dolnośląskie","lubiński",1,0.09,0,0,0,0,0,54,52,1,51,0,"t0211",2021-08-15
"13","dolnośląskie","lwówecki",0,0,0,0,0,0,0,45,22,0,22,0,"t0212",2021-08-15
"14","dolnośląskie","milicki",1,0.27,0,0,0,1,0,22,11,1,10,0,"t0213",2021-08-15
"15","dolnośląskie","oleśnicki",0,0,0,0,0,0,0,161,31,0,31,0,"t0214",2021-08-15
"16","dolnośląskie","oławski",0,0,0,0,0,0,0,259,28,0,28,0,"t0215",2021-08-15
"17","dolnośląskie","polkowicki",0,0,0,0,0,0,0,73,40,0,40,0,"t0216",2021-08-15
"18","dolnośląskie","strzeliński",0,0,0,0,0,0,0,47,13,0,13,0,"t0217",2021-08-15
"19","dolnośląskie","średzki",0,0,0,0,0,0,0,76,23,0,23,0,"t0218",2021-08-15
"20","dolnośląskie","świdnicki",0,0,0,0,0,0,0,365,20,0,20,0,"t0219",2021-08-15
"21","dolnośląskie","trzebnicki",0,0,0,0,0,0,1,198,35,0,35,0,"t0220",2021-08-15
"22","dolnośląskie","wałbrzyski",0,0,0,0,0,0,0,28,14,0,14,0,"t0221",2021-08-15
"23","dolnośląskie","wołowski",0,0,0,0,0,0,0,51,28,0,28,0,"t0222",2021-08-15
"24","dolnośląskie","wrocławski",0,0,0,0,0,0,2,454,75,0,75,0,"t0223",2021-08-15
"25","dolnośląskie","ząbkowicki",1,0.16,0,0,0,0,0,46,20,1,19,0,"t0224",2021-08-15
"26","dolnośląskie","zgorzelecki",0,0,0,0,0,0,0,102,37,0,37,0,"t0225",2021-08-15
"27","dolnośląskie","złotoryjski",0,0,0,0,0,0,0,34,16,0,16,0,"t0226",2021-08-15
"28","dolnośląskie","Jelenia Góra",0,0,0,0,0,0,0,88,48,0,48,0,"t0261",2021-08-15
"29","dolnośląskie","Legnica",0,0,0,0,0,0,0,361,38,0,38,0,"t0262",2021-08-15
"30","dolnośląskie","Wrocław",12,0.19,0,0,0,2,1,2496,643,14,628,1,"t0264",2021-08-15
"31","dolnośląskie","Wałbrzych",0,0,0,0,0,0,0,149,24,0,24,0,"t0265",2021-08-15
"32","kujawsko-pomorskie","aleksandrowski",0,0,0,0,0,0,2,33,27,0,26,1,"t0401",2021-08-15
"33","kujawsko-pomorskie","brodnicki",0,0,0,0,0,3,0,71,44,0,44,0,"t0402",2021-08-15
"34","kujawsko-pomorskie","bydgoski",0,0,0,0,0,0,1,156,58,0,58,0,"t0403",2021-08-15
"35","kujawsko-pomorskie","chełmiński",0,0,0,0,0,0,0,53,23,0,23,0,"t0404",2021-08-15
"36","kujawsko-pomorskie","golubsko-dobrzyński",0,0,0,0,0,0,0,15,10,0,10,0,"t0405",2021-08-15
"37","kujawsko-pomorskie","grudziądzki",0,0,0,0,0,0,1,14,19,0,19,0,"t0406",2021-08-15
"38","kujawsko-pomorskie","inowrocławski",0,0,0,0,0,0,0,130,52,0,52,0,"t0407",2021-08-15
"39","kujawsko-pomorskie","lipnowski",0,0,0,0,0,0,0,35,24,0,24,0,"t0408",2021-08-15
"40","kujawsko-pomorskie","mogileński",0,0,0,0,0,0,0,36,22,0,22,0,"t0409",2021-08-15
"41","kujawsko-pomorskie","nakielski",1,0.12,0,0,0,0,1,32,42,1,40,1,"t0410",2021-08-15
"42","kujawsko-pomorskie","radziejowski",0,0,0,0,0,0,0,20,17,0,17,0,"t0411",2021-08-15
"43","kujawsko-pomorskie","rypiński",0,0,0,0,0,0,0,11,8,0,8,0,"t0412",2021-08-15
"44","kujawsko-pomorskie","sępoleński",0,0,0,0,0,0,0,13,28,0,28,0,"t0413",2021-08-15
"45","kujawsko-pomorskie","świecki",0,0,0,0,0,0,1,109,46,0,46,0,"t0414",2021-08-15
"46","kujawsko-pomorskie","toruński",1,0.09,0,0,0,0,0,83,28,1,27,0,"t0415",2021-08-15
"47","kujawsko-pomorskie","tucholski",0,0,0,0,0,0,1,18,14,0,14,0,"t0416",2021-08-15
"48","kujawsko-pomorskie","wąbrzeski",0,0,0,0,0,0,0,12,25,0,25,0,"t0417",2021-08-15
"49","kujawsko-pomorskie","włocławski",0,0,0,0,0,0,0,60,29,0,29,0,"t0418",2021-08-15
"50","kujawsko-pomorskie","żniński",0,0,0,0,0,0,0,28,147,0,147,0,"t0419",2021-08-15
"51","kujawsko-pomorskie","Bydgoszcz",1,0.03,0,0,0,0,2,582,171,1,170,0,"t0461",2021-08-15
"52","kujawsko-pomorskie","Grudziądz",0,0,0,0,0,0,1,93,52,0,52,0,"t0462",2021-08-15
"53","kujawsko-pomorskie","Toruń",1,0.05,0,0,0,0,0,156,82,1,81,0,"t0463",2021-08-15
"54","kujawsko-pomorskie","Włocławek",0,0,0,0,0,0,0,83,54,1,53,0,"t0464",2021-08-15
"55","lubelskie","bialski",0,0,0,0,0,0,2,135,33,0,32,1,"t0601",2021-08-15
"56","lubelskie","biłgorajski",0,0,0,0,0,0,0,282,54,0,54,0,"t0602",2021-08-15
"57","lubelskie","chełmski",0,0,0,0,0,0,0,66,24,0,24,0,"t0603",2021-08-15
"58","lubelskie","hrubieszowski",0,0,0,0,0,0,0,99,33,0,33,0,"t0604",2021-08-15
"59","lubelskie","janowski",0,0,0,0,0,0,0,40,18,0,18,0,"t0605",2021-08-15
"60","lubelskie","krasnostawski",0,0,0,0,0,0,1,37,19,0,19,0,"t0606",2021-08-15
