wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;974;0.25;14;3;11;6018;569;86107;41707;1100;40502;105;t0000;2021-09-22
dolnoœl¹skie;boles³awiecki;1;0.11;0;0;0;15;0;322;77;1;76;0;t0201;2021-09-22
dolnoœl¹skie;dzier¿oniowski;0;0;0;0;0;25;0;85;87;0;87;0;t0202;2021-09-22
dolnoœl¹skie;g³ogowski;2;0.23;0;0;0;10;1;107;85;3;81;1;t0203;2021-09-22
dolnoœl¹skie;górowski;3;0.86;0;0;0;7;3;51;25;3;22;0;t0204;2021-09-22
dolnoœl¹skie;jaworski;1;0.20;0;0;0;2;0;30;51;2;49;0;t0205;2021-09-22
dolnoœl¹skie;jeleniogórski;0;0;0;0;0;5;2;94;87;0;87;0;t0206;2021-09-22
dolnoœl¹skie;kamiennogórski;0;0;0;0;0;0;0;67;54;0;54;0;t0207;2021-09-22
dolnoœl¹skie;k³odzki;2;0.13;0;0;0;18;2;161;90;2;88;0;t0208;2021-09-22
dolnoœl¹skie;legnicki;0;0;0;0;0;4;0;94;38;0;38;0;t0209;2021-09-22
dolnoœl¹skie;lubañski;0;0;0;0;0;3;0;51;35;0;35;0;t0210;2021-09-22
dolnoœl¹skie;lubiñski;1;0.09;0;0;0;8;2;75;103;2;101;0;t0211;2021-09-22
dolnoœl¹skie;lwówecki;1;0.22;0;0;0;9;2;47;50;1;49;0;t0212;2021-09-22
dolnoœl¹skie;milicki;0;0;0;0;0;4;0;31;24;0;24;0;t0213;2021-09-22
dolnoœl¹skie;oleœnicki;2;0.19;0;0;0;14;3;172;74;2;72;0;t0214;2021-09-22
dolnoœl¹skie;o³awski;5;0.65;0;0;0;20;0;282;76;5;71;0;t0215;2021-09-22
dolnoœl¹skie;polkowicki;7;1.11;0;0;0;3;2;62;77;9;68;0;t0216;2021-09-22
dolnoœl¹skie;strzeliñski;1;0.23;0;0;0;5;0;58;46;2;44;0;t0217;2021-09-22
dolnoœl¹skie;œredzki;0;0;0;0;0;14;2;135;60;0;60;0;t0218;2021-09-22
dolnoœl¹skie;œwidnicki;1;0.06;0;0;0;11;0;383;118;1;117;0;t0219;2021-09-22
dolnoœl¹skie;trzebnicki;1;0.12;0;0;0;5;4;211;85;4;81;0;t0220;2021-09-22
dolnoœl¹skie;wa³brzyski;0;0;0;0;0;5;0;35;36;0;36;0;t0221;2021-09-22
dolnoœl¹skie;wo³owski;1;0.21;0;0;0;3;0;66;40;1;39;0;t0222;2021-09-22
dolnoœl¹skie;wroc³awski;5;0.32;0;0;0;44;2;467;158;6;151;1;t0223;2021-09-22
dolnoœl¹skie;z¹bkowicki;0;0;0;0;0;7;0;94;57;0;57;0;t0224;2021-09-22
dolnoœl¹skie;zgorzelecki;2;0.23;0;0;0;13;3;124;53;3;50;0;t0225;2021-09-22
dolnoœl¹skie;z³otoryjski;3;0.69;0;0;0;3;0;65;45;3;42;0;t0226;2021-09-22
dolnoœl¹skie;Jelenia Góra;2;0.25;0;0;0;11;1;140;147;2;144;1;t0261;2021-09-22
dolnoœl¹skie;Legnica;1;0.10;0;0;0;20;2;364;106;1;103;2;t0262;2021-09-22
dolnoœl¹skie;Wroc³aw;20;0.31;0;0;0;107;8;2388;719;20;696;3;t0264;2021-09-22
dolnoœl¹skie;Wa³brzych;1;0.09;0;0;0;8;0;123;73;1;72;0;t0265;2021-09-22
kujawsko-pomorskie;aleksandrowski;0;0;0;0;0;2;1;33;47;0;46;1;t0401;2021-09-22
kujawsko-pomorskie;brodnicki;0;0;0;0;0;1;2;64;44;0;44;0;t0402;2021-09-22
kujawsko-pomorskie;bydgoski;1;0.08;0;0;0;23;1;136;115;5;109;1;t0403;2021-09-22
kujawsko-pomorskie;che³miñski;0;0;0;0;0;4;1;67;36;0;36;0;t0404;2021-09-22
kujawsko-pomorskie;golubsko-dobrzyñski;1;0.22;0;0;0;13;2;56;39;1;38;0;t0405;2021-09-22
kujawsko-pomorskie;grudzi¹dzki;0;0;0;0;0;4;0;45;29;0;29;0;t0406;2021-09-22
kujawsko-pomorskie;inowroc³awski;2;0.13;0;0;0;21;0;181;112;4;107;1;t0407;2021-09-22
kujawsko-pomorskie;lipnowski;1;0.15;0;0;0;3;2;43;46;1;45;0;t0408;2021-09-22
kujawsko-pomorskie;mogileñski;1;0.22;0;0;0;2;0;59;37;1;36;0;t0409;2021-09-22
kujawsko-pomorskie;nakielski;5;0.58;0;0;0;16;0;238;74;5;68;1;t0410;2021-09-22
kujawsko-pomorskie;radziejowski;5;1.24;0;0;0;4;0;38;56;5;50;1;t0411;2021-09-22
kujawsko-pomorskie;rypiñski;0;0;0;0;0;5;0;13;27;0;27;0;t0412;2021-09-22
kujawsko-pomorskie;sêpoleñski;1;0.24;0;0;0;2;0;46;30;1;29;0;t0413;2021-09-22
kujawsko-pomorskie;œwiecki;0;0;1;0;1;25;1;111;114;0;114;0;t0414;2021-09-22
kujawsko-pomorskie;toruñski;5;0.46;0;0;0;24;0;196;93;8;82;3;t0415;2021-09-22
kujawsko-pomorskie;tucholski;2;0.41;0;0;0;2;1;21;48;2;46;0;t0416;2021-09-22
kujawsko-pomorskie;w¹brzeski;0;0;0;0;0;0;0;12;25;0;25;0;t0417;2021-09-22
kujawsko-pomorskie;w³oc³awski;0;0;0;0;0;4;0;49;46;0;46;0;t0418;2021-09-22
kujawsko-pomorskie;¿niñski;1;0.14;0;0;0;29;0;96;69;1;68;0;t0419;2021-09-22
kujawsko-pomorskie;Bydgoszcz;12;0.35;0;0;0;70;4;631;334;12;320;2;t0461;2021-09-22
kujawsko-pomorskie;Grudzi¹dz;2;0.21;0;0;0;15;0;112;100;2;97;1;t0462;2021-09-22
kujawsko-pomorskie;Toruñ;4;0.20;0;0;0;28;1;223;192;6;182;4;t0463;2021-09-22
kujawsko-pomorskie;W³oc³awek;1;0.09;0;0;0;5;0;125;93;1;92;0;t0464;2021-09-22
lubelskie;bialski;13;1.18;0;0;0;38;4;526;137;13;122;2;t0601;2021-09-22
lubelskie;bi³gorajski;8;0.80;0;0;0;32;6;353;152;12;139;1;t0602;2021-09-22
lubelskie;che³mski;2;0.26;0;0;0;12;0;103;105;2;103;0;t0603;2021-09-22
lubelskie;hrubieszowski;0;0;0;0;0;11;0;51;57;0;57;0;t0604;2021-09-22
lubelskie;janowski;3;0.66;0;0;0;8;1;244;35;3;30;2;t0605;2021-09-22
lubelskie;krasnostawski;4;0.64;0;0;0;14;6;102;75;4;70;1;t0606;2021-09-22
lubelskie;kraœnicki;10;1.05;0;0;0;18;8;637;130;10;120;0;t0607;2021-09-22
lubelskie;lubartowski;8;0.91;0;0;0;13;2;134;84;9;75;0;t0608;2021-09-22
lubelskie;lubelski;27;1.73;0;0;0;51;12;705;212;28;184;0;t0609;2021-09-22
lubelskie;³êczyñski;11;1.92;0;0;0;29;5;339;77;11;66;0;t0610;2021-09-22
lubelskie;³ukowski;1;0.09;0;0;0;19;5;168;83;1;82;0;t0611;2021-09-22
lubelskie;opolski;1;0.17;0;0;0;6;1;910;37;1;35;1;t0612;2021-09-22
lubelskie;parczewski;0;0;0;0;0;9;1;66;31;0;31;0;t0613;2021-09-22
lubelskie;pu³awski;7;0.62;0;0;0;50;2;367;140;7;133;0;t0614;2021-09-22
lubelskie;radzyñski;2;0.34;0;0;0;4;2;100;68;3;65;0;t0615;2021-09-22
lubelskie;rycki;0;0;0;0;0;9;0;71;55;0;54;1;t0616;2021-09-22
lubelskie;œwidnicki;7;0.98;0;0;0;37;5;221;111;7;103;1;t0617;2021-09-22
lubelskie;tomaszowski;2;0.24;0;0;0;4;0;72;55;2;53;0;t0618;2021-09-22
lubelskie;w³odawski;6;1.57;0;0;0;10;0;76;58;6;52;0;t0619;2021-09-22
lubelskie;zamojski;1;0.09;0;0;0;11;0;66;75;1;73;1;t0620;2021-09-22
lubelskie;Bia³a Podlaska;13;2.27;0;0;0;16;0;182;96;13;83;0;t0661;2021-09-22
lubelskie;Che³m;2;0.32;0;0;0;8;1;70;122;3;119;0;t0662;2021-09-22
lubelskie;Lublin;15;0.44;0;0;0;136;14;1249;511;15;496;0;t0663;2021-09-22
lubelskie;Zamoœæ;2;0.32;0;0;0;5;0;42;56;2;53;1;t0664;2021-09-22
lubuskie;gorzowski;1;0.14;0;0;0;5;0;154;74;1;73;0;t0801;2021-09-22
lubuskie;kroœnieñski;1;0.18;0;0;0;7;1;103;57;1;56;0;t0802;2021-09-22
lubuskie;miêdzyrzecki;0;0;0;0;0;8;0;140;60;0;60;0;t0803;2021-09-22
lubuskie;nowosolski;0;0;0;0;0;8;0;131;126;0;126;0;t0804;2021-09-22
lubuskie;s³ubicki;0;0;0;0;0;4;1;106;49;0;49;0;t0805;2021-09-22
lubuskie;strzelecko-drezdenecki;0;0;0;0;0;6;0;24;33;0;33;0;t0806;2021-09-22
lubuskie;sulêciñski;17;4.84;0;0;0;5;0;319;135;17;112;6;t0807;2021-09-22
lubuskie;œwiebodziñski;1;0.18;0;0;0;12;0;104;55;2;53;0;t0808;2021-09-22
lubuskie;zielonogórski;0;0;0;0;0;5;1;216;90;0;90;0;t0809;2021-09-22
lubuskie;¿agañski;2;0.25;0;0;0;6;1;72;68;2;66;0;t0810;2021-09-22
lubuskie;¿arski;2;0.21;0;0;0;18;0;138;80;2;78;0;t0811;2021-09-22
lubuskie;wschowski;0;0;0;0;0;3;1;122;28;0;28;0;t0812;2021-09-22
lubuskie;Gorzów Wielkopolski;2;0.16;0;0;0;15;3;236;98;2;96;0;t0861;2021-09-22
lubuskie;Zielona Góra;4;0.28;0;0;0;24;1;425;185;4;181;0;t0862;2021-09-22
³ódzkie;be³chatowski;0;0;1;0;1;15;4;146;88;0;88;0;t1001;2021-09-22
³ódzkie;kutnowski;9;0.94;0;0;0;8;0;320;90;10;80;0;t1002;2021-09-22
³ódzkie;³aski;0;0;0;0;0;2;2;67;45;0;44;1;t1003;2021-09-22
³ódzkie;³êczycki;0;0;0;0;0;9;0;106;55;0;55;0;t1004;2021-09-22
³ódzkie;³owicki;0;0;0;0;0;8;1;178;84;0;84;0;t1005;2021-09-22
³ódzkie;³ódzki wschodni;2;0.28;0;0;0;9;1;167;82;2;80;0;t1006;2021-09-22
³ódzkie;opoczyñski;0;0;0;0;0;12;0;34;50;0;49;1;t1007;2021-09-22
³ódzkie;pabianicki;2;0.17;0;0;0;16;0;165;130;2;128;0;t1008;2021-09-22
³ódzkie;pajêczañski;0;0;0;0;0;6;0;76;37;0;37;0;t1009;2021-09-22
³ódzkie;piotrkowski;0;0;0;0;0;9;1;136;57;0;56;1;t1010;2021-09-22
³ódzkie;poddêbicki;0;0;0;0;0;8;1;74;29;0;29;0;t1011;2021-09-22
³ódzkie;radomszczañski;3;0.27;1;0;1;19;2;282;132;3;129;0;t1012;2021-09-22
³ódzkie;rawski;1;0.21;0;0;0;5;0;1803;54;1;53;0;t1013;2021-09-22
³ódzkie;sieradzki;2;0.17;0;0;0;6;0;210;108;3;105;0;t1014;2021-09-22
³ódzkie;skierniewicki;0;0;0;0;0;4;0;266;29;0;29;0;t1015;2021-09-22
³ódzkie;tomaszowski;2;0.17;0;0;0;23;2;227;158;4;154;0;t1016;2021-09-22
³ódzkie;wieluñski;0;0;0;0;0;10;0;99;59;0;59;0;t1017;2021-09-22
³ódzkie;wieruszowski;1;0.24;0;0;0;5;0;50;26;1;25;0;t1018;2021-09-22
³ódzkie;zduñskowolski;2;0.30;0;0;0;13;3;101;59;2;57;0;t1019;2021-09-22
³ódzkie;zgierski;2;0.12;0;0;0;19;3;469;206;2;204;0;t1020;2021-09-22
³ódzkie;brzeziñski;0;0;0;0;0;4;1;63;43;1;42;0;t1021;2021-09-22
³ódzkie;£ódŸ;17;0.25;0;0;0;170;23;1869;1036;19;1014;3;t1061;2021-09-22
³ódzkie;Piotrków Trybunalski;0;0;0;0;0;4;1;165;43;0;43;0;t1062;2021-09-22
³ódzkie;Skierniewice;0;0;0;0;0;6;0;70;64;0;64;0;t1063;2021-09-22
ma³opolskie;bocheñski;3;0.28;0;0;0;13;1;147;85;3;81;1;t1201;2021-09-22
ma³opolskie;brzeski;2;0.21;0;0;0;8;4;72;92;2;90;0;t1202;2021-09-22
ma³opolskie;chrzanowski;3;0.24;0;0;0;13;2;85;111;3;108;0;t1203;2021-09-22
ma³opolskie;d¹browski;2;0.34;0;0;0;3;2;42;33;2;31;0;t1204;2021-09-22
ma³opolskie;gorlicki;2;0.18;0;0;0;12;1;184;91;2;89;0;t1205;2021-09-22
ma³opolskie;krakowski;11;0.39;0;0;0;36;1;431;305;12;292;1;t1206;2021-09-22
ma³opolskie;limanowski;7;0.53;0;0;0;10;1;136;90;7;83;0;t1207;2021-09-22
ma³opolskie;miechowski;1;0.21;0;0;0;4;0;36;23;1;22;0;t1208;2021-09-22
ma³opolskie;myœlenicki;4;0.31;0;0;0;15;1;154;87;4;83;0;t1209;2021-09-22
ma³opolskie;nowos¹decki;10;0.46;0;0;0;19;0;117;175;14;160;1;t1210;2021-09-22
ma³opolskie;nowotarski;8;0.42;0;0;0;12;4;207;151;9;141;1;t1211;2021-09-22
ma³opolskie;olkuski;4;0.36;0;0;0;10;0;79;79;4;75;0;t1212;2021-09-22
ma³opolskie;oœwiêcimski;1;0.07;0;0;0;21;2;133;102;1;101;0;t1213;2021-09-22
ma³opolskie;proszowicki;0;0;0;0;0;3;0;90;34;0;34;0;t1214;2021-09-22
ma³opolskie;suski;0;0;0;0;0;8;0;76;61;0;61;0;t1215;2021-09-22
ma³opolskie;tarnowski;4;0.20;0;0;0;15;2;135;167;4;163;0;t1216;2021-09-22
ma³opolskie;tatrzañski;8;1.17;0;0;0;7;3;172;115;9;104;2;t1217;2021-09-22
ma³opolskie;wadowicki;0;0;0;0;0;16;8;123;116;0;116;0;t1218;2021-09-22
ma³opolskie;wielicki;2;0.15;0;0;0;19;2;178;106;2;104;0;t1219;2021-09-22
ma³opolskie;Kraków;19;0.24;0;0;0;173;10;1737;1103;21;1079;3;t1261;2021-09-22
