wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;20576;5.36;51;6;45;1169;23150;684516;71569;21937;48309;1323;t0000;2021-11-27
dolnoœl¹skie;boles³awiecki;27;3.00;0;0;0;0;77;1959;78;28;47;3;t0201;2021-11-27
dolnoœl¹skie;dzier¿oniowski;56;5.57;0;0;0;0;10;646;154;59;88;7;t0202;2021-11-27
dolnoœl¹skie;g³ogowski;75;8.44;0;0;0;3;18;1539;184;77;103;4;t0203;2021-11-27
dolnoœl¹skie;górowski;9;2.59;0;0;0;2;11;684;40;9;31;0;t0204;2021-11-27
dolnoœl¹skie;jaworski;3;0.60;0;0;0;0;22;868;19;5;14;0;t0205;2021-11-27
dolnoœl¹skie;jeleniogórski;27;4.26;0;0;0;0;23;529;86;28;57;1;t0206;2021-11-27
dolnoœl¹skie;kamiennogórski;6;1.39;0;0;0;1;1;136;32;7;23;2;t0207;2021-11-27
dolnoœl¹skie;k³odzki;45;2.86;0;0;0;2;36;1778;222;50;170;2;t0208;2021-11-27
dolnoœl¹skie;legnicki;44;7.97;0;0;0;2;34;1200;88;45;39;4;t0209;2021-11-27
dolnoœl¹skie;lubañski;38;7.03;0;0;0;3;46;1244;68;41;26;1;t0210;2021-11-27
dolnoœl¹skie;lubiñski;110;10.37;0;0;0;3;74;2264;222;113;98;11;t0211;2021-11-27
dolnoœl¹skie;lwówecki;26;5.68;0;0;0;0;18;734;82;29;50;3;t0212;2021-11-27
dolnoœl¹skie;milicki;26;7.04;0;0;0;0;29;1106;59;26;33;0;t0213;2021-11-27
dolnoœl¹skie;oleœnicki;55;5.12;0;0;0;0;63;1827;179;57;121;1;t0214;2021-11-27
dolnoœl¹skie;o³awski;95;12.36;0;0;0;0;71;2297;215;99;111;5;t0215;2021-11-27
dolnoœl¹skie;polkowicki;27;4.28;0;0;0;3;49;1421;73;30;39;4;t0216;2021-11-27
dolnoœl¹skie;strzeliñski;14;3.22;0;0;0;0;19;628;51;15;36;0;t0217;2021-11-27
dolnoœl¹skie;œredzki;58;10.48;0;0;0;2;37;1317;125;59;59;7;t0218;2021-11-27
dolnoœl¹skie;œwidnicki;53;3.39;0;0;0;0;38;1658;140;55;85;0;t0219;2021-11-27
dolnoœl¹skie;trzebnicki;33;3.86;0;0;0;5;62;1448;133;37;94;2;t0220;2021-11-27
dolnoœl¹skie;wa³brzyski;12;2.17;0;0;0;2;13;520;68;13;53;2;t0221;2021-11-27
dolnoœl¹skie;wo³owski;85;18.19;0;0;0;0;42;1021;148;90;56;2;t0222;2021-11-27
dolnoœl¹skie;wroc³awski;172;11.18;0;0;0;10;123;3891;489;179;295;15;t0223;2021-11-27
dolnoœl¹skie;z¹bkowicki;29;4.50;0;0;0;1;6;1449;121;32;84;5;t0224;2021-11-27
dolnoœl¹skie;zgorzelecki;50;5.63;0;0;0;1;54;1532;104;51;49;4;t0225;2021-11-27
dolnoœl¹skie;z³otoryjski;20;4.62;0;0;0;2;17;781;50;22;28;0;t0226;2021-11-27
dolnoœl¹skie;Jelenia Góra;31;3.94;0;0;0;1;18;936;95;31;62;2;t0261;2021-11-27
dolnoœl¹skie;Legnica;107;10.80;0;0;0;0;76;2469;217;111;96;10;t0262;2021-11-27
dolnoœl¹skie;Wroc³aw;672;10.44;0;0;0;19;492;9978;2090;705;1340;45;t0264;2021-11-27
dolnoœl¹skie;Wa³brzych;40;3.62;0;0;0;2;44;875;139;43;96;0;t0265;2021-11-27
kujawsko-pomorskie;aleksandrowski;35;6.36;0;0;0;4;29;814;104;38;65;1;t0401;2021-11-27
kujawsko-pomorskie;brodnicki;42;5.31;0;0;0;2;28;1331;128;45;82;1;t0402;2021-11-27
kujawsko-pomorskie;bydgoski;56;4.69;0;0;0;15;85;2699;209;58;146;5;t0403;2021-11-27
kujawsko-pomorskie;che³miñski;18;3.47;0;0;0;16;13;1056;90;21;69;0;t0404;2021-11-27
kujawsko-pomorskie;golubsko-dobrzyñski;10;2.22;0;0;0;0;10;579;39;10;28;1;t0405;2021-11-27
kujawsko-pomorskie;grudzi¹dzki;24;5.97;0;0;0;0;10;756;83;25;56;2;t0406;2021-11-27
kujawsko-pomorskie;inowroc³awski;50;3.14;0;0;0;0;76;2799;240;52;185;3;t0407;2021-11-27
kujawsko-pomorskie;lipnowski;28;4.27;0;0;0;2;29;1598;123;30;90;3;t0408;2021-11-27
kujawsko-pomorskie;mogileñski;7;1.54;0;0;0;1;19;607;58;9;49;0;t0409;2021-11-27
kujawsko-pomorskie;nakielski;24;2.78;0;0;0;1;38;1789;99;25;73;1;t0410;2021-11-27
kujawsko-pomorskie;radziejowski;24;5.97;0;0;0;2;17;852;97;26;69;2;t0411;2021-11-27
kujawsko-pomorskie;rypiñski;12;2.76;0;0;0;0;7;659;83;13;69;1;t0412;2021-11-27
kujawsko-pomorskie;sêpoleñski;30;7.33;0;0;0;0;23;1207;78;32;46;0;t0413;2021-11-27
kujawsko-pomorskie;œwiecki;29;2.93;1;0;1;10;46;1641;113;30;79;4;t0414;2021-11-27
kujawsko-pomorskie;toruñski;31;2.85;0;0;0;3;82;2764;116;34;79;3;t0415;2021-11-27
kujawsko-pomorskie;tucholski;28;5.79;0;0;0;0;22;979;67;30;36;1;t0416;2021-11-27
kujawsko-pomorskie;w¹brzeski;6;1.76;0;0;0;0;9;613;25;6;18;1;t0417;2021-11-27
