"","wojewodztwo","powiat_miasto","liczba_przypadkow","liczba_na_10_tys_mieszkancow","zgony","zgony_w_wyniku_covid_bez_chorob_wspolistniejacych","zgony_w_wyniku_covid_i_chorob_wspolistniejacych","liczba_zlecen_poz","liczba_ozdrowiencow","liczba_osob_objetych_kwarantanna","liczba_wykonanych_testow","liczba_testow_z_wynikiem_pozytywnym","liczba_testow_z_wynikiem_negatywnym","liczba_pozostalych_testow","teryt","stan_rekordu_na"
"1","Cały kraj","Cały kraj",114,0.03,7,2,5,1547,280,88767,45685,162,45432,91,"t0000",2021-07-16
"2","dolnośląskie","bolesławiecki",0,0,0,0,0,10,0,246,139,0,139,0,"t0201",2021-07-16
"3","dolnośląskie","dzierżoniowski",1,0.1,0,0,0,1,0,112,95,1,94,0,"t0202",2021-07-16
"4","dolnośląskie","głogowski",0,0,0,0,0,2,0,90,71,0,70,1,"t0203",2021-07-16
"5","dolnośląskie","górowski",0,0,0,0,0,2,0,54,24,0,24,0,"t0204",2021-07-16
"6","dolnośląskie","jaworski",0,0,0,0,0,1,0,77,54,0,54,0,"t0205",2021-07-16
"7","dolnośląskie","jeleniogórski",0,0,0,0,0,3,1,161,70,0,70,0,"t0206",2021-07-16
"8","dolnośląskie","kamiennogórski",0,0,0,0,0,0,0,80,40,0,40,0,"t0207",2021-07-16
"9","dolnośląskie","kłodzki",0,0,0,0,0,6,0,196,140,2,138,0,"t0208",2021-07-16
"10","dolnośląskie","legnicki",0,0,0,0,0,0,0,149,49,2,47,0,"t0209",2021-07-16
"11","dolnośląskie","lubański",0,0,0,0,0,0,0,58,43,0,43,0,"t0210",2021-07-16
"12","dolnośląskie","lubiński",0,0,0,0,0,0,1,76,105,0,105,0,"t0211",2021-07-16
"13","dolnośląskie","lwówecki",0,0,0,0,0,11,0,58,64,0,64,0,"t0212",2021-07-16
"14","dolnośląskie","milicki",0,0,0,0,0,1,0,60,23,0,23,0,"t0213",2021-07-16
"15","dolnośląskie","oleśnicki",1,0.09,0,0,0,5,0,223,83,2,80,1,"t0214",2021-07-16
"16","dolnośląskie","oławski",0,0,0,0,0,2,0,276,92,1,91,0,"t0215",2021-07-16
"17","dolnośląskie","polkowicki",2,0.32,0,0,0,2,0,79,49,2,47,0,"t0216",2021-07-16
"18","dolnośląskie","strzeliński",0,0,0,0,0,1,0,58,27,0,27,0,"t0217",2021-07-16
"19","dolnośląskie","średzki",1,0.18,0,0,0,1,0,172,51,1,50,0,"t0218",2021-07-16
"20","dolnośląskie","świdnicki",0,0,0,0,0,6,0,519,154,0,154,0,"t0219",2021-07-16
"21","dolnośląskie","trzebnicki",0,0,0,0,0,2,0,278,86,1,85,0,"t0220",2021-07-16
"22","dolnośląskie","wałbrzyski",0,0,0,0,0,0,1,59,49,0,49,0,"t0221",2021-07-16
"23","dolnośląskie","wołowski",1,0.21,0,0,0,2,0,87,38,1,37,0,"t0222",2021-07-16
"24","dolnośląskie","wrocławski",1,0.06,0,0,0,13,1,686,218,1,216,1,"t0223",2021-07-16
"25","dolnośląskie","ząbkowicki",0,0,0,0,0,8,0,67,55,0,55,0,"t0224",2021-07-16
"26","dolnośląskie","zgorzelecki",0,0,0,0,0,2,0,131,49,0,49,0,"t0225",2021-07-16
"27","dolnośląskie","złotoryjski",0,0,0,0,0,0,0,40,37,0,37,0,"t0226",2021-07-16
"28","dolnośląskie","Jelenia Góra",1,0.13,0,0,0,5,0,128,111,1,110,0,"t0261",2021-07-16
"29","dolnośląskie","Legnica",0,0,0,0,0,4,0,290,99,0,99,0,"t0262",2021-07-16
"30","dolnośląskie","Wrocław",3,0.05,0,0,0,24,2,3000,1021,6,1010,5,"t0264",2021-07-16
"31","dolnośląskie","Wałbrzych",0,0,0,0,0,6,0,155,126,0,126,0,"t0265",2021-07-16
"32","kujawsko-pomorskie","aleksandrowski",0,0,0,0,0,0,0,51,39,0,39,0,"t0401",2021-07-16
"33","kujawsko-pomorskie","brodnicki",0,0,0,0,0,2,3,66,64,0,64,0,"t0402",2021-07-16
"34","kujawsko-pomorskie","bydgoski",0,0,0,0,0,6,0,221,125,0,125,0,"t0403",2021-07-16
"35","kujawsko-pomorskie","chełmiński",0,0,0,0,0,0,0,76,51,0,51,0,"t0404",2021-07-16
"36","kujawsko-pomorskie","golubsko-dobrzyński",0,0,0,0,0,3,0,20,52,0,52,0,"t0405",2021-07-16
"37","kujawsko-pomorskie","grudziądzki",2,0.5,0,0,0,2,0,39,41,2,39,0,"t0406",2021-07-16
"38","kujawsko-pomorskie","inowrocławski",1,0.06,0,0,0,8,0,163,101,2,99,0,"t0407",2021-07-16
"39","kujawsko-pomorskie","lipnowski",0,0,0,0,0,0,0,62,54,0,54,0,"t0408",2021-07-16
"40","kujawsko-pomorskie","mogileński",0,0,0,0,0,5,0,34,48,0,48,0,"t0409",2021-07-16
"41","kujawsko-pomorskie","nakielski",1,0.12,0,0,0,6,0,67,60,1,59,0,"t0410",2021-07-16
"42","kujawsko-pomorskie","radziejowski",0,0,0,0,0,0,0,29,22,0,22,0,"t0411",2021-07-16
"43","kujawsko-pomorskie","rypiński",0,0,0,0,0,2,0,44,39,0,39,0,"t0412",2021-07-16
"44","kujawsko-pomorskie","sępoleński",0,0,0,0,0,5,0,23,39,0,38,1,"t0413",2021-07-16
"45","kujawsko-pomorskie","świecki",1,0.1,0,0,0,1,0,107,131,1,127,3,"t0414",2021-07-16
"46","kujawsko-pomorskie","toruński",0,0,0,0,0,5,0,89,117,0,117,0,"t0415",2021-07-16
"47","kujawsko-pomorskie","tucholski",0,0,0,0,0,1,0,21,45,0,45,0,"t0416",2021-07-16
"48","kujawsko-pomorskie","wąbrzeski",0,0,0,0,0,1,0,27,37,0,37,0,"t0417",2021-07-16
"49","kujawsko-pomorskie","włocławski",0,0,0,0,0,1,0,62,67,0,67,0,"t0418",2021-07-16
"50","kujawsko-pomorskie","żniński",0,0,0,0,0,3,0,53,169,0,168,1,"t0419",2021-07-16
"51","kujawsko-pomorskie","Bydgoszcz",0,0,0,0,0,13,0,770,268,0,265,3,"t0461",2021-07-16
"52","kujawsko-pomorskie","Grudziądz",0,0,0,0,0,3,2,91,125,0,124,1,"t0462",2021-07-16
"53","kujawsko-pomorskie","Toruń",0,0,0,0,0,3,0,244,212,0,212,0,"t0463",2021-07-16
