wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;5029;1.31;38;10;28;347;19554;251467;42126;5751;36008;367;t0000;2021-12-26
dolnoœl¹skie;boles³awiecki;6;0.67;0;0;0;0;47;601;82;8;73;1;t0201;2021-12-26
dolnoœl¹skie;dzier¿oniowski;3;0.30;0;0;0;0;48;544;45;4;40;1;t0202;2021-12-26
dolnoœl¹skie;g³ogowski;22;2.48;0;0;0;0;64;501;80;22;58;0;t0203;2021-12-26
dolnoœl¹skie;górowski;2;0.58;0;0;0;0;18;255;28;2;26;0;t0204;2021-12-26
dolnoœl¹skie;jaworski;4;0.80;0;0;0;0;26;354;22;4;18;0;t0205;2021-12-26
dolnoœl¹skie;jeleniogórski;7;1.10;0;0;0;1;27;359;28;7;21;0;t0206;2021-12-26
dolnoœl¹skie;kamiennogórski;0;0;0;0;0;0;14;153;10;0;10;0;t0207;2021-12-26
dolnoœl¹skie;k³odzki;10;0.64;0;0;0;0;63;967;138;14;124;0;t0208;2021-12-26
dolnoœl¹skie;legnicki;3;0.54;0;0;0;2;57;493;29;3;25;1;t0209;2021-12-26
dolnoœl¹skie;lubañski;3;0.55;0;0;0;0;39;231;18;3;15;0;t0210;2021-12-26
dolnoœl¹skie;lubiñski;6;0.57;0;0;0;4;70;637;55;6;49;0;t0211;2021-12-26
dolnoœl¹skie;lwówecki;2;0.44;0;0;0;0;10;166;36;5;31;0;t0212;2021-12-26
dolnoœl¹skie;milicki;0;0;0;0;0;0;18;428;26;0;25;1;t0213;2021-12-26
dolnoœl¹skie;oleœnicki;23;2.14;0;0;0;0;75;807;128;25;101;2;t0214;2021-12-26
dolnoœl¹skie;o³awski;6;0.78;0;0;0;0;51;850;78;7;71;0;t0215;2021-12-26
dolnoœl¹skie;polkowicki;6;0.95;0;0;0;0;46;456;37;7;30;0;t0216;2021-12-26
dolnoœl¹skie;strzeliñski;3;0.69;0;0;0;0;25;423;28;4;23;1;t0217;2021-12-26
dolnoœl¹skie;œredzki;7;1.26;0;0;0;0;38;669;29;8;20;1;t0218;2021-12-26
dolnoœl¹skie;œwidnicki;17;1.09;0;0;0;0;93;995;78;19;58;1;t0219;2021-12-26
