wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;Ca³y kraj;9410;2.45;177;41;136;415;9657;156834;43731;10059;32741;931;t0000
dolnoœl¹skie;boles³awiecki;5;0.56;0;0;0;0;20;408;51;6;43;2;t0201
dolnoœl¹skie;dzier¿oniowski;2;0.20;0;0;0;0;9;167;70;4;66;0;t0202
dolnoœl¹skie;g³ogowski;23;2.59;0;0;0;0;11;231;66;24;42;0;t0203
dolnoœl¹skie;górowski;8;2.31;0;0;0;2;5;118;33;8;25;0;t0204
dolnoœl¹skie;jaworski;3;0.60;0;0;0;0;5;148;27;4;23;0;t0205
dolnoœl¹skie;jeleniogórski;7;1.10;0;0;0;0;14;134;37;8;27;2;t0206
dolnoœl¹skie;kamiennogórski;5;1.16;0;0;0;0;5;52;17;5;12;0;t0207
dolnoœl¹skie;k³odzki;12;0.76;0;0;0;1;14;372;91;13;78;0;t0208
dolnoœl¹skie;legnicki;3;0.54;0;0;0;0;7;152;17;3;14;0;t0209
dolnoœl¹skie;lubañski;20;3.70;0;0;0;1;12;250;55;21;32;2;t0210
dolnoœl¹skie;lubiñski;8;0.75;1;0;1;0;11;200;45;8;37;0;t0211
dolnoœl¹skie;lwówecki;4;0.87;0;0;0;0;7;106;53;8;44;1;t0212
dolnoœl¹skie;milicki;7;1.90;2;1;1;0;12;162;29;9;20;0;t0213
dolnoœl¹skie;oleœnicki;14;1.30;0;0;0;3;20;297;66;15;49;2;t0214
dolnoœl¹skie;o³awski;13;1.69;0;0;0;0;8;366;58;14;44;0;t0215
dolnoœl¹skie;polkowicki;10;1.59;0;0;0;0;9;150;41;10;31;0;t0216
dolnoœl¹skie;strzeliñski;0;0;0;0;0;0;1;165;18;0;18;0;t0217
dolnoœl¹skie;œredzki;9;1.63;0;0;0;1;10;186;40;9;30;1;t0218
dolnoœl¹skie;œwidnicki;15;0.96;0;0;0;2;42;669;88;15;72;1;t0219
dolnoœl¹skie;trzebnicki;20;2.34;0;0;0;1;19;280;55;20;35;0;t0220
dolnoœl¹skie;wa³brzyski;7;1.26;0;0;0;0;5;143;47;8;39;0;t0221
dolnoœl¹skie;wo³owski;12;2.57;0;0;0;0;3;202;41;13;28;0;t0222
dolnoœl¹skie;wroc³awski;29;1.88;0;0;0;1;33;692;131;29;102;0;t0223
dolnoœl¹skie;z¹bkowicki;10;1.55;0;0;0;0;9;183;56;11;43;2;t0224
dolnoœl¹skie;zgorzelecki;32;3.60;0;0;0;1;11;332;79;33;46;0;t0225
dolnoœl¹skie;z³otoryjski;7;1.62;0;0;0;0;2;160;24;8;16;0;t0226
dolnoœl¹skie;Jelenia Góra;6;0.76;0;0;0;0;13;210;36;6;30;0;t0261
dolnoœl¹skie;Legnica;14;1.41;0;0;0;0;14;319;59;14;43;2;t0262
dolnoœl¹skie;Wroc³aw;129;2.00;0;0;0;11;154;2639;591;138;444;9;t0264
dolnoœl¹skie;Wa³brzych;25;2.26;1;0;1;0;9;313;139;26;113;0;t0265
kujawsko-pomorskie;aleksandrowski;14;2.55;0;0;0;2;19;196;66;19;46;1;t0401
kujawsko-pomorskie;brodnicki;20;2.53;1;0;1;1;21;384;52;23;29;0;t0402
kujawsko-pomorskie;bydgoski;78;6.53;0;0;0;11;73;1030;219;84;130;5;t0403
kujawsko-pomorskie;che³miñski;35;6.75;0;0;0;4;23;403;81;36;42;3;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;21;4.67;2;0;2;0;4;196;67;21;44;2;t0405
kujawsko-pomorskie;grudzi¹dzki;17;4.23;1;1;0;1;21;368;46;17;25;4;t0406
kujawsko-pomorskie;inowroc³awski;77;4.83;1;0;1;2;88;837;205;83;115;7;t0407
kujawsko-pomorskie;lipnowski;10;1.52;0;0;0;0;11;269;56;12;42;2;t0408
kujawsko-pomorskie;mogileñski;9;1.98;0;0;0;0;15;179;36;9;24;3;t0409
kujawsko-pomorskie;nakielski;65;7.54;1;0;1;3;9;644;181;71;102;8;t0410
kujawsko-pomorskie;radziejowski;6;1.49;1;0;1;0;9;200;61;6;54;1;t0411
kujawsko-pomorskie;rypiñski;10;2.30;0;0;0;0;9;123;34;11;21;2;t0412
kujawsko-pomorskie;sêpoleñski;15;3.67;0;0;0;0;11;287;56;16;39;1;t0413
kujawsko-pomorskie;œwiecki;36;3.64;1;0;1;0;59;717;112;37;72;3;t0414
kujawsko-pomorskie;toruñski;78;7.16;0;0;0;2;50;772;196;85;106;5;t0415
kujawsko-pomorskie;tucholski;11;2.28;0;0;0;0;7;312;53;11;42;0;t0416
kujawsko-pomorskie;w¹brzeski;7;2.05;0;0;0;1;6;207;21;7;13;1;t0417
kujawsko-pomorskie;w³oc³awski;11;1.28;0;0;0;0;29;368;70;11;58;1;t0418
kujawsko-pomorskie;¿niñski;41;5.85;2;0;2;3;32;548;111;43;63;5;t0419
kujawsko-pomorskie;Bydgoszcz;198;5.71;0;0;0;47;226;2487;720;220;471;29;t0461
kujawsko-pomorskie;Grudzi¹dz;35;3.72;5;4;1;0;48;712;106;35;70;1;t0462
kujawsko-pomorskie;Toruñ;110;5.47;1;0;1;13;102;1233;332;113;212;7;t0463
kujawsko-pomorskie;W³oc³awek;18;1.65;1;0;1;0;76;454;98;20;77;1;t0464
lubelskie;bialski;13;1.18;1;0;1;1;20;281;85;15;68;2;t0601
lubelskie;bi³gorajski;4;0.40;0;0;0;0;5;200;48;5;43;0;t0602
lubelskie;che³mski;53;6.82;2;2;0;0;8;321;105;53;46;6;t0603
lubelskie;hrubieszowski;8;1.28;0;0;0;0;6;199;69;11;58;0;t0604
lubelskie;janowski;0;0;0;0;0;0;2;76;9;0;9;0;t0605
lubelskie;krasnostawski;17;2.70;0;0;0;4;5;354;46;18;28;0;t0606
lubelskie;kraœnicki;12;1.26;8;3;5;1;10;216;53;12;40;1;t0607
lubelskie;lubartowski;14;1.59;0;0;0;2;3;131;101;26;75;0;t0608
lubelskie;lubelski;31;1.99;0;0;0;1;25;530;141;36;105;0;t0609
lubelskie;³êczyñski;10;1.75;0;0;0;0;15;223;58;11;47;0;t0610
lubelskie;³ukowski;19;1.78;0;0;0;0;6;194;115;34;80;1;t0611
lubelskie;opolski;9;1.53;1;0;1;1;3;194;31;9;22;0;t0612
lubelskie;parczewski;5;1.45;0;0;0;0;2;68;56;10;46;0;t0613
lubelskie;pu³awski;35;3.10;0;0;0;0;25;383;116;38;75;3;t0614
lubelskie;radzyñski;7;1.19;0;0;0;0;6;170;69;11;58;0;t0615
lubelskie;rycki;5;0.90;0;0;0;0;14;229;32;5;27;0;t0616
lubelskie;œwidnicki;11;1.53;1;1;0;3;12;315;45;13;32;0;t0617
lubelskie;tomaszowski;3;0.36;0;0;0;1;4;238;37;3;34;0;t0618
lubelskie;w³odawski;16;4.19;0;0;0;7;15;222;43;16;27;0;t0619
lubelskie;zamojski;6;0.57;0;0;0;0;5;204;44;6;38;0;t0620
lubelskie;Bia³a Podlaska;10;1.75;0;0;0;1;21;159;60;10;47;3;t0661
lubelskie;Che³m;16;2.60;1;1;0;0;11;205;54;16;38;0;t0662
