wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;100;0.03;21;5;16;2159;215;58801;43297;166;43048;83;t0000;2021-06-25
dolnoœl¹skie;boles³awiecki;0;0;0;0;0;5;0;381;132;0;132;0;t0201;2021-06-25
dolnoœl¹skie;dzier¿oniowski;0;0;0;0;0;4;1;66;126;1;125;0;t0202;2021-06-25
dolnoœl¹skie;g³ogowski;0;0;0;0;0;1;0;63;90;0;90;0;t0203;2021-06-25
dolnoœl¹skie;górowski;1;0.29;0;0;0;2;0;37;28;1;26;1;t0204;2021-06-25
dolnoœl¹skie;jaworski;0;0;0;0;0;1;1;38;45;0;45;0;t0205;2021-06-25
dolnoœl¹skie;jeleniogórski;0;0;0;0;0;0;0;43;64;1;63;0;t0206;2021-06-25
dolnoœl¹skie;kamiennogórski;0;0;0;0;0;1;0;21;16;0;16;0;t0207;2021-06-25
dolnoœl¹skie;k³odzki;1;0.06;0;0;0;5;2;112;119;1;118;0;t0208;2021-06-25
dolnoœl¹skie;legnicki;0;0;0;0;0;0;0;69;34;0;34;0;t0209;2021-06-25
dolnoœl¹skie;lubañski;0;0;0;0;0;2;0;49;21;0;21;0;t0210;2021-06-25
dolnoœl¹skie;lubiñski;0;0;0;0;0;4;0;57;84;0;84;0;t0211;2021-06-25
dolnoœl¹skie;lwówecki;0;0;1;1;0;10;1;46;63;0;63;0;t0212;2021-06-25
dolnoœl¹skie;milicki;0;0;0;0;0;2;0;49;36;0;36;0;t0213;2021-06-25
dolnoœl¹skie;oleœnicki;2;0.19;0;0;0;13;2;92;153;2;151;0;t0214;2021-06-25
dolnoœl¹skie;o³awski;0;0;0;0;0;2;1;102;78;0;78;0;t0215;2021-06-25
dolnoœl¹skie;polkowicki;1;0.16;0;0;0;8;1;42;42;1;41;0;t0216;2021-06-25
dolnoœl¹skie;strzeliñski;0;0;0;0;0;1;1;25;32;0;32;0;t0217;2021-06-25
dolnoœl¹skie;œredzki;0;0;0;0;0;1;0;63;37;0;37;0;t0218;2021-06-25
dolnoœl¹skie;œwidnicki;0;0;0;0;0;15;1;163;118;0;118;0;t0219;2021-06-25
dolnoœl¹skie;trzebnicki;0;0;0;0;0;4;0;271;106;0;106;0;t0220;2021-06-25
dolnoœl¹skie;wa³brzyski;0;0;0;0;0;5;0;28;55;0;55;0;t0221;2021-06-25
dolnoœl¹skie;wo³owski;0;0;0;0;0;0;0;60;33;0;33;0;t0222;2021-06-25
dolnoœl¹skie;wroc³awski;1;0.06;0;0;0;21;0;286;241;1;240;0;t0223;2021-06-25
dolnoœl¹skie;z¹bkowicki;1;0.16;0;0;0;7;0;52;64;1;61;2;t0224;2021-06-25
dolnoœl¹skie;zgorzelecki;1;0.11;0;0;0;5;0;68;52;1;51;0;t0225;2021-06-25
dolnoœl¹skie;z³otoryjski;0;0;0;0;0;0;0;30;30;0;30;0;t0226;2021-06-25
dolnoœl¹skie;Jelenia Góra;0;0;0;0;0;2;1;48;73;0;73;0;t0261;2021-06-25
dolnoœl¹skie;Legnica;1;0.10;0;0;0;1;0;164;67;1;66;0;t0262;2021-06-25
dolnoœl¹skie;Wroc³aw;2;0.03;0;0;0;48;8;1389;995;2;989;4;t0264;2021-06-25
dolnoœl¹skie;Wa³brzych;0;0;0;0;0;2;0;94;97;0;97;0;t0265;2021-06-25
kujawsko-pomorskie;aleksandrowski;0;0;0;0;0;0;0;35;33;0;33;0;t0401;2021-06-25
kujawsko-pomorskie;brodnicki;0;0;0;0;0;1;0;24;45;0;45;0;t0402;2021-06-25
kujawsko-pomorskie;bydgoski;0;0;1;0;1;6;1;97;139;0;139;0;t0403;2021-06-25
kujawsko-pomorskie;che³miñski;0;0;0;0;0;1;0;25;31;0;31;0;t0404;2021-06-25
kujawsko-pomorskie;golubsko-dobrzyñski;0;0;0;0;0;2;0;7;26;0;25;1;t0405;2021-06-25
kujawsko-pomorskie;grudzi¹dzki;0;0;1;1;0;2;0;18;52;0;52;0;t0406;2021-06-25
kujawsko-pomorskie;inowroc³awski;0;0;0;0;0;10;0;135;96;0;96;0;t0407;2021-06-25
kujawsko-pomorskie;lipnowski;0;0;0;0;0;5;0;55;62;0;62;0;t0408;2021-06-25
kujawsko-pomorskie;mogileñski;0;0;0;0;0;2;0;31;36;0;36;0;t0409;2021-06-25
kujawsko-pomorskie;nakielski;1;0.12;0;0;0;6;1;54;62;1;61;0;t0410;2021-06-25
kujawsko-pomorskie;radziejowski;0;0;0;0;0;4;1;19;17;0;17;0;t0411;2021-06-25
kujawsko-pomorskie;rypiñski;0;0;0;0;0;2;0;9;31;0;31;0;t0412;2021-06-25
kujawsko-pomorskie;sêpoleñski;0;0;0;0;0;6;1;17;37;0;37;0;t0413;2021-06-25
kujawsko-pomorskie;œwiecki;0;0;0;0;0;0;0;70;107;0;107;0;t0414;2021-06-25
kujawsko-pomorskie;toruñski;0;0;0;0;0;5;0;36;78;0;78;0;t0415;2021-06-25
kujawsko-pomorskie;tucholski;0;0;0;0;0;1;0;18;26;0;26;0;t0416;2021-06-25
kujawsko-pomorskie;w¹brzeski;0;0;0;0;0;0;0;8;16;0;16;0;t0417;2021-06-25
kujawsko-pomorskie;w³oc³awski;0;0;0;0;0;6;1;44;75;0;75;0;t0418;2021-06-25
kujawsko-pomorskie;¿niñski;0;0;0;0;0;3;0;34;41;0;40;1;t0419;2021-06-25
kujawsko-pomorskie;Bydgoszcz;0;0;0;0;0;24;2;336;347;1;345;1;t0461;2021-06-25
kujawsko-pomorskie;Grudzi¹dz;0;0;1;1;0;4;0;76;192;0;191;1;t0462;2021-06-25
kujawsko-pomorskie;Toruñ;0;0;1;0;1;11;1;123;189;0;189;0;t0463;2021-06-25
kujawsko-pomorskie;W³oc³awek;0;0;0;0;0;7;0;74;139;0;139;0;t0464;2021-06-25
lubelskie;bialski;3;0.27;0;0;0;6;2;152;94;3;91;0;t0601;2021-06-25
lubelskie;bi³gorajski;0;0;0;0;0;9;0;552;59;0;59;0;t0602;2021-06-25
lubelskie;che³mski;0;0;0;0;0;1;0;101;56;0;56;0;t0603;2021-06-25
lubelskie;hrubieszowski;0;0;0;0;0;9;0;28;39;2;36;1;t0604;2021-06-25
lubelskie;janowski;0;0;0;0;0;7;0;30;32;0;32;0;t0605;2021-06-25
lubelskie;krasnostawski;0;0;1;0;1;2;0;112;73;0;73;0;t0606;2021-06-25
lubelskie;kraœnicki;0;0;0;0;0;2;0;96;49;0;49;0;t0607;2021-06-25
lubelskie;lubartowski;0;0;0;0;0;3;0;354;40;0;40;0;t0608;2021-06-25
lubelskie;lubelski;1;0.06;0;0;0;7;0;229;140;1;139;0;t0609;2021-06-25
lubelskie;³êczyñski;0;0;0;0;0;3;0;639;49;0;49;0;t0610;2021-06-25
lubelskie;³ukowski;0;0;1;0;1;8;2;332;64;0;64;0;t0611;2021-06-25
lubelskie;opolski;0;0;0;0;0;0;0;323;32;0;32;0;t0612;2021-06-25
lubelskie;parczewski;1;0.29;0;0;0;0;0;34;24;1;23;0;t0613;2021-06-25
lubelskie;pu³awski;1;0.09;0;0;0;11;0;392;72;1;71;0;t0614;2021-06-25
lubelskie;radzyñski;0;0;0;0;0;3;0;54;53;0;53;0;t0615;2021-06-25
lubelskie;rycki;0;0;0;0;0;3;0;230;48;0;48;0;t0616;2021-06-25
lubelskie;œwidnicki;0;0;0;0;0;5;1;41;61;0;61;0;t0617;2021-06-25
lubelskie;tomaszowski;0;0;0;0;0;1;0;173;52;0;51;1;t0618;2021-06-25
lubelskie;w³odawski;0;0;0;0;0;1;0;33;36;0;36;0;t0619;2021-06-25
lubelskie;zamojski;0;0;0;0;0;3;0;69;57;0;57;0;t0620;2021-06-25
lubelskie;Bia³a Podlaska;4;0.70;0;0;0;5;3;78;91;4;87;0;t0661;2021-06-25
lubelskie;Che³m;0;0;3;0;3;0;0;75;52;0;52;0;t0662;2021-06-25
lubelskie;Lublin;2;0.06;0;0;0;23;4;259;455;3;452;0;t0663;2021-06-25
lubelskie;Zamoœæ;0;0;0;0;0;1;0;40;34;0;34;0;t0664;2021-06-25
lubuskie;gorzowski;0;0;0;0;0;0;0;142;63;0;63;0;t0801;2021-06-25
lubuskie;kroœnieñski;0;0;0;0;0;2;1;71;49;0;49;0;t0802;2021-06-25
lubuskie;miêdzyrzecki;0;0;0;0;0;1;1;105;92;0;92;0;t0803;2021-06-25
lubuskie;nowosolski;0;0;0;0;0;5;0;86;107;1;106;0;t0804;2021-06-25
lubuskie;s³ubicki;0;0;0;0;0;2;0;65;55;0;55;0;t0805;2021-06-25
lubuskie;strzelecko-drezdenecki;0;0;0;0;0;1;0;17;25;0;25;0;t0806;2021-06-25
lubuskie;sulêciñski;0;0;0;0;0;0;1;30;33;0;33;0;t0807;2021-06-25
lubuskie;œwiebodziñski;0;0;0;0;0;1;0;64;36;0;36;0;t0808;2021-06-25
lubuskie;zielonogórski;0;0;0;0;0;7;0;84;67;0;67;0;t0809;2021-06-25
lubuskie;¿agañski;0;0;0;0;0;1;0;38;87;0;87;0;t0810;2021-06-25
lubuskie;¿arski;0;0;0;0;0;7;0;65;67;0;67;0;t0811;2021-06-25
lubuskie;wschowski;0;0;0;0;0;1;0;29;32;0;32;0;t0812;2021-06-25
lubuskie;Gorzów Wielkopolski;0;0;0;0;0;3;0;157;154;0;154;0;t0861;2021-06-25
lubuskie;Zielona Góra;0;0;0;0;0;7;0;245;208;1;206;1;t0862;2021-06-25
³ódzkie;be³chatowski;0;0;0;0;0;11;0;92;79;0;79;0;t1001;2021-06-25
³ódzkie;kutnowski;1;0.10;0;0;0;2;2;80;106;2;104;0;t1002;2021-06-25
³ódzkie;³aski;0;0;0;0;0;6;0;47;43;0;43;0;t1003;2021-06-25
³ódzkie;³êczycki;0;0;0;0;0;6;2;105;55;0;55;0;t1004;2021-06-25
³ódzkie;³owicki;0;0;0;0;0;3;0;212;75;0;75;0;t1005;2021-06-25
³ódzkie;³ódzki wschodni;1;0.14;0;0;0;12;0;109;106;1;105;0;t1006;2021-06-25
³ódzkie;opoczyñski;0;0;0;0;0;4;0;24;53;0;51;2;t1007;2021-06-25
³ódzkie;pabianicki;0;0;0;0;0;33;2;195;169;1;168;0;t1008;2021-06-25
³ódzkie;pajêczañski;0;0;0;0;0;1;0;55;39;0;39;0;t1009;2021-06-25
³ódzkie;piotrkowski;0;0;0;0;0;10;0;100;57;0;55;2;t1010;2021-06-25
³ódzkie;poddêbicki;0;0;0;0;0;2;2;71;32;0;32;0;t1011;2021-06-25
³ódzkie;radomszczañski;1;0.09;0;0;0;12;2;100;117;1;116;0;t1012;2021-06-25
³ódzkie;rawski;1;0.21;0;0;0;4;1;1193;25;1;24;0;t1013;2021-06-25
³ódzkie;sieradzki;0;0;0;0;0;2;1;106;137;0;137;0;t1014;2021-06-25
³ódzkie;skierniewicki;1;0.26;0;0;0;2;1;94;40;1;39;0;t1015;2021-06-25
³ódzkie;tomaszowski;0;0;0;0;0;4;1;145;124;0;124;0;t1016;2021-06-25
³ódzkie;wieluñski;0;0;0;0;0;2;0;58;80;0;80;0;t1017;2021-06-25
³ódzkie;wieruszowski;1;0.24;0;0;0;3;0;35;38;1;37;0;t1018;2021-06-25
³ódzkie;zduñskowolski;0;0;0;0;0;14;0;37;56;1;55;0;t1019;2021-06-25
³ódzkie;zgierski;3;0.18;1;0;1;30;0;244;221;4;216;1;t1020;2021-06-25
³ódzkie;brzeziñski;0;0;0;0;0;3;1;47;37;1;36;0;t1021;2021-06-25
³ódzkie;£ódŸ;1;0.01;1;0;1;163;6;1711;1117;9;1107;1;t1061;2021-06-25
³ódzkie;Piotrków Trybunalski;0;0;0;0;0;5;0;57;64;0;64;0;t1062;2021-06-25
³ódzkie;Skierniewice;0;0;0;0;0;3;1;75;63;0;63;0;t1063;2021-06-25
ma³opolskie;bocheñski;0;0;0;0;0;2;0;87;92;0;91;1;t1201;2021-06-25
ma³opolskie;brzeski;0;0;0;0;0;1;1;38;81;0;81;0;t1202;2021-06-25
ma³opolskie;chrzanowski;0;0;0;0;0;9;0;56;80;0;78;2;t1203;2021-06-25
ma³opolskie;d¹browski;0;0;0;0;0;0;0;44;57;0;57;0;t1204;2021-06-25
ma³opolskie;gorlicki;0;0;0;0;0;8;0;63;157;1;156;0;t1205;2021-06-25
ma³opolskie;krakowski;1;0.04;0;0;0;19;3;462;365;1;363;1;t1206;2021-06-25
ma³opolskie;limanowski;0;0;0;0;0;1;1;61;122;0;122;0;t1207;2021-06-25
ma³opolskie;miechowski;0;0;0;0;0;1;0;31;20;0;20;0;t1208;2021-06-25
ma³opolskie;myœlenicki;0;0;0;0;0;7;1;91;122;0;122;0;t1209;2021-06-25
ma³opolskie;nowos¹decki;0;0;0;0;0;1;0;78;177;0;177;0;t1210;2021-06-25
ma³opolskie;nowotarski;1;0.05;0;0;0;2;3;101;232;1;231;0;t1211;2021-06-25
ma³opolskie;olkuski;2;0.18;0;0;0;5;1;71;99;3;96;0;t1212;2021-06-25
ma³opolskie;oœwiêcimski;0;0;0;0;0;6;1;106;89;0;89;0;t1213;2021-06-25
ma³opolskie;proszowicki;0;0;0;0;0;2;0;85;33;0;33;0;t1214;2021-06-25
ma³opolskie;suski;0;0;0;0;0;0;0;31;89;0;89;0;t1215;2021-06-25
ma³opolskie;tarnowski;1;0.05;2;1;1;2;0;83;206;1;205;0;t1216;2021-06-25
ma³opolskie;tatrzañski;0;0;0;0;0;0;0;70;103;0;103;0;t1217;2021-06-25
ma³opolskie;wadowicki;0;0;0;0;0;3;1;84;118;0;117;1;t1218;2021-06-25
ma³opolskie;wielicki;1;0.08;1;0;1;5;1;112;143;1;141;1;t1219;2021-06-25
ma³opolskie;Kraków;2;0.03;0;0;0;70;7;1237;944;2;940;2;t1261;2021-06-25
ma³opolskie;Nowy S¹cz;0;0;0;0;0;2;0;51;71;0;71;0;t1262;2021-06-25
ma³opolskie;Tarnów;0;0;0;0;0;1;1;63;90;0;90;0;t1263;2021-06-25
mazowieckie;bia³obrzeski;0;0;0;0;0;1;0;783;36;0;36;0;t1401;2021-06-25
mazowieckie;ciechanowski;0;0;0;0;0;8;1;71;68;0;68;0;t1402;2021-06-25
mazowieckie;garwoliñski;0;0;0;0;0;7;0;106;62;0;61;1;t1403;2021-06-25
mazowieckie;gostyniñski;0;0;0;0;0;1;1;172;34;0;34;0;t1404;2021-06-25
mazowieckie;grodziski;1;0.10;0;0;0;11;1;278;116;1;114;1;t1405;2021-06-25
mazowieckie;grójecki;0;0;0;0;0;10;1;6753;160;0;160;0;t1406;2021-06-25
mazowieckie;kozienicki;0;0;0;0;0;1;0;187;49;0;49;0;t1407;2021-06-25
mazowieckie;legionowski;0;0;0;0;0;7;1;170;119;0;119;0;t1408;2021-06-25
mazowieckie;lipski;0;0;0;0;0;1;0;49;26;0;26;0;t1409;2021-06-25
mazowieckie;³osicki;0;0;0;0;0;0;0;202;20;0;20;0;t1410;2021-06-25
mazowieckie;makowski;1;0.22;0;0;0;3;0;40;27;1;26;0;t1411;2021-06-25
mazowieckie;miñski;2;0.13;0;0;0;18;2;153;123;3;116;4;t1412;2021-06-25
mazowieckie;m³awski;0;0;0;0;0;2;0;107;58;0;57;1;t1413;2021-06-25
mazowieckie;nowodworski;0;0;0;0;0;3;0;191;77;1;76;0;t1414;2021-06-25
mazowieckie;ostro³êcki;0;0;1;0;1;0;0;46;30;0;29;1;t1415;2021-06-25
mazowieckie;ostrowski;0;0;0;0;0;1;0;20;42;0;42;0;t1416;2021-06-25
mazowieckie;otwocki;0;0;0;0;0;4;0;227;106;0;105;1;t1417;2021-06-25
mazowieckie;piaseczyñski;1;0.05;0;0;0;10;1;880;282;2;280;0;t1418;2021-06-25
mazowieckie;p³ocki;0;0;0;0;0;11;0;235;72;0;72;0;t1419;2021-06-25
mazowieckie;p³oñski;0;0;0;0;0;4;0;1065;160;0;160;0;t1420;2021-06-25
mazowieckie;pruszkowski;0;0;0;0;0;8;1;514;194;0;194;0;t1421;2021-06-25
mazowieckie;przasnyski;0;0;0;0;0;5;0;17;44;0;44;0;t1422;2021-06-25
mazowieckie;przysuski;0;0;0;0;0;0;0;75;24;0;24;0;t1423;2021-06-25
mazowieckie;pu³tuski;0;0;0;0;0;1;0;36;29;0;29;0;t1424;2021-06-25
mazowieckie;radomski;0;0;0;0;0;8;0;326;121;0;120;1;t1425;2021-06-25
mazowieckie;siedlecki;0;0;0;0;0;8;0;644;84;0;84;0;t1426;2021-06-25
mazowieckie;sierpecki;0;0;0;0;0;0;0;23;28;0;28;0;t1427;2021-06-25
mazowieckie;sochaczewski;0;0;0;0;0;3;0;449;54;0;54;0;t1428;2021-06-25
mazowieckie;soko³owski;0;0;0;0;0;4;0;31;24;0;24;0;t1429;2021-06-25
mazowieckie;szyd³owiecki;0;0;0;0;0;2;0;35;26;0;26;0;t1430;2021-06-25
