"","wojewodztwo","powiat_miasto","liczba_przypadkow","liczba_na_10_tys_mieszkancow","zgony","zgony_w_wyniku_covid_bez_chorob_wspolistniejacych","zgony_w_wyniku_covid_i_chorob_wspolistniejacych","liczba_zlecen_poz","liczba_ozdrowiencow","liczba_osob_objetych_kwarantanna","liczba_wykonanych_testow","liczba_testow_z_wynikiem_pozytywnym","liczba_testow_z_wynikiem_negatywnym","liczba_pozostalych_testow","teryt","stan_rekordu_na"
"1","Cały kraj","Cały kraj",133,0.03,5,1,4,570,340,63662,38174,245,37832,97,"t0000",2021-06-19
"2","dolnośląskie","bolesławiecki",0,0,0,0,0,0,5,362,44,0,44,0,"t0201",2021-06-19
"3","dolnośląskie","dzierżoniowski",0,0,0,0,0,0,2,60,83,0,83,0,"t0202",2021-06-19
"4","dolnośląskie","głogowski",0,0,0,0,0,0,0,76,54,0,54,0,"t0203",2021-06-19
"5","dolnośląskie","górowski",0,0,0,0,0,1,0,35,29,0,29,0,"t0204",2021-06-19
"6","dolnośląskie","jaworski",0,0,0,0,0,0,0,24,19,0,19,0,"t0205",2021-06-19
"7","dolnośląskie","jeleniogórski",0,0,0,0,0,2,0,50,39,0,39,0,"t0206",2021-06-19
"8","dolnośląskie","kamiennogórski",0,0,0,0,0,0,0,24,10,0,10,0,"t0207",2021-06-19
"9","dolnośląskie","kłodzki",0,0,0,0,0,10,1,98,82,0,82,0,"t0208",2021-06-19
"10","dolnośląskie","legnicki",0,0,0,0,0,0,0,60,22,0,22,0,"t0209",2021-06-19
"11","dolnośląskie","lubański",0,0,0,0,0,0,0,36,12,0,12,0,"t0210",2021-06-19
"12","dolnośląskie","lubiński",0,0,0,0,0,0,0,41,66,0,66,0,"t0211",2021-06-19
"13","dolnośląskie","lwówecki",0,0,0,0,0,0,0,41,20,0,20,0,"t0212",2021-06-19
"14","dolnośląskie","milicki",0,0,0,0,0,0,1,48,21,0,21,0,"t0213",2021-06-19
"15","dolnośląskie","oleśnicki",0,0,0,0,0,1,0,79,46,0,46,0,"t0214",2021-06-19
"16","dolnośląskie","oławski",0,0,0,0,0,0,0,91,48,0,48,0,"t0215",2021-06-19
"17","dolnośląskie","polkowicki",0,0,0,0,0,0,2,50,40,0,40,0,"t0216",2021-06-19
"18","dolnośląskie","strzeliński",0,0,0,0,0,0,0,23,17,0,17,0,"t0217",2021-06-19
