wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;13926;3.63;740;201;539;18482;12536;253075;80299;15374;63667;1258;t0000;2021-04-20
dolnoœl¹skie;boles³awiecki;50;5.55;3;0;3;69;24;638;231;65;163;3;t0201;2021-04-20
dolnoœl¹skie;dzier¿oniowski;28;2.79;2;0;2;45;33;656;141;29;111;1;t0202;2021-04-20
dolnoœl¹skie;g³ogowski;33;3.71;3;0;3;62;55;865;144;39;104;1;t0203;2021-04-20
dolnoœl¹skie;górowski;25;7.21;0;0;0;27;15;258;65;25;40;0;t0204;2021-04-20
dolnoœl¹skie;jaworski;17;3.40;3;3;0;30;21;391;84;21;59;4;t0205;2021-04-20
dolnoœl¹skie;jeleniogórski;19;3.00;1;0;1;42;25;490;113;23;88;2;t0206;2021-04-20
dolnoœl¹skie;kamiennogórski;8;1.86;2;2;0;11;6;181;60;9;51;0;t0207;2021-04-20
dolnoœl¹skie;k³odzki;21;1.34;0;0;0;50;46;649;189;27;160;2;t0208;2021-04-20
dolnoœl¹skie;legnicki;30;5.43;1;1;0;40;23;564;105;30;69;6;t0209;2021-04-20
dolnoœl¹skie;lubañski;18;3.33;0;0;0;34;27;442;56;18;36;2;t0210;2021-04-20
dolnoœl¹skie;lubiñski;66;6.22;6;0;6;70;48;848;207;68;135;4;t0211;2021-04-20
dolnoœl¹skie;lwówecki;22;4.81;1;1;0;33;8;262;99;25;73;1;t0212;2021-04-20
dolnoœl¹skie;milicki;10;2.71;0;0;0;17;21;273;68;12;56;0;t0213;2021-04-20
dolnoœl¹skie;oleœnicki;36;3.35;4;4;0;50;44;798;240;43;195;2;t0214;2021-04-20
dolnoœl¹skie;o³awski;30;3.90;1;0;1;34;82;767;165;33;130;2;t0215;2021-04-20
dolnoœl¹skie;polkowicki;38;6.02;3;1;2;34;22;761;117;39;77;1;t0216;2021-04-20
dolnoœl¹skie;strzeliñski;37;8.51;2;1;1;37;30;457;108;42;63;3;t0217;2021-04-20
dolnoœl¹skie;œredzki;39;7.05;0;0;0;57;12;599;109;40;68;1;t0218;2021-04-20
