wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;Ca³y kraj;6789;1.77;389;97;292;11232;3104;176833;47406;7536;39036;834;t0000
dolnoœl¹skie;boles³awiecki;10;1.11;3;0;3;30;10;427;271;14;254;3;t0201
dolnoœl¹skie;dzier¿oniowski;4;0.40;0;0;0;9;5;167;81;5;76;0;t0202
dolnoœl¹skie;g³ogowski;15;1.69;0;0;0;10;3;283;80;16;63;1;t0203
dolnoœl¹skie;górowski;2;0.58;0;0;0;4;0;77;21;2;19;0;t0204
dolnoœl¹skie;jaworski;7;1.40;0;0;0;7;4;168;44;7;37;0;t0205
dolnoœl¹skie;jeleniogórski;2;0.32;0;0;0;9;7;240;40;2;37;1;t0206
dolnoœl¹skie;kamiennogórski;2;0.46;0;0;0;7;1;86;29;2;27;0;t0207
dolnoœl¹skie;k³odzki;29;1.84;1;0;1;47;12;534;472;37;432;3;t0208
dolnoœl¹skie;legnicki;5;0.91;0;0;0;10;2;154;91;6;84;1;t0209
dolnoœl¹skie;lubañski;3;0.55;0;0;0;12;0;239;35;6;26;3;t0210
dolnoœl¹skie;lubiñski;9;0.85;1;0;1;27;3;196;96;9;86;1;t0211
dolnoœl¹skie;lwówecki;2;0.44;0;0;0;9;3;108;39;3;36;0;t0212
dolnoœl¹skie;milicki;6;1.63;0;0;0;12;2;104;37;10;26;1;t0213
dolnoœl¹skie;oleœnicki;15;1.40;0;0;0;25;5;346;113;19;93;1;t0214
dolnoœl¹skie;o³awski;17;2.21;1;1;0;29;3;475;81;17;64;0;t0215
dolnoœl¹skie;polkowicki;3;0.48;1;1;0;10;3;182;49;4;45;0;t0216
dolnoœl¹skie;strzeliñski;2;0.46;1;0;1;5;2;88;26;3;22;1;t0217
dolnoœl¹skie;œredzki;10;1.81;0;0;0;6;2;303;50;10;40;0;t0218
dolnoœl¹skie;œwidnicki;8;0.51;2;0;2;24;10;648;179;9;170;0;t0219
dolnoœl¹skie;trzebnicki;13;1.52;2;0;2;23;5;416;86;21;60;5;t0220
dolnoœl¹skie;wa³brzyski;7;1.26;1;0;1;15;5;121;82;9;73;0;t0221
dolnoœl¹skie;wo³owski;2;0.43;5;0;5;7;3;156;38;2;36;0;t0222
dolnoœl¹skie;wroc³awski;36;2.34;1;1;0;61;14;1230;199;36;158;5;t0223
dolnoœl¹skie;z¹bkowicki;1;0.16;0;0;0;13;4;268;46;1;45;0;t0224
dolnoœl¹skie;zgorzelecki;3;0.34;1;1;0;26;5;303;48;6;42;0;t0225
dolnoœl¹skie;z³otoryjski;1;0.23;0;0;0;9;0;135;34;1;32;1;t0226
dolnoœl¹skie;Jelenia Góra;3;0.38;0;0;0;18;12;293;77;3;73;1;t0261
dolnoœl¹skie;Legnica;11;1.11;2;2;0;23;6;528;164;14;149;1;t0262
dolnoœl¹skie;Wroc³aw;103;1.60;7;6;1;193;44;3689;1041;115;895;31;t0264
dolnoœl¹skie;Wa³brzych;12;1.08;1;0;1;24;13;328;192;15;177;0;t0265
kujawsko-pomorskie;aleksandrowski;13;2.36;0;0;0;22;6;163;68;18;50;0;t0401
kujawsko-pomorskie;brodnicki;24;3.03;0;0;0;32;9;317;85;25;60;0;t0402
kujawsko-pomorskie;bydgoski;37;3.10;2;0;2;81;19;952;186;41;143;2;t0403
kujawsko-pomorskie;che³miñski;39;7.53;1;0;1;37;4;572;134;41;93;0;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;17;3.78;1;0;1;24;1;236;53;17;35;1;t0405
kujawsko-pomorskie;grudzi¹dzki;15;3.73;0;0;0;15;3;290;55;17;37;1;t0406
